school bag,n. a bag for carrying school books and supplies
brush,"n. a dense growth of bushes
n. an implement that has hairs or bristles firmly set into a handle
n. momentary contact
n. conducts current between rotating and stationary parts of a generator or motor"
paints,"n a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
n (basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court
n makeup consisting of a pink or red powder applied to the cheeks
v make a painting
v apply paint to; coat with paint
v make a painting of
v apply a liquid to; e.g., paint the gutters with linseed oil"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
notebook,"n. a book with blank pages for recording notes or memoranda
n. a small compact portable computer"
glue,"n. cement consisting of a sticky substance that is used as an adhesive
v. join or attach with or as if with glue
v. be fixed as if by glue"
tape,"n. a long thin piece of cloth or paper as used for binding or fastening
n. a recording made on magnetic tape
n. the finishing line for a foot race
n. measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths"
put,"v. put into a certain place or abstract location
v. cause to be in a certain state; cause to be in a certain relation
v. attribute or give
v. cause (someone) to undergo something"
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
cocoon,"n. silky envelope spun by the larvae of many insects to protect pupas and by spiders to protect eggs
v. retreat as if into a cocoon, as from an unfriendly environment
v. wrap in or as if in a cocoon, as for protection"
caterpillar,"n. a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth
n. a large tracked vehicle that is propelled by two endless metal belts; frequently used for moving earth in construction and farm work"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
duckling,"n. flesh of a young domestic duck
n. young duck"
puppy,"n. a young dog
n. an inexperienced young person"
grow,"v. become larger, greater, or bigger; expand or gain
v. increase in size by natural process
v. cause to grow or develop
v. cultivate by growing, often involving improvements by means of agricultural techniques"
fly,"n. two-winged insects characterized by active flight
n. an opening in a garment that is closed by a zipper or by buttons concealed under a fold of cloth
n. (baseball) a hit that flies up in the air
n. fisherman's lure consisting of a fishhook decorated to look like an insect"
was,"n a state in northwestern United States on the Pacific
v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
were,"v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
drill,"n. a tool with a sharp point and cutting edges for making holes in hard materials (usually rotating rapidly or by repeated blows)
n. similar to the mandrill but smaller and less brightly colored
n. (military) the training of soldiers to march (as in ceremonial parades) or to perform the manual of arms
v. train in the military, e.g., in the use of weapons"
lorry,"n. a large low horse-drawn wagon without sides
n. a large truck designed to carry heavy loads; usually without sides"
motorbike,v. ride a motorcycle
outside,"n. the region that is outside of something
n. the outer side or surface of something
a. relating to or being on or near the outer side or limit
s. originating or belonging beyond some bounds:""the outside world"""
sleep,"n. a natural and periodic state of rest during which consciousness of the world is suspended
n. a torpid state resembling deep sleep
n. a period of time spent sleeping
v. be asleep"
another,s. any of various alternatives; some other
noise,"n. sound of any kind (especially unintelligible or dissonant sound)
n. the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience
n. electrical or acoustic activity that can disturb communication
n. a loud outcry of protest or complaint"
heard,s. detected or perceived by the sense of hearing
sat,"n the seventh and last day of the week; observed as the Sabbath by Jews and some Christians
v be seated
v be around, often idly or without specific purpose
v take a seat
v be in session
v assume a posture as for artistic purposes
v sit and travel on the back of animal, usually while controlling its motions
v be located or situated somewhere
v work or act as a baby-sitter; I have too much homework to do""
v show to a seat; assign a seat for
v serve in a specific professional capacity"
meat,n. the flesh of animals (including fishes and birds and snails) used as food
pork,n. meat from a domestic hog or pig
beef,"n. cattle that are reared for their meat
n. meat from an adult domestic bovine"
chicken,"n. the flesh of a chicken used for food
n. a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
n. a foolhardy competition; a dangerous activity that is continued until one competitor becomes afraid and stops
s. easily frightened"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
fruit,"n. the ripened reproductive body of a seed plant
n. the consequence of some effort or action
v. cause to bear fruit
v. bear fruit"
vegetable,"n. edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant
n. any of various herbaceous plants cultivated for an edible part such as the fruit or the root of the beet or the leaf of spinach or the seeds of bean plants or the flower buds of broccoli or cauliflower"
tomato,"n. mildly acid red or yellow pulpy fruit eaten as a vegetable
n. native to South America; widely cultivated in many varieties"
potato,"n. an edible tuber native to South America; a staple food of Ireland
n. annual native to South America having underground stolons bearing edible starchy tubers; widely cultivated as a garden vegetable; vines are poisonous"
