catastrophic,s. extremely harmful; bringing physical or financial ruin
compliment,"n. a remark (or act) expressing praise and admiration
v. say something to someone that expresses praise
v. express respect or esteem for"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
deceptive,"s. causing one to believe what is not true or fail to believe what is true
s. designed to deceive or mislead either deliberately or inadvertently"
desperately,r. in intense despair
far-reaching,none
flinch,"v. draw back, as with fear or pain"
impostor,n a person who makes deceitful pretenses
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
might,n. physical strength
misfortune,"n. unnecessary and unforeseen trouble resulting from an unfortunate event
n. an unfortunate state resulting from unfavorable outcomes"
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
persevere,"v. be persistent, refuse to stop"
petty,s. contemptibly narrow in outlook
slate,"n. (formerly) a writing tablet made of slate
n. thin layers of rock used for roofing
n. a fine-grained metamorphic rock that can be split into thin layers
n. a list of candidates nominated by a political party to run for election to public offices"
sponge,"n. a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
n. primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
v. wipe with a sponge, so as to clean or moisten
v. erase with a sponge; as of words on a blackboard"
station,"n. a facility equipped with special equipment and personnel for a particular purpose
n. (nautical) the location to which a ship or fleet is assigned for duty
n. the frequency assigned to a broadcasting station
v. assign to a station"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
triumph,n. the exultation of victory
unmeasured,s. not composed of measured syllables; not metrical
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
alluring,s. highly attractive and able to arouse hope or desire
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
annoyance,"n. anger produced by some annoying irritation
n. something or someone that causes trouble; a source of unhappiness
n. the act of troubling or annoying someone"
caffeine,n. a bitter alkaloid found in coffee and tea that is responsible for their stimulating effects
commandeer,v. take arbitrarily or by force
contracting,"n becoming infected
v enter into a contractual arrangement
v engage by written agreement
v squeeze or press together
v be stricken by an illness, fall victim to an illness
v become smaller or draw together
v make smaller
v compress or concentrate
v make or become more narrow or restricted
v reduce in scope while retaining essential elements"
expansionist,a. of or involving or guided by expansionism
fidgety,s nervous and unable to relax
foursome,"n four people considered as a unit
n the cardinal number that is the sum of three and one"
genome,n. the ordering of genes in a haploid set of chromosomes of a particular organism; the full DNA sequence of an organism
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
gratifying,s. pleasing to the mind or feeling
hugger-mugger,"n. a state of confusion
r. in secrecy"
inch,n. a unit of length equal to one twelfth of a foot
infuse,"v. undergo the process of infusion
v. introduce into the body through a vein, for therapeutic purposes"
intuitively,r. in an intuitive manner
jangling,s. like the discordant ringing of nonmusical metallic objects striking together
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
logistics,n. handling an operation that involves providing labor and materials be supplied as needed
minutely,r. in minute detail
mutter,n. a low continuous indistinct sound; often accompanied by movement of the lips without the production of articulate speech
neuron,n a cell that is specialized to conduct nerve impulses
neuroscientist,n. a neurobiologist who specializes in the study of the brain
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
relentless,"s not to be placated or appeased or moved by entreaty
s never-ceasing"
routinely,r. according to routine or established practice
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
shrink,"v. reduce in size; reduce physically
v. become smaller or draw together
v. decrease in size, range, or extent"
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
