short-term,s relating to or extending over a limited period
long-term,s relating to or extending over a relatively long time
rainfall,n water falling in drops from vapor condensed in the atmosphere
Ethiopia,n. Ethiopia is a republic in northeastern Africa on the Red Sea; formerly called Abyssinia
gravity,"n. (physics) the force of attraction between all masses in the universe; especially the attraction of the earth's mass for bodies near its surface
n. a solemn and dignified feeling"
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
put pressure on somebody,none
put pressure on somebody to do something,none
politician,"n. a leader engaged in civil administration
n. a person active in party politics
n. a schemer who tries to gain advantage in an organization in sly or underhanded ways"
statesman,n. a man who is a respected leader in national or international affairs
wrestle,"n. the act of engaging in close hand-to-hand combat
v. combat to overcome an opposing tendency or force
v. engage in deep thought, consideration, or debate
v. engage in a wrestling match"
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
agency,"n. an administrative unit of government
n. a business that serves other businesses
n. the state of being in action or exerting power"
pregnant,a. carrying developing offspring within the body or being about to produce new life
beyond,"r. farther along in space or time or degree
r. on the farther side from the observer
r. in addition"
at a crossroads,none
loaf,n. a quantity of food (other than bread) formed in a particular shape
permanent,"a. continuing or enduring without marked change in status or condition or place
s. not capable of being reversed or returned to the original condition"
infrastructure,"n. the basic structure or features of a system or organization
n. the stock of basic facilities and capital equipment needed for the functioning of a country or area"
irrigation,"n. supplying dry land with water by means of ditches etc
n. (medicine) cleaning a wound or body organ by flushing or washing out with water or a medicated solution"
framework,"n. the underlying structure
n. a structure supporting or containing something"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
housewife,n. a wife who manages a household while her husband earns the family income
Nigeria,n. a republic in West Africa on the Gulf of Guinea; gained independence from Britain in 1960; most populous African country
problem-solving,none
work of art,none
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
water buffalo, The European buffalo.
ox,"n. an adult castrated bull of the genus Bos; especially Bos taurus
n. any of various wild bovines especially of the genera Bos or closely related Bibos"
tractor,"n. a wheeled vehicle with large wheels; used in farming and other applications
n. a truck that has a cab but no body; used for pulling large trailers or vans"
dam,"n. a barrier constructed to contain the flow of water or to keep out the sea
n. female parent of an animal especially domestic livestock
v. obstruct with, or as if with, a dam"
expense,"n. amounts paid for goods and services that may be currently tax deductible (as opposed to capital expenditures)
n. a detriment or sacrifice
n. money spent to perform work and usually reimbursed by an employer
v. reduce the estimated value of something"
repay,"v pay back
v make repayment for or return something
v act or give recompense in recognition of someone's behavior or actions
v answer back"
repayment,n. payment of a debt or obligation
catch up on,none
weaken,"v. lessen the strength of
v. become weaker"
moreover,"r in addition; furthermore, their quality is improving""; moreover, mice nested there"""
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
fascinating,"v cause to be interested or curious
v to render motionless, as with a fixed stare or by arousing terror or awe
v attract; cause to be enamored
s capable of arousing and holding the attention
s capturing interest as if by a spell"
fashion,"n. characteristic or habitual practice
n. the latest and most admired style in clothes and cosmetics and behavior
n. consumer goods (especially clothing) in the current mode
v. make out of components (often in an improvising manner)"
fashionable,"a. being or in accordance with current social fashions
s. patronized by"
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
creativity,n. the ability to create
catering,n. providing food and services
alarm bell,none
adjustment,"n. making or becoming suitable; adjusting to circumstances
n. the act of adjusting something to match a standard"
sustainable,a. capable of being sustained
health care,n. the preservation of mental and physical health by preventing or treating illness through services offered by the health profession
housing,"n. structures collectively in which people are housed
n. a protective cover designed to contain or support a mechanical component"
put something into practice,none
grandchild,n. a child of your son or daughter
deposit,"n. the phenomenon of sediment or gravel accumulating
n. money deposited in a bank or some similar institution
n. money given as security for an article acquired for temporary use
n. a payment given as a guarantee that an obligation will be met"
oilfield,n. a region rich in petroleum deposits (especially one with producing oil wells)
on top of,none
push for something,none
solar,a. relating to or derived from the sun or utilizing the energies of the sun
hydroelectricity,n. electricity produced by water power
flour,"n. fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
v. cover with flour
v. convert grain into flour"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
Costa Rica,none
hopefully,"r. with hope; in a hopeful manner
r. it is hoped"
systematic,a. characterized by order and planning
edition,"n. the form in which a text (especially a printed book) is published
n. all of the identical copies of something offered to the public at the same time
n. an issue of a newspaper"
be on the move,none
the Midwest,none
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
hurricane,n. a severe tropical cyclone usually with heavy rains and winds moving a 73-136 knots (12 on the Beaufort scale)
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
turn into,none
slip,"n. a minor inadvertent mistake usually observed in speech or writing or in small accidents or memory lapses etc.
n. potter's clay that is thinned and used for coating or decorating ceramics
n. a young and slender person
n. an accidental misstep threatening (or causing) a fall"
make sense,none
cater,v. supply food ready to eat; for parties and banquets
ambulance,n. a vehicle that takes people to and from hospitals
bingo,n a game in which numbered balls are drawn at random and players cover the corresponding numbers on their cards
herb,"n. a plant lacking a permanent woody stem; many are flowering garden plants or potherbs; some having medicinal properties; some are pests
n. aromatic potherb used in cookery for its savory qualities"
seagull,n mostly white aquatic bird having long pointed wings and short legs
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
flexible,"a. capable of being changed
a. able to flex; able to bend easily
s. bending and snapping back readily without breaking"
Oceania,n. a large group of islands in the south Pacific including Melanesia and Micronesia and Polynesia (and sometimes Australasia and the Malay Archipelago)
inn,n a hotel providing overnight lodging for travelers
Midwestern,s. of a region of the United States generally including Ohio; Indiana; Illinois; Iowa; Missouri; Kansas; Nebraska; and sometimes Michigan; Wisconsin; Minnesota
one's flesh and blood,none
one's own flesh and blood,none
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
swap,"v. move (a piece of a program) into memory, in computer science"
rent,"n. a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service
n. the act of rending or ripping or splitting something
v. let for money
v. hold under a lease or rental agreement; of goods and services"
accountant,n. someone who maintains and audits business accounts
clerk,"n. an employee who performs clerical work (e.g., keeps records or accounts)
v. work as a clerk, as in the legal business"
waitress,n. a woman waiter
privilege,"n. a special advantage or immunity or benefit not enjoyed by all
n. (law) the right to refuse to divulge information obtained in a confidential relationship
v. bestow a privilege upon"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
physicist,n. a scientist trained in physics
biologist,n. (biology) a scientist who studies living organisms
botany,n. the branch of biology that studies plants
biochemistry,n. the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry
analytical,"a using or skilled in using analysis (i.e., separating a whole--intellectual or substantial--into its elemental parts or basic principles)
a of a proposition that is necessarily true independent of fact or experience"
bungalow,n. a small house with a single story
