abase,v cause to feel shame; hurt the pride of
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
abstain,"v. refrain from voting
v. choose not to consume"
accede,v. take on duties or office
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
adept,s. having or showing knowledge and skill and aptitude
aeronautics,n. the theory and practice of navigation through air or space
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
airborne,s. moved or conveyed by or through air
akin,"s. similar in quality or character
s. related by blood"
allegation,"n. (law) a formal accusation against somebody (often in a court of law)
n. statements affirming or denying certain matters of fact that you are prepared to prove"
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
amber,"n. a deep yellow color
n. a hard yellowish to brownish translucent fossil resin; used for jewelry
s. of a medium to dark brownish yellow color"
amphibian,"n. a flat-bottomed motor vehicle that can travel on land or water
n. an airplane designed to take off and land on water
n. cold-blooded vertebrate typically living on land but breeding in water; aquatic larvae undergo metamorphosis into adult form"
anabolism,"n. the synthesis in living organisms of more complex substances (e.g., living tissue) from simpler ones together with the storage of energy"
anarchism,n. a political theory favoring the abolition of governments
anatomy,"n. the branch of morphology that deals with the structure of animals
n. a detailed analysis"
anew,r again but in a new or different way
annex,"n. an addition that extends a main building
v. take (territory) as if by conquest
v. attach to"
antagonist,"n. a muscle that relaxes while another contracts
n. a drug that neutralizes or counteracts the effects of another drug"
anthropological,a. of or concerned with the science of anthropology
anthropology,n. the social science that studies the origins and social relationships of human beings
antibacterial,"n. any drug that destroys bacteria or inhibits their growth
a. destroying bacteria or inhibiting their growth"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
apprehensive,"s. quick to understand
s. mentally upset over possible misfortune or danger etc
s. in fear or dread of possible evil or harm"
aquatic,"n. a plant that lives in or on water
a. relating to or consisting of or being in water
a. operating or living or growing in water"
archaeologist,n an anthropologist who studies prehistoric people and their culture
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
artifice,n a deceptive maneuver (especially to avoid capture)
artillery,"n. large but transportable armament
n. an army unit that uses big guns"
arthritis,n. inflammation of a joint or joints
ascribe,v attribute or credit to
aspiration,"n. a will to succeed
n. a manner of articulation involving an audible release of breath"
aspirin,"n. the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
assort,"v keep company with; hang out with
v arrange or order by classes or categories"
astrology,n. a pseudoscience claiming divination by the positions of the planets and sun and moon
astrophysicist,n. an astronomer who studies the physical properties of celestial bodies
attentively,r. with attention; in an attentive manner
authorize,v. grant authorization or clearance for
avenge,v take revenge for a perceived wrong
backbone,"n. fortitude and determination
n. the part of a network that connects other networks together"
backdrop,n. scenery hung at back of stage
baffle,"n. a flat plate that controls or directs the flow of fluid or energy
v. check the emission of (sound)"
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
barrenness,n. the state (usually of a woman) of having no children or being unable to have children
barter,"n. an equal exchange
v. exchange goods without involving money"
berry,"n. any of numerous small and pulpy edible fruits; used as desserts or in making jams and jellies and preserves
n. a small fruit having any of various structures, e.g., simple (grape or blueberry) or aggregate (blackberry or raspberry)
n. United States rock singer (born in 1931)
v. pick or gather berries"
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
biomedical,a. relating to the activities and applications of science to clinical medicine
blanch,v. cook (vegetables) briefly
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
blockade,"n. a war measure that isolates some area of importance to the enemy
n. prevents access or progress
v. obstruct access to
v. impose a blockade on"
blockage,"n. an obstruction in a pipe or tube
n. the act of blocking"
blot,"n. an act that brings discredit to the person who does it
v. dry (ink) with blotting paper"
bluff,"n. a high steep bank (usually formed by river erosion)
n. pretense that your position is stronger than it really is
n. the act of bluffing in poker; deception by a false show of confidence in the strength of your cards
v. deceive an opponent by a bold bet on an inferior hand with the result that the opponent withdraws a winning hand"
bombard,"v. throw bombs at or attack with bombs
v. address with continuously or persistently, as if with a barrage
v. direct high energy particles or radiation against"
bravery,"n a quality of spirit that enables you to face danger or pain without showing fear
n feeling no fear"
breakout,n an escape from jail
breakthrough,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
brotherhood,"n. the kinship relation between a male offspring and the siblings
n. people engaged in a particular occupation
n. the feeling that men should treat one another like brothers"
Buddhist,"n. one who follows the teachings of Buddha
a. of or relating to or supporting Buddhism"
bust,"n. a sculpture of the head and shoulders of a person
n. an occasion for excessive eating or drinking"
