abase,v cause to feel shame; hurt the pride of
abash,v cause to be embarrassed; cause to feel self-conscious
abate,v. become less in amount or intensity
abbreviate,v. shorten
abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abduction,"n. the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife
n. (physiology) moving of a body part away from the central axis of the body"
aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
abet,"v. assist or encourage, usually in some wrongdoing"
abeyance,n. temporary cessation or suspension
abhor,v. find repugnant
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
abjure,"v. formally reject or disavow a formerly held belief, usually under pressure"
ablution,n. the ritual washing of a priest's hands or of sacred vessels
abnegation,"n. the denial and rejection of a doctrine or belief
n. renunciation of your own interests in favor of the interests of others"
abolish,v. do away with
abominable,s. unequivocally detestable
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
abortive,s. failing to accomplish an intended result
abrade,v. wear away
abrasive,"n. a substance that abrades or wears down
s. causing abrasion"
abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
abrogate,v. revoke formally
abscond,v. run away; usually includes taking something or somebody along
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
absolve,v. let off the hook
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
abstain,"v. refrain from voting
v. choose not to consume"
abstemious,"a. sparing in consumption of especially food and drink
s. marked by temperance in indulgence"
abstinence,"n. the trait of abstaining (especially from alcohol)
n. act or practice of refraining from indulging an appetite"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
abundant,a. present in great quantity
abusive,"s. expressing offensive reproach
s. characterized by physical or psychological maltreatment"
abut,v lie adjacent to another or share a boundary
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
abyss,n. a bottomless gulf or pit; any unfathomable (or apparently unfathomable) cavity or chasm or void extending below (often used figuratively)
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
accede,v. take on duties or office
accelerate,"v. move faster
v. cause to move faster"
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
acclaim,"n. enthusiastic approval
v. praise vociferously"
acclimate,v get used to a certain climate
acclivity,n an upward slope or grade (as in a road)
accolade,n a tangible symbol signifying approval or distinction
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
accost,"v speak to someone
v approach with an offer of sexual favors"
accretion,"n. an increase by natural growth or addition
n. something contributing to growth or increase
n. (astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases"
accrue,"v. grow by addition
v. come into the possession of"
acerbity,"n. a sharp bitterness
n. a sharp sour taste"
acetic,a. relating to or containing acetic acid
acidulous,s being sour to the taste
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acme,n. the highest level or degree attainable; the highest stage of development
acoustics,n. the study of the physical properties of sound
acquiesce,v to agree or express agreement
