abase,v cause to feel shame; hurt the pride of
compunction,n. a feeling of deep regret (usually for some misdeed)
compute,v make a mathematical calculation or computation
concave,a. curving inward
concede,"v. admit (to a wrongdoing)
v. be willing to concede
v. give over; surrender or relinquish to the physical control of another
v. acknowledge defeat"
conceit,"n. an elaborate poetic image or a far-fetched comparison of very dissimilar things
n. a witty or ingenious turn of phrase
n. an artistic device or effect
n. the trait of being unduly vain and conceited; false pride"
concentric,a. having a common center
conception,n. the act of becoming pregnant; fertilization of an ovum by a spermatozoon
concerted,s. involving the joint activity of two or more
concession,"n. a contract granting the right to operate a subsidiary business
n. the act of conceding or yielding
n. a point conceded or yielded"
conciliatory,a. intended to placate
concise,a. expressing much in few words
contrived,s. showing effects of planning or manipulation
controvert,"v be resistant to
v prove to be false or incorrect"
contusion,n. the action of bruising
conundrum,n a difficult problem
convene,v. meet formally
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
conventional,"a. following accepted customs and proprieties
s. conforming with accepted standards
a. (weapons) using energy for propulsion or destruction that is not nuclear energy
a. unimaginative and conformist"
converge,"v. be adjacent or come together
v. approach a limit as the number of terms increases without limit
v. move or draw together at a certain location
v. come together so as to form a single product"
conversant,s. (usually followed by `with') well informed about or knowing thoroughly
converse,"n. a proposition obtained by conversion
v. carry on a conversation
s. of words so related that one reverses the relation denoted by the other
s. turned about in order or relation"
converse,"n. a proposition obtained by conversion
v. carry on a conversation
s. of words so related that one reverses the relation denoted by the other
s. turned about in order or relation"
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
convex,a. curving or bulging outward
conveyance,"n. document effecting a property transfer
n. the transmission of information
n. something that serves as a means of transportation"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
convivial,s. occupied with or fond of the pleasures of good company
convoke,v. call together
convoluted,"v curl, wind, or twist together
v practice sophistry; change the meaning of or be vague about in order to mislead or deceive
s rolled longitudinally upon itself
s highly complex or intricate and occasionally devious"
copious,s. large in number or quantity (especially of discourse)
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
cordon,"n. a series of sentinels or of military posts enclosing or guarding some place or thing
n. cord or ribbon worn as an insignia of honor or rank
n. adornment consisting of an ornamental ribbon or cord"
cornucopia,"n a goat's horn filled with grain and flowers and fruit symbolizing prosperity
n the property of being extremely abundant"
corollary,"n. a practical consequence that follows naturally
n. (logic) an inference that follows directly from the proof of another proposition"
coronation,n. the ceremony of installing a new monarch
corporeal,a. having material or physical form or substance
corpulent,s. excessively fat
correlation,"n. a reciprocal relation between two or more things
n. a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the other"
corroborate,v. support with evidence or authority or make more certain or confirm
corrosive,"n. a substance having the tendency to cause corrosion (such a strong acids or alkali)
s. spitefully sarcastic"
corrugated,s. shaped into alternating parallel grooves and ridges
cosmic,"a. of or from or pertaining to or characteristic of the cosmos or universe
s. inconceivably extended in space or time"
cosmopolitan,"n. a sophisticated person who has travelled in many countries
a. growing or occurring in many parts of the world
a. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
s. of worldwide scope or applicability"
coterie,n an exclusive circle of people with a common purpose
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
countermand,n. a contrary command cancelling or reversing a previous command
culvert,n. a transverse and totally enclosed drain under a road or railway
cumbersome,s. difficult to handle or use especially because of size or weight
cumulative,s increasing by successive addition
cupidity,n extreme greed for material wealth
curator,n. the custodian of a collection (as a museum or library)
curmudgeon,n. a crusty irascible cantankerous old person full of stubborn ideas
cursive,s. having successive letter joined together
cursory,s hasty and without attention to detail; not thorough
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
cynical,s. believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others
cynosure,"n. something that provides guidance (as Polaris guides mariners)
n. something that strongly attracts attention and admiration"
dabble,"v. dip a foot or hand briefly into a liquid
v. play in or as if in water, as of small children
v. work with in an amateurish manner
v. bob forward and under so as to feed off the bottom of a body of water"
dais,n. a platform raised above the surrounding level to give prominence to the person on it
dank,s unpleasantly cool and humid
dapper,s. marked by up-to-dateness in dress and manners
dappled,s. having spots or patches of color
daub,"n. material used to daub walls
n. an unskillful painting
v. apply to a surface"
daunt,v. cause to lose courage
dauntless,s invulnerable to fear or intimidation
dawdle,"v take one's time; proceed slowly
v waste time
v hang (back) or fall (behind) in movement, progress, development, etc."
deadlock,n. a situation in which no progress can be made or no advancement is possible
deadpan,"s. deliberately impassive in manner
r. without betraying any feeling"
dearth,"n. an acute insufficiency
n. an insufficient quantity or number"
debacle,"n. a sudden and violent collapse
n. flooding caused by a tumultuous breakup of ice in a river during the spring or summer"
debase,v. lower in value by increasing the base-metal content
debauch,"n a wild gathering involving excessive drinking and promiscuity
v corrupt morally or by intemperance or sensuality"
debilitate,v make weak
debonair,s. having a sophisticated charm
debris,n. the remains of something that has been destroyed or broken up
debunk,v. expose while ridiculing; especially of pretentious or false claims and ideas
debutante,n. a young woman making her debut into society
decadence,n the state of being degenerate in mental or moral qualities
decapitate,v. cut the head of
deciduous,"a. (of plants and shrubs) shedding foliage at the end of the growing season
s. (of teeth, antlers, etc.) being shed at the end of a period of growth"
decimate,"v. kill one in every ten, as of mutineers in Roman armies"
decipher,v. read with difficulty
declivity,n a downward slope or bend
decollete,s. (of a garment) having a low-cut neckline
decomposition,"n. the analysis of a vector field
n. in a decomposed state
n. (chemistry) separation of a substance into two or more substances that may differ from each other and from the original substance"
decorum,n. propriety in manners and conduct
decoy,"n. a beguiler who leads someone into danger (usually as part of a plot)
v. lure or entrap with or as if with a decoy"
decrepit,s. lacking bodily or muscular strength or vitality
decrepitude,n. a state of deterioration due to old age or long use
decry,v express strong disapproval of
deducible,s. capable of being deduced
deface,v. mar or spoil the appearance of
defame,v. charge falsely or with malicious intent; attack the good name and reputation of someone
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
defeatist,n. someone who is resigned to defeat without offering positive suggestions
defection,"n withdrawing support or help despite allegiance or responsibility
n the state of having rejected your religious beliefs or your political party or a cause (often in favor of opposing beliefs or causes)"
defer,"v hold back to a later time
v yield to another's wish or opinion"
defer,"v hold back to a later time
v yield to another's wish or opinion"
deference,"n. a courteous expression (by word or deed) of esteem or regard
n. courteous regard for people's feelings"
defiance,"n. intentionally contemptuous behavior or attitude
n. a hostile challenge
n. a defiant act"
defile,"n. a narrow pass (especially one between mountains)
v. place under suspicion or cast doubt upon"
define,"v. give a definition for the meaning of a word
v. determine the nature of
v. show the form or outline of"
definitive,"s. clearly defined or formulated
s. supplying or being a final or conclusive settlement"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
defoliate,"v. strip the leaves or branches from
s. deprived of leaves"
defray,v. bear the expenses of
deft,s. skillful in physical movements; especially of the hands
defunct,"s. no longer in force or use; inactive
s. having ceased to exist or live"
defuse,v. remove the triggering device from
degenerate,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
v grow worse
s unrestrained by convention or morality"
degradation,n. changing to a lower state (a less respected state)
dehydrate,"v. preserve by removing all water and liquids from
v. remove water from"
deify,"v. consider as a god or godlike
v. exalt to the position of a God"
deign,v do something that one considers to be below one's dignity
delectable,"s. extremely pleasing to the sense of taste
s. capable of arousing desire"
delete,v. remove or make invisible
deleterious,s. harmful to living things
deliberate,s. carefully thought out in advance
delineate,"v. trace the shape of
v. describe in vivid detail"
delirium,n. a usually brief state of excitement and mental confusion often accompanied by hallucinations
delude,v be false to; be dishonest with
deluge,v. fill quickly beyond capacity; as with a liquid
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
delve,"v turn up, loosen, or remove earth"
demagogue,n. a political leader who seeks support by appealing to popular passions and prejudices
demean,"v reduce in worth or character, usually verbally"
demeanor,n. (behavioral attributes) the way a person behaves toward other people
demented,s affected with madness or insanity
demise,v. transfer by a lease or by a will
demolition,n. the act of demolishing
demoniac,n. someone who acts as if possessed by a demon
demur,"n. (law) a formal objection to an opponent's pleadings
v. take exception to
v. enter a demurrer"
demure,s affectedly modest or shy especially in a playful or provocative way
demystify,v. make less mysterious or remove the mystery from
denigrate,"v cause to seem less serious; play down
v charge falsely or with malicious intent; attack the good name and reputation of someone"
denizen,n. a plant or animal naturalized in a region
denotation,"n the act of indicating or pointing out by name
n the most direct or specific meaning of a word or expression; the class of objects that an expression refers to"
denouement,"n. the outcome of a complex sequence of events
n. the final resolution of the main complication of a literary or dramatic work"
denounce,"v. speak out against
v. announce the termination of, as of treaties
v. give away information about somebody"
depict,"v show in, or as in, a picture
v give a description of
v make a portrait of"
deplete,v use up (resources or materials)
deplore,"v. express strong disapproval of
v. regret strongly"
deploy,"v. place troops or weapons in battle formation
v. to distribute systematically or strategically"
depose,v. force to leave (an office)
deposition,"n. the natural process of laying down a deposit of something
n. (law) a pretrial interrogation of a witness; usually conducted in a lawyer's office
n. the act of deposing someone; removing a powerful person from a position or office"
depravity,n. a corrupt or depraved or degenerate act or practice
deprecate,"v. express strong disapproval of; deplore
v. belittle"
depreciate,"v. lower the value of something
v. lose in value"
depredation,n. an act of plundering and pillaging and marauding
deranged,"v derange mentally, throw out of mental balance; make insane
v throw into great confusion or disorder
s driven insane"
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
deride,v. treat or speak of with contempt
derivative,"n. a compound obtained from, or regarded as derived from, another compound
n. (linguistics) a word that is derived from another word
s. resulting from or employing derivation"
dermatologist,n. a doctor who specializes in the physiology and pathology of the skin
derogatory,s expressive of low opinion
descant,"n. a decorative musical accompaniment (often improvised) added above a basic melody
v. sing in descant
v. talk at great length about something of one's interest"
descry,v. catch sight of
desecrate,"v. violate the sacred character of a place or language
v. remove the consecration from a person or an object"
desiccate,"v preserve by removing all water and liquids from
v remove water from
v lose water or moisture
s lacking vitality or spirit; lifeless"
desolate,s. crushed by grief
desolate,s. crushed by grief
despise,v look down on with disdain
despoil,"v steal goods; take as spoils
v destroy and strip of its possession"
despondent,s. without or almost without hope
despot,n a cruel and oppressive dictator
destitute,s. poor enough to need help from others
desultory,s. marked by lack of definite plan or regularity or purpose; jumping from one thing to another
detached,"s. being or feeling set or kept apart from others
s. no longer connected or joined
a. used of buildings; standing apart from others
s. lacking affection or warm feeling"
detergent,"n. a surface-active chemical widely used in industry and laundering
n. a cleansing agent that differs from soap but can also emulsify oils and hold dirt in suspension
s. having cleansing power"
determination,"n. the act of determining the properties of something, usually by research or calculation
n. the quality of being determined to do or achieve something; firmness of purpose
n. deciding or controlling something's outcome or nature"
deterrent,s. tending to deter
detonation,n. the act of detonating an explosive
detraction,"n. a petty disparagement
n. the act of discrediting or detracting from someone's reputation (especially by slander)"
detrimental,s (sometimes followed by `to') causing harm or injury
deviate,"v. turn aside; turn away from
v. be at variance with; be out of line with
v. cause to turn away from a previous or expected course"
devious,"s. indirect in departing from the accepted or proper way; misleading
s. characterized by insincerity or deceit; evasive
s. deviating from a straight course"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
devoid,s completely wanting or lacking
devotee,n an ardent follower and admirer
devout,s. deeply religious
dexterous,s skillful in physical movements; especially of the hands
diabolical,"s showing the cunning or ingenuity or wickedness typical of a devil
s extremely evil or cruel; expressive of cruelty or befitting hell"
diagnosis,n. identifying the nature or cause of some phenomenon
discomfit,v cause to lose one's composure
discomposure,n. a temperament that is perturbed and lacking in composure
disconcert,"v cause to feel embarrassment
v cause to lose one's composure"
disconsolate,"a sad beyond comforting; incapable of being consoled
s causing dejection"
discord,"n. lack of agreement or harmony
n. disagreement among those expected to cooperate
n. strife resulting from a lack of agreement"
discordant,"a. not in agreement or harmony
s. lacking in harmony"
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
discourse,"n. extended verbal expression in speech or writing
v. to consider or examine in speech or writing"
discredit,"v. cause to be distrusted or disbelieved
v. damage the reputation of"
discrepancy,"n. a difference between conflicting facts or claims or opinions
n. an event that departs from expectations"
discrete,s. constituting a separate entity or part
discretion,"n. freedom to act or judge on one's own
n. knowing how to avoid embarrassment or distress
n. the trait of judging wisely and objectively"
discriminating,a. showing or indicating careful judgment and discernment especially in matters of taste
discursive,"s proceeding to a conclusion by reason or argument rather than intuition
s (of e.g. speech and writing) tending to depart from the main point or cover a wide range of subjects"
disdain,"n lack of respect accompanied by a feeling of intense dislike
n a communication that indicates lack of respect by patronizing the recipient
v look down on with disdain
v reject with contempt"
disembark,v. go ashore
disenfranchise,v. deprive of voting rights
disengage,"v. release from something that holds fast, connects, or entangles
v. become free"
disfigure,v mar or spoil the appearance of
disgorge,"v cause or allow (a solid substance) to flow or run out or over
v eject the contents of the stomach through the mouth"
disgruntle,v. put into a bad mood or into bad humour
dishearten,v. take away the enthusiasm of
disheveled,s. in disarray; extremely disorderly
disinclination,n. that toward which you are inclined to feel dislike
disingenuous,a. not straightforward or candid; giving a false appearance of frankness
disinter,v. dig up for reburial or for medical investigation; of dead bodies
disinterested,s. unaffected by self-interest
disjointed,"s. taken apart at the joints
s. separated at the joint"
dislodge,"v. remove or force out from a position
v. remove or force from a position of dwelling previously occupied"
dismantle,"v tear down so as to make flat with the ground
v take apart into its constituent pieces
v take off or remove"
dismay,v. fill with apprehension or alarm; cause to be unpleasantly surprised
dismember,"v. separate the limbs from the body
v. divide into pieces"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
disparage,v. express a negative opinion of
disparate,"s. fundamentally different or distinct in quality or kind
s. including markedly dissimilar elements"
disparity,n. inequality or difference in some respect
dispassionate,s. unaffected by strong emotion or prejudice
dispatch,"n. an official report (usually sent in haste)
n. the act of sending off something
n. the property of being prompt and efficient
n. killing a person or animal"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
dispirited,s. marked by low spirits; showing no enthusiasm
disputatious,"s inclined or showing an inclination to dispute or disagree, even to engage in law suits"
disquiet,n. the trait of seeming ill at ease
dissection,"n. cutting so as to separate into pieces
n. a minute and critical analysis
n. detailed critical analysis or examination one part at a time (as of a literary work)"
dissemble,"v. hide under a false appearance
v. behave unnaturally or affectedly"
disseminate,v cause to become widely known
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
dissertation,n. a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
dissident,s. characterized by departure from accepted beliefs or standards
dissimulate,v. hide (feelings) from other people
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
dissolute,s unrestrained by convention or morality
dissonance,n. disagreeable sounds
dissuade,v. turn away from by persuasion
distend,"v. cause to expand as it by internal pressure
v. swell from or as if from internal pressure"
distill,"v. undergo the process of distillation
v. extract by the process of distillation
v. give off (a liquid)"
distinction,"n. a distinguishing quality
n. a distinguishing difference"
distort,"v make false by mutilation or addition; as of a message or story
v form into a spiral shape
v twist and press out of shape
v affect as in thought or feeling
v alter the shape of (something) by stress"
distraught,s. deeply agitated especially from emotion
diurnal,"a. of or belonging to or active during the day
s. having a daily cycle or occurring every day"
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
divergent,"s. diverging from another or from a standard
a. tending to move apart in different directions"
diverse,s. distinctly dissimilar or unlike
diversion,"n. an activity that diverts or amuses or stimulates
n. a turning aside (of your course or attention or concern)
n. an attack calculated to draw enemy defense away from the point of the principal attack"
diversity,n. the condition or result of being changeable
divest,"v. deprive of status or authority
v. reduce or dispose of; cease to hold (an investment)"
divine,"v. perceive intuitively or through some inexplicable perceptive powers
v. search by divining, as if with a rod
s. emanating from God
s. being or having the nature of a god; 'tis God-like to create""-J.G.Saxe"
divulge,v make known to the public information that was previously known only to a few people or that was meant to be kept a secret
docile,"a. willing to be taught or led or supervised or directed
s. ready and willing to be taught
s. easily handled or managed"
doctrinaire,s. stubbornly insistent on theory without regard for practicality or suitability
doctrine,n. a belief (or system of beliefs) accepted as authoritative by some group or school
document,"n. writing that provides information (especially information of an official nature)
n. anything serving as a representation of a person's thinking by means of symbolic marks
n. a written account of ownership or obligation
v. record in detail"
doff,v. remove
dogged,s. stubbornly unyielding
doggerel,n. a comic verse of irregular measure
dogmatic,"s. characterized by assertion of unproved or unprovable principles
a. of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative
a. relating to or involving dogma"
doldrums,n. a belt of calms and light winds between the northern and southern trade winds of the Atlantic and Pacific
doleful,s. filled with or evoking sadness
dolt,n a person who is not very bright
domicile,"n. (law) the residence where you have your permanent home or principal establishment and to where, whenever you are absent, you intend to return; every person is compelled to have one and only one domicile at a time"
domineer,v rule or exercise power over (somebody) in a cruel and autocratic manner
don,"n. a Spanish gentleman or nobleman
n. the head of an organized crime family
n. Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu"
doodle,v. make a doodle; draw aimlessly
dormant,"s. in a condition of biological rest or suspended animation
a. (of e.g. volcanos) not erupting and not extinct
s. lying with head on paws as if sleeping"
dormer,n. a gabled extension built out from a sloping roof to accommodate a vertical window
dossier,n. a collection of papers containing detailed information about a particular person or subject (usually a person's record)
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
douse,"v. put out, as of a candle or a light
v. wet thoroughly
v. lower quickly
v. slacken"
dowdy,"n. deep-dish apple dessert covered with a rich crust
s. lacking in smartness or taste
s. primly out of date"
downcast,"n. a ventilation shaft through which air enters a mine
s. directed downward"
drab,"s. lacking in liveliness or charm or surprise
s. lacking brightness or color; dull"
draconian,a. of or relating to Draco or his harsh code of laws
dregs,n. sediment that has settled at the bottom of a liquid
drivel,"n. a worthless message
v. let saliva drivel from the mouth"
droll,s. comical in an odd or whimsical manner
drone,"n. stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
n. an aircraft without a pilot that is operated by remote control
n. a pipe of the bagpipe that is tuned to produce a single continuous tone
v. make a monotonous low dull sound"
drone,"n. stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
n. an aircraft without a pilot that is operated by remote control
n. a pipe of the bagpipe that is tuned to produce a single continuous tone
v. make a monotonous low dull sound"
dross,"n worthless or dangerous material that should be removed
n the scum formed by oxidation at the surface of molten metals"
drudgery,n. hard monotonous routine work
dubious,s. not convinced
ductile,"s. easily influenced
s. capable of being shaped or bent or drawn out"
dulcet,"s. extremely pleasant in a gentle way
s. pleasing to the ear"
dumbfound,v be a mystery or bewildering to
dupe,"n a person who is tricked or swindled
v fool or hoax"
duplicity,n. acting in bad faith; deception by pretending to entertain one set of intentions while acting under the influence of another
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
duress,n. compulsory force or threat
dutiful,s. willingly obedient out of a sense of duty and respect;
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
dwindle,v. become smaller or lose substance
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
earthy,"s. not far removed from or suggestive of nature
s. hearty and lusty
a. of or consisting of or resembling earth"
ebb,"n. a gradual decline (in size or strength or power or number)
n. the outward flow of the tide
v. flow back or recede"
ebullient,s. joyously unrestrained
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
eccentricity,"n. strange and unconventional behavior
n. (geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis
n. a circularity that has a different center or deviates from a circular path"
ecclesiastic,"n a clergyman or other person in religious orders
a of or associated with a church (especially a Christian Church)"
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
ecologist,n. a biologist who studies the relation between organisms and their environment
economy,"n. the system of production and distribution and consumption
n. the efficient use of resources
n. frugality in the expenditure of money or resources
n. an act of economizing; reduction in cost"
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
eddy,"n. founder of Christian Science in 1866 (1821-1910)
n. a miniature whirlpool or whirlwind resulting when the current of a fluid doubles back on itself
v. flow in a circular current, of liquids"
edict,n. a formal or authoritative proclamation
edify,v make understand
eerie,"s. suggestive of the supernatural; mysterious
s. inspiring a feeling of fear; strange and frightening"
efface,v. make inconspicuous
effectual,"a producing or capable of producing an intended result or having a striking effect
s having legal efficacy or force"
effervescence,n. the process of bubbling as gas escapes
efficacy,n. capacity or power to produce a desired effect
effigy,n. a representation of a person (especially in the form of sculpture)
effrontery,n audacious (even arrogant) behavior that you have no right to
effusive,s. extravagantly demonstrative
egoism,"n. (ethics) the theory that the pursuit of your own welfare in the basis of morality
n. concern for your own interests and welfare"
egotistical,"s characteristic of those having an inflated idea of their own importance
s characteristic of false pride; having an exaggerated sense of self-importance"
egregious,s conspicuously and outrageously bad or reprehensible
egress,"n. (astronomy) the reappearance of a celestial body after an eclipse
n. the act of coming (or going) out; becoming apparent"
ejaculation,"n. an abrupt emphatic exclamation expressing emotion
n. the discharge of semen in males"
elaboration,n. developing in intricate and painstaking detail
elated,"a. exultantly proud and joyful; in high spirits
s. full of high-spirited delight"
elegy,n. a mournful poem; a lament for the dead
elicit,v. derive by reason
elixir,"n. a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
n. a substance believed to cure all ills"
ellipsis,n. omission or suppression of parts of words or sentences
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
eloquence,n. powerful and effective language
elucidate,"v make clear and (more) comprehensible
v make free from confusion or ambiguity; make clear"
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
emaciated,"v cause to grow thin or weak
v grow weak and thin or waste away physically
s very thin especially from disease or hunger or cold"
emanate,"v. proceed or issue forth, as from a source"
emancipate,v. give equal rights to; of women and minorities
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
embellish,"v add details to
v be beautiful to look at
v make more attractive by adding ornament, colour, etc.
v make more beautiful"
embezzlement,n. the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
embroider,"v. decorate with needlework
v. add details to"
embroil,"v. force into some kind of situation, condition, or course of action"
embryonic,"s. of an organism prior to birth or hatching
s. in an early stage of development"
emendation,n. a correction by emending; a correction resulting from critical editing
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
emissary,n. someone sent on a mission to represent the interests of someone else
emollient,"n toiletry consisting of any of various substances in the form of a thick liquid that have a soothing and moisturizing effect when applied to the skin
s having a softening or soothing effect especially to the skin"
empathy,n. understanding and entering into another's feelings
empirical,a. derived from experiment and observation rather than theory
emulate,"v. strive to equal or match, especially by imitating
v. imitate the function of (another system), as by modifying the hardware or the software
v. compete with successfully; approach or reach equality with"
enamored,s. marked by foolish or unreasoning fondness
encipher,v convert ordinary language into code
enclave,n. an enclosed territory that is culturally distinct from the foreign territory that surrounds it
encomium,n. a formal expression of praise
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
encroachment,"n any entry into an area not previously occupied
n entry to another's property without right or permission
n influencing strongly"
encumber,v hold back
endearment,n. the act of showing affection
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
endorse,v. sign as evidence of legal transfer
enduring,s. patiently bearing continual wrongs or trouble
energize,"v cause to be alert and energetic
v raise to a higher energy level"
enervate,v. weaken mentally or morally
enfranchise,v. grant voting rights
engage,"v. ask to represent; of legal counsel
v. get caught
v. carry on (wars, battles, or campaigns)
v. hire for work or assistance"
engaging,s. attracting or delighting
engender,v. call forth
engross,"v devote (oneself) fully to
v consume all of one's attention or time"
enhance,"v. increase
v. make better or more attractive"
enigma,"n something that baffles understanding and cannot be explained
n a difficult problem"
enigmatic,"s. not clear to the understanding
s. resembling an oracle in obscurity of thought"
enmity,"n a state of deep-seated ill-will
n the feeling of a hostile person"
ennui,n the feeling of being bored by something tedious
enormity,"n. vastness of size or extent
n. the quality of extreme wickedness
n. an act of extreme wickedness"
enrapture,v hold spellbound
ensconce,v. fix firmly
ensemble,"n. a group of musicians playing or singing together
n. a cast other than the principals
n. an assemblage of parts or details (as in a work of art) considered as forming a whole
n. a coordinated outfit (set of clothing)"
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
enthrall,v hold spellbound
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
entitlement,n. right granted by law or contract (especially a right to benefits)
entity,n. that which is perceived or known or inferred to have its own distinct existence (living or nonliving)
entomology,n. the branch of zoology that studies insects
entourage,n the group following and attending to some important person
entrance,"n. something that provides access (to get in or get out)
n. a movement into or inward
n. the act of entering
v. put into a trance"
entreat,v ask for or request earnestly
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
enumerate,v. specify individually
enunciate,"v speak, pronounce, or utter in a certain way
v express or state clearly"
eon,"n. the longest division of geological time
n. an immeasurably long period of time
n. (Gnosticism) a divine power or nature emanating from the Supreme Being and playing various roles in the operation of the universe"
ephemeral,s. lasting a very short time
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
epicure,n. a person devoted to refined sensuous enjoyment (especially good food and drink)
epigram,n. a witty saying
epilogue,"n. a short speech (often in verse) addressed directly to the audience by an actor at the end of a play
n. a short passage added at the end of a literary work"
episodic,"s. of writing or narration; divided into or composed of episodes
s. occurring or appearing at usually irregular intervals
s. limited in duration to a single episode"
epistolary,s. written in the form of or carried on by letters or correspondence
epitaph,"n. an inscription on a tombstone or monument in memory of the person buried there
n. a summary statement of commemoration for a dead person"
epithet,n. descriptive word or phrase
epitome,n. a brief abstract (as of an article or book)
epoch,"n. (astronomy) an arbitrarily fixed date that is the point in time relative to which information (as coordinates of a celestial body) is recorded
n. a unit of geological time that is a subdivision of a period and is itself divided into ages"
equable,"s. not varying
s. not easily irritated"
equanimity,n steadiness of mind under stress
equestrian,"a. of or relating to or composed of knights
a. of or relating to or featuring horseback riding"
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
equine,"n. hoofed mammals having slender legs and a flat coat with a narrow mane along the back of the neck
a. resembling a horse
a. of or belonging to the family Equidae"
equinox,n. either of two times of the year when the sun crosses the plane of the earth's equator and day and night are of equal length
equitable,a. fair to all parties as dictated by reason and conscience
equity,"n. the difference between the market value of a property and the claims held against it
n. the ownership interest of shareholders in a corporation"
equivocal,"a. open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
s. open to question
s. uncertain as a sign or indication"
equivocate,v be deliberately ambiguous or unclear in order to mislead or withhold information
