coda,n the closing section of a musical composition
genial,a. of or relating to the chin or median part of the lower jaw
congenial,"a. suitable to your needs
s. (used of plants) capable of cross-fertilization or of being grafted"
menial,n. a domestic servant
venial,"s warranting only temporal punishment
s easily excused or forgiven"
imperial,"n. a small tufted beard worn by Emperor Napoleon III
n. a piece of luggage carried on top of a coach
a. relating to or associated with an empire
a. of or belonging to the British Imperial System of weights and measures"
immaterial,"a. of no importance or relevance especially to a law case
a. not consisting of matter
s. (often followed by `to') lacking importance; not mattering one way or the other"
immemorial,s. long past; beyond the limits of memory or tradition or recorded history
sartorial,"a. of or relating to the sartorius muscle
a. of or relating to a tailor or to tailoring"
mercurial,"a. relating to or under the (astrological) influence of the planet Mercury
a. relating to or having characteristics (eloquence, shrewdness, swiftness, thievishness) attributed to the god Mercury
a. relating to or containing or caused by mercury"
ambrosial,"s. extremely pleasing to the taste; sweet and fragrant
s. worthy of the gods"
palatial,"a. relating to or being a palace
s. suitable for or like a palace"
substantial,"s. having a firm basis in reality and being therefore important, meaningful, or considerable
a. having substance or capable of being treated as fact; not imaginary"
providential,"a. relating to or characteristic of providence
s. resulting from divine providence"
torrential,"a. relating to or resulting from the action of a torrent
s. resembling a torrent in force and abundance
s. pouring in abundance"
inconsequential,s. not following logically as a consequence
partial,"s. being or affecting only a part; not total
a. showing favoritism"
trivial,s. concerned with trivialities
jovial,s full of or showing high-spirited merriment
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
cataclysmal,s. severely destructive
banal,s. repeated too often; overfamiliar through overuse
phenomenal,"a. of or relating to a phenomenon
s. exceedingly or unbelievably great"
venal,s capable of being corrupted
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
cardinal,"n. (Roman Catholic Church) one of a group of more than 100 prominent bishops in the Sacred College who advise the Pope and elect new Popes
n. a variable color averaging a vivid red
n. crested thick-billed North American finch having bright red plumage in the male
s. serving as an essential component"
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
marginal,s. producing at a rate that barely covers production costs
seminal,a. pertaining to or containing or consisting of semen
subliminal,s. below the threshold of conscious perception
nominal,"a. relating to or constituting or bearing or giving a name
s. insignificantly small; a matter of form only (`tokenish' is informal)
a. pertaining to a noun or to a word group that functions as a noun
a. of, relating to, or characteristic of an amount that is not adjusted for inflation"
provisional,s under terms not final or fully worked out or agreed upon
rational,"a. consistent with or based on or using reason
a. capable of being expressed as a quotient of integers
s. having its source in or being guided by the intellect (as distinguished from experience or emotion)"
conditional,"s. qualified by reservations
a. imposing or depending on or containing a condition"
exceptional,s. deviating widely from a norm of physical or mental ability; used especially of children below normal in intelligence
carnal,a. of or relating to the body or flesh
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
diurnal,"a. of or belonging to or active during the day
s. having a daily cycle or occurring every day"
nocturnal,"a. belonging to or active during the night
a. of or relating to or occurring in the night"
shoal,"n. a sandbank in a stretch of water that is visible at low tide
n. a stretch of shallow water"
liberal,"n. a person who favors a political philosophy of progress and reform and the protection of civil liberties
n. a person who favors an economic theory of laissez-faire and self-regulating markets
s. having political or social views favoring reform and progress
a. tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
feral,s. wild and menacing
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
ephemeral,s. lasting a very short time
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
sepulchral,a. of or relating to a sepulchre
temporal,"s. not eternal
a. of or relating to or limited by time
a. of or relating to the temples (the sides of the skull behind the orbit)
s. of this earth or world"
preternatural,s. surpassing the ordinary or normal
rehearsal,"n. a practice session in preparation for a public performance (as of a play or speech or concert)
n. (psychology) a form of practice; repetition of information (silently or aloud) in order to keep it in short-term memory"
colossal,s. so great in size or force or extent as to elicit awe
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
pivotal,s. being of crucial importance
distal,"a. situated farthest from point of attachment or origin, as of a limb or bone
a. directed away from the midline or mesial plane of the body"
residual,"n. (often plural) a payment that is made to a performer or writer or director of a television show or commercial that is paid for every repeat showing
a. relating to or indicating a remainder"
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
coeval,"n a person of nearly the same age as another
s of the same period"
avowal,n. a statement asserting the existence or the truth of something
peel,"n. British politician (1788-1850)
n. the rind of a fruit or vegetable"
reel,"n. a roll of photographic film holding a series of frames to be projected by a movie projector
n. music composed for dancing a reel
n. winder consisting of a revolving spool with a handle; attached to a fishing rod
n. a lively dance of Scottish Highlanders; marked by circular moves and gliding steps"
genteel,s marked by refinement in taste and manners
yokel,n. a person who is not very intelligent or interested in culture
enamel,"n. hard white substance covering the crown of a tooth
n. a colored glassy compound (opaque or partially opaque) that is fused to the surface of metal or glass or pottery for decoration or protection
n. a paint that dries to a hard glossy finish
n. any smooth glossy coating that resembles ceramic glaze"
channel,"n. a path over which electrical signals can pass
n. a passage for water (or other fluids) to flow through
n. a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels
n. (often plural) a means of communication or access"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
mongrel,"n derogatory term for a variation that is not genuine; something irregular or inferior or of dubious origin
n an inferior dog or one of mixed breed"
wastrel,n. someone who dissipates resources self-indulgently
sequel,"n. something that follows something else
n. a part added to a book or play that continues and extends it"
ravel,"n. French composer and exponent of Impressionism (1875-1937)
v. disentangle
v. tangle or complicate"
revel,"n. unrestrained merrymaking
v. celebrate noisily, often indulging in drinking; engage in uproarious festivities"
drivel,"n. a worthless message
v. let saliva drivel from the mouth"
novel,"n. an extended fictional work in prose; usually in the form of a story
n. a printed and bound book that is an extended work of fiction
s. pleasantly new or different"
grovel,v show submission or fear
marvel,v. express astonishment or surprise about something
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
rail,"n. short for railway
n. a horizontal bar (usually of wood or metal)
n. any of numerous widely distributed small wading birds of the family Rallidae having short wings and very long toes for running on soft mud
v. complain bitterly"
frail,"n. the weight of a frail (basket) full of raisins or figs; between 50 and 75 pounds
n. a basket for holding dried fruit (especially raisins or figs)
a. physically weak"
assail,v. attack someone physically or emotionally
entail,"n. land received by fee tail
n. the act of entailing property; the creation of a fee tail from a fee simple
v. have as a logical consequence
v. impose, involve, or imply as a necessary accompaniment or result"
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
quail,"n. flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
n. small gallinaceous game birds"
travail,"n concluding state of pregnancy; from the onset of contractions to the birth of a child
n use of physical or mental energy; hard work
v work hard"
countervail,"v compensate for or counterbalance
v oppose and mitigate the effects of by contrary actions"
nil,n a quantity of no importance
recoil,"n. the backward jerk of a gun when it is fired
n. a movement back from an impact"
foil,"n. a piece of thin and flexible sheet metal
n. anything that serves by contrast to call attention to another thing's good qualities
n. picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector
n. a light slender flexible sword tipped by a button"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
roil,v. make turbid by stirring up the sediments of
cavil,v. raise trivial objections
daredevil,"n. a reckless impetuous irresponsible person
s. presumptuously daring"
windfall,n. fruit that has fallen from the tree
pitfall,n. an unforeseen or unexpected or surprising difficulty
gall,"n. a skin sore caused by chafing
n. abnormal swelling of plant tissue caused by insects or microorganisms or injury
v. irritate or vex"
pall,"n. burial garment in which a corpse is wrapped
v. become less interesting or attractive
v. cover with a pall
v. cause to become flat"
appall,"v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised"
enthrall,v hold spellbound
forestall,"v keep from happening or arising; make impossible
v act in advance of; deal with ahead of time"
squall,"n. sudden violent winds; often accompanied by precipitation
v. make high-pitched, whiney noises
v. blow in a squall"
stonewall,"v. obstruct or hinder any discussion
v. engage in delaying tactics or refuse to cooperate"
quell,v. overcome or allay
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
distill,"v. undergo the process of distillation
v. extract by the process of distillation
v. give off (a liquid)"
instill,"v. impart gradually
v. enter drop by drop"
loll,"v hang loosely or laxly
v be lazy or idle"
gull,"n. mostly white aquatic bird having long pointed wings and short legs
v. fool or hoax"
lull,"n. a period of calm weather
v. calm by deception
v. become quiet or less intensive"
idyll,n. an episode of such pastoral or romantic charm as to qualify as the subject of a poetic idyll
gambol,"n gay or light-hearted recreational activity for diversion or amusement
v play boisterously"
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
extol,"v praise, glorify, or honor"
snarl,"n. a vicious angry growl
n. an angry vicious expression
v. make a snarling noise or move with a snarling noise
v. make more complicated or confused through entanglements"
caterwaul,n. the yowling sound made by a cat in heat
resourceful,s. having inner resources; adroit or imaginative
baleful,"s. deadly or sinister
s. threatening or foreshadowing evil or tragic developments"
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
fanciful,"s. indulging in or influenced by fancy
s. not based on fact; unreal
s. having a curiously intricate quality"
willful,s. done by design
mournful,s. expressing sorrow
fretful,s. habitually complaining
fitful,"s. occurring in spells and often abruptly
s. intermittently stopping and starting"
wistful,s showing pensive sadness
playful,a. full of fun and high spirits
annul,"v declare invalid
v cancel officially"
scrawl,"n poor handwriting
v write carelessly"
drawl,"n. a slow speech pattern with prolonged vowels
v. lengthen and slow down or draw out"
sprawl,"n. an ungainly posture with arms and legs spread about
v. sit or lie with one's limbs spread out
v. go, come, or spread in a rambling or irregular way"
scowl,v. frown with displeasure
prowl,"n. the act of prowling (walking about in a stealthy manner)
v. move about in or as if in a predatory manner
v. loiter about, with no apparent aim"
gleam,"n. an appearance of reflected light
n. a flash of light (especially reflected light)
v. shine brightly, like a star or a light
v. appear briefly"
ream,"n. a large quantity of written matter
n. a quantity of paper; 480 or 500 sheets; one ream equals 20 quires
v. squeeze the juice out (of a fruit) with a reamer
v. remove by making a hole or by boring"
sham,"n something that is a counterfeit; not what it seems to be
n a person who makes deceitful pretenses
v make a pretence of
v make believe with the intent to deceive
s adopted in order to deceive"
epigram,n. a witty saying
redeem,"v. restore the honor or worth of
v. to turn in (vouchers or coupons) and receive something in exchange
v. pay off (loans or promissory notes)
v. convert into cash; of commercial papers"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
stratagem,"n a maneuver in a game or conversation
n an elaborate or deceitful scheme contrived to deceive or evade"
paradigm,"n. systematic arrangement of all the inflected forms of a word
n. the generally accepted perspective of a particular discipline at a given time"
acclaim,"n. enthusiastic approval
v. praise vociferously"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
brim,"n. the top edge of a vessel or other container
n. a circular projection that sticks outward from the crown of a hat
v. be completely full
v. fill as much as possible"
interim,"n. the time between one event, process, or period and another
s. serving during an intermediate interval of time"
verbatim,r. using exactly the same words
vim,"n a healthy capacity for vigorous activity
n an imaginative lively style (especially style of writing)"
balm,n. any of various aromatic resinous substances used for healing and soothing
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
fathom,"n. a linear unit of measurement (equal to 6 feet) for water depth
n. (mining) a unit of volume (equal to 6 cubic feet) used in measuring bodies of ore
v. measure the depth of (a body of water) with a sounding line"
venom,"n. toxin secreted by animals; secreted by certain snakes and poisonous insects (e.g., spiders and scorpions)"
doom,"n. an unpleasant or disastrous destiny
v. make certain of the failure or destruction of"
maelstrom,n a powerful circular current of water (usually the result of conflicting tides)
accustom,v make psychologically or physically used (to something)
disarm,"v. remove offensive capability from
v. make less hostile; win over
v. take away the weapons from; render harmless"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
infirm,"s. lacking firmness of will or character or purpose; give me the daggers"" - Shakespeare"
conform,"v. be similar, be in line with"
sarcasm,n. witty language used to convey insults or scorn
chasm,n. a deep opening in the earth's surface
syllogism,n. deductive reasoning in which a conclusion is derived from two premises
schism,"n. division of a group into opposing factions
n. the formal separation of a church into two churches or the withdrawal of one group over doctrinal differences"
sophism,n. a deliberately invalid argument displaying ingenuity in reasoning in the hope of deceiving someone
teetotalism,n abstaining from alcohol
euphemism,n. an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
sectarianism,n. a narrow-minded adherence to a particular sect or party or denomination
hedonism,"n. the pursuit of pleasure as a matter of ethical principle
n. an ethical system that evaluates the pursuit of pleasure as the highest good"
anachronism,"n. something located at a time when it could not have existed or occurred
n. an artifact that belongs to another time
n. a person who seems to be displaced in time; who belongs to another age"
aphorism,n. a short pithy instructive saying
favoritism,n. an inclination to favor some person or group
truism,n. an obvious truth
altruism,n. the quality of unselfish concern for the welfare of others
cronyism,n. favoritism shown to friends and associates (as by appointing them to positions without regard for their qualifications)
paroxysm,n. a sudden uncontrollable attack
modicum,n. a small or moderate or token amount
compendium,n. a concise but comprehensive summary of a larger work
odium,n. state of disgrace resulting from detestable behavior
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
encomium,n. a formal expression of praise
pandemonium,n a state of extreme confusion and disorder
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
delirium,n. a usually brief state of excitement and mental confusion often accompanied by hallucinations
moratorium,"n. a legally authorized postponement before some obligation must be discharged
n. suspension of an ongoing activity"
effluvium,n. a foul-smelling outflow or vapor (especially a gaseous waste)
asylum,"n a shelter from danger or hardship
n a hospital for mentally incompetent or unbalanced person"
interregnum,"n. the time between two reigns, governments, etc."
humdrum,"s. tediously repetitious or lacking in variety; all work and no play"""
conundrum,n a difficult problem
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
tantrum,n a display of bad temper
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
pseudonym,n. a fictitious name used when the person performs a particular social role
paean,n. (ancient Greece) a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity)
glean,"v gather, as of natural products"
mean,"n. an average of n numbers computed by adding some function of the numbers and dividing by some function of n
v. mean or intend to express or convey
v. denote or connote
v. have a specified degree of importance"
protean,s. taking on different forms
patrician,"n. a person of refined upbringing and manners
s. befitting a person of noble origin"
quotidian,s found in the ordinary course of events
guardian,n a person who cares for persons or property
plebeian,n. one of the common people
stygian,s. hellish
bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
draconian,a. of or relating to Draco or his harsh code of laws
sectarian,"n. a member of a sect
a. of or relating to or characteristic of a sect or sects
a. belonging to or characteristic of a sect"
egalitarian,n. a person who believes in the equality of all people
stentorian,s used of the voice
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
antediluvian,"n. any of the early patriarchs who lived prior to the Noachian deluge
a. of or relating to the period before the biblical flood
s. so extremely old as seeming to belong to an earlier period"
clan,n group of people related by blood or marriage
pan,"n. cooking utensil consisting of a wide metal vessel
n. (Greek mythology) god of fields and woods and shepherds and flocks; represented as a man with goat's legs and horns and ears; identified with Roman Sylvanus or Faunus
n. shallow container made of metal
n. chimpanzees; more closely related to Australopithecus than to other pongids"
deadpan,"s. deliberately impassive in manner
r. without betraying any feeling"
veteran,"n. a serviceman who has seen considerable active service
n. a person who has served in the armed forces
n. an experienced person who has been through many battles; someone who has given long service"
diocesan,"n. a bishop having jurisdiction over a diocese
a. belonging to or governing a diocese"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
charlatan,n a flamboyant deceiver; one who attracts customers with tricks or jokes
cosmopolitan,"n. a sophisticated person who has travelled in many countries
a. growing or occurring in many parts of the world
a. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
s. of worldwide scope or applicability"
spartan,"n. a resident of Sparta
a. of or relating to or characteristic of Sparta or its people
s. resolute in the face of pain or danger or adversity"
gargantuan,s of great mass; huge and bulky
wan,"v. become pale and sickly
s. lacking vitality as from weariness or illness or unhappiness"
sodden,s. wet through and through; thoroughly wet
embolden,v give encouragement to
beholden,s. under a moral obligation to someone
spleen,n. a large dark-red oval organ on the left side of the body between the stomach and the diaphragm; produces cells involved in immune responses
careen,v. move sideways or in an unsteady way
screen,"n. a white or silvered surface where pictures can be projected for viewing
n. the display that is electronically created on the surface of the large end of a cathode-ray tube
n. a covering that serves to conceal or shelter something
n. a protective covering consisting of netting; can be mounted in a frame"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
preen,"v. clean with one's bill
v. pride or congratulate (oneself) for an achievement
v. dress or groom with elaborate care"
ken,"n range of what one can know or understand
n the range of vision"
liken,"v consider or describe as similar, equal, or analogous"
hearken,v listen; used mostly in the imperative
crestfallen,s brought low in spirit
sullen,"s showing a brooding ill humor
s darkened by clouds"
regimen,n. (medicine) a systematic plan for therapy (often including diet)
acumen,n. a tapering point
ripen,"v. cause to ripen or develop fully
v. grow ripe"
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
barren,"n. an uninhabited wilderness that is worthless for cultivation
s. not bearing offspring
s. completely wanting or lacking"
moth-eaten,"s. showing signs of wear and tear
s. worn or eaten away by (or as if by) moths"
enlighten,"v. make understand
v. give spiritual insight to; in religion"
hearten,v give encouragement to
dishearten,v. take away the enthusiasm of
hasten,"v act or move at high speed
v move fast
v speed up the progress of; facilitate
v cause to occur rapidly"
glisten,"n the quality of shining with a bright reflected light
v be shiny, as if wet"
hard-bitten,s. tough and callous by virtue of experience
leaven,"n. a substance used to produce fermentation in dough or a liquid
n. an influence that works subtly to lighten or modify something"
haven,n. a shelter serving as a place of safety or sanctuary
maven,n someone who is dazzlingly skilled in any field
craven,s. lacking even the rudiments of courage; abjectly fearful
doyen,n a man who is the senior member of a group
brazen,"v. face with defiance or impudence
a. made of or resembling brass (as in color or hardness)"
wizen,s lean and wrinkled by shrinkage as from age or illness
cozen,"v. act with artful deceit
v. cheat or trick"
condign,s. fitting or appropriate and deserved; used especially of punishment
deign,v do something that one considers to be below one's dignity
feign,v. make believe with the intent to deceive
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
align,"v. place in a line or arrange so as to be parallel or straight
v. be or come into adjustment with
v. align oneself with a group or a way of thinking
v. bring (components or parts) into proper or desirable coordination correlation"
malign,a. evil or harmful in nature or influence
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
resign,v. accept as inevitable
consign,"v. commit forever; commit irrevocably
v. give over to another for care or safekeeping
v. send to an address"
impugn,v. attack as false or wrong
disdain,"n lack of respect accompanied by a feeling of intense dislike
n a communication that indicates lack of respect by patronizing the recipient
v look down on with disdain
v reject with contempt"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
constrain,"v hold back
v restrict"
detain,"v deprive of freedom; take into confinement
v stop or halt
v cause to be slowed down or delayed"
pertain,v. be a part or attribute of
abstain,"v. refrain from voting
v. choose not to consume"
distain,"v. t. To tinge with a different color from the natural or
   proper one; to stain; to discolor; to sully; to tarnish; to defile; --
   used chiefly in poetry."
rein,"n. one of a pair of long straps (usually connected to the bit or the headpiece) used to control a horse
n. any means of control
v. stop or slow up one's horse or oneself by or as if by pulling the reins
v. stop or check by or as if by a pull at the reins"
maudlin,s effusively or insincerely emotional
purloin,v make off with belongings of others
grin,"v. to draw back the lips and reveal the teeth, in a smile, grimace, or snarl"
chagrin,n. strong feelings of embarrassment
damn,"n. something of little value
s. used as expletives"
condemn,"v. express strong disapproval of
v. declare or judge unfit for use or habitation
v. compel or force into a particular state or activity
v. demonstrate the guilt of (someone)"
hymn,"n. a song of praise (to God or to a saint or to a nation)
v. sing a hymn
v. praise by singing a hymn"
don,"n. a Spanish gentleman or nobleman
n. the head of an organized crime family
n. Celtic goddess; mother of Gwydion and Arianrhod; corresponds to Irish Danu"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
curmudgeon,n. a crusty irascible cantankerous old person full of stubborn ideas
burgeon,v. grow and flourish
chameleon,"n. a changeable or inconstant person
n. lizard of Africa and Madagascar able to change skin color and having a projectile tongue"
paragon,n. an ideal instance; a perfect embodiment of a concept
jargon,n. specialized technical terminology characteristic of a particular subject
legion,"n. association of ex-servicemen
n. a large military unit"
rapscallion,"n a deceitful and unreliable scoundrel
n one who is playfully mischievous"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
clarion,"n. a medieval brass instrument with a clear shrill tone
v. blow the clarion
v. proclaim on, or as if on, a clarion"
revision,"n. the act of revising or altering (involving reconsideration and modification)
n. the act of rewriting something"
convulsion,"n. violent uncontrollable contractions of muscles
n. a violent disturbance
n. a physical disturbance such as an earthquake or upheaval"
apprehension,"n. fearful expectation or anticipation
n. painful expectation
n. the act of apprehending (especially apprehending a criminal)"
misapprehension,n an understanding of something that is not correct
dissension,"n disagreement among those expected to cooperate
n a conflict of people's opinions or actions or characters"
aspersion,"n. a disparaging remark
n. an abusive attack on a person's character or good name
n. the act of sprinkling water in baptism (rare)"
incursion,"n. the act of entering some territory or domain (often in large numbers)
n. the mistake of incurring liability or blame"
scission,n. the act of dividing by cutting or splitting
profusion,n. the property of being extremely abundant
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
approbation,"n. official approval
n. official recognition or approval"
nullification,"n. the states'-rights doctrine that a state can refuse to recognize or to enforce a federal law passed by the United States Congress
n. the act of nullifying; making null and void; counteracting or overriding the effect or force of something"
ramification,n. an arrangement of branching parts
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
trepidation,n. a feeling of alarm or dread
negation,"n. a negative statement; a statement that is a refusal or denial of some other statement
n. the speech act of negating
n. (logic) a proposition that is true if and only if another proposition is false"
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
ratiocination,n. logical and methodical reasoning
hallucination,"n. illusory perception; a common symptom of severe mental disorder
n. an object perceived during a hallucinatory episode"
machination,n a crafty and involved plot to achieve your (usually sinister) ends
disinclination,n. that toward which you are inclined to feel dislike
divination,"n. successful conjecture by unusual insight or good luck
n. the art or gift of prophecy (or the pretense of prophecy) by supernatural means"
coronation,n. the ceremony of installing a new monarch
consternation,n fear resulting from the awareness of danger
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
conflagration,n. a very intense and uncontrolled fire
deterioration,"n. a symptom of reduced quality or strength
n. process of changing to an inferior state"
ministration,n assistance in time of difficulty
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
cessation,n. a stopping
affectation,n. a deliberate pretense or exaggerated display
imitation,"n. the doctrine that representations of nature or human behavior should be accurate imitations
n. something copied or derived from an original
n. copying (or trying to copy) the actions of someone else"
precipitation,"n. the quantity of water falling to earth at a specific place within a specified period of time
n. the process of forming a chemical precipitate
n. the falling to earth of any form of water (rain or snow or hail or sleet or mist)"
palpitation,n. a rapid and irregular heart beat
incantation,n. a ritual recitation of words or sounds believed to have a magical effect
deportation,n. the expulsion from a country of an undesirable alien
salutation,n. word of greeting used to begin a letter
privation,"n. a state of extreme poverty
n. act of depriving someone of food or money or rights"
deprivation,"n a state of extreme poverty
n the disadvantage that results from losing something
n act of depriving someone of food or money or rights"
faction,n. a dissenting clique
infraction,n a crime less serious than a felony
predilection,n. a predisposition in favor of something
valediction,"n. a farewell oration (especially one delivered during graduation exercises by an outstanding member of a graduating class)
n. the act of saying farewell"
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
friction,"n. the resistance encountered when one body is moved in contact with another
n. effort expended in moving one object over another with pressure"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
sanction,"n. formal and explicit approval
n. a mechanism of social control for enforcing a society's standards
n. the act of final authorization
v. give authority or permission to"
compunction,n. a feeling of deep regret (usually for some misdeed)
discretion,"n. freedom to act or judge on one's own
n. knowing how to avoid embarrassment or distress
n. the trait of judging wisely and objectively"
demolition,n. the act of demolishing
volition,"n. the capability of conscious choice and decision and intention
n. the act of making a choice"
apparition,"n. a ghostly appearing figure
n. the appearance of a ghostlike figure
n. something existing in perception only"
disquisition,n. an elaborate analytical or explanatory essay or discussion
supposition,n. the cognitive process of supposing
petition,v. write a petition for something to somebody; request formally and in writing
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
convention,"n. a large formal assembly
n. something regarded as a normative example
n. (diplomacy) an international agreement
n. the act of convening"
commotion,n. the act of making a noisy disturbance
inception,n an event that is a beginning; a first part or stage of subsequent events
prescription,"n. directions prescribed beforehand; the action of prescribing authoritative rules or directions
n. written instructions for an optician on the lenses for a given person
n. written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
a. available only with a doctor's written prescription"
retribution,"n. a justly deserved penalty
n. the act of correcting for your wrongdoing"
prosecution,"n. the institution and conduct of legal proceedings against a defendant for criminal behavior
n. the lawyers acting for the state to put the case against the defendant"
circumlocution,"n. a style that involves indirect ways of expressing things
n. an indirect way of expressing something"
restitution,"n. the act of restoring something to its original state
n. getting something back again"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
sermon,"n. an address of a religious nature (usually delivered during a church service)
n. a moralistic rebuke"
canon,"n. a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
n. a priest who is a member of a cathedral chapter
n. a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts
n. a complete list of saints that have been recognized by the Roman Catholic Church"
boon,s. very close and convivial
tycoon,n a very wealthy or powerful businessman
