coda,n the closing section of a musical composition
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
nostalgia,n. longing for something past
mania,"n. an irrational but irresistible motive for a belief or action
n. a mood disorder; an affective disorder in which the victim tends to respond excessively and sometimes violently"
cornucopia,"n a goat's horn filled with grain and flowers and fruit symbolizing prosperity
n the property of being extremely abundant"
euphoria,n. a feeling of great (usually exaggerated) elation
sequela,n. any abnormality following or resulting from a disease or injury or treatment
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
enigma,"n something that baffles understanding and cannot be explained
n a difficult problem"
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
coma,"n. a state of deep and often prolonged unconsciousness; usually the result of disease or injury
n. (botany) a usually terminal tuft of bracts (as in the pineapple) or tuft of hairs (especially on certain seeds)
n. (astronomy) the luminous cloud of particles surrounding the frozen nucleus of a comet; forms as the comet approaches the sun and is warmed"
charisma,n. a personal attractiveness or interestingness that enables you to influence others
nirvana,n. (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
stamina,n. enduring strength and energy
patina,n. a fine coating of oxide on the surface of a metal
chimera,"n. (Greek mythology) fire-breathing female monster with a lion's head and a goat's body and a serpent's tail; daughter of Typhon
n. a grotesque product of the imagination"
plethora,n extreme excess
bravura,n. brilliant and showy technical skill
quota,"n. a prescribed number
n. a proportional share assigned to each participant
n. a limitation on imports"
drab,"s. lacking in liveliness or charm or surprise
s. lacking brightness or color; dull"
ad-lib,"n. remark made spontaneously without prior preparation
s. with little or no preparation or forethought
s. said or done without having been planned or written in advance"
glib,"s. marked by lack of intellectual depth
s. having only superficial plausibility
s. artfully persuasive in speech"
succumb,v. be fatally overwhelmed
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
numb,"v. make numb or insensitive
s. so frightened as to be unable to move; stunned or paralyzed with terror; petrified"
barb,"n. the pointed part of barbed wire
n. a subsidiary point facing opposite from the main point that makes an arrowhead or spear hard to remove
n. one of the parallel filaments projecting from the main shaft of a feather"
snub,"n. a refusal to recognize someone you know
s. unusually short"
archaic,s. little evolved from or characteristic of an earlier ancestral type
mosaic,"n. art consisting of a design made of small pieces of colored stone or glass
n. viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
n. a freeware browser
n. a pattern resembling a mosaic"
prosaic,"s not fanciful or imaginative
s lacking wit or imagination
s not challenging; dull and lacking excitement"
acerbic,"s sour or bitter in taste
s harsh or corrosive in tone"
cherubic,s having a sweet nature befitting an angel or cherub
sporadic,a. recurring in scattered and irregular or unpredictable instances
encyclopedic,s. broad in scope or content
episodic,"s. of writing or narration; divided into or composed of episodes
s. occurring or appearing at usually irregular intervals
s. limited in duration to a single episode"
soporific,"n. a drug that induces sleep
s. sleep inducing"
lethargic,a. deficient in alertness or activity
synergic,none
chic,"n. elegance by virtue of being fashionable
s. elegant and stylish"
hagiographic,none
monolithic,s. characterized by massiveness and rigidity and total uniformity
diabolic,"s showing the cunning or ingenuity or wickedness typical of a devil
s extremely evil or cruel; expressive of cruelty or befitting hell"
catholic,"n. a member of a Catholic church
a. of or relating to or supporting Catholicism
s. free from provincial prejudices or attachments"
vitriolic,"s harsh or corrosive in tone
s of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
panoramic,s as from an altitude or distance
pandemic,"n. an epidemic that is geographically widespread; occurring throughout a region or even throughout the world
s. epidemic over a wide geographical area
s. existing everywhere"
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
polemic,"n. a controversy (especially over a belief or dogma)
s. of or involving dispute or controversy"
anemic,"s. lacking vigor or energy
a. relating to anemia or suffering from anemia"
arrhythmic,"s. lacking a steady rhythm
s. without regard for rhythm"
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
anthropogenic,a of or relating to the study of the origins and development of human beings
laconic,"s brief and to the point; effectively cut short; `yes'"""
histrionic,s. characteristic of acting or a stage performance; often affected
chronic,"a. being long-lasting and recurrent or characterized by long suffering
s. of long duration
s. habitual"
tonic,"n. lime- or lemon-flavored carbonated water containing quinine
n. (music) the first note of a diatonic scale
n. a medicine that strengthens and invigorates
a. of or relating to or producing normal tone or tonus in muscles or tissue"
embryonic,"s. of an organism prior to birth or hatching
s. in an early stage of development"
runic,a. relating to or consisting of runes
cynic,"n. someone who is critical of the motives of others
n. a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
stoic,"n. a member of the ancient Greek school of philosophy founded by Zeno
n. someone who is seemingly indifferent to emotions
s. seeming unaffected by pleasure or pain; impassive"
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
philanthropic,a. of or relating to or characterized by philanthropy
misanthropic,s. hating mankind in general
myopic,"a unable to see distant objects clearly
s lacking foresight or scope"
choleric,"s. easily moved to anger
s. quickly aroused to anger
s. characterized by anger"
mesmeric,s attracting and holding interest as if by a spell
generic,"n. a wine that is a blend of several varieties of grapes with no one grape predominating; a wine that does not carry the name of any specific grape
n. any product that can be sold without a brand name
a. relating to or common to or descriptive of all members of a genus
s. (of drugs) not protected by trademark"
esoteric,a. confined to and understandable by only an enlightened inner circle
meteoric,"a. pertaining to or consisting of meteors or meteoroids
s. like a meteor in speed or brilliance or transience"
eccentric,"n. a person with an unusual or odd personality
a. not having a common center; not concentric"
panegyric,"n a formal expression of praise
s formally expressing praise"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
intrinsic,"a. belonging to a thing by its very nature
s. situated within or belonging solely to the organ or body part on which it acts"
dramatic,"a. suitable to or characteristic of drama
s. sensational in appearance or thrilling in effect
a. pertaining to or characteristic of drama
a. used of a singer or singing voice that is marked by power and expressiveness and a histrionic or theatrical style"
melodramatic,s. having the excitement and emotional appeal of melodrama
pragmatic,a. of or concerning the theory of pragmatism
phlegmatic,s. showing little emotion
dogmatic,"s. characterized by assertion of unproved or unprovable principles
a. of or pertaining to or characteristic of a doctrine or code of beliefs accepted as authoritative
a. relating to or involving dogma"
axiomatic,"s. evident without proof or argument
a. containing aphorisms or maxims
a. of or relating to or derived from axioms"
diplomatic,"a. relating to or characteristic of diplomacy
a. using or marked by tact in dealing with sensitive matters or people"
chromatic,"a. able to refract light without spectral color separation
a. based on a scale consisting of 12 semitones
a. being or having or characterized by hue"
monochromatic,"a. of or relating to monochromatism
a. (of light or other electromagnetic radiation) having only one wavelength
s. having or appearing to have only one color"
somatic,s affecting or characteristic of the body as opposed to the mind or spirit
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
traumatic,"a. of or relating to a physical injury or wound to the body
s. psychologically painful;"
fanatic,"n. a person motivated by irrational enthusiasm (as for a cause)
s. marked by excessive enthusiasm for and intense devotion to a cause or idea"
bureaucratic,a. of or relating to or resembling a bureaucrat or bureaucracy
erratic,"s. liable to sudden unpredictable change
s. having no fixed course
s. likely to perform unpredictably; sometimes it would start and sometimes it wouldn't"""
static,"n. a crackling or hissing noise caused by electrical interference
n. angry criticism
s. showing little if any change"
didactic,s. instructive (especially excessively)
eclectic,"n. someone who selects according to the eclectic method
s. selecting what seems best of various styles or ideas"
apoplectic,a. pertaining to or characteristic of apoplexy
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
prophetic,a. foretelling events as if by supernatural intervention
bathetic,s. effusively or insincerely emotional
anesthetic,"n. a drug that causes temporary loss of bodily sensations
s. characterized by insensibility"
hermetic,s. completely sealed; completely airtight
peripatetic,"n. a person who walks from place to place
s. traveling especially on foot"
politic,"a. marked by artful prudence, expedience, and shrewdness
s. smoothly agreeable and courteous with a degree of sophistication"
antic,"n. a ludicrous or grotesque act done for fun and amusement
s. ludicrously odd"
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
authentic,"s. conforming to fact and therefore worthy of belief
s. not counterfeit or copied"
demotic,"n. a simplified cursive form of the ancient hieratic script
a. of or written in or belonging to the form of modern Greek based on colloquial use
s. of or for the common people"
hypnotic,"a. of or relating to hypnosis
s. attracting and holding interest as if by a spell"
despotic,"a. belonging to or having the characteristics of a despot
s. ruled by or characteristic of a despot"
exotic,s. strikingly strange or unusual
quixotic,s. not sensible about practical matters; idealistic and unrealistic
dyspeptic,"n. a person suffering from indigestion
s. suffering from dyspepsia"
septic,"a. containing or resulting from disease-causing organisms
a. of or relating to or caused by putrefaction"
aseptic,s. free of or using methods to keep free of pathological microorganisms
apocalyptic,"s. prophetic of devastation or ultimate doom
a. of or relating to an apocalypse"
cryptic,"s. of an obscure nature
s. having a puzzling terseness"
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
majestic,s. majestic in manner or bearing; superior to mundane matters
pessimistic,a. expecting the worst possible outcome
chauvinistic,"a. of or relating to persons convinced of the superiority of their own gender or kind
s. fanatically patriotic"
egoistic,a. limited to or caring only about yourself and your own needs
narcissistic,s characteristic of those having an inflated idea of their own importance
caustic,"n. any chemical substance that burns or destroys living tissue
s. of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
rustic,n. an unsophisticated country person
therapeutic,a. relating to or involved in therapy
ad hoc,none
havoc,n. violent and needless disturbance
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
proofread,v. read for errors
fad,n. an interest followed with exaggerated zeal
