alter,"v. make an alteration to
v. remove the ovaries of"
agricultural,a. relating to or used in or promoting agriculture or farming
bleed,"v. draw blood
v. get or extort (money or other possessions) from someone
v. drain of liquid or steam"
heavily,"r. to a considerable degree
r. in a heavy-footed manner
r. with great force
r. in a manner designed for heavy duty"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
maid,"n. a female domestic
n. an unmarried girl (especially a virgin)"
blush,"n. sudden reddening of the face (as from embarrassment or guilt or shame or modesty)
v. turn red, as if in embarrassment or shame
v. become rosy or reddish"
collapse,"n. an abrupt failure of function or complete physical exhaustion
n. a natural event caused by something suddenly falling down or caving in
v. break down, literally or metaphorically
v. fold or close up"
villager,n. one who has lived in a village most of their life
hundreds of ...,none
empire,"n. the domain ruled by an emperor or empress; the region over which imperial dominion is exercised
n. a group of countries under a single authority
n. a monarchy with an emperor as head of state
n. an eating apple that somewhat resembles a McIntosh; used as both an eating and a cooking apple"
consist,"v. have its essential character; be comprised or contained in; be embodied in
v. be consistent in form, tenor, or character; be congruous
v. be composed of"
Roman,"n. a resident of modern Rome
n. an inhabitant of the ancient Roman Empire
n. a typeface used in ancient Roman inscriptions"
decay,"n. the process of gradually becoming inferior
n. a gradual decrease; as of stored charge or current
n. the organic phenomenon of rotting
n. an inferior state resulting from the process of decaying"
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
differ,v. be different
liberal,"n. a person who favors a political philosophy of progress and reform and the protection of civil liberties
n. a person who favors an economic theory of laissez-faire and self-regulating markets
s. having political or social views favoring reform and progress
a. tolerant of change; not bound by authoritarianism, orthodoxy, or tradition"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
nearby,"s. close at hand
r. not far away in relative terms"
shortly,"r. for a short time
r. at a short distance"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
for another three years,none
popularity,n. the quality of being widely admired or accepted or sought after
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
fasten,"v. cause to be firmly attached
v. become fixed or fastened
v. attach to"
urgent,s compelling immediate action
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
wilderness,"n. (politics) a state of disfavor
n. a wooded region in northeastern Virginia near Spotsylvania where bloody but inconclusive battles were fought in the American Civil War
n. a wild and uninhabited area left in its natural condition
n. a bewildering profusion"
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
heal,v. get healthy again
cattle,n. domesticated bovine animals as a group regardless of sex or age
multiply,"v. combine by multiplication
v. combine or increase by multiplication
r. in several ways; in a multiple manner"
interior,"a. situated within or suitable for inside a building
s. inside and toward a center
s. of or coming from the middle of a region or country"
resemble,v. appear like; be similar or bear a likeness to
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
make a living,none
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
youthful,s. suggestive of youth; vigorous and fresh
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
youngster,n a young person of either sex
scatter,"n. a haphazard distribution in all directions
n. the act of scattering
v. distribute loosely
v. sow by scattering"
hiding,n. the state of being hidden
in search of,none
hostess,"n. a woman host
n. a woman innkeeper"
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
starve,"v. be hungry; go without food
v. die of food deprivation
v. deprive of food
v. deprive of a necessity and cause suffering"
disaster,n. an act that has disastrous consequences
detective,"n. a police officer who investigates crimes
n. an investigator engaged or employed in obtaining information not easily available to the public"
vanish,"v. become invisible or unnoticeable
v. cease to exist
v. decrease rapidly and disappear"
criticism,"n. disapproval expressed by pointing out faults or shortcomings
n. a serious examination and judgment of something
n. a written evaluation of a work of literature"
obviously,r. unmistakably (`plain' is often used informally for `plainly')
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
frankly,r (used as intensives reflecting the speaker's attitude) it is sincerely the case that
investment,"n. money that is invested with an expectation of profit
n. the commitment of something other than money (time, energy, or effort) to a project with the expectation of some worthwhile result
n. outer layer or covering of an organ or part or organism
n. the act of putting on robes or vestments"
weaken,"v. lessen the strength of
v. become weaker"
harvest,"n. the consequence of an effort or activity
n. the gathering of a ripened crop
n. the season for gathering crops
v. remove from a culture or a living or dead body, as for the purposes of transplantation"
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
accuse,v. bring an accusation against; level a charge against
liar,n. a person who has lied or who lies repeatedly
remarkable,s. unusual or striking
amaze,v. affect with wonder
amuse,"v. occupy in an agreeable, entertaining or pleasant fashion
v. make (somebody) laugh"
elderly,"n people who are old collectively
s advanced in years; (`aged' is pronounced as two syllables)"
nursing,"n. the work of caring for the sick or injured or infirm
n. the profession of a nurse
n. nourishing at the breast"
apologize,"v. acknowledge faults or shortcomings or failing
v. defend, explain, clear away, or make excuses for by reasoning"
unkind,a. lacking kindness
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
mistress,"n. an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man
n. a woman master who directs the work of others"
messenger,n. a person who carries a message
assure,"v. inform positively and with certainty and confidence
v. assure somebody of the truth of something with the intention of giving the listener confidence"
betray,"v. reveal unintentionally
v. deliver to an enemy by treachery"
unlikely,a. has little chance of being the case or coming about
achievement,n the action of accomplishing something
constantly,"r. without variation or change, in every case
r. without interruption"
bother,"v. intrude or enter uninvited
v. make nervous or agitated
v. make confused or perplexed or puzzled"
cheat,"n. a deception for profit to yourself
v. deprive somebody of something by deceit
v. defeat someone through trickery or deceit
v. engage in deceitful behavior; practice trickery or fraud"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
honesty,"n. the quality of being honest
n. southeastern European plant cultivated for its fragrant purplish flowers and round flat papery silver-white seedpods that are used for indoor decoration"
exam,n a set of questions or exercises evaluating skill or knowledge
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
departure,n. the act of departing
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
crossing,"n. traveling across
n. a point where two lines (paths or arcs etc.) intersect
n. a path (often marked) where something (as a street or railroad) can be crossed to get from one side to the other
n. a voyage across a body of water (usually across the Atlantic Ocean)"
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
