fourteenth,"n. position 14 in a countable series of things
s. coming next after the thirteenth in position"
season,"n. a period of the year marked by special events or activities in some field
n. one of the natural periods into which the year is divided by the equinoxes and solstices or atmospheric conditions
n. a recurrent time marked by major holidays
v. lend flavor to"
dentist,n. a person qualified to practice dentistry
worth,"n. an indefinite quantity of something having a specified value
n. the quality that renders something desirable or valuable or useful
n. French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)
s. having a specified value"
blood,"n. the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets
n. temperament or disposition
n. people viewed as members of a group
v. smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill"
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
area,"n. a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
n. a subject of study
n. a part of an animal that has a special function or is supplied by a given artery or nerve
n. a part of a structure having some specific characteristic or function"
lend,"v. bestow a quality on
v. give temporarily; let have for a limited time
v. have certain characteristics of qualities for something; be open or vulnerable to"
tourist,n. someone who travels for pleasure
uncomfortable,"a. conducive to or feeling mental discomfort
a. providing or experiencing physical discomfort"
scientist,n. a person with advanced knowledge of one or more sciences
mile,"n. a unit of length equal to 1,760 yards or 5,280 feet; exactly 1609.344 meters
n. a large distance
n. an ancient Roman unit of length equivalent to 1620 yards
n. a Swedish unit of length equivalent to 10 km"
example,"n. an item of information that is typical of a class or group
n. punishment intended as a warning to others"
aim,"n. the goal intended to be attained (and which is believed to be attainable)
n. the action of directing something at an object
v. point or cause to go (blows, weapons, or objects such as photographic equipment) towards
v. propose or intend"
see,"n. the seat within a bishop's diocese where his cathedral is located
v. perceive by sight or have the power to perceive by sight
v. deem to be
v. be careful or certain to do something; make certain of something"
chew,"n. a wad of something chewable as tobacco
n. biting and grinding food in your mouth so it becomes soft enough to swallow
v. chew (food); to bite and grind with the teeth"
reply,n. the speech act of continuing a conversational exchange
achieve,v. to gain with effort
die,"n. a small cube with 1 to 6 spots on the six faces; used in gambling to generate random numbers
n. a device used for shaping metal
n. a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods
v. pass from physical life and lose all bodily attributes and functions necessary to sustain life"
fresh,"a. recently made, produced, or harvested
s. (of a cycle) beginning or occurring again
s. original and of a kind not seen before
a. not canned or otherwise preserved"
top,"n. the upper part of anything
n. the highest or uppermost side of anything
n. the first half of an inning; while the visiting team is at bat
n. the greatest possible intensity"
nothing,"n. a quantity of no importance
r. in no respect; to no degree"
boss,"n. a person responsible for hiring workers
n. a person who exercises control and makes decisions
s. exceptionally good"
depend,v. be contingent upon (something that is elided)
silent,"s. marked by absence of sound
s. implied by or inferred from actions or statements
s. not made to sound
s. having a frequency below or above the range of human audibility"
honor,"n. the state of being honored
n. the quality of being honorable and having a good name
n. a woman's virtue or chastity"
rude,"s socially incorrect in behavior
s (of persons) lacking in refinement or grace
a lacking civility or good manners
s (used especially of commodities) being unprocessed or manufactured using only simple or minimal processes
s belonging to an early stage of technical development; characterized by simplicity and (often) crudeness"
thief,n. a criminal who takes property belonging to someone else with the intention of keeping it or selling it
junk,n. any of various Chinese boats with a high poop and lugsails
weight,"n. the vertical force exerted by a mass as a result of gravity
n. sports equipment used in calisthenic exercises and weightlifting; it is not attached to anything and is raised and lowered by use of the hands and arms
n. the relative importance granted to something
n. an artifact that is heavy"
think,"n. an instance of deliberate thinking
v. judge or regard; look upon; judge
v. expect, believe, or suppose
v. use or exercise the mind or one's power of reason in order to make inferences, decisions, or arrive at a solution or judgments"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
captain,"n. an officer holding a rank below a major but above a lieutenant
n. the naval officer in command of a military ship
n. a policeman in charge of a precinct
n. the leader of a group of people"
brave,"n. a North American Indian warrior
n. people who are brave
a. possessing or displaying courage; able to face and deal with danger or fear without flinching
s. brightly colored and showy"
still,"n. a static photograph (especially one taken from a movie and used for advertising purposes)
n. an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed
v. lessen the intensity of or calm
v. make motionless"
hang,"n. the way a garment hangs
n. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms
v. be suspended or hanging
v. cause to be hanging or suspended"
happen,"v. come to pass
v. happen, occur, or be the case in the course of events or by chance
v. chance to be or do something, without intention or causation
v. come into being; become reality"
sixteen,"n. the cardinal number that is the sum of fifteen and one
s. being one more than fifteen"
thirteenth,"n. position 13 in a countable series of things
s. coming next after the twelfth in position"
heaven,n. the abode of God and the angels
empty,"n. a container that has been emptied
v. make void or empty of contents
v. become empty or void of its content
v. remove"
neither,s. not either; not one or the other
sky,n. the atmosphere and outer space as viewed from the earth
toward,"prep. Alt. of Towards
adv. Alt. of Towards
prep. Approaching; coming near.
prep. Readly to do or learn; compliant with duty; not froward;
   apt; docile; tractable; as, a toward youth.
prep. Ready to act; forward; bold; valiant."
towards,"prep. In the direction of; to.
prep. With direction to, in a moral sense; with respect or
   reference to; regarding; concerning.
prep. Tending to; in the direction of; in behalf of.
prep. Near; about; approaching to.
adv. Near; at hand; in state of preparation.
prep. & adv. See Toward."
