looter,n someone who takes spoils or plunder (as in war)
worsening,"n. changing something with the result that it becomes worse
a. changing for the worse"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
veiled,"a. having or as if having a veil or concealing cover
s. muted or unclear"
anonymously,r. without giving a name
tad,n. a slight amount or degree of difference
parenthood,n. the state of being a parent
scribe,"n. French playwright (1791-1861)
n. informal terms for journalists
v. score a line on with a pointed instrument, as in metalworking"
chauffeur,n. a man paid to drive a privately owned car
hospitable,"a. favorable to life and growth
a. disposed to treat guests and strangers with cordiality and generosity
s. having an open mind"
brawl,"n. a noisy fight in a crowd
v. to quarrel noisily, angrily or disruptively"
smite,"v. inflict a heavy blow on, with the hand, a tool, or a weapon
v. affect suddenly with deep feeling"
chi-square,none
Federalist,"n. a member of a former political party in the United States that favored a strong centralized federal government
n. an advocate of federalism"
booking,n. the act of reserving (a place or passage) or engaging the services of (a person or group)
hateful,"a. evoking or deserving hatred
s. characterized by malice"
reigning,"v have sovereign power
v be larger in number, quantity, power, status or importance
s exercising power or authority"
adrift,"s. aimlessly drifting
s. afloat on the surface of a body of water
r. floating freely; not anchored
r. off course, wandering aimlessly"
passer,"n. a person who passes as a member of a different ethnic or racial group
n. a student who passes an examination
n. (football) a ball carrier who tries to gain ground by throwing a forward pass"
backlog,"n. an accumulation of jobs not done or materials not processed that are yet to be dealt with (especially unfilled customer orders for products or services)
n. the large log at the back of a hearth fire
v. accumulate and create a backlog"
self-portrait,n. a portrait of yourself created by yourself
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
virulent,a. infectious; having the ability to cause disease
subterranean,"s. being or operating under the surface of the earth
s. lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed)"
meld,v. announce for a score; of cards in a card game
nationalistic,"s fanatically patriotic
s devotion to the interests or culture of a particular nation including promoting the interests of one country over those of others"
trailing,n. the pursuit (of a person or animal) by following tracks or marks they left behind
daycare,n. childcare during the day while parents work
prompt,"n. a cue given to a performer (usually the beginning of the next line to be spoken)
n. (computer science) a symbol that appears on the computer screen to indicate that the computer is ready to receive a command
v. serve as the inciting cause of
v. assist (somebody acting or reciting) by suggesting the next words of something forgotten or imperfectly learned"
revitalization,n bringing again into activity and prominence
choreography,"n. the representation of dancing by symbols as music is represented by notes
n. a notation used by choreographers"
tingle,v. cause a stinging or tingling sensation
switching,"n the act of changing one thing or position for another
v change over, change around, as to a new order or sequence
v exchange or give (something) in exchange for
v lay aside, abandon, or leave for another
v make a shift in or exchange of; then we switched""
v cause to go on or to be engaged or set in operation
v flog with or as if with a flexible rod
v reverse (a direction, attitude, or course of action)"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
dung,"v. fertilize or dress with dung
v. defecate; used of animals"
forsake,v leave someone who needs or counts on you; leave in the lurch
mozzarella,n. mild white Italian cheese
drumming,n. the act of playing drums
harmonic,"n. a tone that is a component of a complex sound
n. any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental
a. of or relating to harmony as distinct from melody and rhythm
a. of or relating to harmonics"
brood,"n. the young of an animal cared for at one time
v. think moodily or anxiously about something
v. hang over, as of something threatening, dark, or menacing
v. sit on (eggs)"
sound,"n. the particular auditory effect produced by a given cause
n. the subjective sensation of hearing something
n. mechanical vibrations transmitted by an elastic medium
n. the sudden occurrence of an audible event"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
punishing,a. resulting in punishment
parched,s. toasted or roasted slightly
causality,n. the relation between causes and effects
woody,"a. made of or containing or resembling wood
s. made hard like wood as the result of the deposition of lignin in the cell walls"
eyeglass,n lens for correcting defective vision in one eye; held in place by facial muscles
