campus,n. a field on which the buildings of a university are situated
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
mattress,"n. a large thick pad filled with resilient material and often incorporating coiled springs, used as a bed or part of a bed"
heartbeat,n. an animating or vital unifying force
literally,"r. in a literal sense
r. (intensifier before a figurative expression) without exaggeration"
suburban,a. relating to or characteristic of or situated in suburbs
transition,"n. a change from one place or state or subject or stage to another
n. a musical passage moving from one key to another
n. a passage that connects a topic to one that follows
v. cause to convert or undergo a transition"
self,"n. your consciousness of your own identity
n. a person considered as a unique individual
a. (used as a combining form) relating to--of or by or to or from or for--the self"
complex,"n. a conceptual whole made up of complicated and related parts
n. a compound described in terms of the central atom to which other atoms are bound or coordinated
n. (psychoanalysis) a combination of emotions and impulses that have been rejected from awareness but still influence a person's behavior
a. complicated in structure; consisting of interconnected parts"
brand-new,s. conspicuously new
disconnect,"v. make disconnected, disjoin or unfasten"
boulevard,n a wide street or thoroughfare
kindergarten,n. a preschool for children age 4 to 6 to prepare them for primary school
reconcile,v. come to terms
versus,"prep. Against; as, John Doe versus Richard Roe; -- chiefly
   used in legal language, and abbreviated to v. or vs."
sensation,"n. an unelaborated elementary awareness of stimulation
n. a general feeling of excitement and heightened interest
n. a state of widespread public excitement and interest"
uproot,"v. move (people) forcibly from their homeland into a new and foreign environment
v. destroy completely, as if down to the roots
v. pull up by or as if by the roots"
drift,"n. a force that moves something along
n. the gradual departure from an intended course due to external influences (as a ship or plane)
n. a process of linguistic change over a period of time
n. a large mass of material that is heaped up by the wind or by water currents"
lack,n. the state of needing something that is absent or unavailable
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
foothold,n. a place providing support for the foot in standing or climbing
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
rhythm,"n. the basic rhythmic unit in a piece of music
n. recurring at regular intervals
n. the arrangement of spoken words alternating stressed and unstressed elements"
constant,"n. a quantity that does not vary
n. a number representing a quantity assumed to have a fixed value in a specified mathematical context
a. steadfast in purpose or devotion or affection"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
originally,r. in an original manner
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
autonomy,"n. immunity from arbitrary exercise of authority: political independence
n. personal independence"
generally,r. without distinction of one from others
eventual,s. expected to follow in the indefinite future from causes already operating
blossom,v. develop or come to a promising stage
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
drop away,none
stand out,none
back and forth,none
bridge the gap,none
come to terms with sth.,none
day in and day out,none
settle down,none
dive,"n. a headlong plunge into water
n. a steep nose-down descent by an aircraft
v. drop steeply
v. plunge into water"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
chore,n a specific piece of work required to be done as a duty or for a specific fee
cope,"n. a long cloak; worn by a priest or bishop on ceremonial occasions
v. come to terms with"
deny,"v. declare untrue; contradict
v. refuse to accept or believe
v. refuse to grant, as of a petition or request
v. refuse to let have"
complexity,n. the quality of being intricate and compounded
meaningful,a. having a meaning or purpose
adapt,"v. make fit for, or change to suit a new purpose"
dorm,n a college or university building containing living quarters for students
