a bit, 3d sing. pres. of Abide.
a bit of,none
a chorus of,none
a collection of,none
a couple of,none
a dozen,none
a few,none
a good deal,none
a great deal,none
a good deal of,none
a great deal of,none
a good many,none
a great many,none
a group of,none
a handful of,none
a kind of,none
a large amount of,none
a little,none
a lot of,none
lots of,none
a mass of,none
masses of,none
a matter of,none
a number of,none
a pair of,none
a piece of,none
a quantity of,none
a range of,none
a sequence of,none
a series of,none
a variety of,none
a waste of,none
abandon oneself to,none
abide by,none
above all,none
according to,none
account for,none
accuse ... of,none
across the world,none
act a part,none
act the part,none
act as,none
act on,"n. A stuffed jacket worn under the mail, or (later) a jacket
   plated with mail."
act upon,none
adapt to,none
add in,n. a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities
add to,none
add up,none
adjust to,none
admit doing sth.,none
after a while,none
after all,none
after you,none
again and again,none
against sb.'s will,none
agree on,none
agree upon,none
agree to,none
agree with,none
ahead of,none
aim at,none
all alone,none
all but,none
all day,none
all in all,none
all kinds of,none
all of a sudden,none
all one's life,none
all over,s covering the entire surface
all right,none
all round,s many-sided
all sorts of,none
all the best,none
all the same,none
all the time,none
all the way,none
all year round,none
all the year round,none
all through,none
all together,none
allow for,none
allow in,none
along with,none
and so on,none
answer back,none
answer for,none
anything but,none
apart from,none
apologize to sb. for sth.,none
apologize to sb. for doing sth.,none
appeal against,none
appeal to,none
apply for,none
apply to,none
appoint as,none
approve of,none
argue with sb. about sth.,none
arise from,none
arm in arm,none
around the corner,none
arrange for,none
arrive at,none
arrive in,none
as a consequence,none
as a matter of fact,none
as a result,none
as a result of,none
as a rule,none
as a general rule,none
as a whole,none
as ... as possible,none
as far as,none
so far as,none
as follows,none
as for,none
as if,none
as though,none
as long as,none
so long as,none
as many as,none
as regards,none
as soon as,none
as to,none
as usual,none
as well,none
as well as,none
aside from,none
ask for,none
ask for leave,none
at a discount,none
at a distance,none
at a loss,none
at a low price,none
at a time,none
at all,none
at all costs,none
at an end,none
at any rate,none
at birth,none
at ease,none
at one's ease,none
at first,none
at first sight,none
at hand,none
at home,none
at last,none
at least,none
at length,none
at most,none
at the most,none
at no time,none
at once,none
at one time,none
at one's best,none
at one's own pace,none
at present,none
at random,none
at risk,none
at sb.'s convenience,none
at sb.'s expense,none
at sb.'s service,none
at table,none
at the age of,none
at the beginning of,none
at the bottom of,none
at the end of,none
at the foot of,none
at the latest,none
at the mercy of,none
at the moment,none
at the same time,none
at the sight of,none
at the start of,none
at the thought of,none
at the top of,none
at times,none
at war,none
at work,none
attach to,none
attempt to do,none
attend to,none
attitude to,none
attitude towards,none
attribute ... to,none
attract the attention of ...,none
avoid sth.,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
avoid doing sth.,none
awake to,none
back and forth,none
back away,none
back out,none
back up,"n. an accumulation caused by clogging or a stoppage
n. (computer science) a copy of a file or directory on a separate storage device"
badly off,none
bargain with sb. for sth.,none
base ... on,none
be able to,none
be about to,none
be absorbed in,none
be abundant in,none
be accustomed to,none
be addicted to,none
become addicted to,none
be admitted to,none
be admitted into,none
be afraid,none
be angry with,none
be anxious about,none
be ashamed of,none
be associated with,none
be aware of,none
be bad at,none
be bad for,none
be based on,none
be bent on,none
be blessed with,none
be bored with,none
be born into,none
be bound to,none
be busy with sth.,none
be busy doing sth.,none
be capable of,none
be caught in,none
be caught up in,none
be close to,none
be concerned about,none
be confined to,none
be connected with,none
be considered as,none
