wonderful,s extraordinarily good or great; used especially as intensifiers
get down to,none
moment,"n. a particular point in time
n. an indefinitely short time
n. a turning force produced by an object acting at a distance (or a measure of that force)
n. the n-th moment of a distribution is the expected value of the n-th power of the deviations from a fixed value"
dull,"v. make dull in appearance
v. become dull or lusterless in appearance; lose shine or brightness
v. make dull or blunt
v. make less lively or vigorous"
delight,"n. a feeling of extreme pleasure or satisfaction
v. take delight in"
prosaic,"s not fanciful or imaginative
s lacking wit or imagination
s not challenging; dull and lacking excitement"
remember,"v. recall knowledge from memory; have a recollection
v. keep in mind for attention or consideration
v. recapture the past; indulge in memories
v. show appreciation to"
appreciate,"v. recognize with gratitude; be grateful for
v. be fully aware of; realize fully
v. gain in value
v. increase the value of"
thoroughly,"r. in an exhaustive manner
r. completely and absolutely (`good' is sometimes used informally for `thoroughly')"
hospitality,n kindness in welcoming guests or strangers
elsewhere,r. in or to another place
kindness,"n. the quality of being warmhearted and considerate and humane and sympathetic
n. a kind act"
weekend,"n. a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
v. spend the weekend"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
perfect,"v. make perfect or complete
a. being complete of its kind and without defect or blemish
s. precisely accurate or exact"
fortunate,"a. having unexpected good fortune
s. supremely favored
s. presaging good fortune"
weather,"n. the atmospheric conditions that comprise the state of the atmosphere in terms of temperature and wind and clouds and precipitation
v. face and withstand with courage
v. cause to slope
v. sail to the windward of"
indeed,"r. in truth (often tends to intensify)
r. (used as an interjection) an expression of surprise or skepticism or irony etc."
company,"n. an institution created to conduct business
n. small military unit; usually two or three platoons
n. the state of being with someone
n. organization of performers and associated personnel (especially theatrical)"
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
surroundings,"n the environmental condition
n the area in which something exists or lives
v extend on all sides of simultaneously; encircle
v envelop completely
v surround so as to force to give up
v surround with a wall in order to fortify"
charming,"s. pleasing or delighting
s. possessing or using or characteristic of or appropriate to supernatural powers"
no wonder,none
reciprocate,"v. act, feel, or give mutually or in return
v. alternate the direction of motion of"
on behalf of,none
be available for,none
language,"n. a systematic means of communicating by the use of sounds or conventional symbols
n. the mental faculty or power of vocal communication"
campus,n. a field on which the buildings of a university are situated
cordially,r in a hearty manner
January,n. the first month of the year; begins 10 days after the winter solstice
invite,"n. a colloquial expression for invitation
v. increase the likelihood of
v. invite someone to one's house
v. ask someone in a friendly way to do something"
allocate,v. distribute according to a plan or set apart for a special purpose
lecture,"n. a speech that is open to the public
n. a lengthy rebuke
n. teaching by giving a discourse on some subject (typically to a class)
v. deliver a lecture or talk"
question and answer session,none
leading,"s. indicating the most important performer or role
s. greatest in importance or degree or significance or achievement
a. going or proceeding or going in advance; showing the way"
expert,n. a person with special knowledge or ability who performs skillfully
reply,n. the speech act of continuing a conversational exchange
inspire,"v. heighten or intensify
v. supply the inspiration for"
express,"n. mail that is distributed by a rapid and efficient system
n. public transport consisting of a fast train or bus that makes only a few scheduled stops
n. rapid transport of goods
v. give expression to"
clean up,n. (baseball) the fourth position in the batting order (usually filled by the best batter on the team)
dissatisfaction,n. the feeling of being displeased and discontent
similarly,r. in like or similar manner
vacation,"n. leisure time away from work devoted to rest or pleasure
n. the act of making something legally void
v. spend or take a vacation"
disappointing,s. not up to expectations
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
extremely,r. to an extreme degree
