affection,n. a positive feeling of liking
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
clasp,"n. a fastener (as a buckle or hook) that is used to hold two things together
n. the act of grasping
v. hold firmly and tightly
v. grasp firmly"
conspicuous,a. obvious to the eye or mind
contribute,"v. contribute to some cause
v. be conducive to"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
eloquent,"s. expressing yourself readily, clearly, effectively"
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
ferry,"n. a boat that transports people or vehicles across a body of water and operates on a regular schedule
n. transport by boat or aircraft
v. transport from one place to another
v. transport by ferry"
immigrant,n. a person who comes to a country where they were not born in order to settle there
lofty,"s of high moral or intellectual value; elevated in nature or style
s of imposing height; especially standing out above others
s having or displaying great dignity or nobility"
pedestal,"n. a position of great esteem (and supposed superiority)
n. an architectural support or base (as for a column or statue)"
persecute,v. cause to suffer
poverty,n. the state of having little or no money and few or no material possessions
unveil,"v. remove the veil from
v. remove the cover from"
arrogant,s. having or showing feelings of unwarranted importance out of overbearing pride
boycott,"n. a group's refusal to have commercial dealings with some organization in protest against its policies
v. refuse to sponsor; refuse to do business with"
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
ceremony,"n. a formal event performed on a special occasion
n. any activity that is performed in an especially solemn elaborate or formal way
n. the proper or conventional behavior on some solemn occasion"
custody,n. holding by the police
degrade,"v. reduce the level of land, as by erosion
v. lower the grade of something; reduce its worth"
detain,"v deprive of freedom; take into confinement
v stop or halt
v cause to be slowed down or delayed"
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
integrate,"v. make into a whole or make part of a whole
v. become one; become integrated
v. calculate the integral of; calculate by integration"
segregate,"n. someone who is or has been segregated
v. separate by race or religion; practice a policy of racial segregation
v. divide from the main body or mass and collect"
supreme,"s. final or last in your life or progress
s. highest in excellence or achievement
s. greatest or maximal in degree; extreme"
triumph,n. the exultation of victory
vacate,"v. leave (a job, post, or position) voluntarily
v. leave behind empty; move out of"
verdict,n. (law) the findings of a jury on issues of fact submitted to it for decision; can be used in formulating a judgment
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
abundant,a. present in great quantity
arid,"s. lacking sufficient water or rainfall
s. lacking vitality or spirit; lifeless"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
graze,"n. a superficial abrasion
n. the act of grazing
v. break the skin (of a body part) by scraping
v. scrape gently"
hectic,s marked by intense agitation or emotion
horde,"n. a vast multitude
n. a nomadic community"
humid,s. containing or characterized by a great deal of water vapor
incredible,a. beyond belief or understanding
inhabit,v. be present in
peninsula,n. a large mass of land projecting into a body of water
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
sanctuary,n. a consecrated place where sacred objects are kept
splendor,"n a quality that outshines the usual
n the quality of being magnificent or splendid or grand"
squalor,n sordid dirtiness
terrain,n. a piece of ground having specific characteristics or military potential
aloft,"r. at or on or to the masthead or upper rigging of a ship
r. upward
r. at or to great height; high up in or into the air
r. in the higher atmosphere above the earth"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
elude,"v. escape, either physically or mentally
v. be incomprehensible to; escape understanding by"
flammable,s. easily ignited
hover,"v. be undecided about something; waver between conflicting positions or courses of action
v. move to and fro
v. hang in the air; fly or be suspended above"
inflate,"v. exaggerate or make bigger
v. fill with gas or air
v. cause prices to rise by increasing the available currency or credit
v. increase the amount or availability of, creating a rise in value"
jeopardy,n a source of danger; a possibility of incurring loss or misfortune
moor,"n. one of the Muslim people of north Africa; of mixed Arab and Berber descent; converted to Islam in the 8th century; conqueror of Spain in the 8th century
n. open land usually with peaty soil covered with heather and bracken and moss
v. secure in or as if in a berth or dock
v. come into or dock at a wharf"
plummet,v. drop sharply
pollute,v. make impure
propel,v. cause to move forward with force
stationary,"s. standing still
s. not capable of being moved"
superb,s. surpassingly good
swivel,n. a coupling (as in a chain) that has one end that turns on a headed pin
antic,"n. a ludicrous or grotesque act done for fun and amusement
s. ludicrously odd"
attire,n. clothing of a distinctive style or for a particular occasion
captivate,v attract; cause to be enamored
deft,s. skillful in physical movements; especially of the hands
diligent,"s. quietly and steadily persevering especially in detail or exactness
a. characterized by care and perseverance in carrying out tasks"
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
evolve,"v. work out
v. undergo development or evolution"
innate,"a not established by conditioning or learning
s being talented through inherited qualities
s present at birth but not necessarily hereditary; acquired during fetal development"
inscribe,"v. draw within a figure so as to touch in as many places as possible
v. write, engrave, or print as a lasting record
v. address, (a work of literature) in a style less formal than a dedication"
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
shroud,"n. a line that suspends the harness from the canopy of a parachute
v. cover as if with a shroud
v. form a cover like a shroud
v. wrap in a shroud"
stifle,"n. joint between the femur and tibia in a quadruped; corresponds to the human knee
v. smother or suppress"
tentative,"s under terms not final or fully worked out or agreed upon
s unsettled in mind or opinion"
tranquil,"s (of a body of water) free from disturbance by heavy waves
s not agitated; without losing self-possession"
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
apparel,n. clothing in general
