textbook,n. a book prepared for use in schools or colleges
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
aloud,r. using the voice; not silently
pronunciation,"n. the manner in which someone utters a word
n. the way a word or a language is customarily spoken"
sentence,"n. a string of words satisfying the grammatical rules of a language
v. pronounce a sentence on (somebody) in a court of law"
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
discover,"v. make a discovery, make a new finding
v. make a discovery
v. see for the first time; make a discovery"
secret,"n. something that should remain hidden from others (especially information that is not to be passed on)
n. information known only to a special group
s. not open or public; kept private or not revealed
s. communicated covertly"
look up,n an operation that determines whether one or more of a set of items has a specified property
grammar,n. the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)
repeat,"n. an event that repeats
v. to say, state, or perform again
v. to say again or imitate
v. do over"
note,"n. a brief written record
n. a short personal letter
n. a notation representing the pitch and duration of a musical sound
n. a tone of voice that shows what the speaker is feeling"
pal,v. become friends; act friendly towards
physics,"n. the science of matter and energy and their interactions
n. the physical properties, phenomena, and laws of something"
chemistry,"n. the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
n. the chemical composition and properties of a substance or object
n. the way two individuals relate to each other"
memorize,v. commit to memory; learn by heart
pattern,"n. a model considered worthy of imitation
v. form a pattern"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
increase,"n. a change resulting in an increase
n. a process of becoming larger or longer or more numerous or more important
n. the amount by which something increases
n. the act of increasing something"
speed,"n. distance travelled per unit time
n. a rate (usually rapid) at which something happens
n. changing location rapidly
v. travel at an excessive or illegal velocity"
partner,"n. a person who is a member of a partnership
v. provide with a partner
v. act as a partner"
born,"n. British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
a. brought into existence"
be born with,none
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
