excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
adrift,"s. aimlessly drifting
s. afloat on the surface of a body of water
r. floating freely; not anchored
r. off course, wandering aimlessly"
outburst,"n. a sudden intense happening
n. a sudden violent disturbance"
barometer,n. an instrument that measures atmospheric pressure
rubble,n the remains of something that has been destroyed or broken up
eternal,"s continuing forever or indefinitely
s tiresomely long; seemingly without end"
demise,v. transfer by a lease or by a will
imperative,"n. some duty that is essential and urgent
a. requiring attention or action
a. relating to verbs in the imperative mood"
glacier,n. a slowly moving mass of ice
clergy,"n. in Christianity, clergymen collectively (as distinguished from the laity)"
gutter,"n. a channel along the eaves or on the roof; collects and carries away rainwater
n. misfortune resulting in lost effort or money
n. a worker who guts things (fish or buildings or cars etc.)
n. a tool for gutting fish"
aftermath,n. the consequences of an event (especially a catastrophic event)
boulder,"n. a large smooth mass of rock detached from its place of origin
n. a town in north central Colorado; Rocky Mountains resort center and university town"
eviction,"n. action by a landlord that compels a tenant to leave the premises (as by rendering the premises unfit for occupancy); no physical expulsion or legal process is involved
n. the expulsion of someone (such as a tenant) from the possession of land by process of law"
regress,"n. the reasoning involved when you assume the conclusion is true and reason backward to the evidence
v. go back to a statistical means
v. get worse or fall back to a previous condition"
antiquity,"n. the historic period preceding the Middle Ages in Europe
n. an artifact surviving from the past"
drain,"n. emptying something accomplished by allowing liquid to run out of it
n. tube inserted into a body cavity (as during surgery) to remove unwanted material
n. a pipe through which liquid is carried away
n. a gradual depletion of energy or resources"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
manipulate,"v. influence or control shrewdly or deviously
v. hold something in one's hands and move it
v. control (others or oneself) or influence skillfully, usually to one's advantage
v. treat manually, as with massage, for therapeutic purposed"
ragged,"s. being or dressed in clothes that are worn or torn
s. worn out from stress or strain
s. having an irregular outline"
manifest,"n. a customs document listing the contents put on a ship or plane
v. record in a ship's manifest
v. reveal its presence or make an appearance"
etiquette,n. rules governing socially acceptable behavior
tribute,"n. something given or done as an expression of esteem
n. payment by one nation for protection by another"
distribution,"n. (statistics) an arrangement of values of a variable showing their observed or theoretical frequency of occurrence
n. the spatial or geographic property of being scattered about over a range, area, or volume
n. the act of distributing or spreading or apportioning
n. the commercial activity of transporting and selling goods from a producer to a consumer"
surveillance,n. close observation of a person or group (usually by the police)
terrorist,n. a radical who employs terror as a political weapon; usually organizes with other terrorists in small cells; often uses religion as a cover for terrorist activities
Kindle,"v. catch fire
v. cause to start burning"
exploit,"v. use or manipulate to one's advantage
v. draw from; make good use of"
onslaught,n. a sudden and severe onset of trouble
fiery,"s. like or suggestive of fire
s. very intense"
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
fragile,s. vulnerably delicate
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
stabilize,"v. make stable and keep from fluctuating or put into an equilibrium
v. become stable or more stable"
blast,"n. a very long fly ball
n. an explosion (as of dynamite)
v. make a strident sound
v. use explosives on"
precariously,r. in a precarious manner
evacuate,"v. move out of an unsafe location into safety
v. empty completely
v. move people from their homes or country
v. create a vacuum in (a bulb, flask, reaction vessel)"
workshop,"n. small workplace where handcrafts or manufacturing are done
n. a brief intensive course for a small group; emphasizes problem solving"
wit,n. a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
auxiliary,s. functioning in a supporting capacity
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
vigorous,"s. characterized by forceful and energetic action or activity
s. strong and active physically or mentally"
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
pirate,"n. someone who robs at sea or plunders the land from the sea without having a commission from any sovereign nation
n. a ship that is manned by pirates
v. copy illegally; of published material"
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
impaired,"a. diminished in strength, quality, or utility"
abolish,v. do away with
thoroughfare,n. a public road from one place to another
humanitarian,"n. someone devoted to the promotion of human welfare and to social reforms
a. of or relating to or characteristic of humanitarianism"
mimic,"n. someone who mimics (especially an actor or actress)
v. imitate (a person or manner), especially for satirical effect
s. constituting an imitation"
tentativeness,none
fascinating,"v cause to be interested or curious
v to render motionless, as with a fixed stare or by arousing terror or awe
v attract; cause to be enamored
s capable of arousing and holding the attention
s capturing interest as if by a spell"
monopolize,"v. have and control fully and exclusively
v. have or exploit a monopoly of"
preliminary,"n. a minor match preceding the main event
n. something that serves as a preceding event or introduces what follows
s. denoting an action or event preceding or in preparation for something more important; designed to orient or acquaint with a situation before proceeding"
concession,"n. a contract granting the right to operate a subsidiary business
n. the act of conceding or yielding
n. a point conceded or yielded"
legislation,"n. law enacted by a legislative body
n. the act of making or enacting laws"
unanimously,r. of one mind; without dissent
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
inhibition,"n. (psychology) the conscious exclusion of unacceptable thoughts or desires
n. the quality of being inhibited
n. (physiology) the process whereby nerves can retard or prevent the functioning of an organ or part"
shortlist,v. put someone or something on a short list
temporary,"n a worker (especially in an office) hired on a temporary basis
a not permanent; not lasting
s lacking continuity or regularity"
mandate,"n. a document giving an official instruction or command
n. a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
n. the commission that is given to a government and its policies through an electoral victory"
elicit,v. derive by reason
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
stipend,n. a sum of money allotted on a regular basis; usually for some specific purpose
considerate,a. showing concern for the rights and feelings of others
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
jovial,s full of or showing high-spirited merriment
illusion,"n. an erroneous mental representation
n. something many people believe that is false"
rebellion,"n. refusal to accept some authority or code or convention
n. organized opposition to authority; a conflict in which one faction tries to wrest control from another"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
endure,"v put up with something or somebody unpleasant
v face and withstand with courage
v continue to live through hardship or adversity
v undergo or be subjected to
v last and be usable
v persist for a specified period of time
v continue to exist"
salvage,"n. property or goods saved from damage or destruction
n. the act of saving goods or property that were in danger of damage or destruction
n. the act of rescuing a ship or its crew or its cargo from a shipwreck or a fire
v. save from ruin, destruction, or harm"
fraud,"n. intentional deception resulting in injury to another person
n. something intended to deceive; deliberate trickery intended to gain an advantage"
haul,"v. draw slowly or heavily
v. transport in a vehicle"
virtue,"n. the quality of doing what is right and avoiding what is wrong
n. morality with respect to sexual relations
n. a particular moral excellence"
bankrupt,"n. someone who has insufficient assets to cover their debts
v. reduce to bankruptcy
s. financially ruined"
navigate,"v. act as the navigator in a car, plane, or vessel and plan, direct, plot the path and position of the conveyance
v. direct carefully and safely"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
imminent,s close in time; about to occur
specially,r. in a special manner
intently,r. with strained or eager attention
attribute,n. an abstraction belonging to or characteristic of an entity
intently,r. with strained or eager attention
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
grit,"n. a hard coarse-grained siliceous sandstone
v. cover with a grit
v. clench together"
slump,"n. a noticeable deterioration in performance or quality
v. assume a drooping posture or carriage
v. fall or sink heavily
v. fall heavily or suddenly; decline markedly"
therapy,n. (medicine) the act of caring for someone (as by medication or remedial training etc.)
dreary,"s lacking in liveliness or charm or surprise
s causing dejection"
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
crust,"n. the outer layer of the Earth
n. a hard outer layer that covers something
n. the trait of being rude and impertinent; inclined to take liberties
v. form a crust or form into a crust"
fair,"n. gathering of producers to promote business
n. a competitive exhibition of farm products
v. join so that the external surfaces blend smoothly
a. free from favoritism or self-interest or bias or deception; conforming with established standards or rules"
gullible,s. easily tricked because of being too trusting
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
elite,n. a group or class of persons enjoying superior intellectual or social or economic status
startle,"n. a sudden involuntary movement
v. to stimulate to action
v. move or jump suddenly, as if in surprise or alarm"
station,"n. a facility equipped with special equipment and personnel for a particular purpose
n. (nautical) the location to which a ship or fleet is assigned for duty
n. the frequency assigned to a broadcasting station
v. assign to a station"
consultancy,n. the practice of giving expert advice within a particular field
constitute,v. form or compose
standstill,"n a situation in which no progress can be made or no advancement is possible
n an interruption of normal activity"
trimmings,"n the accessories that normally accompany (something or some activity)
n the act of adding decoration
n a decoration or adornment on a garment
n cutting down to the desired size or shape"
productive,"a. producing or capable of producing (especially abundantly)
s. yielding positive results"
civic,a. of or relating or belonging to a city
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
seniority,n. higher rank than that of others especially by reason of longer service
paranormal,a. not in accordance with scientific laws
cessation,n. a stopping
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
leaf,"n. the main organ of photosynthesis and transpiration in higher plants
n. a sheet of any written or printed material (especially in a manuscript or book)
n. hinged or detachable flat section (as of a table or door)
v. turn over pages"
prosecutor,n. a government official who conducts criminal prosecutions on behalf of the state
blockade,"n. a war measure that isolates some area of importance to the enemy
n. prevents access or progress
v. obstruct access to
v. impose a blockade on"
addicted,a. compulsively or physiologically dependent on something habit-forming
contemporary,"n. a person of nearly the same age as another
s. characteristic of the present
s. belonging to the present time"
irritable,s. abnormally sensitive to a stimulus
jackpot,n. any outstanding award
grave,"n. death of a person
n. a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
s. dignified and somber in manner or character and committed to keeping promises
s. of great gravity or crucial import; requiring serious thought"
archaeologist,n an anthropologist who studies prehistoric people and their culture
brochure,n a small book usually having a paper cover
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
tantalize,v harass with persistent criticism or carping
glamorous,"s. having an air of allure, romance and excitement"
skid,"n. one of a pair of planks used to make a track for rolling or sliding objects
n. an unexpected slide
v. slide without control
v. elevate onto skids"
renunciation,"n. an act (spoken or written) declaring that something is surrendered or disowned
n. the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)"
reconcile,v. come to terms
compile,v. use a computer program to translate source code written in a particular programming language into computer-readable machine code that can be executed
formula,"n. a group of symbols that make a mathematical statement
n. a conventionalized statement expressing some fundamental principle
n. a representation of a substance using symbols for its constituent elements
n. a liquid food for infants"
staggering,"v walk as if unable to control one's movements
v walk with great difficulty
v to arrange in a systematic order
v astound or overwhelm, as with shock
s so surprisingly impressive as to stun or overwhelm"
maritime,s. bordering on or living or characteristic of those near the sea
evenly,"r. in equal amounts or shares; in a balanced or impartial way
r. in a level and regular way"
rosette,"n. an ornament or pattern resembling a rose that is worn as a badge of office or as recognition of having won an honor
n. a cluster of leaves growing in crowded circles from a common center or crown (usually at or close to the ground)"
inflict,v. impose something unpleasant
guru,"n. a Hindu or Buddhist religious leader and spiritual teacher
n. each of the first ten leaders of the Sikh religion
n. a recognized leader in some field or of some movement"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
stitch,"n. a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing
n. a sharp spasm of pain in the side resulting from running"
illiterate,"n. a person unable to read
a. not able to read or write
a. lacking culture, especially in language and literature"
pneumonia,n. respiratory disease characterized by inflammation of the lung parenchyma (excluding the bronchi) with congestion caused by viruses or bacteria or irritants
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
payroll,"n. a list of employees and their salaries
n. the total amount of money paid in wages
n. the department that determines the amounts of wage or salary due to each employee"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
anonymously,r. without giving a name
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
skeptical,"s denying or questioning the tenets of especially a religion
s marked by or given to doubt"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
