stair,n support consisting of a place to rest the foot while ascending or descending a stairway
at a time,none
plain,"n. extensive tract of level open land
a. not elaborate or elaborated; simple
a. lacking patterns especially in color
s. not mixed with extraneous elements"
no longer,none
Troy,"n. a system of weights used for precious metals and gemstones; based on a 12-ounce pound and an ounce of 480 grains
n. an ancient city in Asia Minor that was the site of the Trojan War"
beyond,"r. farther along in space or time or degree
r. on the farther side from the observer
r. in addition"
Greek,"n. the Hellenic branch of the Indo-European family of languages
n. a native or inhabitant of Greece
a. of or relating to or characteristic of Greece or the Greeks or the Greek language"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
wheel,"n. a simple machine consisting of a circular frame with spokes (or a solid disc) that can rotate on a shaft or axle (as in vehicles or other machines)
n. forces that provide energy and direction
n. a circular helm to control the rudder of a vessel
v. change directions as if revolving on a pivot"
Trojan,"n. a native of ancient Troy
n. a program that appears desirable but actually contains something harmful
a. of or relating to the ancient city of Troy or its inhabitants"
drag,"n. the phenomenon of resistance to motion through a fluid
n. something that slows or delays progress
n. something tedious and boring
n. clothing that is conventionally worn by the opposite sex (especially women's clothing when worn by a man)"
citizen,n. a native or naturalized member of a state or other political community
joke,"n. a humorous anecdote or remark intended to provoke laughter
n. a triviality not to be taken seriously
v. tell a joke; speak humorously
v. act in a funny or teasing way"
enemy,"n. an opposing military force
n. an armed adversary (especially a member of an opposing military force)
n. any hostile group of people"
securely,"r. in a secure manner; in a manner free from danger
r. in a confident and unselfconscious manner
r. in a manner free from fear or risk"
go to sleep,none
including,"v have as a part, be made up out of
v consider as part of something
v add as part of something else; put in as part of a set, group, or category
v allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of"
midnight,n. 12 o'clock at night; the middle of the night
except for,none
army,"n. a permanent organization of the military land forces of a nation or state
n. a large number of people united for some specific purpose"
darkness,"n. an unilluminated area
n. having a dark or somber color
n. a swarthy complexion"
seize,"v. take hold of; grab
v. take or capture by force
v. hook by a pull on the line
v. affect"
succeed,"v. attain success or reach a desired goal
v. be the successor (of)"
fit,"n. a display of bad temper
n. the manner in which something fits
v. be the right size or shape; fit correctly or as desired
v. make fit"
refuse,"v. show unwillingness towards
v. refuse to accept"
manage,"v. be in charge of, act on, or dispose of"
come on,"n anything that serves as an enticement
n qualities that attract by seeming to promise some kind of reward"
independent,"a. free from external control and constraint
a. (of a clause) capable of standing syntactically alone as a complete sentence
s. not controlled by a party or interest group"
pole,"n. a long (usually round) rod of wood or metal or plastic
n. a native or inhabitant of Poland
n. one of two divergent or mutually exclusive opinions
n. one of two points of intersection of the Earth's axis and the celestial sphere"
cormorant,n. large voracious dark-colored long-necked seabird with a distensible pouch for holding fish; used in Asia to catch fish
elderly,"n people who are old collectively
s advanced in years; (`aged' is pronounced as two syllables)"
control,"n. power to direct or determine
n. a relation of constraint of one entity (thing or person or group) by another
n. (physiology) regulation or maintenance of a function or action or reflex etc
n. the activity of managing or exerting control over something"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
underwater,"s beneath the surface of the water
s growing or remaining under water"
up to,none
require,"v require as useful, just, or proper
v consider obligatory; request and expect
v make someone do something
v have need of"
rod,"n. a long thin implement made of metal or wood
n. any rod-shaped bacterium
n. a visual receptor cell that is sensitive to dim light"
set off,"n. That which is set off against another thing; an offset.
n. That which is used to improve the appearance of anything;
   a decoration; an ornament.
n. A counterclaim; a cross debt or demand; a distinct claim
   filed or set up by the defendant against the plaintiff's demand.
n. Same as Offset, n., 4.
n. See Offset, 7."
bamboo,"n. the hard woody stems of bamboo plants; used in construction and crafts and fishing poles
n. woody tropical grass having hollow woody stems; mature canes used for construction and furniture"
reach,"n. the act of physically reaching or thrusting out
v. reach a destination, either real or abstract
v. reach a point in time, or a certain state or level
v. move forward or upward in order to touch; also in a metaphorical sense"
