fabled,s. celebrated in fable or legend
outraged,"v strike with disgust or revulsion
v violate the sacred character of a place or language
v force (someone) to have sex against their will
s angered at something unjust or wrong"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
copybook,n. a book containing models of good penmanship; used in teaching penmanship
stoically,r. without emotion; in a stoic manner
dissuade,v. turn away from by persuasion
forcibly,r. in a forcible manner
repressed,"v put down by force or intimidation
v conceal or hide
v put out of one's consciousness
v block the action of
s characterized by or showing the suppression of impulses or emotions"
maniacal,s. wildly disordered
mustiness,n. the quality of smelling or tasting old or stale or mouldy
mothball,"n. a small sphere of camphor or naphthalene used to keep moths away from stored clothing
v. put into long-term storage"
closet,"n. a small private room for study or prayer
v. confine to a small space, as for intensive work"
scent,"n. an odor left in passing by which a person or animal can be traced
v. catch the scent of; get wind of"
tap,"n. a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
n. a tool for cutting female (internal) screw threads
n. a plug for a bunghole in a cask
n. a light touch or stroke"
kowtow,n. a former Chinese custom of touching the ground with the forehead as a sign of respect or submission
chant,"n. a repetitive song in which as many syllables as necessary are assigned to a single tone
v. recite with musical intonation; recite as a chant or a psalm"
ideograph,n a graphic character that indicates the meaning of a thing without indicating the sounds used to say it
painstakingly,r. in a fastidious and painstaking manner
blotch,n. an irregularly shaped spot
multiplication table,none
disassociate,v. part; cease or break association with
nagging,"v bother persistently with trivial complaints
v worry persistently
v remind or urge constantly
s continually complaining or faultfinding"
outshout,v. shout louder than
vendor,n someone who promotes or exchanges goods or services for money
raunchy,s. earthy and sexually explicit
lilt,"n. a jaunty rhythm in music
v. articulate in a very careful and rhythmic way"
refinement,"n. the result of improving something
n. the quality of excellence in thought and manners and taste"
chaotic,"s. lacking a visible order or organization
s. completely unordered and unpredictable and confusing
a. of or relating to a sensitive dependence on initial conditions"
frenzied,s. affected with or marked by frenzy or mania uncontrolled by reason
gibberish,n. unintelligible talking
cluck,"n. the sound made by a hen (as in calling her chicks)
v. make a clucking sounds, characteristic of hens"
fanatical,s marked by excessive enthusiasm for and intense devotion to a cause or idea
pidgin,n. an artificial language used for trade between speakers of different languages
smattering,n. a slight or superficial understanding of a subject
scatter,"n. a haphazard distribution in all directions
n. the act of scattering
v. distribute loosely
v. sow by scattering"
chop suey,none
trip over,none
infuriate,v. make furious
corner,"n. a place off to the side of an area
n. the point where two lines meet or intersect
n. an interior angle formed by two meeting walls
n. the intersection of two streets"
consonant,"n. a speech sound that is not a vowel
n. a letter of the alphabet standing for a spoken consonant
s. involving or characterized by harmony"
divorce,"n. the legal dissolution of a marriage
v. get a divorce; formally terminate a marriage"
taco,n. a tortilla rolled cupped around a filling
sodden,s. wet through and through; thoroughly wet
condemned,"v express strong disapproval of
v declare or judge unfit for use or habitation
v compel or force into a particular state or activity
v demonstrate the guilt of (someone)
v pronounce a sentence on (somebody) in a court of law
v appropriate (property) for public use"
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
squat,"n. the act of assuming or maintaining a crouching position with the knees bent and the buttocks near the heels
v. sit on one's heels
v. be close to the earth, or be disproportionately wide
v. occupy (a dwelling) illegally"
drape,"n. the manner in which fabric hangs or falls
n. a sterile covering arranged over a patient's body during a medical examination or during surgery in order to reduce the possibility of contamination
v. arrange in a particular way
v. place casually"
puny,"s. inferior in strength or significance
s. (used especially of persons) of inferior size"
wisp,"n. a small tuft or lock
n. a small person
n. a small bundle of straw or hay
n. a flock of snipe"
warder,n. a person who works in a prison and is in charge of prisoners
gallows,n. an instrument of execution consisting of a wooden frame from which a condemned person is executed by hanging
stand by,"n. One who, or that which, stands by one in need; something
   upon which one relies for constant use or in an emergency."
bayonet,"n. a knife that can be fixed to the end of a rifle and used as a weapon
v. stab or kill someone with a bayonet"
handcuff,n. shackle that consists of a metal loop that can be locked around the wrist; usually used in pairs
chain,"n. a series of things depending on each other as if linked together
n. (chemistry) a series of linked atoms (generally in an organic molecule)
n. a series of (usually metal) rings or links fitted into one another to make a flexible ligament
n. (business) a number of similar establishments (stores or restaurants or banks or hotels or theaters) under one ownership"
caress,"n. a gentle affectionate stroking (or something resembling it)
v. touch or stroke lightly in a loving or endearing manner"
grip,"n. the friction between a body and the surface on which it moves (as between an automobile tire and the road)
n. worker who moves the camera around while a film or television show is being made
n. an intellectual hold or understanding
v. hold fast or firmly"
unresisting,s offering no resistance
limply,r. without rigidity
bugle,"n. a brass instrument without valves; used for military calls and fanfares
n. any of various low-growing annual or perennial evergreen herbs native to Eurasia; used for ground cover
n. a tubular glass or plastic bead sewn onto clothing for decoration"
float,"n. the time interval between the deposit of a check in a bank and its payment
n. the number of shares outstanding and available for trading by the public
n. an elaborate display mounted on a platform carried by a truck (or pulled by a truck) in a procession or parade
n. a hand tool with a flat face used for smoothing and finishing the surface of plaster or cement or stucco"
barracks,"n a building or group of buildings used to house military personnel
v lodge in barracks
v spur on or encourage especially by cheers and shouts
v laugh at with contempt and derision"
superintendent,n. a caretaker for an apartment house; represents the owner as janitor and rent collector
jail,n. a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
gravel,"n. rock fragments and pebbles
v. cover with gravel"
irritably,r. in an irritable manner
set out,"n. A display, as of plate, equipage, etc.; that which is
   displayed."
magistrate,n. a lay judge or civil authority who administers the law (especially one who conducts a court dealing with minor offenses)
scalp,"n. the skin that covers the top of the head
v. sell illegally, as on the black market
v. remove the scalp of"
up and down,none
cut ... short,none
in full tide,none
bowels,n. the center of the Earth
toil away,none
solemn,"s dignified and somber in manner or character and committed to keeping promises
s characterized by a firm and humorless belief in the validity of your opinions"
foolery,n foolish or senseless behavior
foresee,"v realize beforehand
v picture to oneself; imagine possible
v act in advance of; deal with ahead of time"
convict,"n. a person serving a sentence in a jail or prison
n. a person who has been convicted of a criminal offense
v. find or declare guilty"
servile,"a. submissive or fawning in attitude or behavior
s. relating to or involving slaves or appropriate for slaves or servants"
noose,"n. a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled
v. make a noose in or of
v. secure with a noose"
reiterate,"v to say, state, or perform again"
on and on,none
poke,"n. tall coarse perennial American herb having small white flowers followed by blackish-red berries on long drooping racemes; young fleshy stems are edible; berries and root are poisonous
v. stir by poking
v. make a hole by poking"
waver,"n. someone who communicates by waving
n. the act of moving back and forth
v. sway to and fro"
throw up,none
clank,v. make a clank
twist,"n. a jerky pulling movement
n. social dancing in which couples vigorously twist their hips and arms in time to the music; was popular in the 1960s
n. turning or twisting around (in place)
v. turn in the opposite direction"
revolve,v. turn on or around an axis or a center
reach out,none
oscillate,v. move or swing from side to side regularly
back out,none
ladle,"n. a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another
v. put (a liquid) into a container by means of a ladle
v. remove with or as if with a ladle"
homely,"s. lacking in physical beauty or proportion
s. plain and unpretentious
s. without artificial refinement or elegance"
jolly,n. a happy party
snigger,"n a disrespectful laugh
v laugh quietly"
chatter,"n. the rapid series of noises made by the parts of a machine
n. the high-pitched continuing noise made by animals (birds or monkeys)
v. click repeatedly or uncontrollably
v. cut unevenly with a chattering tool"
Eurasian,"n. a person of mixed European and Asian descent
a. relating to, or coming from, Europe and Asia"
classy,s. elegant and fashionable
garrulously,r in a chatty loquacious manner
pass off,none
wriggle,"n the act of wiggling
v to move in a twisting or contorted motion, (especially when struggling)"
refractory,"s. not responding to treatment
s. temporarily unresponsive or not fully responsive to nervous or sexual stimuli"
dislodge,"v. remove or force out from a position
v. remove or force from a position of dwelling previously occupied"
genially,r in an affable manner
do with sth.,none
could do with sth.,none
chuckle,v. laugh quietly or with restraint
amicably,r. in an amicable manner
elm,"n. any of various trees of the genus Ulmus: important timber or shade trees
n. hard tough wood of an elm tree; used for e.g. implements and furniture"
radioactivity,n the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
single-minded,s. determined
made-up,s. having been paved
exotic,s. strikingly strange or unusual
encircle,v. form a circle around
idolize,v. love unquestioningly and uncritically or to excess; venerate as an idol
shred,"n. a tiny or scarcely detectable amount
v. tear into shreds"
revolutionize,"v. change radically
v. overthrow by a revolution, of governments
v. fill with revolutionary ideas"
atomic,"a. of or relating to or comprising atoms
s. immeasurably small"
pitiful,"s inspiring mixed contempt and pity
s bad; unfortunate
s deserving or inciting pity"
tuberculosis,n. infection transmitted by inhalation or ingestion of tubercle bacilli and manifested in fever and small lesions (usually in the lungs but in various other parts of the body in acute stages)
governess,n. a woman entrusted with the care and supervision of a child (especially in a private home)
wind up,s. operated by a mechanism
disinherit,v. prevent deliberately (as by making a will) from inheriting
nursemaid,n a woman who is the custodian of children
drag by,none
meager,a. deficient in amount or quality or extent
enrol,v register formally as a participant or member
vat,n. a tax levied on the difference between a commodity's price before taxes and its cost of production
glisten,"n the quality of shining with a bright reflected light
v be shiny, as if wet"
luminous,s softly bright or radiant
congeal,v become gelatinous
radium,n. an intensely radioactive metallic element that occurs in minute amounts in uranium ores
gritty,"s composed of or covered with particles resembling meal in texture or consistency
s willing to face danger"
shabby,s. mean and unworthy and despicable
dank,s unpleasantly cool and humid
prominent,"s having a quality that thrusts itself into attention
s conspicuous in position or importance"
stable,"n. a farm building for housing horses or other livestock
v. shelter in a stable
a. resistant to change of position or condition
s. firm and dependable; subject to little fluctuation"
toast,"n. slices of bread that have been toasted
n. a celebrity who receives much acclaim and attention
v. propose a toast to"
fete,n. an elaborate party (often outdoors)
acolyte,n. someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
homage,n respectful deference
exposure,"n. vulnerability to the elements; to the action of heat or cold or wind or rain; 
n. the act of subjecting someone to an influencing experience
n. the disclosure of something secret
n. aspect resulting from the direction a building or window faces"
sore,n. an open skin infection
draft,"n. a document ordering the payment of money; drawn by one person or bank on another
n. a current of air (usually coming into a chimney or room or vehicle)
n. a preliminary sketch of a design or picture
n. a serving of drink (usually alcoholic) drawn from a keg"
defining,"n any process serving to define the shape of something
v determine the essential quality of
v give a definition for the meaning of a word
v determine the nature of
v show the form or outline of
v decide upon or fix definitely"
inconsolable,a. sad beyond comforting; incapable of being consoled
metamorphosis,"n. the marked and rapid transformation of a larva into an adult that occurs in some animals
n. a complete change of physical form or substance especially as by magic or witchcraft"
cape,"n. a strip of land projecting into a body of water
n. a sleeveless garment like a cloak but shorter"
polonium,n. a radioactive metallic element that is similar to tellurium and bismuth; occurs in uranium ores but can be produced by bombarding bismuth with neutrons in a nuclear reactor
onset,n. the beginning or early stages
X-ray,"v. examine by taking x-rays
v. take an x-ray of something or somebody"
aplastic,a. Not plastic or easily molded.
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
anemia,"n. a deficiency of red blood cells
n. a lack of vitality
n. genus of terrestrial or lithophytic ferns having pinnatifid fronds; chiefly of tropical America"
forth,"n. a river in southern Scotland that flows eastward to the Firth of Forth
r. forward in time or order or degree
r. out into view"
sentiment,"n. tender, romantic, or nostalgic feeling or emotion"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
keep back,none
treason,"n. a crime that undermines the offender's government
n. disloyalty by virtue of subversive behavior"
disloyalty,n. the quality of being disloyal
majesty,n impressiveness in scale or proportion
revere,n. American silversmith remembered for his midnight ride (celebrated in a poem by Longfellow) to warn the colonists in Lexington and Concord that British troops were coming (1735-1818)
indulge,"v. give free rein to
v. enjoy to excess"
disposed,s. having made preparations
temporal,"s. not eternal
a. of or relating to or limited by time
a. of or relating to the temples (the sides of the skull behind the orbit)
s. of this earth or world"
provide for,none
solace,n. comfort in disappointment or misery
insidious,"s. beguiling but harmful
s. intended to entrap
s. working or spreading in a hidden and usually injurious way"
petition,v. write a petition for something to somebody; request formally and in writing
snare,"n. a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
n. strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
n. a trap for birds or small mammals; often has a slip noose"
comport,"v behave well or properly
v behave in a certain manner"
call in,n. a telephone call to a radio station or a television station in which the caller participates in the on-going program
subjugation,n. forced submission to control by others
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
submission,"n. something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)
n. the act of submitting; usually surrendering power to another
n. the condition of having submitted to control by someone or something else
n. a legal document summarizing an agreement between parties in a dispute to abide by the decision of an arbiter"
forge,"n. furnace consisting of a special hearth where metal is heated before shaping
n. a workplace where metal is worked by heating and hammering
v. create by hammering
v. make a copy of with the intent to deceive"
entreaty,n. earnest or urgent request
supplication,n. a humble request for help from someone in authority
beseech,v ask for or request earnestly
avert,v. turn away or aside
remonstrate,"v. argue in protest or opposition
v. present and urge reasons in opposition"
prostrate,"v. get into a prostrate position, as in submission
v. render helpless or defenseless
v. throw down flat, as on the ground"
throne,"n. the chair of state for a monarch, bishop, etc.
n. the position and power of an exalted person (a sovereign or bishop) who is entitled to sit in a chair of state on ceremonial occasions
v. sit on the throne as a ruler"
implore,v call upon in supplication; entreat
interposition,n. the act or fact of interposing one thing between or among others
tyrannical,"s marked by unjust severity or arbitrary behavior
s characteristic of an absolute ruler or absolute rule; having absolute sovereignty"
slight,"v. pay no attention to, disrespect"
disregard,"n. lack of attention and due care
n. willful lack of care and attention"
spurn,v reject with contempt
inviolate,"s (of a woman) having the hymen unbroken
s must be kept sacred"
inestimable,s beyond calculation or measure
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
basely,"r in a despicable, ignoble manner"
formidable,"s. extremely impressive in strength or excellence
s. inspiring fear"
adversary,n. someone who offers opposition
irresolution,"n doubt concerning two or more possible alternatives or courses of action
n the trait of being irresolute; lacking firmness of purpose"
effectual,"a producing or capable of producing an intended result or having a striking effect
s having legal efficacy or force"
supinely,"r with the face upward
r in an indifferently supine manner"
delusive,s. inappropriate to reality or facts
phantom,s. something apparently sensed but having no physical reality
vigilant,s carefully observant or attentive; on the lookout for possible danger
clanging,"v make a loud noise
s having a loud resonant metallic sound"
extenuate,v. lessen or to try to lessen the seriousness or extent of
gale,n. a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale
clash,"n. a state of conflict between persons
n. a state of conflict between colors
v. be incompatible; be or come into conflict
v. disagree violently"
brethren,n. (plural) the lay members of a male religious order
Senate,n. assembly possessing high legislative powers
insofar,r. to the degree or extent that
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
binge,"n any act of immoderate indulgence
n an occasion for excessive eating or drinking
v overeat or eat immodestly; make a pig of oneself"
reaffirmation,n renewed affirmation
pornography,n. creative activity (writing or pictures or films etc.) of no literary or artistic value other than to stimulate sexual desire
courtship,n. a man's courting of a woman; seeking the affections of a woman (usually with the hope of marriage)
repression,"n. a state of forcible subjugation
n. (psychiatry) the classical defense mechanism that protects you from impulses or ideas that would cause anxiety by preventing them from becoming conscious
n. the act of repressing; control by holding down"
Puritanism,"n. the beliefs and practices characteristic of Puritans (most of whom were Calvinists who wished to purify the Church of England of its Catholic aspects)
n. strictness and austerity in conduct and religion"
husky,"n breed of heavy-coated Arctic sled dog
s muscular and heavily built
s deep and harsh sounding as if from shouting or illness or emotion"
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
allege,v. report or maintain
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
enforce,"v. ensure observance of laws and rules; 
v. compel to behave in a certain way"
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
dole,"n. a share of money or food or clothing that has been charitably given
n. money received from the state"
recipient,n. a person who receives something
destitution,n. a state without friends or money or prospects
appalled,"v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised
v strike with disgust or revulsion
v fill with apprehension or alarm; cause to be unpleasantly surprised
s struck with fear, dread, or consternation"
customary,s. in accordance with convention or custom
dreadful,s. very unpleasant
overtake,v. catch up with and possibly overtake
marrieds,none
impotent,"a. lacking power or ability; morality without technology is impotent""- Freeman J.Dyson
a. (of a male) unable to copulate"
unsurpassed,s not capable of being improved on
parliamentary,"a. relating to or having the nature of a parliament
s. having the supreme legislative power resting with a body of cabinet ministers chosen from and responsible to the legislature or parliament
s. in accord with rules and customs of a legislative or deliberative assembly"
resourceful,s. having inner resources; adroit or imaginative
hire,"n. a newly hired employee
n. the act of hiring something or someone
v. engage or hire for work"
navigator,"n. the member of an aircrew who is responsible for the aircraft's course
n. in earlier times, a person who explored by ship"
accidentally,"r without advance planning
r of a minor or subordinate nature
r without intention; in an unintentional manner"
cannonball,n. a solid projectile that in former times was fired from a cannon
bog,n. wet spongy ground of decomposing vegetation; has poorer drainage than a swamp; soil is unfit for cultivation but can be cut and dried and used for fuel
bog down,none
zero in,none
hazard,"n. a source of danger; a possibility of incurring loss or misfortune
n. an obstacle on a golf course"
guesstimate,"n. an estimate that combines reasoning with guessing
v. estimate based on a calculation"
approximation,"n. the quality of coming near to identity (especially close in quantity)
n. an imprecise or incomplete account
n. the act of bringing near or bringing together especially the cut edges of tissue"
outlet,"n a place of business for retailing goods
n receptacle providing a place in a wiring system where current can be taken to run electrical devices
n an opening that permits escape or release
n activity that frees or expresses creative energy or emotion"
mass merchandiser,none
telecommunications,"n (often plural) systems used in transmitting messages over a distance electronically
n (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance"
tuner,n. someone who tunes pianos
tune,"n. a succession of notes forming a distinctive sequence
n. the property of producing accurately a note of a given pitch
n. the adjustment of a radio receiver or other circuit to a required frequency
v. adjust for (better) functioning"
guesswork,n an estimate based on little or no information
balance out,none
broadcloth,"n. a densely textured woolen fabric with a lustrous finish
n. a closely woven silk or synthetic fabric with a narrow crosswise rib"
stroke,"n. (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
n. a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
n. a light touch
n. a light touch with the hands"
cookware,n a kitchen utensil made of material that does not melt easily; used for cooking
unpopped,none
kernel,"n. the inner and usually edible part of a seed or grain or nut or fruit stone
n. a single whole grain of a cereal
n. the choicest or most essential or most vital part of some idea or experience"
pop,"n. a sweet drink containing carbonated water and flavoring
n. a sharp explosive sound as from a gunshot or drawing a cork
v. hit a pop-fly
v. make a sharp explosive noise"
nautical,a. relating to or involving ships or shipping or navigation or seamen
resentment,n. a feeling of deep and bitter anger and ill-will
weeding,v clear of weeds
muffled,s. wrapped up especially for protection or secrecy
filthy,s. disgustingly dirty; filled or smeared with offensive matter
slut,"n a dirty untidy woman
n a woman adulterer"
overgrown,"s. covered with growing plants
s. abounding in usually unwanted vegetation"
flush,"n. a poker hand with all 5 cards in the same suit
n. a sudden rapid flow (as of water)
v. flow freely
v. glow or cause to glow with warm color or light"
outburst,"n. a sudden intense happening
n. a sudden violent disturbance"
impassive,s. having or revealing little emotion or sensibility; not easily aroused or excited
paranoid,"n. a person afflicted with paranoia
s. suffering from paranoia"
schizophrenic,"n. someone who is afflicted with schizophrenia
s. suffering from some form of schizophrenia"
crescendo,"n. (music) a gradual increase in loudness
v. grow louder
s. gradually increasing in volume"
laboriously,r. in a laborious manner
burgeon,v. grow and flourish
harassing,p. pr. & vb. n. of Harass
commitment,"n. the act of binding yourself (intellectually or emotionally) to a course of action
n. an engagement by contract involving financial obligation
n. a message that makes a pledge
n. the official act of consigning a person to confinement (as in a prison or mental hospital)"
span,"n. the complete duration of something
n. the distance or interval between two points
n. a unit of length based on the width of the expanded human hand (usually taken as 9 inches)"
medication,n. the act of treating with medicines or remedies
adrenaline,n a catecholamine secreted by the adrenal medulla in response to stress (trade name Adrenalin); stimulates autonomic nerve action
primordial,s having existed from the beginning; in an earliest or original stage or state
lurk,"v. lie in wait, lie in ambush, behave in a sneaky and secretive manner"
blaze,"n. a strong flame that burns brightly
n. a light-colored marking
v. shine brightly and intensively
v. burn brightly and intensely"
antipsychotic,n tranquilizer used to treat psychotic conditions when a calming effect is desired
empathy,n. understanding and entering into another's feelings
incessantly,"r with unflagging resolve
r without interruption"
perpetual,"s continuing forever or indefinitely
s uninterrupted in time and indefinitely long continuing"
inflammation,"n. a response of body tissues to injury or irritation; characterized by pain and swelling and redness and heat
n. arousal to violent emotion"
colon,"n. the part of the large intestine between the cecum and the rectum; it extracts moisture from food residues before they are excreted
n. the basic unit of money in El Salvador; equal to 100 centavos
n. the basic unit of money in Costa Rica; equal to 100 centimos
n. a port city at the Caribbean entrance to the Panama Canal"
humiliate,v. cause to feel shame; hurt the pride of
affliction,"n. a state of great suffering and distress due to adversity
n. a condition of suffering or distress due to ill health
n. a cause of great suffering and distress"
appellation,n. identifying word or words by which someone or something is called and classified or distinguished from others
hallucination,"n. illusory perception; a common symptom of severe mental disorder
n. an object perceived during a hallucinatory episode"
searing,s. severely critical
file,"n. a set of related records (either written or electronic) kept together
n. a line of persons or things ranged one behind the other
n. office furniture consisting of a container for keeping papers in order
n. a steel hand tool with small sharp teeth on some or all of its surfaces; used for smoothing wood or metal"
sandpaper,v. rub with sandpaper
epidermis,n. the outer layer of the skin covering the exterior body surface of vertebrates
raw,"n. informal terms for nakedness
s. having the surface exposed and painful
a. not treated with heat to prepare it for eating
s. not processed or refined"
loathsome,"s causing or able to cause nausea
s highly offensive; arousing aversion or disgust"
scarecrow,n. an effigy in the shape of a man to frighten birds away from seeds
gnawing,"v bite or chew on with the teeth
v become ground down or deteriorate"
fall in,none
superstructure,n. structure consisting of the part of a ship above the main deck
travail,"n concluding state of pregnancy; from the onset of contractions to the birth of a child
n use of physical or mental energy; hard work
v work hard"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
splatter,"n the noise of something spattering or sputtering explosively
n a small quantity of something moist or liquid
v cause or allow (a liquid substance) to run or flow from a container
v dash a liquid upon or against"
grain,"n. a relatively small granular particle of a substance
n. foodstuff prepared from the starchy grains of cereal grasses
n. the side of leather from which the hair has been removed
n. a weight unit used for pearls or diamonds: 50 mg or 1/4 carat"
peremptorily,r in an imperative and commanding manner
whirl,"n. confused movement
n. the shape of something rotating rapidly
v. cause to spin
v. fly around"
shrill,"s. having or emitting a high-pitched and sharp tone or tones
s. of colors that are bright and gaudy"
hemophiliac,n. someone who has hemophilia and is subject to uncontrollable bleeding
chunk,n. a substantial amount
spin,"n. a swift whirling motion (usually of a missile)
n. the act of rotating rapidly
n. a short drive in a car
n. a distinctive interpretation (especially as used by politicians to sway public opinion)"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
try on,n putting clothes on to see whether they fit
coordination,"n. the skillful and effective interaction of movements
n. the regulation of diverse elements into an integrated and harmonious operation
n. the grammatical relation of two constituents having the same grammatical form"
fair play,none
ingenious,s showing inventiveness and skill
crudely,r. in a crude or unrefined manner
desensitize,"v. cause not to be sensitive
v. make insensitive"
coil,"n. a structure consisting of something wound in a continuous series of loops
n. a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
n. a transformer that supplies high voltage to spark plugs in a gasoline engine"
make-believe,"n. the enactment of a pretense
s. imagined as in a play"
morph,"v. cause to change shape in a computer animation
v. change shape as via computer animation"
bunny,"n. a young waitress in a nightclub whose costume includes the tail and ears of a rabbit
n. (usually informal) especially a young rabbit"
