fabled,s. celebrated in fable or legend
ensconce,v. fix firmly
dainty,"n. something considered choice to eat
s. affectedly dainty or refined
s. delicately beautiful
s. especially pleasing to the taste;"
scalloped,"v decorate an edge with scallops
v bake in a sauce, milk, etc., often with breadcrumbs on top
v form scallops in
v fish for scallops
v shape or cut in scallops
s having a margin with rounded scallops"
marigold,n. any of various tropical American plants of the genus Tagetes widely cultivated for their showy yellow or orange flowers
spice,"n. aromatic substances of vegetable origin used as a preservative
n. any of a variety of pungent aromatic vegetable substances used for flavoring food
v. make more interesting or flavorful"
bun,n. small rounded bread either plain or sweet
rock-cake,none
bakery,n. a workplace where baked goods (breads and cakes and pastries) are produced or sold
mayonnaise,n. egg yolks and oil and vinegar
pickle,"n. vegetables (especially cucumbers) preserved in brine or vinegar
v. preserve in a pickling liquid"
dill,"n. aromatic Old World herb having aromatic threadlike foliage and seeds used as seasoning
n. aromatic threadlike foliage of the dill plant used as seasoning"
fuzz,n. the first beard of an adolescent boy
bruise,"n. an injury that doesn't break the skin but results in some discoloration
v. injure the underlying soft tissue or bone of
v. break up into small pieces for food preparation
v. damage (plant tissue) by abrasion or pressure"
tin,"n. a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
n. a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking
v. plate with tin
v. prepare (a metal) for soldering or brazing by applying a thin layer of solder to the surface"
washcloth,n. bath linen consisting of a piece of cloth used to wash the face and body
dampen,"v. reduce the amplitude (of oscillations or waves)
v. make vague or obscure or make (an image) less visible
v. check; keep in check (a fire)
v. lessen in force or effect"
rosewater,none
glycerine,n a sweet syrupy trihydroxy alcohol obtained by saponification of fats and oils
umpteenth,s. last in an indefinitely numerous series
avow,v. admit openly and bluntly; make no bones about
measly,s. contemptibly small in amount
fleabag,n. a run-down hotel
real estate,none
squint,"n. the act of squinting; looking with the eyes partly closed
v. cross one's eyes as if in strabismus
v. be cross-eyed; have a squint or strabismus
v. partly close one's eyes, as when hit by direct blinding light"
auditorium,n. the area of a theater or concert hall where the audience sits
let out,none
bring about,none
dilated,"v become wider
v add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing"
corolla,n. (botany) the whorl of petals of a flower that collectively form an inner floral envelope or layer of the perianth
dazzle,"n. brightness enough to blind partially and temporarily
v. to cause someone to lose clear vision, especially from intense light
v. amaze or bewilder, as with brilliant wit or intellect or skill"
travesty,v. make a travesty of
caravan,"n. a procession (of wagons or mules or camels) traveling together in single file
v. travel in a caravan"
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
flair,n. a natural talent
cool off,none
vanilla,"n. any of numerous climbing plants of the genus Vanilla having fleshy leaves and clusters of large waxy highly fragrant white or green or topaz flowers
n. a flavoring prepared from vanilla beans macerated in alcohol (or imitating vanilla beans)
n. a distinctive fragrant flavor characteristic of vanilla beans"
soda fountain,none
corded,s. of textiles; having parallel raised lines
crisp,"s. (of something seen or heard) clearly defined
s. tender and brittle
s. pleasantly cold and invigorating
s. pleasingly firm and fresh"
pinafored,"past tense of pinafore
n a sleeveless dress resembling an apron; worn over other clothing"
mottled,"v mark with spots or blotches of different color or shades of color as if stained
v colour with streaks or blotches of different shades
s having spots or patches of color"
marble,"n. a hard crystalline metamorphic rock that takes a high polish; used for sculpture and as building material
n. a small ball of glass that is used in various games
n. a sculpture carved from marble
v. paint or stain like marble"
indignant,s. angered at something unjust or wrong
