abide,"v dwell
v put up with something or somebody unpleasant"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
abolish,v. do away with
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
accent,"n. distinctive manner of oral expression
n. a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation"
accessory,"n. clothing that is worn or carried, but not part of your main clothing
n. a supplementary component that improves capability
n. someone who helps another person commit a crime
s. furnishing added support"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
affirm,"v. to declare or affirm solemnly and formally as true
v. say yes to"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
aggravate,"v make worse
v exasperate or irritate"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
allege,v. report or maintain
alleviate,"v provide physical relief, as from pain
v make easier"
allocate,v. distribute according to a plan or set apart for a special purpose
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
amend,v. make amendments to
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
amplify,v. increase the volume of
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
