bewail,v regret strongly
destitute,s. poor enough to need help from others
detract,v take away a part from; diminish
emancipate,v. give equal rights to; of women and minorities
extol,"v praise, glorify, or honor"
flamboyant,s. marked by ostentation but often tasteless
impetus,"n a force that moves something along
n the act of applying force suddenly"
insuperable,"s. impossible to surmount
s. incapable of being surmounted or excelled"
intermittent,s. stopping and starting at irregular intervals
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
obligatory,"a. morally or legally constraining or binding
s. required by obligation or compulsion or convention"
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
vagabond,n. anything that resembles a vagabond in having no fixed place
visage,"n the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)
n the appearance conveyed by a person's face"
wheedle,"v. influence or urge by gentle urging, caressing, or flattering"
alacrity,n. liveliness and eagerness
array,"n. an orderly arrangement
n. an impressive display
n. especially fine or decorative clothing
n. an arrangement of aerials spaced to give desired directional characteristics"
deduce,"v. reason by deduction; establish by deduction
v. conclude by reasoning; in logic"
encumber,v hold back
fraught,"s. marked by distress
s. filled with or attended with"
haphazard,"s. dependent upon or characterized by chance
s. marked by great carelessness
r. without care; in a slapdash manner"
incontrovertible,s. impossible to deny or disprove
inexplicable,a. incapable of being explained or accounted for
ingenious,s showing inventiveness and skill
laggard,"n someone who takes more time than necessary; someone who lags behind
s wasting time"
sustenance,n. the act of sustaining life by food or providing a means of subsistence
torrid,"s. emotionally charged and vigorously energetic
s. extremely hot"
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
ubiquitous,s being present everywhere at once
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
allude,v. make a more or less disguised reference to
consecrate,v. render holy by means of religious rites
disseminate,v cause to become widely known
dote,"v. be foolish or senile due to old age
v. shower with love; show excessive affection for"
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
feckless,"s. not fit to assume responsibility
s. generally incompetent and ineffectual"
implicate,v. bring into intimate and incriminating connection
lament,"n. a cry of sorrow and grief
v. express grief verbally"
monetary,a. relating to or involving money
pensive,s. showing pensive sadness
pomp,n. ceremonial elegance and splendor
stilted,s artificially formal
subjugate,v. make subservient; force to submit or subdue
trauma,n. an emotional wound or shock often having long-lasting effects
wanton,"n. lewd or lascivious woman
v. indulge in a carefree or voluptuous way of life
v. spend wastefully
v. engage in amorous play"
adage,n a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
camaraderie,n the quality of affording easy familiarity and sociability
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
extraneous,"s. not pertinent to the matter under consideration
s. not essential
s. not belonging to that in which it is contained; introduced from an outside source"
hubbub,n. loud confused noise from many sources
meander,"n. a bend or curve, as in a stream or river"
odoriferous,"s. morally offensive
s. emitting an odor
s. having a natural fragrance"
