act on,"n. A stuffed jacket worn under the mail, or (later) a jacket
   plated with mail."
adapt to,none
add to,none
adhere to,none
apply to,none
approve of,none
arise from,none
a bit of,none
above all,none
access to,none
according to,none
along with,none
anything but,none
apart from,none
as a result,none
as a result of,none
as far as,none
as for,none
as to,none
as if,none
as usual,none
as well as,none
at all,none
at all costs,none
at large,none
at length,none
at odds with,none
at risk,none
at stake,none
at the end of,none
at times,none
abide by,none
account for,none
act for,none
adjust to,none
agree on,none
agree to,none
agree with,none
aim at,none
appeal to,none
apply for,none
argue for,none
arrive in,none
associate with,none
attach importance to,none
attach to,none
attempt to,none
attribute to,none
avail oneself of,none
alien to,none
alien from,none
all in all,none
all the same,none
a majority of,none
a matter of,none
and so forth,none
and so on,none
and yet,none
a period of,none
as a whole,none
as opposed to,none
a spell of,none
as regards,none
as far as ... be concerned,none
so far as ... be concerned,none
as long as,none
so long as,none
as yet,none
at all events,none
at all times,none
at a loss,none
at an end,none
at any rate,none
at a profit,none
at a time,none
at fault,none
at least,none
at leisure,none
at random,none
at sea,none
at short notice,none
at best,none
at the best,none
at the cost of,none
at the expense of,none
at the instant of,none
at the latest,none
at the longest,none
at the mercy of,none
at the moment,none
at worst,none
at the worst,none
at will,none
a variety of,none
a flash in the pan,none
akin to,none
appropriate to,none
benefit from,none
bring about,none
be applicable to,none
be busy with,none
because of,none
be concerned with,none
be confronted with,none
be conscious of,none
be considered as,none
be dependent on,none
be eager to,none
be entitled to,none
be exposed to,none
be inclined to,none
be interested in,none
be likely to,none
be obliged to,none
be puzzled by,none
be regarded as,none
be resistant to,none
be satisfied with,none
be second to,none
be subject to,none
be vulnerable to,none
be willing to,none
be worth doing,none
by accident,none
by all means,none
by chance,none
by contrast,none
in contrast,none
by means of,none
by nature,none
by way of,none
back up,"n. an accumulation caused by clogging or a stoppage
n. (computer science) a copy of a file or directory on a separate storage device"
bear in mind,none
keep in mind,none
bear out,none
begin with,none
benefit by,none
bet on,"n. The French name for concrete; hence, concrete made after the
   French fashion."
bid for,none
boast of,none
boast about,none
break up,"n. Disruption; a separation and dispersion of the parts or
   members; as, a break-up of an assembly or dinner party; a break-up of
   the government."
put into effect,none
bring forth,none
bring in,none
bring into,none
bring out,none
build on,none
burn down,none
burn out,none
burn up,none
burst into,none
burst out,none
buy into,none
buy out,n. acquisition of a company by purchasing a controlling percentage of its stock
buy up,none
back and forth,none
bad debt,none
badly off,none
be able to,none
be addicted to,none
be aware of,none
be beneficial to,none
be bound to,none
be bound up with,none
be characterized by,none
be different from,none
be distracted by,none
be enrolled in,none
be equal to,none
be equipped for,none
be equivalent to,none
be essential to,none
be faced with,none
be familiar with,none
be familiar to,none
be fond of,none
behind the scenes,s designed and carried out secretly or confidentially
be ignorant of,none
be independent of,none
be indicative of,none
be irrelevant to,none
be jealous of,none
be liable for,none
be liable to,none
be made of,none
be marked by,none
be of ... importance,none
be open to,none
be opposed to,none
be popular with,none
be proud of,none
be relevant to,none
be sensitive to,none
be stuck in,none
be supposed to,none
be to blame,none
be tolerant of,none
be typical of,none
be unaware of,none
be unfamiliar with,none
be urged to,none
be worthwhile to,none
be worthy of,none
beyond dispute,none
beyond one's ability,none
bottom line,none
box office,none
but then,none
by analogy,none
by and large,none
by hand,none
by heart,none
by mistake,none
by no means,none
by reason of,none
by the end of,none
