accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
just,"a. used especially of what is legally or ethically right or proper or fitting
r. only a moment ago
r. absolutely
r. exactly at this moment or the moment described;"
justice,"n. the quality of being just or fair
n. judgment involved in the determination of rights and the assignment of rewards and punishments"
justify,"v. show to be reasonable or provide adequate ground for
v. show to be right by providing justification or proof
v. adjust the spaces between words"
justification,"n. something (such as a fact or circumstance) that shows an action to be reasonable or necessary
n. a statement in explanation of some action or belief
n. the act of defending or explaining or making excuses for by reasoning"
justifiable,s. capable of being justified
following,"n. a group of followers or enthusiasts
s. about to be mentioned or specified
s. immediately following in time or order
a. going or proceeding or coming after in the same direction"
economic,"a. of or relating to an economy, the system of production and management of material wealth
a. of or relating to the science of economics
s. using the minimum of time or resources necessary for effectiveness
s. concerned with worldly necessities of life (especially money)"
economist,n. an expert in the science of economics
economics,n. the branch of social science that deals with the production and distribution and consumption of goods and services and their management
economically,"r. with respect to economic science
r. in an economical manner
r. with respect to the economic system"
view,"n. the visual percept of a region
n. the act of looking or seeing or observing
n. the range of the eye
n. purpose; the phrase `with a view to' means `with the intention of' or `for the purpose of'"
reviewer,n. someone who reads manuscripts and judges their suitability for publication
interview,"n. the questioning of a person (or a conversation in which information is elicited); often conducted by journalists
v. conduct an interview in television, newspaper, and radio reporting
v. discuss formally with (somebody) for the purpose of an evaluation
v. go for an interview in the hope of being hired"
worldview,none
data,n. a collection of facts from which conclusions may be drawn
database,n. an organized body of related information
court,"n. an assembly (including one or more judges) to conduct judicial business
n. a room in which a lawcourt sits
n. the sovereign and his advisers who are the governing power of a state
n. a specially marked horizontal area within which a game is played"
keep,"n. the main tower within the walls of a medieval castle or fortress
v. keep in a certain state, position, or activity; e.g., ""keep clean""
v. retain possession of
v. look after; be the keeper of; have charge of"
process,"n. (psychology) the performance of some composite cognitive activity; an operation that affects mental contents
n. a mental process that you are not directly aware of
n. a natural prolongation or projection from a part of an organism either animal or plant
n. a sustained phenomenon or one marked by gradual changes through a series of states"
system,"n. instrumentality that combines interrelated interacting artifacts designed to work as a coherent entity
n. a group of independent but interrelated elements comprising a unified whole
n. (physical chemistry) a sample of matter in which substances in different phases are in equilibrium
n. a complex of methods or rules governing behavior"
systematic,a. characterized by order and planning
supersystem,none
ecosystem,n. a system formed by the interaction of a community of organisms with their physical environment
lead,"n. an advantage held by a competitor in a race
n. a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey
n. evidence pointing to a possible solution
n. a position of leadership (especially in the phrase `take the lead')"
mislead,v. lead someone in the wrong direction or give someone wrong directions
leadership,"n. the activity of leading
n. the body of people who lead a group
n. the status of a leader
n. the ability to lead"
