musketeer,n. a foot soldier armed with a musket
alchemy,n. a pseudoscientific forerunner of chemistry in medieval times
Saxon churl,none
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
scamper,n. rushing about hastily in an undignified way
tussle,"n disorderly fighting
v fight or struggle in a confused way at close quarters
v make messy or untidy"
dandelion,n. any of several herbs of the genus Taraxacum having long tap roots and deeply notched leaves and bright yellow flowers followed by fluffy seed balls
pejoratively,r. in a pejorative manner
facetiously,r. not seriously
edict,n. a formal or authoritative proclamation
ultimatum,n. a final peremptory demand
chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
corpse,n the dead body of a human being
pomegranate,"n. shrub or small tree native to southwestern Asia having large red many-seeded fruit
n. large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind"
coffin,"n. box in which a corpse is buried or cremated
v. place into a coffin"
bier,"n. a coffin along with its stand
n. a stand to support a corpse or a coffin prior to burial"
oblong,"n. a plane figure that deviates from a square or circle due to elongation
s. (of a leaf shape) having a somewhat elongated form with approximately parallel sides
s. deviating from a square or circle or sphere by being elongated in one direction"
hummocky,a. Abounding in hummocks.
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
coral,"n. a variable color averaging a deep pink
n. the hard stony skeleton of a Mediterranean coral that has a delicate red or pink color and is used for jewelry
n. unfertilized lobster roe; reddens in cooking; used as garnish or to color sauces
n. marine colonial polyp characterized by a calcareous skeleton; masses in a variety of shapes often forming reefs"
gazelle,n. small swift graceful antelope of Africa and Asia having lustrous eyes
hindquarter,n. the back half of a side of meat
lathe,n. machine tool for shaping metal or wood; the workpiece turns about a horizontal axis against a fixed tool
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
witchcraft,n. the art of sorcery
palm,"n. the inner surface of the hand from the wrist to the base of the fingers
n. a linear unit based on the length or width of the human hand
n. any plant of the family Palmae having an unbranched trunk crowned by large pinnate or palmate leaves"
lucerne,n important European leguminous forage plant with trifoliate leaves and blue-violet flowers grown widely as a pasture and hay crop
harrow,"n. a cultivator that pulverizes or smooths the soil
v. draw a harrow over (land)"
furrow,"n. a long shallow trench in the ground (especially one made by a plow)
v. hollow out in the form of a furrow or groove
v. make wrinkled or creased
v. cut a furrow into a columns"
subsoil,n. the layer of soil between the topsoil and bedrock
bridle,"n. headgear for a horse; includes a headstall and bit and reins to give the rider or driver control
n. the act of restraining power or action or limiting excess
v. anger or take offense
v. put a bridle on"
halter,"n. rope or canvas headgear for a horse, with a rope for leading
n. a woman's top that fastens behind the back and neck leaving the back and arms uncovered
n. either of the rudimentary hind wings of dipterous insects; used for maintaining equilibrium during flight"
stork,n. large mostly Old World wading birds typically having white-and-black plumage
syphilis,n. a common venereal disease caused by the treponema pallidum spirochete; symptoms change through progressive stages; can be congenital (transmitted through the placenta)
garrison,"n. a fortified military post where troops are stationed
n. United States abolitionist who published an anti-slavery journal (1805-1879)
n. the troops who maintain and guard a fortified place
v. station (troops) in a fort or garrison"
forebear,n. a person from whom you are descended
venture,"n. any venturesome undertaking especially one with an uncertain outcome
n. a commercial undertaking that risks a loss but promises a profit
v. proceed somewhere despite the risk of possible dangers
v. put at risk"
asunder,s. widely separated especially in space
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
subversion,n. the act of subverting; as overthrowing or destroying a legally constituted government
hemisphere,"n. half of the terrestrial globe
n. half of a sphere
n. either half of the cerebrum"
sovereign,"n. a nation's ruler or head of state usually by hereditary right
s. greatest in status or authority or power"
writ,n. (law) a legal document issued by a court or judicial officer
adversary,n. someone who offers opposition
engulf,v. flow over or cover completely
belabor,"v. to work at or to absurd length
v. attack verbally with harsh criticism"
beachhead,"n. a bridgehead on the enemy's shoreline seized by an amphibious operation
n. an initial accomplishment that opens the way for further developments"
jungle,"n. a location marked by an intense competition and struggle for survival
n. an impenetrable equatorial forest"
summon,"v. call in an official matter, such as to attend court
v. ask to come"
tribulation,n an annoying or frustrating or catastrophic event
pedantic,s marked by a narrow focus on or display of learning especially its trivial aspects
perspicacious,s. acutely insightful and wise
scales,"n an ordered reference standard
n relative magnitude
n the ratio between the size of something and a representation of it
n a specialized leaf or bract that protects a bud or catkin
n a thin flake of dead epidermis shed from the surface of the skin
n (music) a series of notes differing in pitch according to a specific scheme (usually within an octave)
n a measuring instrument for weighing; shows amount of mass
n an indicator having a graduated sequence of marks
n a metal sheathing of uniform thickness (such as the shield attached to an artillery piece to protect the gunners)
n a flattened rigid plate forming part of the body covering of many animals
v measure by or as if by a scale
v pattern, make, regulate, set, measure, or estimate according to some rate or standard
v take by attacking with scaling ladders
v reach the highest point of
v climb up by means of a ladder
v remove the scales from
v measure with or as if with scales
v size or measure according to a scale"
scalpel,n. a thin straight surgical knife used in dissection and surgery
idiocy,n. extreme mental retardation
appendicitis,n. inflammation of the vermiform appendix
laxative,"n. a mild cathartic
a. stimulating evacuation of feces"
raccoon,"n. the fur of the North American racoon
n. an omnivorous nocturnal mammal native to North America and Central America"
cerebral,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain"
waif,n. a homeless child especially one forsaken or orphaned
oak,"n. the hard durable wood of any oak; used especially for furniture and flooring
n. a deciduous tree of the genus Quercus; has acorns and lobed leaves"
contritely,r in a rueful manner
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
ember,n. a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
pitchblende,n a mineral consisting of uranium oxide and trace amounts of radium and thorium and polonium and lead and helium; uraninite in massive form is called pitchblende which is the chief uranium ore
radium,n. an intensely radioactive metallic element that occurs in minute amounts in uranium ores
hamstring,"n. one of the tendons at the back of the knee
v. make ineffective or powerless
v. cripple by cutting the hamstring"
constellation,n. a configuration of stars as seen from the earth
modulate,"v. change the key of, in music
v. adjust the pitch, tone, or volume of
v. vary the frequency, amplitude, phase, or other characteristic of (electromagnetic waves)"
Puritan,"n. a member of a group of English Protestants who in the 16th and 17th centuries thought that the Protestant Reformation under Elizabeth was incomplete and advocated the simplification and regulation of forms of worship
n. someone who adheres to strict religious principles; someone opposed to sensual pleasures"
