flashcard,n a card with words or numbers or pictures that is flashed to a class by the teacher
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
aloud,r. using the voice; not silently
pronunciation,"n. the manner in which someone utters a word
n. the way a word or a language is customarily spoken"
specific,"n. a medicine that has a mitigating effect on a specific disease
a. (sometimes followed by `to') applying to or characterized by or distinguishing something particular or special or unique
s. stated explicitly or in detail
a. relating to or distinguishing or constituting a taxonomic species"
memorize,v. commit to memory; learn by heart
grammar,n. the branch of linguistics that deals with syntax and morphology (and sometimes also deals with semantics)
differently,r. in another and different manner;
frustrate,"v hinder or prevent (the efforts, plans, or desires) of
v treat cruelly"
frustrating,"s. discouraging by hindering
s. preventing realization or attainment of a desire"
quickly,r. with rapid movements
add,"v. make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of
v. state or say further
v. make an addition by combining numbers
v. constitute an addition"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
spoken,a. uttered through the medium of speech or characterized by speech; sometimes used in combination
slowly,r. without speed (`slow' is sometimes used informally for `slowly')
mistake,"n. a wrong action attributable to bad judgment or ignorance or inattention
n. an understanding of something that is not correct
v. identify incorrectly"
make mistakes,none
comma,"n. a punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence
n. anglewing butterfly with a comma-shaped mark on the underside of each hind wing"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
solution,"n. a homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
n. a statement that solves a problem or explains how to solve the problem
n. a method for solving a problem
n. the set of values that give a true statement when substituted into an equation"
later on,none
realize,"v. make real or concrete; give reality or substance to
v. convert into cash; of goods and property
v. expand or complete (a part in a piece of baroque music) by supplying the harmonies indicated in the figured bass"
matter,"n. a vaguely specified concern
n. that which has mass and occupies space
n. a problem
n. (used with negation) having consequence"
it doesn't matter,none
afraid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness"
be afraid to,none
laugh at,none
complete,"v. come or bring to a finish or an end; others finished in over 4 hours""
v. bring to a whole, with all the necessary parts or elements
v. complete a pass
v. write all the required information onto a form"
secret,"n. something that should remain hidden from others (especially information that is not to be passed on)
n. information known only to a special group
s. not open or public; kept private or not revealed
s. communicated covertly"
learner,n. someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs
take notes,none
term,"n. a word or expression used for some particular thing
n. a limited period of time
n. any distinct quantity contained in a polynomial
n. one of the substantive phrases in a logical proposition"
impress,"n. the act of coercing someone into government service
v. impress positively
v. produce or try to produce a vivid impression of
v. mark or stamp with or as if with pressure"
trouble,"n. a source of difficulty
n. an event causing distress or pain
n. an effort that is inconvenient
n. an unwanted pregnancy"
fast,"n. abstaining from food
v. abstain from certain foods, as for religious or medical reasons
v. abstain from eating
a. acting or moving or capable of acting or moving quickly"
look up,n an operation that determines whether one or more of a set of items has a specified property
soft,"a. yielding readily to pressure or weight
a. compassionate and kind; conciliatory
a. (of sound) relatively low in volume
a. not protected against attack (especially by nuclear weapons)"
make up,"n an event that is substituted for a previously cancelled event
n the way in which someone or something is composed
n cosmetics applied to the face to improve or change your appearance"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
deal,"n. a particular instance of buying or selling
n. a plank of softwood (fir or pine board)
n. the type of treatment received (especially as the result of an agreement)
n. the act of distributing playing cards"
deal with,none
unless,"conj. Upon any less condition than (the fact or thing stated
   in the sentence or clause which follows); if not; supposing that not;
   if it be not; were it not that; except; as, we shall fail unless we are
   industrious."
unfair,a. not fair; marked by injustice or partiality or deception
solve,v. find the solution to (a problem or question) or understand the meaning of
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
duty,"n. the social force that binds you to the courses of action demanded by that force; every opportunity, an obligation; every possession, a duty""- John D.Rockefeller Jr
n. work that you are obliged to perform for moral or legal reasons
n. a government tax on imports or exports"
easily,"r. with ease (`easy' is sometimes used informally for `easily')
r. without question"
influence,"n. a power to affect persons or events especially power based on prestige etc
n. causing something without any direct or apparent effort
n. a cognitive factor that tends to have an effect on what you do
n. the effect of one thing (or person) on another"
be angry with,none
go by,"n. A passing without notice; intentional neglect; thrusting
   away; a shifting off; adieu; as, to give a proposal the go-by."
friendship,n. the state of being friends (or friendly)
lose,"v. fail to keep or to maintain; cease to have, either physically or in an abstract sense
v. fail to win
v. suffer the loss of a person through death or removal
v. miss from one's possessions; lose sight of"
disagreement,"n. a conflict of people's opinions or actions or characters
n. the speech act of disagreeing or arguing or disputing"
development,"n. act of improving by expanding or enlarging or refining
n. a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
n. a recent event that has some relevance for the present situation
n. a district that has been developed to serve some purpose"
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
try one's best,none
unimportant,a. not important
face,"n. the front of the human head from the forehead to the chin and ear to ear
n. the general outward appearance of something
n. the striking or working surface of an implement
n. a part of a person that is used to refer to a person"
soldier,"n. an enlisted man or woman who serves in an army
n. a wingless sterile ant or termite having a large head and powerful jaws adapted for defending the colony
v. serve as a soldier in the military"
break off,none
psychologist,n. a scientist trained in psychology
Pierre,n. capital of the state of South Dakota; located in central South Dakota on the Missouri river
Antonio,none
Lillian,none
Stephen Hawking,none
used to,none
airplane,n. an aircraft that has a fixed wing and is powered by propellers or jets
terrify,v. fill with terror; frighten greatly
be terrified of,none
go to sleep,none
on,"a. in operation or operational
a. (of events) planned or scheduled
r. indicates continuity or persistence or concentration
r. in a state required for something to function or be effective"
insect,n. small air-breathing arthropod
candy,n. a rich sweet made of flavored sugar and often combined with fruit or nuts
