hello,n. an expression of greeting
name,"n. a language unit by which a person or thing is known
n. a person's reputation
n. family based on male descent
n. a well-known or notable person"
my,"a. Of or belonging to me; -- used always attributively; as, my
   body; my book; -- mine is used in the predicate; as, the book is mine.
   See Mine."
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
good,"n. benefit
n. moral excellence or admirableness
n. that which is pleasing or valuable or useful
a. having desirable or positive qualities especially those suitable for a thing specified"
morning,n. the time period between dawn and noon
How are you?,none
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
thank,v. express gratitude or show appreciation to
goodbye,n a farewell remark
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
afternoon,n. the part of the day between noon and evening
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
Mr.,n a form of address for a man
hen,"n. adult female chicken
n. adult female bird
n. flesh of an older chicken suitable for stewing
n. female of certain aquatic animals e.g. octopus or lobster"
come,"v. move toward, travel toward something or somebody or approach something or somebody
v. come to pass; arrive, as in due course
v. reach or enter a state, relation, condition, use, or position
v. to be the product or result"
and,"conj. A particle which expresses the relation of connection or
   addition. It is used to conjoin a word with a word, a clause with a
   clause, or a sentence with a sentence.
conj. In order to; -- used instead of the infinitival to,
   especially after try, come, go.
conj. It is sometimes, in old songs, a mere expletive.
conj. If; though. See An, conj."
play,"n. a dramatic work intended for performance by actors on a stage
n. a theatrical performance of a drama
n. a preset plan of action in team sports
n. a state in which action is feasible"
OK,"n a state in south central United States
k an endorsement
s being satisfactory or in satisfactory condition
r an expression of agreement normally occurring at the beginning of a sentence"
one,"n. the smallest whole number or a numeral representing this number
n. a single person or thing
s. used of a single unit or thing; not two or more
s. having the indivisible character of a unit"
two,"n. the cardinal number that is the sum of one and one or a numeral representing this number
s. being one more than one"
three,"n. the cardinal number that is the sum of one and one and one
s. being one more than two"
four,"n. the cardinal number that is the sum of three and one
s. being one more than three"
five,"n. the cardinal number that is the sum of four and one
s. being one more than four"
six,"n. the cardinal number that is the sum of five and one
s. denoting a quantity consisting of six items or units"
seven,"n. the cardinal number that is the sum of six and one
s. being one more than six"
eight,"n. the cardinal number that is the sum of seven and one
s. being one more than seven"
nine,"n. the cardinal number that is the sum of eight and one
s. denoting a quantity consisting of one more than eight and one less than ten"
ten,"n. the cardinal number that is the sum of nine and one; the base of the decimal system
s. being one more than nine"
great,"n. a person who has achieved distinction and honor in some field
s. relatively large in size or number or extent; larger than others of its kind
s. of major significance or importance
s. remarkable or out of the ordinary in degree or magnitude or effect"
ice cream,n frozen dessert containing cream and sugar and flavoring
jacket,"n. a short coat
n. an outer wrapping or casing
n. the outer skin of a potato
n. the tough metal shell casing for certain kinds of ammunition"
look,"n. the act of directing the eyes toward something and perceiving it visually
n. physical appearance
v. perceive with attention; direct one's gaze towards
v. give a certain impression or have a certain outward aspect"
baby,"n. a very young child (birth to 1 year) who has not yet begun to walk or talk
n. the youngest member of a group (not necessarily young)
n. an unborn child; a human fetus
n. (slang) sometimes used as a term of address for attractive young women"
duck,"n. small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
n. (cricket) a score of nothing by a batsman
n. flesh of a duck (domestic or wild)
n. a heavy cotton fabric of plain weave; used for clothing and tents"
how many,none
no,"n. a negative
a. quantifier; used with either mass nouns or plural count nouns for indicating a complete or almost complete lack or zero quantity of
r. referring to the degree to which a certain quality is present
r. not in any degree or manner; not at all"
right,"n. an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away""
n. location near or direction toward the right side; i.e. the side to the south when a person or object faces east
n. those who support political or social or economic conservatism; those who believe that things are better left unchanged
n. the hand that is on the right side of the body"
kite,"n. a bank check that has been fraudulently altered to increase its face value
n. a bank check drawn on insufficient funds at another bank in order to take advantage of the float
n. plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string
n. any of several small graceful hawks of the family Accipitridae having long pointed wings and feeding on insects and small animals"
lion,"n. large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male
n. a celebrity who is lionized (much sought after)"
how old,none
monkey,n. any of various long-tailed primates (excluding the prosimians)
noodle,n. a ribbonlike strip of pasta
phone,n. (phonetics) an individual sound unit of speech without concern as to whether or not it is a phoneme of some language
number,"n. the property possessed by a sum or total or indefinite quantity of units or individuals
n. a concept of quantity involving zero and units
n. a select company of people
n. a numeral or string of numerals that is used for identification"
it,n the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
pig,"n. a crude block of metal (lead or iron) poured from a smelting furnace
v. live like a pig, in squalor"
who,n a United Nations agency to coordinate international health activities and to help governments improve health services
he,n. the 5th letter of the Hebrew alphabet
brother,"n. a male with the same parents as someone else
n. a male person who is a fellow member (of a fraternity or religion or other group)
n. used as a term of address for those male persons engaged in the same movement
n. (Roman Catholic Church) a title given to a monk and used as form of address"
she,"obj. This or that female; the woman understood or referred to;
   the animal of the female sex, or object personified as feminine, which
   was spoken of.
obj. A woman; a female; -- used substantively."
sister,"n. a female person who has the same parents as another person
n. (Roman Catholic Church) a title given to a nun (and used as a form of address)
n. a female person who is a fellow member of a sorority or labor union or other group"
queen,"n. the only fertile female in a colony of social insects such as bees and ants and termites; its function is to lay eggs
n. a female sovereign ruler
n. the wife or widow of a king
n. something personified as a woman who is considered the best or most important of her kind"
rabbit,"n. any of various burrowing animals of the family Leporidae having long ears and short tails; some domesticated and raised for pets or food
n. flesh of any of various rabbits or hares (wild or domesticated) eaten as food
v. hunt rabbits"
this,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town."
are,n. a unit of surface area equal to 100 square meters
they,"obj. The plural of he, she, or it. They is never used
   adjectively, but always as a pronoun proper, and sometimes refers to
   persons without an antecedent expressed."
mother,"n. a woman who has given birth to a child (also used as a term of address to your mother)
n. a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
n. a term of address for an elderly woman
n. a term of address for a mother superior"
father,"n. a male parent (also used as a term of address to your father)
n. `Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military
n. a person who holds an important or distinguished position in some organization
n. God when considered as the first person in the Trinity"
grandma,n. the mother of your father or mother
grandpa,n the father of your father or mother
star,"n. (astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
n. any celestial body visible (as a point of light) from the Earth at night
n. an actor who plays a principal role
n. a plane figure with 5 or more points; often used as an emblem"
teacher,"n. a person whose occupation is teaching
n. a personified abstraction that teaches"
stop,"n. the event of something ending
n. the act of stopping something
n. a brief stay in the course of a journey
n. a spot where something halts or pauses"
light,"n. (physics) electromagnetic radiation that can produce a visual sensation
n. any device serving as a source of illumination
n. a particular perspective or aspect of a situation
n. an illuminated area"
red,"n. red color or pigment; the chromatic color resembling the hue of blood
n. a tributary of the Mississippi River that flows eastward from Texas along the southern boundary of Oklahoma and through Louisiana
s. of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
now,"n. the momentary present
r. in the historical present; at this point in the narration of a series of past events
r. used to preface a command or reproof or request
r. at the present moment"
green,"n. green color or pigment; resembling the color of growing grass
n. United States labor leader who was president of the American Federation of Labor from 1924 to 1952 and who led the struggle with the Congress of Industrial Organizations (1873-1952)
n. an environmentalist who belongs to the Green Party
n. a river that rises in western Wyoming and flows southward through Utah to become a tributary of the Colorado River"
let's,"n a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India
n a serve that strikes the net before falling into the receiver's court; the ball must be served again
v make it possible through a specific action or lack of action for something to happen
v actively cause something to happen
v consent to, give permission
v cause to move; cause to be in a certain position or condition
v leave unchanged
v grant use or occupation of under a term of contract"
let us,none
go,"n. a time for working (after which you will be relieved by someone else)
n. a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters
v. follow a procedure or take a course
v. move away from a place into another direction"
yellow,"n. yellow color or pigment; the chromatic color resembling the hue of sunflowers or ripe lemons
v. turn yellow
s. of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk
s. changed to a yellowish color by age"
blue,"n. blue color or pigment; resembling the color of the clear sky in the daytime
n. blue clothing
n. any organization or party whose uniforms or badges are blue
n. any of numerous small butterflies of the family Lycaenidae"
umbrella,"n. a lightweight handheld collapsible canopy
n. a formation of military planes maintained over ground operations or targets
n. having the function of uniting a group of similar things
s. covering or applying simultaneously to a number of similar items or elements or groups"
violin,n. bowed stringed instrument that is the highest member of the violin family; this instrument has four strings and a hollow body and an unfretted fingerboard and is played with a bow
color,"n. a visual attribute of things that results from the light they emit or transmit or reflect
n. interest and variety and intensity
n. the timbre of a musical sound"
orange,"n. round yellow to orange fruit of any of several citrus trees
n. orange color or pigment; any of a range of colors between red and yellow
n. any citrus tree bearing oranges
n. any pigment producing the orange color"
pink,"n. a light shade of red
n. any of various flowers of plants of the genus Dianthus cultivated for their fragrant flowers
v. sound like a car engine that is firing too early
v. cut in a zigzag pattern with pinking shears, in sewing"
white,"n. a member of the Caucasoid race
n. the quality or state of the achromatic color of greatest lightness (bearing the least resemblance to black)
n. United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
n. Australian writer (1912-1990)"
black,"n. the quality or state of the achromatic color of least lightness (bearing the least resemblance to white)
n. British chemist who identified carbon dioxide and who formulated the concepts of specific heat and latent heat (1728-1799)
n. popular child actress of the 1930's (born in 1928)
n. a person with dark skin who comes from Africa (or whose ancestors came from Africa)"
window,"n. a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air
n. a transparent opening in a vehicle that allow vision out of the sides or back; usually is capable of being opened
n. a transparent panel (as of an envelope) inserted in an otherwise opaque material
n. an opening that resembles a window in appearance or function"
X-ray,"v. examine by taking x-rays
v. take an x-ray of something or somebody"
please,"v. give pleasure to or be pleasing to
v. be the will of or have the will (to)
v. give satisfaction
r. used in polite request"
give,"n. the elasticity of something that can be stretched and returns to its original length
v. cause to have, in the abstract sense or physical sense
v. transfer possession of something concrete or abstract to somebody
v. convey or reveal information"
me,n a state in New England
ruler,n. a person who rules or commands
which,"a. Of what sort or kind; what; what a; who.
a. A interrogative pronoun, used both substantively and
   adjectively, and in direct and indirect questions, to ask for, or refer
   to, an individual person or thing among several of a class; as, which
   man is it? which woman was it? which is the house? he asked which route
   he should take; which is best, to live or to die? See the Note under
   What, pron., 1.
pron. A relative pronoun, used esp. in referring to an
   antecedent noun or clause, but sometimes with reference to what is
   specified or implied in a sentence, or to a following noun or clause
   (generally involving a reference, however, to something which has
   preceded). It is used in all numbers and genders, and was formerly used
   of persons.
pron. A compound relative or indefinite pronoun, standing for
   any one which, whichever, that which, those which, the . . . which, and
   the like; as, take which you will."
the,"v. i. See Thee.
definite article. A word placed before nouns to limit or
   individualize their meaning.
adv. By that; by how much; by so much; on that account; -- used
   before comparatives; as, the longer we continue in sin, the more
   difficult it is to reform."
Here you are.,none
You're welcome.,none
pen,"n. a writing implement with a point from which ink flows
n. an enclosure for confining livestock
n. female swan"
pencil,"n. a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
n. graphite (or a similar substance) used in such a way as to be a medium of communication
n. a figure formed by a set of straight lines or light rays meeting at a point
n. a cosmetic in a long thin stick; designed to be applied to a particular part of the face"
zoo,n the facility where wild animals are housed for exhibition
pencil-box,none
may,n. the month following April and preceding June
use,"n. the act of using
n. a particular service
n. (law) the exercise of the legal right to enjoy the benefits of owning property
v. put into service; make work or employ for a particular purpose or for its inherent or natural purpose"
sure,"s. physically secure or dependable
s. (of persons) worthy of trust or confidence
s. infallible or unfailing
s. certain not to fail"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
bag,"n. a flexible container with a single opening
n. the quantity of game taken in a particular period (usually by one person)
n. a container used for carrying money and small personal items or accessories (especially by women)
n. the quantity that a bag will hold"
crayon,"n. writing implement consisting of a colored stick of composition wax used for writing and drawing
v. write, draw, or trace with a crayon"
new,"a. not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered
s. having no previous example or precedent or parallel
s. other than the former one(s); different
a. unaffected by use or exposure"
year,"n. a period of time containing 365 (or 366) days
n. a period of time occupying a regular part of a calendar year that is used for some particular activity
n. the period of time that it takes for a planet (as, e.g., Earth or Mars) to make a complete revolution around the sun"
party,"n. an organization to gain political power
n. a group of people gathered together for pleasure
n. a band of people associated temporarily in some activity
n. an occasion on which people can assemble for social interaction and entertainment"
have a party,none
idea,"n. the content of cognition; the main thing you are thinking about
n. a personal view"
sing,"v. deliver by singing
v. produce tones with the voice
v. to make melodious sounds"
dance,"n. an artistic form of nonverbal communication
n. a party of people assembled for dancing
n. a party for social dancing
v. move in a graceful and rhythmical way"
happy,"a. enjoying or showing or marked by joy or pleasure
s. well expressed and to the point"
all,"a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
s. completely given to or absorbed by"
