abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
bereave,v. deprive through death
consecrate,v. render holy by means of religious rites
evoke,"v call forth (emotions, feelings, and responses)
v evoke or provoke to appear or occur
v deduce (a principle) or construe (a meaning)
v summon into action or bring into existence, often as if by magic
v call to mind"
groove,"n. a long narrow furrow cut either by a natural process (such as erosion) or by a tool (as e.g. a groove in a phonograph record)
n. (anatomy) any furrow or channel on a bodily structure or part
v. make a groove in, or provide with a groove"
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
obsolete,s no longer in use
prowl,"n. the act of prowling (walking about in a stealthy manner)
v. move about in or as if in a predatory manner
v. loiter about, with no apparent aim"
scoop,"n. the quantity a scoop will hold
n. a hollow concave shape made by removing something
n. the shovel or bucket of a dredge or backhoe
n. a large ladle"
status,n. the relative position or standing of things or especially persons in a society
sue,n. French writer whose novels described the sordid side of city life (1804-1857)
bandit,n. an armed thief who is (usually) a member of a band
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
defile,"n. a narrow pass (especially one between mountains)
v. place under suspicion or cast doubt upon"
deviation,"n. a variation that deviates from the standard or norm
n. the difference between an observed value and the expected value of a variable or function
n. the error of a compass due to local magnetic disturbances"
fortitude,n. strength of mind that enables one to endure adversity with courage
inconsolable,a. sad beyond comforting; incapable of being consoled
nibble,"n. gentle biting
v. bite off very small pieces
v. bite gently
v. eat intermittently; take small bites of"
pageant,"n. an elaborate representation of scenes from history etc; usually involves a parade with rich costumes
n. a rich and spectacular ceremony"
scourge,"n. a whip used to inflict punishment (often used for pedantic humor)
v. punish severely; excoriate"
tumble,"n. an acrobatic feat of rolling or turning end over end
v. fall down, as if collapsing
v. roll over and over, back and forth
v. throw together in a confused mass"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
censure,n. harsh criticism or disapproval
dissimulation,n the act of deceiving
flog,v. beat severely with a whip or rod
inscription,"n. letters inscribed (especially words engraved or carved) on something
n. the activity of inscribing (especially carving or engraving) letters or words"
meddle,v. intrude in other people's affairs or business; interfere unwantedly
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
rummage,"n. a jumble of things to be given away
v. search haphazardly"
spout,n. an opening that allows the passage of liquids or grain
traverse,"v. travel across or pass over
v. deny formally (an allegation of fact by the opposing party) in a legal suit"
wistful,s showing pensive sadness
amicable,a. characterized by friendship and good will
blizzard,n. a storm with widespread snowfall accompanied by strong winds
cruise,"n. an ocean trip taken for pleasure
v. drive around aimlessly but ostentatiously and at leisure
v. travel at a moderate speed
v. look for a sexual partner in a public place"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
glimmer,"n a flash of light (especially reflected light)
n a slight suggestion or vague understanding
v shine brightly, like a star or a light"
lump,v. put together indiscriminately
ransack,"v steal goods; take as spoils
v search thoroughly"
slash,"n. an open tract of land in a forest that is strewn with debris from logging (or fire or wind)
n. a strong sweeping cut made with a sharp instrument
v. cut with sweeping strokes; as with an ax or machete
v. cut open"
slump,"n. a noticeable deterioration in performance or quality
v. assume a drooping posture or carriage
v. fall or sink heavily
v. fall heavily or suddenly; decline markedly"
vogue,"n. the popular taste at a given time
n. a current state of general acceptance and use"
ascribe,v attribute or credit to
ascribe to,none
bulwark,"n. a fencelike structure around a deck (usually plural)
v. defend with a bulwark"
dubious,s. not convinced
facet,n. a smooth surface (as of a bone or cut gemstone)
heed,v. pay close attention to; give heed to
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
mumble,"n. a soft indistinct utterance
v. talk indistinctly; usually in a low voice
v. grind with the gums; chew without teeth and with great difficulty"
relic,n. an antiquity that has survived from the distant past
smog,n. air pollution by a mixture of smoke and fog
wayfarer,"n. a pedestrian who walks from place to place
n. a traveler going on a trip"
wont,n an established custom
absolve,v. let off the hook
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
contend,"v. maintain or assert
v. be engaged in a fight; carry on a fight"
deplore,"v. express strong disapproval of
v. regret strongly"
fracture,"n. breaking of hard tissue such as bone
n. the act of cracking something
v. violate or abuse
v. interrupt, break, or destroy"
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
pith,"n. soft spongelike central cylinder of the stems of most flowering plants
v. remove the pith from (a plant)"
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
sneak,"n. a person who is regarded as underhanded and furtive and contemptible
v. to go stealthily or furtively
v. put, bring, or take in a secretive or furtive manner"
tidings,"n information about recent and important events
v rise or move forward
v cause to float with the tide
v be carried with the tide"
aghast,"s. struck with fear, dread, or consternation"
cumber,v hold back
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
frolic,v. play boisterously
intercourse,n. communication between individuals
menace,"n. something that is a source of danger
n. a threat or the act of threatening
v. express a threat either by an utterance or a gesture
v. act in a threatening manner"
precipice,n. a very steep cliff
sanctuary,n. a consecrated place where sacred objects are kept
sprout,"n. any new growth of a plant such as a new branch or a bud
n. a newly grown bud (especially from a germinating seed)
v. put forth and grow sprouts or shoots"
tread,"n. the grooved surface of a pneumatic tire
n. the part (as of a wheel or shoe) that makes contact with the ground
n. structural member consisting of the horizontal part of a stair or step
v. tread or stomp heavily or roughly"
ammunition,"n. projectiles to be fired from a gun
n. any nuclear or chemical or biological material that can be used as a weapon of mass destruction
n. information that can be used to attack or defend a claim or argument or viewpoint"
doting,"v be foolish or senile due to old age
v shower with love; show excessive affection for
v scatter or intersperse like dots or studs
v distribute loosely
v make a dot or dots
v mark with a dot
s extravagantly or foolishly loving and indulgent"
engross,"v devote (oneself) fully to
v consume all of one's attention or time"
gush,"n a sudden rapid flow (as of water)
n an unrestrained expression of emotion
v gush forth in a sudden stream or jet
v praise enthusiastically
v issue in a jet; come out in a jet; stream or spring forth"
insuperable,"s. impossible to surmount
s. incapable of being surmounted or excelled"
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
pouch,"n. a small or medium size container for holding or carrying things
n. an enclosed space
n. (anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)
v. put into a small bag"
screech,n. a high-pitched noise resembling a human cry
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
assess,"v. charge (a person or a property) with a payment, such as a tax or a fine
v. estimate the value of (property) for taxation"
chamber,"n. a natural or artificial enclosed space
n. an enclosed volume in the body
n. a room where a judge transacts business
n. a deliberative or legislative or administrative or judicial assembly"
disdain,"n lack of respect accompanied by a feeling of intense dislike
n a communication that indicates lack of respect by patronizing the recipient
v look down on with disdain
v reject with contempt"
espy,v catch sight of
glossy,"n. a photograph that is printed on smooth shiny paper
s. (of paper and fabric and leather) having a surface made smooth and glossy especially by pressing between rollers
s. superficially attractive and stylish; suggesting wealth or expense"
janitor,n. someone employed to clean and maintain a building
packet,"n. (computer science) a message or message fragment
n. a small package or bundle"
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
scorch,"n. a surface burn
n. a plant disease that produces a browning or scorched appearance of plant tissues
n. a discoloration caused by heat
v. become superficially burned"
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
utensil,n. an implement for practical use (especially in a household)
