asperity,"n. something hard to endure
n. harshness of manner"
transpire,"v. pass through the tissue or substance or its pores or interstices, as of gas
v. exude water vapor
v. come to light; become known
v. come about, happen, or occur"
aura,"n. a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
n. an indication of radiant light drawn around the head of a saint"
banal,s. repeated too often; overfamiliar through overuse
bemuse,v cause to be confused emotionally
cognizant,a (sometimes followed by `of') having or showing knowledge or understanding or realization or perception
conundrum,n a difficult problem
evanescent,s. tending to vanish like vapor
factotum,n. a servant employed to do a variety of jobs
grandiose,"s. impressive because of unnecessary largeness or grandeur; used to show disapproval
s. affectedly genteel"
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
intransigent,"s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
laudatory,s. full of or giving praise
panache,n. a feathered plume on a helmet
picayune,s (informal) small and of little importance
predilection,n. a predisposition in favor of something
promontory,n. a natural elevation (especially a rocky one that juts out into the sea)
aggregate,"n. material such as sand or gravel used with cement and water to make concrete, mortar, or plaster
n. a sum total of many heterogenous things taken together
v. amount in the aggregate to
v. gather in a mass, sum, or whole"
allocate,v. distribute according to a plan or set apart for a special purpose
augur,"n. (ancient Rome) a religious official who interpreted omens to guide public policy
v. predict from an omen"
bastion,"n. a group that defends a principle
n. a stronghold into which people could go for shelter during a battle
n. projecting part of a rampart or other fortification"
decorum,n. propriety in manners and conduct
defunct,"s. no longer in force or use; inactive
s. having ceased to exist or live"
disarray,n. untidiness (especially of clothing and appearance)
halcyon,"n. a large kingfisher widely distributed in warmer parts of the Old World
n. a mythical bird said to breed at the time of the winter solstice in a nest floating on the sea and to have the power of calming the winds and waves
s. idyllically calm and peaceful; suggesting happy tranquillity"
homily,n. a sermon on a moral or religious topic
hyperbole,n. extravagant exaggeration
importune,v. beg persistently and urgently
jurisdiction,n. in law; the territory within which power can be exercised
ruminate,v. chew the cuds
temerity,n fearless daring
winnow,"n. the act of separating grain from chaff
v. separate the chaff from by using air currents
v. blow on"
acoustic,"n. a remedy for hearing loss or deafness
a. of or relating to the science of acoustics"
assemblage,"n a group of persons together in one place
n a system of components assembled together for a particular purpose
n the social act of assembling
n several things grouped together or considered as a whole"
august,"n. the month following July and preceding September
s. of or befitting a lord
s. profoundly honored"
auspices,n. kindly endorsement and guidance
cavil,v. raise trivial objections
curator,n. the custodian of a collection (as a museum or library)
extant,a. still in existence; not extinct or destroyed or lost
gamut,"n. a complete extent or range: ""a face that expressed a gamut of emotions""
n. the entire scale of musical notes"
ineffable,s. too sacred to be uttered
mellifluous,s pleasing to the ear
mien,n dignified manner or conduct
nonpareil,"n. colored beads of sugar used as a topping on e.g. candies and cookies
n. a flat disk of chocolate covered with beads of colored sugar"
patina,n. a fine coating of oxide on the surface of a metal
rapt,s feeling great rapture or delight
resuscitate,v. cause to regain consciousness
amenable,"s. disposed or willing to comply
s. readily reacting to suggestions and influences
s. open to being acted upon in a certain way"
ascribe,v attribute or credit to
charisma,n. a personal attractiveness or interestingness that enables you to influence others
dearth,"n. an acute insufficiency
n. an insufficient quantity or number"
demoralize,v. confuse or put into disorder
ebullient,s. joyously unrestrained
entrepreneur,n. someone who organizes a business venture and assumes the risk for it
fatuous,s devoid of intelligence
harbinger,n. something that precedes and indicates the approach of something or someone
homogeneous,a. all of the same or similar kind or nature
incumbent,"n. the official who holds an office
s. lying or leaning on something else
s. necessary (for someone) as a duty or responsibility; morally binding
s. currently holding an office"
matriarchy,n. a form of social organization in which a female is the family head and title is traced through the female line
neophyte,n. a plant that is found in an area where it had not been recorded previously
prerogative,n. a right reserved exclusively by a particular person or group (especially a hereditary or official right)
sibling,n. a person's brother or sister
accost,"v speak to someone
v approach with an offer of sexual favors"
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
bilk,"v. cheat somebody out of what is due, especially money
v. evade payment to"
consummate,"v. fulfill sexually
v. make perfect; bring to perfection
s. having or revealing supreme mastery or skill"
conversant,s. (usually followed by `with') well informed about or knowing thoroughly
credulous,"a. disposed to believe on little evidence
s. showing a lack of judgment or experience"
euphoria,n. a feeling of great (usually exaggerated) elation
fortuitous,s. occurring by happy chance
hypothetical,"n. a hypothetical possibility, circumstance, statement, proposal, situation, etc."
incoherent,"a. without logical or meaningful connection
a. (physics) of waves having no stable definite or stable phase relation
s. unable to express yourself clearly or fluently"
minuscule,"n. a small cursive script developed from uncial between the 7th and 9th centuries and used in medieval manuscripts
a. of or relating to a small cursive script developed from uncial; 7th to 9th centuries
s. very small"
pleasantry,n. an agreeable or amusing remark
procrastinate,"v. postpone doing what one should be doing
v. postpone or delay needlessly"
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
