asperity,"n. something hard to endure
n. harshness of manner"
bane,n. something causing misery or death
buffoon,"n a rude or vulgar fool
n a person who amuses others by ridiculous behavior"
doleful,s. filled with or evoking sadness
extrovert,"n. (psychology) a person concerned more with practical realities than with inner thoughts and feelings
s. being concerned with the social and physical environment"
garish,s tastelessly showy
hierarchy,"n. a series of ordered groupings of people or things within a system
n. the organization of people at different ranks in an administrative body"
imbue,v. suffuse with color
instigate,"v provoke or stir up
v serve as the inciting cause of"
penchant,n a strong liking
rambunctious,s noisy and lacking in restraint or discipline
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
rudiment,"n. the elementary stages of any subject (usually plural)
n. the remains of a body part that was functional at an earlier stage of life"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
unremitting,s uninterrupted in time and indefinitely long continuing
adjudicate,"v put on trial or hear a case and sit as the judge at the trial of
v bring to an end; settle conclusively"
centennial,"n. the 100th anniversary (or the celebration of it)
a. of or relating to or completing a period of 100 years"
countenance,"n. the appearance conveyed by a person's face
n. the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)"
disgruntle,v. put into a bad mood or into bad humour
equilibrium,"n. a stable situation in which forces cancel one another
n. a sensory system located in structures of the inner ear that registers the orientation of the head"
expedite,"v. speed up the progress of; facilitate
v. process fast and efficiently"
gird,v. bind with something round or circular
gratuitous,"s. without cause
s. unnecessary and unwarranted"
illusory,s based on or having the nature of an illusion
implacable,a. incapable of being placated
luminary,n. a celebrity who is an inspiration to others
manifesto,n. a public declaration of intentions (as issued by a political party or government)
mesmerize,"v attract strongly, as if with a magnet
v induce hypnosis in"
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
spurious,"s plausible but false
s born out of wedlock
s intended to deceive"
curtail,"v place restrictions on
v terminate or abbreviate before its intended or proper end or its full extent"
discriminate,"v. recognize or perceive the difference
v. treat differently on the basis of sex or race
v. distinguish
a. marked by the ability to see or make fine distinctions"
espionage,n. the systematic use of spies to get military or political secrets
inalienable,a. incapable of being repudiated or transferred to another
incarcerate,"v lock up or confine, in or as in a jail"
indignity,n. an affront to one's dignity or self-esteem
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
infamous,s known widely and usually unfavorably; 
intercede,v. act between parties with a view to reconciling differences
malign,a. evil or harmful in nature or influence
perpetrate,"v. perform an act, usually with a negative connotation"
rampant,"s. unrestrained and violent
s. rearing on left hind leg with forelegs elevated and head usually in profile
s. (of a plant) having a lush and unchecked growth"
rancor,n a feeling of deep and bitter anger and ill-will
reparation,"n. compensation (given or received) for an insult or injury
n. (usually plural) compensation exacted from a defeated nation by the victors
n. something done or paid in expiation of a wrong"
smattering,n. a slight or superficial understanding of a subject
accolade,n a tangible symbol signifying approval or distinction
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adulate,v. flatter in an obsequious manner
altercation,n noisy quarrel
annals,"n. reports of the work of a society or learned body etc
n. a chronological account of events in successive years"
assiduous,s. marked by care and persistent effort
chary,s characterized by great caution and wariness
clique,n. an exclusive circle of people with a common purpose
decrepit,s. lacking bodily or muscular strength or vitality
endow,"v. give qualities or abilities to
v. furnish with an endowment"
ephemeral,s. lasting a very short time
ingratiate,v. gain favor with somebody by deliberate efforts
pantheon,"n. all the gods of a religion
n. a monument commemorating a nation's dead heroes
n. (antiquity) a temple to all the gods"
perverse,s. marked by a disposition to oppose and contradict
tutelage,n. teaching pupils individually (usually by a tutor hired privately)
acrimony,n a rough and bitter manner
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
ambivalent,s. uncertain or unable to decide about what course to follow
cessation,n. a stopping
emaciated,"v cause to grow thin or weak
v grow weak and thin or waste away physically
s very thin especially from disease or hunger or cold"
enclave,n. an enclosed territory that is culturally distinct from the foreign territory that surrounds it
engender,v. call forth
exacerbate,v. exasperate or irritate
illicit,a. contrary to accepted morality (especially sexual morality) or convention
indigenous,s originating where it is found
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
infatuated,"v arouse unreasoning love or passion in and cause to behave in an irrational way
s marked by foolish or unreasoning fondness"
insatiable,a impossible to satisfy
poignant,s. keenly distressing to the mind or feelings
proselytize,v. convert to another faith or religion
ameliorate,"v to make better
v get better"
baleful,"s. deadly or sinister
s. threatening or foreshadowing evil or tragic developments"
berate,v censure severely or angrily
circumvent,"v surround so as to force to give up
v beat through cleverness and wit
v avoid or try to avoid fulfilling, answering, or performing (duties, questions, or issues)"
compunction,n. a feeling of deep regret (usually for some misdeed)
condone,"v excuse, overlook, or make allowances for; be lenient with"
diminutive,n. a word that is formed with a suffix (such as -let or -kin) to indicate smallness
euphemism,n. an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
expendable,"a. suitable to be expended
s. (used of funds) remaining after taxes"
heresy,n. a belief that rejects the orthodox tenets of a religion
infirmity,n. the state of being weak in health or body (especially from old age)
profane,"a. not concerned with or devoted to religion
s. not holy because unconsecrated or impure or defiled"
recompense,"n. payment or reward (as for service rendered)
n. the act of compensating for service or loss or injury"
repast,n the food served and eaten at one time
servitude,n. state of subjection to an owner or master or forced labor imposed as punishment
castigate,v. inflict severe punishment on
colloquial,s. characteristic of informal spoken language or conversation
epitaph,"n. an inscription on a tombstone or monument in memory of the person buried there
n. a summary statement of commemoration for a dead person"
exodus,"n. a journey by a large group to escape from a hostile environment
n. the second book of the Old Testament: tells of the departure of the Israelites out of slavery in Egypt led by Moses; God gave them the Ten Commandments and the rest of Mosaic law on Mount Sinai during the Exodus"
inter,v place in a grave or tomb
lacerate,"v. cut or tear irregularly
v. deeply hurt the feelings of; distress
s. irregularly slashed and jagged as if torn"
largesse,"n a gift or money given (as for service or out of benevolence); usually given ostentatiously
n liberality in bestowing gifts; extremely liberal and generous of spirit"
obituary,n. a notice of someone's death; usually includes a short biography
omnivorous,a. feeding on both plants and animals
permeate,v. spread or diffuse through
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
resurgence,n bringing again into activity and prominence
stereotype,n. a conventional or formulaic conception or image
stipend,n. a sum of money allotted on a regular basis; usually for some specific purpose
subservient,s. compliant and obedient to authority
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
beset,"v. assail or attack on all sides: ""The zebra was beset by leopards"""
cede,"v give over; surrender or relinquish to the physical control of another
v relinquish possession or control over"
circuitous,s. marked by obliqueness or indirection in speech or conduct
desultory,s. marked by lack of definite plan or regularity or purpose; jumping from one thing to another
galvanize,"v. cover with zinc
v. stimulate (muscles) by administering a shock"
implement,"n. instrumentation (a piece of equipment or tool) used to effect an end
v. apply in a manner consistent with its purpose or design"
inconsequential,s. not following logically as a consequence
magnitude,"n. the property of relative size or extent (whether large or small)
n. relative importance"
materialize,v come into being; become reality
muster,"n. a gathering of military personnel for duty
v. gather or bring together
v. call to duty, military service, jury duty, etc."
prohibitive,s. tending to discourage (especially of prices)
reminisce,v. recall the past
vanguard,"n. the leading units moving at the head of an army
n. the position of greatest importance or advancement; the leading position in any movement or field"
visionary,"n. a person given to fanciful speculations and enthusiasms with little regard for what is actually possible
n. a person with unusual powers of foresight"
cautionary,s. warding off
constrain,"v hold back
v restrict"
flotilla,"n. a United States Navy fleet consisting of two or more squadrons of small warships
n. a fleet of small craft"
gossamer,n. a gauze fabric with an extremely fine texture
ignominious,s (used of conduct or character) deserving or bringing disgrace or shame
incur,v. make oneself subject to; bring upon oneself; become liable to
liquidate,"v. eliminate by paying off (debts)
v. convert into cash
v. settle the affairs of by determining the debts and applying the assets to pay them off"
magnate,n a very wealthy or powerful businessman
misnomer,n. an incorrect or unsuitable name
onerous,"s not easily borne; wearing; I only had to greet the guests"""
pandemonium,n a state of extreme confusion and disorder
quixotic,s. not sensible about practical matters; idealistic and unrealistic
tenacious,"a good at remembering
s stubbornly unyielding
s sticking together"
vestige,n an indication that something has been present
zephyr,n. (Greek mythology) the Greek god of the west wind
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
axiom,n. (logic) a proposition that is not susceptible of proof or disproof; its truth is assumed to be self-evident
churlish,"s. rude and boorish
s. having a bad disposition; surly"
concoct,"v. make a concoction (of) by mixing
v. prepare or cook by mixing ingredients"
derivative,"n. a compound obtained from, or regarded as derived from, another compound
n. (linguistics) a word that is derived from another word
s. resulting from or employing derivation"
differentiate,"v. calculate a derivative; take the derivative
v. become different during development
v. become distinct and acquire a different character"
disparage,v. express a negative opinion of
dissipate,"v. live a life of pleasure, especially with respect to alcoholic consumption"
esoteric,a. confined to and understandable by only an enlightened inner circle
olfactory,a. of or relating to olfaction
plethora,n extreme excess
refurbish,v. make brighter and prettier
secrete,"v. generate and separate from cells or bodily fluids
v. place out of sight; keep secret"
vagary,"n. an unexpected and inexplicable change in something (in a situation or a person's behavior, etc.)"
volatile,"n. a volatile substance; a substance that changes readily from solid or liquid to a vapor
a. evaporating readily at normal temperatures and pressures
s. tending to vary often or widely"
agrarian,s. relating to rural matters
burgeon,v. grow and flourish
cataclysm,"n a sudden violent change in the earth's surface
n an event resulting in great loss and misfortune"
culinary,a. of or relating to or used in cooking
denigrate,"v cause to seem less serious; play down
v charge falsely or with malicious intent; attack the good name and reputation of someone"
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
grandiloquent,"s. lofty in style
s. puffed up with vanity"
hybrid,"n. a composite of mixed origin
n. (genetics) an organism that is the offspring of genetically dissimilar parents or stock; especially offspring produced by breeding plants or animals of different varieties or breeds or species
s. produced by crossbreeding"
manifold,"n. a pipe that has several lateral outlets to or from other pipes
n. a set of points such as those of a closed surface or an analogue in three or more dimensions
v. make multiple copies of"
palatable,a. acceptable to the taste or mind
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
plebeian,n. one of the common people
scourge,"n. a whip used to inflict punishment (often used for pedantic humor)
v. punish severely; excoriate"
stalemate,"n. drawing position in chess: any of a player's possible moves would place his king in check
v. subject to a stalemate"
temperate,"a. (of weather or climate) free from extremes; mild; or characteristic of such weather or climate
a. not extreme in behavior"
aftermath,n. the consequences of an event (especially a catastrophic event)
aphorism,n. a short pithy instructive saying
catharsis,"n. (psychoanalysis) purging of emotional tensions
n. purging the body by the use of a cathartic to stimulate evacuation of the bowels"
cohort,"n. a company of companions or supporters
n. a band of warriors (originally a unit of a Roman Legion)"
culpable,s deserving blame or censure as being wrong or evil or injurious
diabolical,"s showing the cunning or ingenuity or wickedness typical of a devil
s extremely evil or cruel; expressive of cruelty or befitting hell"
enormity,"n. vastness of size or extent
n. the quality of extreme wickedness
n. an act of extreme wickedness"
gibe,"n an aggressive remark directed at a person like a missile and intended to have a telling effect
v be compatible, similar or consistent; coincide in their characteristics
v laugh at with contempt and derision"
innocuous,"a. not injurious to physical or mental health
s. not causing disapproval"
necessitate,"v. require as useful, just, or proper
v. cause to be a concomitant"
odyssey,"n. a long wandering and eventful journey
n. a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
posterity,n. all future generations
premeditated,a. characterized by deliberate purpose and some degree of planning
scurrilous,s expressing offensive reproach
adjunct,"n. something added to another thing but not an essential part of it
n. a person who is an assistant or subordinate to another
n. a construction that can be used to extend the meaning of a word or phrase but is not one of the main constituents of a sentence"
belie,"v be in contradiction with
v represent falsely"
carnage,n the savage and excessive killing of many people
dilemma,n. state of uncertainty or perplexity especially as requiring a choice between equally unfavorable options
diverse,s. distinctly dissimilar or unlike
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
flout,"v treat with contemptuous disregard
v laugh at with contempt and derision"
foment,v. bathe with warm water or medicated lotions
insurrection,n organized opposition to authority; a conflict in which one faction tries to wrest control from another
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
mitigate,v. make less severe or harsh
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
singular,"n. the form of a word that is used to denote a singleton
s. being a single and separate person or thing
a. composed of one member, set, or kind
a. grammatical number category referring to a single item or unit"
somnolent,s inclined to or marked by drowsiness
stalwart,"s. dependable
s. used especially of persons"
aberration,"n. a disorder in one's mental state
n. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image"
antiquated,"v make obsolete or old-fashioned
v give an antique appearance to
s so extremely old as seeming to belong to an earlier period"
celestial,"a. of or relating to the sky
a. relating to or inhabiting a divine heaven
s. of heaven or the spirit"
certitude,n. total certainty or greater certainty than circumstances warrant
disburse,"v. expend, as from a fund"
galaxy,"n. a splendid assemblage (especially of famous people)
n. (astronomy) a collection of star systems; any of the billions of systems each having many stars and nebulae and dust"
intractable,a. not tractable; difficult to manage or mold
juncture,"n. an event that occurs at a critical time
n. a crisis situation or point in time when a critical decision must be made"
juxtapose,v. place side by side
maelstrom,n a powerful circular current of water (usually the result of conflicting tides)
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
pillory,"n. a wooden instrument of punishment on a post with holes for the wrists and neck; offenders were locked in and so exposed to public scorn
v. expose to ridicule or public scorn
v. punish by putting in a pillory"
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
remiss,s failing in what duty requires
titanic,s. of great force or power
abominate,v find repugnant
abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
animosity,n. a feeling of ill will arousing active hostility
auspicious,a. auguring favorable circumstances and good luck
beleaguer,"v annoy persistently
v surround so as to force to give up"
confidant,n. someone to whom private matters are confided
constituent,"n. a member of a constituency; a citizen who is represented in a government by officials for whom he or she votes
n. (grammar) a word or phrase or clause forming part of a larger grammatical construction
s. constitutional in the structure of something (especially your physical makeup)"
iniquitous,s. characterized by iniquity; wicked because it is believed to be a sin
inure,v. cause to accept or become hardened to; habituate
inveigh,"v complain bitterly
v speak against in an impassioned manner"
predecessor,n. one who precedes you in time (as in holding a position or office)
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
sadistic,a. deriving pleasure or sexual gratification from inflicting pain on another
scathing,s. marked by harshly abusive criticism
