tedious,"s so lacking in interest as to cause mental weariness
s using or containing too many words"
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
absorbed,s. retained without reflection
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
excursion,n. a journey taken for pleasure
earnest,"n. something of value given by one person to another to bind a contract
s. characterized by a firm and humorless belief in the validity of your opinions"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
whoa,"interj. Stop; stand; hold. See Ho, 2."
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
condense,"v. undergo condensation; change from a gaseous to a liquid state and fall in drops
v. remove water from
v. cause a gas or vapor to change into a liquid
v. become more compact or concentrated"
condensed,"v undergo condensation; change from a gaseous to a liquid state and fall in drops
v make more concise
v remove water from
v cause a gas or vapor to change into a liquid
v become more compact or concentrated
v develop due to condensation
v compress or concentrate"
exceed,"v. be greater in scope or size than some standard
v. be superior or better than some standard"
distress,"n. psychological suffering
n. a state of adversity (danger or affliction or need)
n. extreme physical pain
n. the seizure and holding of property as security for payment of a debt or satisfaction of a claim"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
distinctive,s. of a feature that helps to distinguish a person or thing
complimentary,"a. conveying or resembling a compliment
s. costing nothing"
complementary,s. of words or propositions so related that each is the negation of the other
bulk,"n. the property of something that is great in magnitude
n. the property possessed by a large mass
v. stick out or up"
criticism,"n. disapproval expressed by pointing out faults or shortcomings
n. a serious examination and judgment of something
n. a written evaluation of a work of literature"
deficit,"n. the property of being an amount by which something is less than expected or required
n. a deficiency or failure in neurological or mental functioning
n. (sports) the score by which a team or individual is losing
n. an excess of liabilities over assets (usually over a certain period)"
dumb,"s. lacking the power of human speech
s. unable to speak because of hereditary deafness"
grocery,n. (usually plural) consumer goods sold by a grocer
stationary,"s. standing still
s. not capable of being moved"
stationery,n. paper cut to an appropriate size for writing letters; usually with matching envelopes
