unidimensional,a. relating to a single dimension or aspect; having no depth or scope
agility,n. the gracefulness of a person or animal that is quick and nimble
retentive,"a. good at remembering
a. having the capacity to retain something
s. having the power, capacity, or quality of retaining water"
flabby,s out of condition; not strong or robust; incapable of exertion or endurance
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
infamous,s known widely and usually unfavorably; 
fickleness,n unfaithfulness by virtue of being unreliable or treacherous
unscrupulous,a. without scruples or principles
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
chancy,"s. of uncertain outcome; especially fraught with risk
s. subject to accident or chance or change"
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
prestigious,s. exerting influence by reason of high status or prestige
contrition,n sorrow for sin arising from fear of damnation
deplore,"v. express strong disapproval of
v. regret strongly"
repetitive,a. characterized by repetition
congenital,s. present at birth but not necessarily hereditary; acquired during fetal development
accredit,"v. grant credentials to
v. provide or send (envoys or embassadors) with official credentials
v. ascribe an achievement to"
spartan,"n. a resident of Sparta
a. of or relating to or characteristic of Sparta or its people
s. resolute in the face of pain or danger or adversity"
nonthreatening,none
irradiate,"v. cast rays of light upon
v. expose to radiation"
opulent,s rich and superior in quality
cardiac,a. of or relating to the heart
self-doubt,n lack of self-confidence
estimable,"a. deserving of respect or high regard
s. deserving of esteem and respect"
platitudinous,s dull and tiresome but with pretensions of significance or originality
piety,n. righteousness by virtue of being pious
excise,"n. a tax that is measured by the amount of business done (not on property or income from real estate)
v. levy an excise tax on
v. remove by cutting"
solo,"n. any activity that is performed alone without assistance
n. a musical composition for one voice or instrument (with or without accompaniment)
n. a flight in which the aircraft pilot is unaccompanied
v. fly alone, without a co-pilot or passengers"
stiffen,"v. become stiff or stiffer
v. make stiff or stiffer
v. restrict"
comic,a. of or relating to or characteristic of comedy
refractory,"s. not responding to treatment
s. temporarily unresponsive or not fully responsive to nervous or sexual stimuli"
automotive,"a. of or relating to motor vehicles
s. containing within itself the means of propulsion or movement"
ridge,"n. a long narrow natural elevation or striation
n. any long raised strip
n. a long narrow natural elevation on the floor of the ocean
n. a long narrow range of hills"
talent,n. a person who possesses unusual innate ability in some field or activity
buckle,"n. fastener that fastens together two ends of a belt or strap; often has loose prong
v. fasten with a buckle or buckles
v. fold or collapse"
inhibition,"n. (psychology) the conscious exclusion of unacceptable thoughts or desires
n. the quality of being inhibited
n. (physiology) the process whereby nerves can retard or prevent the functioning of an organ or part"
dividend,"n. that part of the earnings of a corporation that is distributed to its shareholders; usually paid quarterly
n. a number to be divided by another number
n. a bonus; something extra (especially a share of a surplus)"
fanatic,"n. a person motivated by irrational enthusiasm (as for a cause)
s. marked by excessive enthusiasm for and intense devotion to a cause or idea"
clemency,n. leniency and compassion shown toward offenders by a person or agency charged with administering justice
ideology,n. imaginary or visionary theorization
defamation,n. a false accusation of an offense or a malicious misrepresentation of someone's words or actions
disillusion,"n freeing from false belief or illusions
v free from enchantment"
anterior,"a. of or near the head end or toward the front plane of a body
s. earlier in time"
encumber,v hold back
conformity,"n. correspondence in form or appearance
n. acting according to certain accepted standards
n. orthodoxy in thoughts and belief"
vitriolic,"s harsh or corrosive in tone
s of a substance, especially a strong acid; capable of destroying or eating away by chemical action"
anticlimactic,"a. of or relating to a sudden change from an impressive to a ludicrous style
a. coming after the climax especially of a dramatic or narrative plot"
respiratory,a. pertaining to respiration
proclivity,n. a natural inclination
constrict,v. become tight or as if tight
connive,v. encourage or assent to illegally or criminally
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
controversial,a. marked by or capable of arousing controversy
corroboration,n confirmation that some fact or statement is true through the use of documentary evidence
undecipherable,s not easily deciphered
haughty,s having or showing arrogant superiority to and disdain of those one views as unworthy
rubbery,s. having an elastic texture resembling rubber in flexibility or toughness
supplant,v. take the place or move into the position of
institutionalize,v cause to be admitted; of persons to an institution
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
succinct,s briefly giving the gist of something
recede,v. become faint or more distant
derelict,"n. a person without a home, job, or property
s. failing in what duty requires"
hysteria,"n. excessive or uncontrollable fear
n. neurotic disorder characterized by violent emotional outbreaks and disturbances of sensory and motor functions"
pollinate,v. fertilize by transfering pollen
crater,"n. a faint constellation in the southern hemisphere near Hydra and Corvus
n. a bowl-shaped depression formed by the impact of a meteorite or bomb"
indigenous,s originating where it is found
immature,"a. characteristic of a lack of maturity
a. not yet mature"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
skinflint,n a selfish person who is unwilling to give or spend
inverse,"n. something inverted in sequence or character or effect
s. reversed (turned backward) in order or nature or effect
a. opposite in nature or effect or relation to another quantity"
scourge,"n. a whip used to inflict punishment (often used for pedantic humor)
v. punish severely; excoriate"
dutiful,s. willingly obedient out of a sense of duty and respect;
boon,s. very close and convivial
mural,"n. a painting that is applied to a wall surface
a. of or relating to walls"
transcend,"v be greater in scope or size than some standard
v be superior or better than some standard"
punishment,n. the act of punishing
unworldly,a. not concerned with the temporal world or swayed by mundane considerations
retaliate,"v. make a counterattack and return like for like, especially evil for evil"
disgruntled,s. in a state of sulky dissatisfaction
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
specialize,"v. become more focus on an area of activity or field of study
v. suit to a special purpose
v. devote oneself to a special area of work"
sumptuous,s rich and superior in quality
deviant,"n a person whose behavior deviates from what is acceptable especially in sexual behavior
s markedly different from an accepted norm"
complacence,n the feeling you have when you are satisfied with yourself
mortality,n. the quality or state of being mortal
underground,"n. a secret group organized to overthrow a government or occupation force
r. in or into hiding or secret operation
r. beneath the surface of the earth"
insight,"n. a feeling of understanding
n. the clear (and often sudden) understanding of a complex situation
n. grasping the inner nature of things intuitively"
towering,"v appear very large or occupy a commanding position
s of imposing height; especially standing out above others"
sobriety,"n. moderation in or abstinence from alcohol or other drugs
n. abstaining from excess"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
accelerate,"v. move faster
v. cause to move faster"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
sultry,s. characterized by oppressive heat and humidity
understated,s. exhibiting restrained good taste
rival,"n. the contestant you hope to defeat
v. be the rival of, be in competition with"
resuscitate,v. cause to regain consciousness
obstinacy,"n the trait of being difficult to handle or overcome
n resolute adherence to your own ideas or desires"
partiality,n. an inclination to favor one group or view or opinion over alternatives
devoid,s completely wanting or lacking
notch,"n. a V-shaped indentation
n. a V-shaped or U-shaped indentation carved or scratched into a surface
n. a small cut
v. cut or make a notch into"
reaffirmation,n renewed affirmation
spiritedness,n quality of being active or spirited or alive and vigorous
overbalance,v. cause to be off balance
affectionate,s. having or displaying warmth or affection
slipshod,s marked by great carelessness
perilous,s fraught with danger
engrave,"v. impress or affect deeply
v. carve or cut into a block used for printing or print from such a block
v. carve or cut a design or letters into"
wrongheaded,s. obstinately perverse in judgment or opinion
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
zealot,n. a member of an ancient Jewish sect in Judea in the first century who fought to the death against the Romans and who killed or persecuted Jews who collaborated with the Romans
implausible,a. having a quality that provokes disbelief
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
jeopardize,"v pose a threat to; present a danger to
v put at risk"
unqualified,"a. not limited or restricted
a. not meeting the proper standards and requirements and training"
possessed,"v have as an attribute, knowledge, or skill
v have ownership or possession of
v enter into and control, as of emotions or ideas
s influenced or controlled by a powerful force such as a strong emotion
s frenzied as if possessed by a demon"
dumbbell-like,none
nonchalance,n. the trait of remaining calm and seeming not to care; a casual lack of concern
collusive,s. acting together in secret toward a fraudulent or illegal end
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
inherent,"s existing as an essential constituent or characteristic
s in the nature of something though not readily apparent"
eradicate,"v kill in large numbers
v destroy completely, as if down to the roots"
suffrage,n a legal right guaranteed by the 15th amendment to the US Constitution; guaranteed to women by the 19th amendment
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
molten,s. reduced to liquid form by heating
hypothesis,"n. a proposal intended to explain certain facts or observations
n. a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena"
postoperative,s. happening or done after a surgical operation
premeditate,"v. consider, ponder, or plan (an action) beforehand
v. think or reflect beforehand or in advance"
frigid,s. devoid of warmth and cordiality; expressive of unfriendliness or disdain
vex,"v. subject to prolonged examination, discussion, or deliberation"
stumble,"v. walk unsteadily
v. miss a step and fall or nearly fall
v. encounter by chance
v. make an error"
contemptible,a. deserving of contempt or scorn
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
scrappy,s. full of fighting spirit
territorial,"n. nonprofessional soldier member of a territorial military unit
n. a territorial military unit
a. of or relating to a territory
a. displaying territoriality; defending a territory from intruders"
galvanize,"v. cover with zinc
v. stimulate (muscles) by administering a shock"
finicky,s exacting especially about details
transferable,"s capable of being moved or conveyed from one place to another
s legally transferable to the ownership of another"
acquiescent,s. willing to carry out the orders or wishes of another without protest
palatable,a. acceptable to the taste or mind
touchy,"s quick to take offense
s difficult to handle; requiring great tact"
chaotic,"s. lacking a visible order or organization
s. completely unordered and unpredictable and confusing
a. of or relating to a sensitive dependence on initial conditions"
oligarch,n. one of the rulers in an oligarchy
agoraphobic,s. suffering from agoraphobia; abnormally afraid of open or public places
insipid,s. lacking interest or significance or impact
sedate,"v. cause to be calm or quiet as by administering a sedative to
s. characterized by dignity and propriety"
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
evenhanded,s. without partiality
cursory,s hasty and without attention to detail; not thorough
shell,"n. ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n. the material that forms the hard outer covering of many animals
n. the hard usually fibrous outer layer of some fruits especially nuts
n. the exterior covering of a bird's egg"
evergreen,"n. a plant having foliage that persists and remains green throughout the year
a. (of plants and shrubs) bearing foliage throughout the year"
cozy,"s. enjoying or affording comforting warmth and shelter especially in a small space
s. having or fostering a warm or friendly and informal atmosphere
s. suggesting connivance"
alienate,v. make withdrawn or isolated or emotionally dissociated
serial,"n. a serialized set of programs
a. pertaining to or composed in serial technique
a. pertaining to or occurring in or producing a series
s. of or relating to the sequential performance of multiple operations"
indicate,"v. indicate a place, direction, person, or thing; either spatially or figuratively
v. to state or express briefly
v. suggest the necessity of an intervention; in medicine"
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
demotic,"n. a simplified cursive form of the ancient hieratic script
a. of or written in or belonging to the form of modern Greek based on colloquial use
s. of or for the common people"
unecological,none
resemble,v. appear like; be similar or bear a likeness to
scruple,"n. a unit of apothecary weight equal to 20 grains
n. uneasiness about the fitness of an action
n. an ethical or moral principle that inhibits action"
sanitary,a. free from filth and pathogens
resilient,"s. recovering readily from adversity, depression, or the like"
authoritative,"s. having authority or ascendancy or influence
s. of recognized authority or excellence
s. sanctioned by established authority"
circumlocution,"n. a style that involves indirect ways of expressing things
n. an indirect way of expressing something"
hereditary,"s occurring among members of a family usually by heredity
s inherited or inheritable by established rules (usually legal rules) of descent"
judicious,s. marked by the exercise of good judgment or common sense in practical matters
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
witty,s. combining clever conception and facetious expression
sparing,"v refrain from harming
v save or relieve from an experience or action
v give up what is not strictly needed
v use frugally or carefully
v furnish with spars
v fight with spurs
v box lightly
v fight verbally
s avoiding waste"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
intimation,"n an indirect suggestion
n a slight suggestion or vague understanding"
civil,"s. applying to ordinary citizens as contrasted with the military
a. not rude; marked by satisfactory (or especially minimal) adherence to social usages and sufficient but not noteworthy consideration for others
a. of or occurring within the state or between or among citizens of the state
a. of or relating to or befitting citizens as individuals"
remunerative,"s for which money is paid
s producing a sizeable profit"
verified,s. proved to be true
