unidimensional,a. relating to a single dimension or aspect; having no depth or scope
amend,v. make amendments to
wavy,s. (of hair) having waves
regenerate,"v. reestablish on a new, usually improved, basis or make new or like new
v. amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit
v. return to life; get or give new life or energy
v. replace (tissue or a body part) through the formation of new tissue"
fluffy,s like down or as soft as down
profligacy,n. dissolute indulgence in sensual pleasure
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
barrier,"n. a structure or object that impedes free movement
n. any condition that makes it difficult to make progress or to achieve an objective
n. anything serving to maintain separation by obstructing vision or access"
instinctive,s unthinking; prompted by (or as if by) instinct
adulation,n. servile flattery; exaggerated and hypocritical praise
correlate,"n. either of two or more related or complementary variables
v. to bear a reciprocal or mutual relation
v. bring into a mutual, complementary, or reciprocal relation"
hardheaded,"s. unreasonably rigid in the face of argument or entreaty or attack
s. guided by practical experience and observation rather than theory"
deficiency,"n the state of needing something that is absent or unavailable
n lack of an adequate quantity or number"
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
utilitarian,"n. someone who believes that the value of a thing depends on its utility
s. having a useful function
s. having utility often to the exclusion of values"
allusion,n. passing reference or indirect mention
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
vestigial,s. not fully developed in mature animals
harmonic,"n. a tone that is a component of a complex sound
n. any of a series of musical tones whose frequencies are integral multiples of the frequency of a fundamental
a. of or relating to harmony as distinct from melody and rhythm
a. of or relating to harmonics"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
defiant,a. boldly resisting authority or an opposing force
explanatory,s. serving or intended to explain or make clear
stimulate,"v. act as a stimulant
v. stir the feelings, emotions, or peace of
v. cause to be alert and energetic
v. stir feelings in"
ingratiating,"s. capable of winning favor
s. calculated to please or gain favor"
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
evil,"n. morally objectionable behavior
n. that which causes harm or destruction or misfortune; the good is oft interred with their bones""- Shakespeare
n. the quality of being morally wrong in principle or practice
a. morally bad or wrong"
undirected,s aimlessly drifting
stash,"n a secret store of valuables or money
v save up as for future use"
deciduous,"a. (of plants and shrubs) shedding foliage at the end of the growing season
s. (of teeth, antlers, etc.) being shed at the end of a period of growth"
shifting,"s. continuously varying
s. changing position or direction
s. (of soil) unstable"
murky,s. dark or gloomy
admonish,v. take to task
glamorous,"s. having an air of allure, romance and excitement"
disabuse,v. free somebody (from an erroneous belief)
deferential,s showing deference
denigrate,"v cause to seem less serious; play down
v charge falsely or with malicious intent; attack the good name and reputation of someone"
gratify,v. yield (to); give satisfaction to
fickle,s. marked by erratic changeableness in affections or attachments
combustible,"n. a substance that can be burned to provide heat or power
a. capable of igniting and burning"
tractable,a. easily managed (controlled or taught or molded)
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
investor,n. someone who commits capital in order to gain financial returns
reminiscent,s serving to bring to mind
bumper,"n. a glass filled to the brim (especially as a toast)
n. a mechanical device consisting of bars at either end of a vehicle to absorb shock and prevent serious damage"
illusory,s based on or having the nature of an illusion
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
complacent,s. contented to a fault with oneself or one's actions
overconfident,s marked by excessive confidence
construe,v make sense of; assign a meaning to
undisturbed,s. untroubled by interference or disturbance
grind,"n. the grade of particle fineness to which a substance is ground
n. the act of grinding to a powder or dust
v. dance by rotating the pelvis in an erotically suggestive way, often while in contact with one's partner such that the dancers' legs are interlaced
v. reduce to small pieces or particles by pounding or abrading"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
rebroadcast,n. a broadcast that repeated at a later time
energize,"v cause to be alert and energetic
v raise to a higher energy level"
clinical,"a. relating to a clinic or conducted in or as if in a clinic and depending on direct observation of patients
s. scientifically detached; unemotional"
regimental,a. belonging to or concerning a regiment
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
transmute,v. alter the nature of (elements)
prophesy,"v. predict or reveal through, or as if through, divine inspiration"
upstart,"n. an arrogant or presumptuous person
n. a person who has suddenly risen to a higher economic status but has not gained social acceptance of others in that class"
toady,"n a person who tries to please someone in order to gain a personal advantage
v try to gain favor by cringing or flattering"
distinct,"s. (often followed by `from') not alike; different in nature or quality
a. easy to perceive; especially clearly outlined
s. recognizable; marked"
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
therapeutic,a. relating to or involved in therapy
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
palpable,"a. capable of being perceived; especially capable of being handled or touched or felt
s. can be felt by palpation"
defer,"v hold back to a later time
v yield to another's wish or opinion"
stasis,"n. an abnormal state in which the normal flow of a liquid (such as blood) is slowed or stopped
n. inactivity resulting from a static balance between opposing forces"
drollery,"n. a comic incident or series of incidents
n. a quaint and amusing jest"
nutritious,s of or providing nourishment
stint,"n. an individual's prescribed share of work
v. supply sparingly and with restricted quantities"
transcription,"n. something written, especially copied from one medium to another, as a typewritten version of dictation
n. (genetics) the organic process whereby the DNA sequence in a gene is copied into mRNA; the process whereby a base sequence of messenger RNA is synthesized on a template of complementary DNA
n. a sound or television recording (e.g., from a broadcast to a tape recording)"
astronomical,"a relating or belonging to the science of astronomy
s inconceivably large"
ambiguity,"n. an expression whose meaning cannot be determined from its context
n. unclearness by virtue of having more than one meaning"
fragile,s. vulnerably delicate
perspicuous,s (of language) transparently clear; easily understandable
proprietary,a. protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights
seclusion,n. the act of secluding yourself from others
repellent,"n. a compound with which fabrics are treated to repel water
n. a chemical substance that repels animals
n. the power to repel
s. incapable of absorbing or mixing with"
intrusively,none
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
argumentative,a. given to or characterized by argument
occupation,"n. the principal activity in your life that you do to earn money
n. the control of a country by military forces of a foreign power
n. any activity that occupies a person's attention
n. the act of occupying or taking possession of a building"
flake,"v. form into flakes
v. cover with flakes or as if with flakes"
uncompromising,a. not making concessions
trite,s repeated too often; overfamiliar through overuse
empirically,r. in an empirical manner
insubstantial,"a. lacking material form or substance; unreal
s. lacking in nutritive value"
requisite,"n anything indispensable
s necessary for relief or supply"
insatiably,"r. to an insatiable degree
r. in an insatiable manner; with persistence but without satisfaction"
deign,v do something that one considers to be below one's dignity
tendentious,s. having or marked by a strong tendency especially a controversial one
tint,v. color lightly
vehicle,"n. a conveyance that transports people or objects
n. a medium for the expression or achievement of something
n. any substance that facilitates the use of a drug or pigment or other material that is mixed with it"
extant,a. still in existence; not extinct or destroyed or lost
conjecture,n. reasoning that involves the formation of conclusions from incomplete evidence
deprave,v corrupt morally or by intemperance or sensuality
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
urbanize,"v. make more industrial or city-like
v. impart urban habits, ways of life, or responsibilities upon"
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
default,"n. loss due to not showing up
n. act of failing to meet a financial obligation
v. fail to pay up"
uncharitable,a. lacking love and generosity
acquiescence,n. acceptance without protest
regretfully,r. with regret (used in polite formulas)
repetitious,a characterized by repetition
ingenious,s showing inventiveness and skill
propel,v. cause to move forward with force
imponderable,"n. a factor whose effects cannot be accurately assessed
a. difficult or impossible to evaluate with precision"
roseate,s of something having a dusty purplish pink color
intricate,s. having many complexly arranged elements; elaborate
heterogeneous,a. consisting of elements that are not of the same kind or nature
instrumental,a. relating to or designed for or performed on musical instruments
allot,"v give out
v allow to have
v administer or bestow, as in small portions"
subterranean,"s. being or operating under the surface of the earth
s. lying beyond what is openly revealed or avowed (especially being kept in the background or deliberately concealed)"
stratify,"v. divide society into social classes or castes
v. form layers or strata
v. develop different social levels, classes, or castes"
dismal,s causing dejection
fluctuate,"v. cause to fluctuate or move in a wavelike pattern
v. move or sway in a rising and falling or wavelike pattern
v. be unstable"
hormone,n. the secretion of an endocrine gland that is transmitted by the blood to the tissue on which it has a specific effect
exterminate,v. kill en masse; kill on a large scale; kill many
cordiality,n a cordial disposition
engender,v. call forth
avarice,"n. reprehensible acquisitiveness; insatiable desire for wealth (personified as one of the deadly sins)
n. extreme greed for material wealth"
querulous,s habitually complaining
obscurity,"n. an obscure and unimportant standing; not well known
n. the state of being indistinct or indefinite for lack of adequate illumination"
misalliance,n. an unsuitable alliance (especially with regard to marriage)
ultimate,"n. the finest or most superior quality of its kind
a. furthest or highest in degree or order; utmost or extreme
s. being the last or concluding element of a series"
plainspoken,s. using simple and direct language
miserable,"s. very unhappy; full of misery
s. characterized by physical misery"
undiscovered,"s. not discovered
s. not yet discovered"
insightful,s. exhibiting insight or clear and deep perception
corruption,"n. decay of matter (as by rot or oxidation)
n. moral perversion; impairment of virtue and moral principles
n. destroying someone's (or some group's) honesty or loyalty; undermining moral integrity
n. inducement (as of a public official) by improper means (as bribery) to violate duty (as by commiting a felony)"
anecdotal,a. having the character of an anecdote
commercialize,"v. exploit for maximal profit, usually by sacrificing quality
v. make commercial"
counteract,v. oppose and mitigate the effects of by contrary actions
supplement,"n. a quantity added (e.g. to make up for a deficiency)
v. add as a supplement to what seems insufficient
v. serve as a supplement to"
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
termite,n. whitish soft-bodied ant-like social insect that feeds on wood
trickle,"v. run or flow slowly, as in drops or in an unsteady stream"
anticipatory,s. in anticipation
incontrovertible,s. impossible to deny or disprove
pompous,a. characterized by pomp and ceremony and stately display
enamored,s. marked by foolish or unreasoning fondness
configuration,n. an arrangement of parts or elements
coherence,"n. the state of cohering or sticking together
n. logical and orderly and consistent relation of parts"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
patronizing,"v assume sponsorship of
v do one's shopping at; do business with; be a customer or client of
v treat condescendingly
v be a regular customer or client of
s (used of behavior or attitude) characteristic of those who treat others with condescension"
inure,v. cause to accept or become hardened to; habituate
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
diverse,s. distinctly dissimilar or unlike
rehabilitate,"v. help to readapt, as to a former state of health or good repute
v. reinstall politically
v. restore to a state of good condition or operation"
entrenched,"s. dug in
s. established firmly and securely"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
incredulity,n. doubt about the truth of something
inconvenient,"a. not suited to your comfort, purpose or needs
s. not conveniently timed"
endear,v. make attractive or lovable
discrete,s. constituting a separate entity or part
excite,"v. arouse or elicit a feeling
v. raise to a higher energy level
v. produce a magnetic field in"
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
nutritional,a. of or relating to or providing nutrition
weightless,a. having little or no weight or apparent gravitational pull; light
anaerobic,"a. living or active in the absence of free oxygen
a. not aerobic"
indigent,s poor enough to need help from others
homespun,"n. a rough loosely woven fabric originally made with yarn that was spun at home
s. of textiles; having a rough surface
s. made of cloth spun or woven in the home"
asunder,s. widely separated especially in space
mournful,s. expressing sorrow
collaborative,s. accomplished by collaboration
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
typify,"v. embody the essential characteristics of or be a typical example of
v. express indirectly by an image, form, or model; be a symbol"
bask,v. be exposed
distasteful,s. not pleasing in odor or taste
incidental,"n. an item that is incidental
a. (sometimes followed by `to') minor or casual or subordinate in significance or nature or occurring as a chance concomitant or consequence
s. not of prime or central importance"
inalienable,a. incapable of being repudiated or transferred to another
officious,s intrusive in a meddling or offensive manner
photosensitive,s sensitive to visible light
ruminant,"n. any of various cud-chewing hoofed mammals having a stomach divided into four (occasionally three) compartments
a. related to or characteristic of animals of the suborder Ruminantia or any other animal that chews a cud"
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
entice,v. provoke someone to do something through (often false or exaggerated) promises or persuasion
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
fragment,"n. a piece broken off or cut off of something else
n. an incomplete piece"
dogmatist,n. a stubborn person of arbitrary or arrogant opinions
egalitarian,n. a person who believes in the equality of all people
submerged,s. beneath the surface of the water
vicissitude,"n. a variation in circumstances or fortune at different times in your life or in the development of something
n. mutability in life or nature (especially successive alternation from one condition to another)"
shiny,"s reflecting light
a having a shiny surface or coating
s made smooth and bright by or as if by rubbing; reflecting a sheen or glow"
phonetic,"a. of or relating to speech sounds
a. of or relating to the scientific study of speech sounds"
pending,s. awaiting conclusion or confirmation
grandeur,"n the quality of being magnificent or splendid or grand
n the quality of elevation of mind and exaltation of character or ideals or conduct"
favorable,"a. encouraging or approving or pleasing
a. (of winds or weather) tending to promote or facilitate
s. occurring at a convenient or suitable time"
amorphous,"s. having no definite form or distinct shape
s. lacking the system or structure characteristic of living bodies
s. without real or apparent crystalline form"
density,n. the amount per unit size
restrict,"v. place restrictions on
v. place under restrictions; limit access to
v. place limits on (extent or access)"
distinguish,"v. mark as different
v. be a distinctive feature, attribute, or trait; sometimes in a very positive sense"
withhold,"v. hold back; refuse to hand over or share
v. retain and refrain from disbursing; of payments"
repeal,"n the act of abrogating; an official or legal cancellation
v cancel officially"
relegate,"v. refer to another person for decision or judgment
v. assign to a class or kind"
gaudy,n. (Britain) a celebratory reunion feast or entertainment held a college
sane,a. mentally healthy; free from mental disorder
undifferentiated,a. not differentiated
fallow,"n. cultivated land that is not seeded for one or more growing seasons
s. left unplowed and unseeded during a growing season
s. undeveloped but potentially useful"
unsubstantiated,s unsupported by other evidence
exonerate,v pronounce not guilty of criminal charges
stagger,"v. walk as if unable to control one's movements
v. walk with great difficulty
v. to arrange in a systematic order
v. astound or overwhelm, as with shock"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
reexamination,"n (law) questioning of a witness by the party that called the witness after that witness has been subject to cross-examination
n a subsequent examination of a patient for the purpose of monitoring earlier treatment"
artistry,n a superior skill that you can learn by study and practice and observation
unerringly,r. without making errors
