affair,"n. a usually secretive or illicit sexual relationship
n. a vaguely specified social event"
anecdote,n. short account of an incident (especially a biographical one)
assault,"n. close fighting during the culmination of a military attack
n. a threatened or attempted physical attack by someone who appears to be able to cause bodily harm if not stopped
n. thoroughbred that won the triple crown in 1946"
coverage,"n. the total amount and type of insurance carried
n. the extent to which something is covered
n. the news as presented by reporters for newspapers or radio or television"
celebrity,n. a widely known person
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
entertainment,n. an activity that is diverting and that holds the attention
expose,"n. the exposure of an impostor or a fraud
v. expose or make accessible to some action or influence
v. to show, make visible or apparent
v. expose to light, of photographic film"
fame,"n. the state or quality of being widely honored and acclaimed
n. favorable public reputation"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
fabricate,v. make up something artificial or untrue
gossip,"n. a report (often malicious) about the behavior of other people
n. a person given to gossiping and divulging personal information about others"
indecent,"s. not in keeping with accepted standards of what is right or proper in polite society
a. offensive to good taste especially in sexual matters
s. offending against sexual mores in conduct or appearance"
insult,n. a deliberately offensive act or something producing the effect of deliberate disrespect
infringement,"n an act that disregards an agreement or a right
n a crime less serious than a felony"
interrupt,"n. a signal that temporarily stops the execution of a program so that another procedure can be carried out
v. make a break in
v. destroy the peace or tranquility of
v. interfere in someone else's activity"
libel,"n. a false and malicious publication printed for the purpose of defaming a living person
n. the written statement of a plaintiff explaining the cause of action (the defamation) and any relief he seeks
v. print slanderous statements against"
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
misleading,"v lead someone in the wrong direction or give someone wrong directions
v give false or misleading information to
s designed to deceive or mislead either deliberately or inadvertently"
moral,"n. the significance of a story or event
a. concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
s. psychological rather than physical or tangible in effect"
nose,"n. the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals
n. a front that resembles a human nose (especially the front of an aircraft)
n. the front or forward projection of a tool or weapon
n. a small distance"
probe,"n. an inquiry into unfamiliar or questionable activities
n. a flexible slender surgical instrument with a blunt end that is used to explore wounds or body cavities
n. an exploratory action or expedition
n. an investigation conducted using a flexible surgical instrument to explore an injury or a body cavity"
popularity,n. the quality of being widely admired or accepted or sought after
publicity,n. the quality of being open to public view
necessarily,"r. in an essential manner
r. as a highly likely consequence"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
scrutiny,n. a prolonged intense look
sensational,"a. causing intense interest, curiosity, or emotion
a. relating to or concerned in sensation"
sensationalism,"n. subject matter that is calculated to excite and please vulgar tastes
n. the journalistic use of subject matter that appeals to vulgar tastes"
slander,n. words falsely spoken that damage the reputation of another
splash,"n. the sound like water splashing
n. a patch of bright color
n. the act of scattering water about haphazardly
v. mark or overlay with patches of contrasting color or texture; cause to appear splashed or spattered"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
supervise,"v watch and direct
v keep tabs on; keep an eye on; keep under surveillance"
rear,"n. the back of a military formation or procession
n. the side of an object that is opposite its front
n. the side that goes last or is not normally seen
v. stand up on the hind legs, of quadrupeds"
undesirable,"n. one whose presence is undesirable
a. not wanted
s. not worthy of being chosen (especially as a spouse)"
abide,"v dwell
v put up with something or somebody unpleasant"
aged,"n. people who are old collectively
s. advanced in years; (`aged' is pronounced as two syllables)
s. at an advanced stage of erosion (pronounced as one syllable)
s. having attained a specific age; (`aged' is pronounced as one syllable)"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
chronological,a. relating to or arranged according to temporal order
comprehensive,"a. including all or everything
s. broad in scope"
constrained,s. lacking spontaneity; not natural
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
demographic,"n. a statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)
a. of or relating to demography"
ethic,"n. the principles of right and wrong that are accepted by an individual or a social group
n. a system of principles governing morality and acceptable conduct"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
hire,"n. a newly hired employee
n. the act of hiring something or someone
v. engage or hire for work"
impart,"v. transmit (knowledge or skills)
v. transmit or serve as the medium for transmission"
incapable,"a. (followed by `of') lacking capacity or ability
s. not being susceptible to or admitting of something (usually followed by `of')
a. (followed by `of') not having the temperament or inclination for
s. not meeting requirements"
incentive,n. a positive motivational influence
incompetence,"n. lack of physical or intellectual ability or qualifications
n. inability of a part or organ to function properly"
mandatory,"n the recipient of a mandate
n a territory surrendered by Turkey or Germany after World War I and put under the tutelage of some other European power until they are able to stand by themselves
s required by rule"
pension,"n. a regular payment to a person that is intended to allow them to subsist without working
v. grant a pension to"
retirement,"n. the state of being retired from one's business or occupation
n. withdrawal from your position or occupation
n. withdrawal for prayer and study and meditation"
statutory,"a. relating to or created by statutes
s. prescribed or authorized by or punishable under a statute"
abuse,"n. a rude expression intended to offend or hurt
v. use foul or abusive language towards
v. use wrongly or improperly or excessively"
blackmail,"n. extortion of money by threats to divulge discrediting information
v. exert pressure on someone through threats
v. obtain through threats"
burglarproof,s. secure against burglary
camera,n. equipment for taking photographs (usually consisting of a lightproof box with a lens at one end and light-sensitive film at the other)
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
criminal,"n. someone who has committed a crime or has been legally convicted of a crime
s. guilty of crime or serious offense
s. involving or being or having the nature of a crime"
deter,v. try to prevent; show opposition to
felony,n. a serious crime (such as murder or arson)
scabrous,s. dealing with salacious or indecent material
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
intrusion,"n. entrance by force or without permission or welcome
n. the forcing of molten rock into fissures or between strata of an earlier rock formation
n. rock produced by an intrusive process"
invasion,"n. the act of invading; the act of an army that invades for conquest or plunder
n. any entry into an area not previously occupied
n. (pathology) the spread of pathogenic microorganisms or malignant cells to new sites in the body"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
violate,"v. fail to agree with; be in violation of; as of rules or patterns
v. destroy"
whereabouts,n. the general location where something is
begrudge,v. wish ill or allow unwillingly
vocation,"n the particular occupation for which you are trained
n a body of people doing the same kind of work"
distorted,s. having an intended meaning altered or misrepresented
tender,"n. something that can be used as an official medium of payment
n. car attached to a locomotive to carry fuel and water
n. a boat for communication between ship and shore
n. ship that usually provides supplies to other ships"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
idolize,v. love unquestioningly and uncritically or to excess; venerate as an idol
income,n. the financial gain (earned or unearned) accruing over a given period of time
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
money-oriented,none
moonlight,"n. the light of the Moon
v. work a second job, usually after hours"
painstaking,s characterized by extreme care and great effort
prosper,v make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
ambitious,"a. having a strong desire for success or achievement
s. requiring full use of your abilities or resources"
appealing,a. able to attract interest or draw favorable attention
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
devotion,"n. feelings of ardent love
n. commitment to some purpose
n. (usually plural) religious observance or prayers (usually spoken silently)"
diverse,s. distinctly dissimilar or unlike
sensitive,"a. responsive to physical stimuli
a. being susceptible to the attitudes, feelings, or circumstances of others
s. hurting
s. of or pertaining to classified information or matters affecting national security"
expertise,n skillfulness by virtue of possessing special knowledge
experience,"n. the accumulation of knowledge or skill that results from direct participation in events or activities
n. the content of direct observation or participation in an event
n. an event as apprehended
v. go or live through"
originality,"n. the ability to think and act independently
n. the quality of being new and original (not derived from something else)"
imbue,v. suffuse with color
instability,"n. an unstable order
n. unreliability attributable to being unstable
n. the quality or attribute of being unstable and irresolute"
quit,"v put an end to a state or an activity
v give up or retire from a position
v go away or leave
v turn away from; give up
v give up in the face of defeat of lacking hope; admit defeat"
variety,"n. (biology) a taxonomic category consisting of members of a species that differ from others of the same species in minor but heritable characteristics
n. a difference that is usually pleasant"
untrustworthy,a. not worthy of trust or belief
innovate,v bring something new to an environment
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
allocate,v. distribute according to a plan or set apart for a special purpose
autonomous,"s. (of political bodies) not controlled by outside forces
s. existing as an independent entity
s. (of persons) free from external control and constraint in e.g. action and judgment"
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
