arroyo,n. a stream or brook
travesty,v. make a travesty of
versatile,"s. having great diversity or variety
s. changeable or inconstant
s. competent in many areas and able to turn with ease from one thing to another
s. able to move freely in all directions"
woodcut,"n. a print made from a woodcut
n. engraving consisting of a block of wood with a design cut into it; used to make prints"
opus,n a musical work that has been created
pictorial,"n. a periodical (magazine or newspaper) containing many pictures
a. pertaining to or consisting of pictures"
tango,"n. a ballroom dance of Latin-American origin
n. music written in duple time for dancing the tango
v. dance a tango"
rococo,"n. fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century
s. having excessive asymmetrical ornamentation"
pitch,"n. the property of sound that varies with variation in the frequency of vibration
n. (baseball) the act of throwing a baseball by a pitcher to a batter
n. a vendor's position (especially on the sidewalk)
n. degree of deviation from a horizontal plane"
acoustic,"n. a remedy for hearing loss or deafness
a. of or relating to the science of acoustics"
aria,n. an elaborate song for solo voice
arrhythmic,"s. lacking a steady rhythm
s. without regard for rhythm"
atonal,a. characterized by avoidance of traditional western tonality
ballad,"n. a narrative song with a recurrent refrain
n. a narrative poem of popular origin"
bravura,n. brilliant and showy technical skill
cacophonous,a. having an unpleasant sound
cacophony,n. loud confusing disagreeable sounds
cello,n. a large stringed instrument; seated player holds it upright while playing
choir,"n. a chorus that sings as part of a religious ceremony
n. a family of similar musical instrument playing together
n. the area occupied by singers; the part of the chancel between sanctuary and nave
v. sing in a choir"
chord,"n. a straight line connecting two points on a curve
n. a combination of three or more notes that blend harmoniously when sounded together
v. play chords on (a string instrument)"
chorus,"n. any utterance produced simultaneously by a group
n. a group of people assembled to sing together
n. a body of dancers or singers who perform together
n. a company of actors who comment (by speaking or singing in unison) on the action in a classical Greek play"
clarion,"n. a medieval brass instrument with a clear shrill tone
v. blow the clarion
v. proclaim on, or as if on, a clarion"
coda,n the closing section of a musical composition
composer,n. someone who composes music as a profession
concerto,n. a composition for orchestra and a soloist
conservatory,"n. the faculty and students of a school specializing in one of the fine arts
n. a schoolhouse with special facilities for fine arts
n. a greenhouse in which plants are arranged in a pleasing manner"
crescendo,"n. (music) a gradual increase in loudness
v. grow louder
s. gradually increasing in volume"
dirge,n. a song or hymn of mourning composed or performed as a memorial to a dead person
discography,n. a descriptive catalog of musical recordings
ditty,n. a short simple song (or the words of a poem intended to be sung)
duet,"n. two performers or singers who perform together
n. a musical composition for two performers"
elegy,n. a mournful poem; a lament for the dead
ensemble,"n. a group of musicians playing or singing together
n. a cast other than the principals
n. an assemblage of parts or details (as in a work of art) considered as forming a whole
n. a coordinated outfit (set of clothing)"
finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
harp,"n. a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
n. a pair of curved vertical supports for a lampshade
v. come back to
v. play the harp"
harpsichord,n. a clavier with strings that are plucked by plectra mounted on pivots
jazz,"n. a genre of popular music that originated in New Orleans around 1900 and developed through increasingly complex styles
n. a style of dance music popular in the 1920s; similar to New Orleans jazz but played by large bands
v. play something in the style of jazz"
lullaby,"n. a quiet song intended to lull a child to sleep
n. the act of singing a quiet song to lull a child to sleep"
medley,n. a musical composition consisting of a series of songs or other musical pieces from various sources
mellifluous,s pleasing to the ear
melodrama,n. an extravagant comedy in which action is more salient than characterization
melody,n. the perception of pleasant arrangements of musical notes
movement,"n. a natural event that involves a change in the position or location of something
n. a group of people with a common ideology who try together to achieve certain general goals
n. a major self-contained part of a symphony or sonata
n. the driving and regulating parts of a mechanism (as of a watch or clock)"
off-key,s inaccurate in pitch
operetta,n. a short amusing opera
oratorio,n a musical composition for voices and orchestra based on a religious text
orchestra,"n. a musical organization consisting of a group of instrumentalists including string players
n. seating on the main floor in a theater"
overture,"n. orchestral music played at the beginning of an opera or oratorio
n. a tentative suggestion designed to elicit the reactions of others"
piano,"n. a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
n. (music) low loudness
a. used chiefly as a direction or description in music
r. used as a direction in music; to be played relatively softly"
quartet,"n. four performers or singers who perform together
n. a set of four similar things considered as a unit
n. four people considered as a unit
n. a musical composition for four performers"
ragtime,n. music with a syncopated melody (usually for the piano)
reprise,v. repeat an earlier theme of a composition
reverie,"n. absentminded dreaming while awake
n. an abstracted state of absorption"
scale,"n. an ordered reference standard
n. relative magnitude
n. the ratio between the size of something and a representation of it
n. a specialized leaf or bract that protects a bud or catkin"
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
sonata,n. a musical composition of 3 or 4 movements of contrasting forms
staccato,"a. (music) marked by or composed of disconnected parts or sounds; cut short crisply
r. separating the notes; in music"
symphony,n. a long and complex sonata for symphony orchestra
tenor,"n. the adult male singing voice above baritone
n. the pitch range of the highest male voice
n. an adult male with a tenor voice
n. a settled or prevailing or habitual course of a person's life"
timbre,n. (music) the distinctive property of a complex sound (a voice or noise or musical sound)
trio,"n. a musical composition for three performers
n. three performers or singers who perform together
n. a set of three similar things considered as a unit
n. three people considered as a unit"
troupe,n organization of performers and associated personnel (especially theatrical)
trumpet,"v. proclaim on, or as if on, a trumpet
v. play or blow on the trumpet
v. utter in trumpet-like sounds"
vocalist,n a person who sings
witticism,n a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
bassoon,n. a double-reed instrument; the tenor of the oboe family
cantata,n. a musical composition for voices and orchestra based on a religious text
carillon,n. set of bells hung in a bell tower
cornet,n. a brass musical instrument with a brilliant tone; has a narrow tube and a flared bell and is played by means of valves
croon,v. sing softly
fantasia,n. a musical composition of a free form usually incorporating several familiar themes
gamut,"n. a complete extent or range: ""a face that expressed a gamut of emotions""
n. the entire scale of musical notes"
percussion,"n. the act of playing a percussion instrument
n. the act of exploding a percussion cap
n. tapping a part of the body for diagnostic purposes"
serenade,"n. a song characteristically played outside the house of a woman
v. sing and play for somebody"
unison,"n. corresponding exactly
n. occurring together or simultaneously
n. (music) two or more sounds or tones at the same pitch or in octaves"
legato,"a. (music) without breaks between notes; smooth and connected
r. connecting the notes; in music"
allegory,n. an expressive style that uses fictional characters and events to describe some subject by suggestive resemblances; an extended metaphor
anagram,"n. a word or phrase spelled by rearranging the letters of another word or phrase
v. read letters out of order to discover a hidden meaning"
analogy,"n. an inference that if things agree in some respects they probably agree in others
n. drawing a comparison in order to show a similarity in some respect"
anecdote,n. short account of an incident (especially a biographical one)
annotate,v. add explanatory notes to or supply with critical comments
anthology,n. a collection of selected literary passages
aphorism,n. a short pithy instructive saying
asteroid,"n. any of numerous small celestial bodies composed of rock and metal that move around the sun (mainly between the orbits of Mars and Jupiter)
s. shaped like a star"
astrolabe,n. an early form of sextant
astrology,n. a pseudoscience claiming divination by the positions of the planets and sun and moon
autobiography,n. a biography of yourself
backdrop,n. scenery hung at back of stage
bibliography,n. a list of writings with time and place of publication (such as the writings of a single author or the works referred to in preparing a document etc.)
canon,"n. a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
n. a priest who is a member of a cathedral chapter
n. a contrapuntal piece of music in which a melody in one part is imitated exactly in other parts
n. a complete list of saints that have been recognized by the Roman Catholic Church"
canto,"n. the highest part (usually the melody) in a piece of choral music
n. a major division of a long poem"
carol,"n. joyful religious song celebrating the birth of Christ
n. a joyful song (usually celebrating the birth of Christ)
v. sing carols"
climax,"n. the highest point of anything conceived of as growing or developing or unfolding
n. the decisive moment in a novel or play
n. the most severe stage of a disease
n. arrangement of clauses in ascending order of forcefulness"
comparison,"n. the act of examining resemblances
n. relation based on similarities and differences
n. qualities that are comparable"
compose,"v. form the substance of
v. write music
v. put together out of existing material
v. calm (someone, especially oneself); make quiet"
dissertation,n. a treatise advancing a new point of view resulting from research; usually a requirement for an advanced academic degree
doggerel,n. a comic verse of irregular measure
encomium,n. a formal expression of praise
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
epigram,n. a witty saying
epitaph,"n. an inscription on a tombstone or monument in memory of the person buried there
n. a summary statement of commemoration for a dead person"
eulogy,n. a formal expression of praise for someone who has died recently
exclamation,"n. an abrupt excited utterance
n. a loud complaint or protest or reproach"
figurative,a. (used of the meanings of words or text) not literal; using figures of speech
folklore,n. the unwritten lore (stories and proverbs and riddles and songs) of a culture
hymn,"n. a song of praise (to God or to a saint or to a nation)
v. sing a hymn
v. praise by singing a hymn"
hyperbole,n. extravagant exaggeration
lampoon,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
v ridicule with satire"
libretto,n. the words of an opera or musical play
limerick,"n. port city in southwestern Ireland
n. a humorous verse form of 5 anapestic lines with a rhyme scheme aabba"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
madrigal,"n. an unaccompanied partsong for 2 or 3 voices; follows a strict poetic form
v. sing madrigals"
memoir,"n. an account of the author's personal experiences
n. an essay on a scientific or scholarly topic"
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
monologue,"n. a long utterance by one person (especially one that prevents others from participating in the conversation)
n. a (usually long) dramatic speech by a single actor"
motto,n. a favorite saying of a sect or political group
ode,n. a lyric poem with complex stanza forms
paean,n. (ancient Greece) a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity)
panegyric,"n a formal expression of praise
s formally expressing praise"
parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
parody,"n. a composition that imitates or misrepresents somebody's style, usually in a humorous way
n. humorous or satirical mimicry
v. make a spoof of or make fun of"
precept,"n rule of personal conduct
n a doctrine that is taught"
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
revue,n. a variety show with topical sketches and songs and dancing and comedians
satire,n witty language used to convey insults or scorn
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
sonnet,"n. a verse form consisting of 14 lines with a fixed rhyme scheme
v. praise in a sonnet
v. compose a sonnet"
stanza,n. a fixed number of lines of verse forming a unit of a poem
trilogy,n. a set of three literary or dramatic works related in subject or theme
valediction,"n. a farewell oration (especially one delivered during graduation exercises by an outstanding member of a graduating class)
n. the act of saying farewell"
verse,"n. a piece of poetry
n. a line of metrical text
v. compose verses or put into verse
v. familiarize through thorough study or experience"
alliterate,v. use alliteration as a form of poetry
apothegm,n a short pithy instructive saying
disquisition,n. an elaborate analytical or explanatory essay or discussion
eclogue,n. a short poem descriptive of rural or pastoral life
foreword,n. a short introductory essay preceding the text of a book
maxim,"n. a saying that is widely accepted on its own merits
n. English inventor (born in the United States) who invented the Maxim gun that was used in World War I (1840-1916)"
potboiler,n. a literary composition of poor quality that was written quickly to make money (to boil the pot)
psalm,"n. one of the 150 lyrical poems and prayers that comprise the Book of Psalms in the Old Testament; said to have been written by David
n. any sacred song used to praise the deity
v. sing or celebrate in psalms"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
screed,"n. a long monotonous harangue
n. a long piece of writing
n. an accurately levelled strip of material placed on a wall or floor as guide for the even application of plaster or concrete"
simile,n. a figure of speech that expresses a resemblance between things of different kinds (usually formed with `like' or `as')
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
aggressor,n. a confident assertive person who acts as instigator
armada,n. a large fleet
armistice,n. a state of peace agreed to between opponents so they can discuss peace terms
armory,"n. a collection of resources
n. a place where arms are manufactured"
arsenal,"n. all the weapons and equipment that a country has
n. a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms"
battalion,"n. an army unit usually consisting of a headquarters and three or more companies
n. a large indefinite number"
bellicose,s having or showing a ready disposition to fight
beleaguer,"v annoy persistently
v surround so as to force to give up"
belligerence,n. hostile or warlike attitude or nature
besiege,"v. surround so as to force to give up
v. cause to feel distressed or worried
v. harass, as with questions or requests"
capture,"n. the act of forcibly dispossessing an owner of property
n. a process whereby a star or planet holds an object in its gravitational field
n. any process in which an atomic or nuclear system acquires an additional particle
n. the act of taking of a person by force"
cavalry,"n. troops trained to fight on horseback
n. a highly mobile army unit"
combat,n. an engagement fought between two military forces
conflict,"n. an open clash between two opposing groups (or individuals)
n. opposition between two simultaneous but incompatible feelings
n. a state of opposition between persons or ideas or interests
n. an incompatibility of dates or events"
conquer,v. overcome by conquest
conquest,"n. the act of conquering
n. success in mastering something difficult"
conscript,v. enroll into service compulsorily
duel,"n. a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor
n. any struggle between two skillful opponents (individuals or groups)
v. fight a duel, as over one's honor or a woman"
feint,"n. any distracting or deceptive maneuver (as a mock attack)
v. deceive by a mock action"
firearm,n. a portable gun
flak,"n a slick spokesperson who can turn any criticism to the advantage of their employer
n intense adverse criticism
n artillery designed to shoot upward at airplanes"
fortify,"v. enclose by or as if by a fortification
v. add nutrients to"
fusillade,"n. rapid simultaneous discharge of firearms
v. attack with fusillade"
grenade,n. a small explosive bomb thrown by hand or fired from a missile
legion,"n. association of ex-servicemen
n. a large military unit"
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
martyr,"n. one who suffers for the sake of principle
n. one who voluntarily suffers death as the penalty for refusing to renounce their religion
v. kill as a martyr
v. torture and torment like a martyr"
massacre,v. kill a large number of people indiscriminately
militia,"n. civilians trained as soldiers but not part of the regular army
n. the entire body of physically fit civilians eligible by law for military service"
munition,"n. military supplies
v. supply with weapons"
musket,n. a muzzle-loading shoulder gun with a long barrel; formerly used by infantrymen
ordnance,"n military supplies
n large but transportable armament"
pistol,n. a firearm that is held and fired with one hand
posse,n. a temporary police force
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
shell,"n. ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
n. the material that forms the hard outer covering of many animals
n. the hard usually fibrous outer layer of some fruits especially nuts
n. the exterior covering of a bird's egg"
truce,n a state of peace agreed to between opponents so they can discuss peace terms
warmonger,n a person who advocates war or warlike policies
artillery,"n. large but transportable armament
n. an army unit that uses big guns"
carnage,n the savage and excessive killing of many people
decamp,"v. leave a camp
v. leave suddenly"
holocaust,"n. an act of mass destruction and loss of life (especially in war or by fire)
n. the mass murder of Jews under the German Nazi regime from 1941 until 1945"
militant,"n. a militant reformer
s. disposed to warfare or hard-line policies"
torpedo,"n. an explosive device that is set off in an oil well (or a gas well) to start or to increase the flow of oil (or gas)
n. a small firework that consists of a percussion cap and some gravel wrapped in paper; explodes when thrown forcefully against a hard surface
n. a small explosive device that is placed on a railroad track and fires when a train runs over it; the sound of the explosion warns the engineer of danger ahead
n. armament consisting of a long cylindrical self-propelled underwater projectile that detonates on contact with a target"
aorta,n. the large trunk artery that carries blood from the left ventricle of the heart to branch arteries
artery,"n. a blood vessel that carries blood from the heart to the body
n. a major thoroughfare that bears important traffic"
bile,n. a digestive juice secreted by the liver and stored in the gallbladder; aids in the digestion of fats
capillary,"n. a tube of small internal diameter; holds liquid by capillary action
n. any of the minute blood vessels connecting arterioles with venules
a. of or relating to hair
s. long and slender with a very small internal diameter"
cerebral,"a. involving intelligence rather than emotions or instinct
a. of or relating to the cerebrum or brain"
cuticle,n. the dead skin at the base of a fingernail or toenail
dimple,"n. any slight depression in a surface
n. a small natural hollow in the cheek or chin
v. mark with, or as if with, dimples"
dorsal,a. belonging to or on or near the back or upper surface of an animal or organ or part
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
epidermis,n. the outer layer of the skin covering the exterior body surface of vertebrates
esophagus,n. the passage between the pharynx and the stomach
fetus,n. an unborn or unhatched vertebrate in the later stages of development showing the main recognizable features of the mature animal
freckle,"n. a small brownish spot (of the pigment melanin) on the skin
v. become freckled
v. mark with freckles"
furrow,"n. a long shallow trench in the ground (especially one made by a plow)
v. hollow out in the form of a furrow or groove
v. make wrinkled or creased
v. cut a furrow into a columns"
gall,"n. a skin sore caused by chafing
n. abnormal swelling of plant tissue caused by insects or microorganisms or injury
v. irritate or vex"
gristle,n tough elastic tissue; mostly converted to bone in adults
homeostasis,n. (physiology) metabolic equilibrium actively maintained by several complex biological mechanisms that operate via the autonomic nervous system to offset disrupting changes
insulin,n. hormone secreted by the isles of Langerhans in the pancreas; regulates storage of glycogen in the liver and accelerates oxidation of sugar in cells
kidney,n. either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
knuckle,"n. a joint of a finger when the fist is closed
v. press or rub with the knuckles
v. shoot a marble while keeping one's knuckles on the ground"
limb,"n. one of the jointed appendages of an animal used for locomotion or grasping: arm; leg; wing; flipper
n. any of the main branches arising from the trunk or a bough of a tree
n. (astronomy) the circumferential edge of the apparent disc of the sun or the moon or a planet
n. either of the two halves of a bow from handle to tip"
lobe,"n. (anatomy) a somewhat rounded subdivision of a bodily organ or part
n. (botany) a part into which a leaf is divided
n. the enhanced response of an antenna in a given direction as indicated by a loop in its radiation pattern
n. a rounded projection that is part of a larger structure"
molar,"n. grinding tooth with a broad crown; located behind the premolars
a. of or pertaining to the grinding teeth in the back of a mammal's mouth
a. designating a solution containing one mole of solute per liter of solution"
muscle,"n. one of the contractile organs of the body
n. animal tissue consisting predominantly of contractile cells
n. authority or power or force (especially when used in a coercive way)
v. make one's way by force"
muscular,"a. of or relating to or consisting of muscle
s. having or suggesting great physical power or force"
palate,n. the upper surface of the mouth that separates the oral and nasal cavities
pancreas,n. a large elongated exocrine gland located behind the stomach; secretes pancreatic juice and insulin
plaque,n. (pathology) a small abnormal patch on or inside the body
rib,"n. support resembling the rib of an animal
n. any of the 12 pairs of curved arches of bone extending from the spine to or toward the sternum in humans (and similar bones in most vertebrates)
n. cut of meat including one or more ribs
n. a teasing remark"
rind,n. the natural outer covering of food (usually removed before eating)
ringlet,"n. a small ring
n. any of various butterflies belonging to the family Satyridae"
saliva,n. a clear liquid secreted into the mouth by the salivary glands and mucous glands of the mouth; moistens the mouth and starts the digestion of starches
semblance,n. an outward or token appearance or form that is deliberately misleading
sinew,"n a cord or band of inelastic tissue connecting a muscle with its bony attachment
n possessing muscular strength"
skeleton,"n. something reduced to its minimal form
n. a scandal that is kept secret
n. the internal supporting structure that gives an artifact its shape"
stature,"n. high level of respect gained by impressive development or achievement
n. (of a standing person) the distance from head to foot"
sturdy,s. substantially made or constructed
vascular,a. of or relating to or having vessels that conduct and circulate fluids
vessel,"n. a tube in which a body fluid circulates
n. a craft designed for water transportation
n. an object used as a container (especially for liquids)"
wrinkle,"n. a slight depression in the smoothness of a surface
n. a minor difficulty
n. a clever method of doing something (especially something new and different)
v. make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in"
wrist,n. a joint between the distal end of the radius and the proximal row of carpal bones
auricular,"a. relating to or perceived by or shaped like the organ of hearing; I must hear what I read""- George Santayana
a. pertaining to an auricle of the heart"
cadaver,n. the dead body of a human being
cephalic,a. of or relating to the head
complexion,"n. the coloring of a person's face
n. a combination that results from coupling or interlinking
n. a point of view or general attitude or inclination
n. texture and appearance of the skin of the face"
crinkle,"n a slight depression in the smoothness of a surface
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v become wrinkled or crumpled or creased"
gastric,a. relating to or involving the stomach
incisor,n. a tooth for cutting or gnawing; located in the front of the mouth in both jaws
intestine,n. the part of the alimentary canal between the stomach and the anus
puberty,n. the time of life when sex glands become functional
pulsation,"n. (electronics) a sharp transient wave in the normal electrical state (or a series of such transients)
n. a periodically recurring phenomenon that alternately increases and decreases some quantity"
tresses,n a hairdo formed by braiding or twisting the hair
ventral,a. toward or on or near the belly (front of a primate or lower surface of a lower animal)
visage,"n the human face (`kisser' and `smiler' and `mug' are informal terms for `face' and `phiz' is British)
n the appearance conveyed by a person's face"
wig,"n. hairpiece covering the head and made of real or synthetic hair
n. British slang for a scolding"
callus,"n. bony tissue formed during the healing of a fractured bone
n. (botany) an isolated thickening of tissue, especially a stiff protuberance on the lip of an orchid
v. cause a callus to form on"
cavity,"n. space that is surrounded by something
n. soft decayed area in a tooth; progressive decay can lead to the death of a tooth
n. (anatomy) a natural hollow or sinus within the body"
girth,n. the distance around a person's body
ocular,"a. of or relating to or resembling the eye
a. relating to or using sight
s. visible; give me the ocular proof""- Shakespeare"
pulmonary,a relating to or affecting the lungs
tendinous,a. consisting of tendons or resembling a tendon
anthropologist,n. a social scientist who specializes in anthropology
demography,n. the branch of sociology that studies the characteristics of human populations
ethnic,n. a person who is a member of an ethnic group
ethnology,n. the branch of anthropology that deals with the division of humankind into races and with their origins and distribution and distinctive characteristics
ethos,n. (anthropology) the distinctive spirit of a culture or an era
genealogy,"n. successive generations of kin
n. the study or investigation of ancestry and family history"
academician,"n. someone elected to honorary membership in an academy
n. a scholar who is skilled in academic disputation
n. an educator who works at a college or university"
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
acolyte,n. someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
acrobat,n. an athlete who performs acts requiring skill and agility and coordination
adherent,s. sticking fast
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
aesthete,n one who professes great sensitivity to the beauty of art and nature
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
anathema,"n. a detested person
n. a formal ecclesiastical curse accompanied by excommunication"
antecedent,"n. a preceding occurrence or cause or event
n. anything that precedes something similar in time
n. the referent of an anaphor; a phrase or clause that is referred to by an anaphoric pronoun"
apostate,s. not faithful to religion or party or cause
apothecary,n a health professional trained in the art of preparing and dispensing drugs
apprentice,"n. works for an expert to learn a trade
v. be or work as an apprentice"
architect,n. someone who creates plans to be used in making something (such as buildings)
aristocracy,"n a privileged class holding hereditary titles
n the most powerful members of a society"
ascetic,"a. pertaining to or characteristic of an ascetic or the practice of rigorous self-discipline
s. practicing great self-denial"
aspirant,"n. an ambitious and aspiring young person
s. desiring or striving for recognition or advancement"
audience,"n. a gathering of spectators or listeners at a (usually public) performance
n. the part of the general public interested in a source of information or entertainment"
avant-courier,"n. A person dispatched before another person or
   company, to give notice of his or their approach."
ballerina,n. a female ballet dancer
bard,"n. a lyric poet
n. an ornamental caparison for a horse"
beholder,n a person who becomes aware (of things or events) through the senses
bellwether,"n. someone who assumes leadership of a movement or activity
n. sheep that leads the herd often wearing a bell"
benefactor,n. a person who helps people or institutions (especially with financial help)
bibliophile,n. someone who loves (and usually collects) books
bigot,n. a prejudiced person who is intolerant of any opinions differing from his own
blowhard,n a very boastful and talkative person
bodyguard,"n. someone who escorts and protects a prominent person
n. a group of men who escort and protect some important person"
boor,n a crude uncouth ill-bred person lacking culture or refinement
bore,"n. a person who evokes boredom
n. diameter of a tube or gun barrel
n. a hole or passage made by a drill; usually made for exploratory purposes
v. cause to be bored"
braggadocio,n. vain and empty boasting
braggart,"n a very boastful and talkative person
s exhibiting self-importance"
brat,"n a very troublesome child
n a small pork sausage"
bricklayer,n. a craftsman skilled in building with bricks
broker,v. act as a broker
buffoon,"n a rude or vulgar fool
n a person who amuses others by ridiculous behavior"
bully,"n. a cruel and brutal fellow
n. a hired thug"
bystander,n. a nonparticipant spectator
cadet,n. a military trainee (as at a military academy)
canary,"n. a female singer
n. any of several small Old World finches
s. having the color of a canary; of a light to moderate yellow"
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
cardiologist,n. a specialist in cardiology; a specialist in the structure and function and disorders of the heart
carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
cartographer,n. a person who makes maps
cavalier,"n. a gallant or courtly gentleman
n. a royalist supporter of Charles I during the English Civil War
s. given to haughty disregard of others"
chameleon,"n. a changeable or inconstant person
n. lizard of Africa and Madagascar able to change skin color and having a projectile tongue"
champion,"n. someone who has won first place in a competition
n. someone who fights for a cause
v. protect or fight for as a champion
s. holding first place in a contest"
chancellor,"n. the person who is head of state (in several countries)
n. the honorary or titular head of a university"
charlatan,n a flamboyant deceiver; one who attracts customers with tricks or jokes
chef,n. a professional cook
churl,"n a crude uncouth ill-bred person lacking culture or refinement
n a selfish person who is unwilling to give or spend
n a bad-tempered person"
civilian,"n. a nonmilitary citizen
a. associated with civil life or performed by persons who are not active members of the military"
clam,"n. burrowing marine mollusk living on sand or mud; the shell closes with viselike firmness
n. flesh of either hard-shell or soft-shell clams
v. gather clams, by digging in the sand by the ocean"
clientele,n. customers collectively
clown,"n. a rude or vulgar fool
n. a person who amuses others by ridiculous behavior
v. act as or like a clown"
cobbler,"n. a person who makes or repairs shoes
n. tall sweetened iced drink of wine or liquor with fruit"
colossus,n. a person of exceptional importance and reputation
comedienne,"n. a female actor in a comedy
n. a female comedian"
companion,"n. a friend who is frequently in the company of another
n. a traveler who accompanies you
n. one paid to accompany or assist or live with another"
compatriot,n. a person from your own country
connoisseur,n. an expert able to appreciate a field; especially in the fine arts
convert,"n. a person who has been converted to another religious or political belief
v. change from one system to another or to a new plan or policy
v. change the nature, purpose, or function of something
v. change religious beliefs, or adopt a religious belief"
cosmopolitan,"n. a sophisticated person who has travelled in many countries
a. growing or occurring in many parts of the world
a. composed of people from or at home in many parts of the world; especially not provincial in attitudes or interests
s. of worldwide scope or applicability"
coward,"n. a person who shows fear or timidity
n. English dramatist and actor and composer noted for his witty and sophisticated comedies (1899-1973)"
critic,"n. a person who is professionally engaged in the analysis and interpretation of works of art
n. anyone who expresses a reasoned judgment of something
n. someone who frequently finds fault or makes harsh and unfair judgments"
cub,"n. an awkward and inexperienced youth
n. a male child (a familiar term of address to a boy)
n. the young of certain carnivorous mammals such as the bear or wolf or lion
v. give birth to cubs"
curator,n. the custodian of a collection (as a museum or library)
curmudgeon,n. a crusty irascible cantankerous old person full of stubborn ideas
custodian,n. one having charge of buildings or grounds or animals
cynic,"n. someone who is critical of the motives of others
n. a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
dandy,n. a man who is much concerned with his dress and appearance
daredevil,"n. a reckless impetuous irresponsible person
s. presumptuously daring"
defeatist,n. someone who is resigned to defeat without offering positive suggestions
delegate,"n. a person appointed or elected to represent others
v. transfer power to someone
v. give an assignment to (a person) to a post, or assign a task to (a person)"
demagogue,n. a political leader who seeks support by appealing to popular passions and prejudices
denizen,n. a plant or animal naturalized in a region
deputy,"n. someone authorized to exercise the powers of sheriff in emergencies
n. an assistant with power to act when his superior is absent
n. a member of the lower chamber of a legislative assembly (such as in France)
n. a person appointed to represent or act on behalf of others"
dermatologist,n. a doctor who specializes in the physiology and pathology of the skin
descendant,"n. a person considered as descended from some ancestor or race
s. going or coming down
s. proceeding by descent from an ancestor"
deserter,"n. a disloyal person who betrays or deserts his cause or religion or political party or friend etc.
n. a person who abandons their duty (as on a military post)"
designer,n. a person who devises plots or intrigues
despot,n a cruel and oppressive dictator
devotee,n an ardent follower and admirer
diehard,n one who adheres to traditional views
dilettante,s. showing frivolous or superficial interest; amateurish
disciple,n. someone who believes and helps to spread the doctrine of another
