fray,v. wear away by rubbing
draught,"n a serving of drink (usually alcoholic) drawn from a keg
n a large and hurried swallow
n a current of air (usually coming into a chimney or room or vehicle)
n the depth of a vessel's keel below the surface (especially when loaded)
n a dose of liquid medicine
n the act of moving a load by drawing or pulling
v make a blueprint of"
chimpanzee,n. intelligent somewhat arboreal ape of equatorial African forests
generate,"v. bring into existence
v. produce (energy)"
subvert,v. destroy completely
cynic,"n. someone who is critical of the motives of others
n. a member of a group of ancient Greek philosophers who advocated the doctrine that virtue is the only good and that the essence of virtue is self-control"
filial,"a. designating the generation or the sequence of generations following the parental generation
a. relating to or characteristic of or befitting an offspring"
legislate,"v. make laws, bills, etc. or bring into effect by legislation"
inexorable,"s not to be placated or appeased or moved by entreaty
s impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
tinge,v. affect as in thought or feeling
complacency,n. the feeling you have when you are satisfied with yourself
destitute,s. poor enough to need help from others
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
deride,v. treat or speak of with contempt
reaffirm,v. affirm once again
shirk,v. avoid dealing with
mediate,"v. occupy an intermediate or middle position or form a connecting link or stage between two others
a. acting through or dependent on an intervening agency"
conciliator,n. someone who tries to bring peace
amicable,a. characterized by friendship and good will
recalcitrant,s. marked by stubborn resistance to authority
demographic,"n. a statistic characterizing human populations (or segments of human populations broken down by age or sex or income etc.)
a. of or relating to demography"
affluence,n. abundant wealth
invoke,v. cite as an authority; resort to
pervert,"n. a person whose behavior deviates from what is acceptable especially in sexual behavior
v. change the inherent purpose or function of something"
mass,"n. the property of a body that causes it to have weight in a gravitational field
n. an ill-structured collection of similar things (objects or people)
n. (Roman Catholic Church and Protestant Churches) the celebration of the Eucharist
n. a body of matter without definite shape"
inoculate,"v. introduce an idea or attitude into the mind of
v. introduce a microorganism into
v. insert a bud for propagation"
decipher,v. read with difficulty
gag,"n. restraint put into a person's mouth to prevent speaking or shouting
v. prevent from speaking out
v. tie a gag around someone's mouth in order to silence them
v. make jokes or quips"
aerobics,n. exercise that increases the need for oxygen
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
quaver,"n. a tremulous sound
v. give off unsteady sounds, alternating in amplitude or frequency"
purge,"n. the act of clearing yourself (or another) from some stigma or charge
n. an act of removing by cleansing; ridding of sediment or other undesired elements
n. an abrupt or sudden removal of a person or group from an organization or place
v. oust politically"
haphazard,"s. dependent upon or characterized by chance
s. marked by great carelessness
r. without care; in a slapdash manner"
detour,"n. a roundabout road (especially one that is used temporarily while a main route is blocked)
v. travel via a detour"
infringe,"v go against, as of rules and laws
v advance beyond the usual limit"
fillet,"n. a boneless steak cut from the tenderloin of beef
n. a longitudinal slice or boned side of a fish
n. fastener consisting of a narrow strip of welded metal used to join steel members
v. decorate with a lace of geometric designs"
tulip,n. any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
maim,v. injure or wound seriously and leave permanent disfiguration or mutilation
abject,"s. of the most contemptible kind
s. most unfortunate or miserable
s. showing utter resignation or hopelessness
s. showing humiliation or submissiveness"
braid,"n. a hairdo formed by braiding or twisting the hair
n. trimming used to decorate clothes or curtains
v. make by braiding or interlacing
v. decorate with braids or ribbons"
insomuch,r. to such an extent or degree; so
discreet,a. marked by prudence or modesty and wise self-restraint
impeccable,s. not capable of sin
devious,"s. indirect in departing from the accepted or proper way; misleading
s. characterized by insincerity or deceit; evasive
s. deviating from a straight course"
insolent,"s marked by casual disrespect
s unrestrained by convention or propriety"
bewitch,"v attract; cause to be enamored
v attract strongly, as if with a magnet
v cast a spell over someone or something; put a hex on someone or something"
putrid,"a. of or relating to or attended by putrefaction
s. in an advanced state of decomposition and having a foul odor
s. morally corrupt or evil"
abhor,v. find repugnant
barter,"n. an equal exchange
v. exchange goods without involving money"
banish,"v. expel from a community or group
v. ban from a place of residence, as for punishment
v. expel, as if by official decree
v. drive away"
belittle,"v cause to seem less serious; play down
v express a negative opinion of
v lessen the authority, dignity, or reputation of"
decency,"n. the quality of conforming to standards of propriety and morality
n. the quality of being polite and respectable"
clone,"n. a group of genetically identical cells or organisms derived from a single cell or individual by some kind of asexual reproduction
v. make multiple identical copies of"
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
ethical,"a. of or relating to the philosophical study of ethics
a. conforming to accepted standards of social or professional behavior
s. adhering to ethical and moral principles"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
perverse,s. marked by a disposition to oppose and contradict
unscrupulous,a. without scruples or principles
hotly,r in a heated manner
infertile,a incapable of reproducing
conjure,"v summon into action or bring into existence, often as if by magic
v ask for or request earnestly
v engage in plotting or enter into a conspiracy, swear together"
futuristic,a. of or relating to futurism
unsettle,v disturb the composure of
implant,"n. a prosthesis placed permanently in tissue
v. fix or set securely or deeply
v. become attached to and embedded in the uterus"
womb,n a hollow muscular organ in the pelvic cavity of females; contains the developing fetus
sibling,n. a person's brother or sister
bizarre,s. conspicuously or grossly unconventional or unusual
scenario,"n. an outline or synopsis of a play (or, by extension, of a literary work)
n. a setting for a work of art or literature
n. a postulated sequence of possible events"
thorny,s. bristling with perplexities
proceeding,n. (law) the institution of a sequence of steps by which legal judgments are invoked
oversight,"n. an unintentional omission resulting from failure to notice something
n. a mistake resulting from inattention"
scuttle,n. container for coal; shaped to permit pouring the coal onto the fire
diverge,"v. move or draw apart
v. have no limits as a mathematical series
v. extend in a different direction"
magpie,"n. long-tailed black-and-white crow that utters a raucous chattering call
n. someone who collects things that have been discarded by others"
mainstream,n. the prevailing current of thought
magnetism,"n. attraction for iron; associated with electric currents as well as magnets; characterized by fields of force
n. the branch of science that studies magnetism"
safari,n an overland journey by hunters (especially in Africa)
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
saffron,"n. Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food
n. dried pungent stigmas of the Old World saffron crocus"
deify,"v. consider as a god or godlike
v. exalt to the position of a God"
ooze,"n any thick, viscous matter
n the process of seeping
v pass gradually or leak through or as if through small openings
v release (a liquid) in drops or small quantities"
simulate,v. make a pretence of
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
remit,"n. the topic that a person, committee, or piece of research is expected to deal with or has authority to deal with
v. send (money) in payment
v. release from (claims, debts, or taxes)
v. refer (a matter or legal case) to another committee or authority or court for decision"
reimburse,v. pay back for some expense incurred
imbue,v. suffuse with color
fervor,"n feelings of great warmth and intensity
n the state of being emotionally aroused and worked up"
hamlet,"n. a community of people smaller than a village
n. the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father"
harp,"n. a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers
n. a pair of curved vertical supports for a lampshade
v. come back to
v. play the harp"
repel,"v. cause to move back by force or influence
v. be repellent to; cause aversion in
v. force or drive back"
fugitive,"n. someone who flees from an uncongenial situation
n. someone who is sought by law officers; someone trying to elude justice"
fervent,s. extremely hot
ardent,"s. characterized by intense emotion
s. characterized by strong enthusiasm
s. glowing or shining like fire"
bicker,n. a quarrel about petty points
clemency,n. leniency and compassion shown toward offenders by a person or agency charged with administering justice
leniency,"n mercifulness as a consequence of being lenient or tolerant
n a disposition to yield to the wishes of someone
n lightening a penalty or excusing from a chore by judges or parents or teachers"
whittle,"n. English aeronautical engineer who invented the jet aircraft engine (1907-1996)
v. cut small bits or pare shavings from"
benefactor,n. a person who helps people or institutions (especially with financial help)
hangings,"n decoration that is hung (as a tapestry) on a wall or over a window
n a form of capital punishment; victim is suspended by the neck from a gallows or gibbet until dead
n the act of suspending something (hanging it from above so it moves freely)
v be suspended or hanging
v cause to be hanging or suspended
v kill by hanging
v let drop or droop
v fall or flow in a certain way
v be menacing, burdensome, or oppressive
v give heed (to)
v be suspended or poised
v hold on tightly or tenaciously
v be exhibited
v prevent from reaching a verdict, of a jury
v decorate or furnish with something suspended
v be placed in position as by a hinge
v place in position as by a hinge so as to allow free movement in one direction
v suspend (meat) in order to get a gamey taste"
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
attest,"v. provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes
v. authenticate, affirm to be true, genuine, or correct, as in an official capacity
v. establish or verify the usage of"
versatility,n. having a wide variety of skills
cursory,s hasty and without attention to detail; not thorough
tumultuous,s characterized by unrest or disorder or insubordination
shuffle,"n. the act of mixing cards haphazardly
v. walk by dragging one's feet
v. move about, move back and forth
v. mix so as to make a random order or arrangement"
partition,"n. a vertical structure that divides or separates (as a wall divides one room from another)
n. (computer science) the part of a hard disk that is dedicated to a particular operating system or application and accessed as a single unit
n. (anatomy) a structure that separates areas in an organism
v. divide into parts, pieces, or sections"
dynamic,"a. characterized by action or forcefulness or force of personality
a. of or relating to dynamics"
undertow,"n. an inclination contrary to the strongest or prevailing feeling
n. the seaward undercurrent created after waves have broken on the shore"
turmoil,"n a violent disturbance
n violent agitation
n disturbance usually in protest"
reshape,"v. shape anew or differently
v. shape again or shape differently"
gene,n. (genetics) a segment of DNA that is involved in producing a polypeptide chain; it can include regions preceding and following the coding DNA as well as introns between the exons; it is considered a unit of heredity
genetic,"a. pertaining to or referring to origin
a. of or relating to the science of genetics"
rover,n. an adult member of the Boy Scouts movement
marker,"n. some conspicuous object used to distinguish or mark something
n. a distinguishing symbol
n. a writing implement for making a mark"
intermingle,v combine into one
niche,"n. a position particularly well suited to the person who occupies it
n. (ecology) the status of an organism within its environment and community (affecting its survival as a species)"
barbarian,s. without civilizing influences
surge,"n. a sudden or abrupt strong increase
v. see one's performance improve"
legendary,s. so celebrated as to having taken on the nature of a legend
upheaval,n. (geology) a rise of land to a higher elevation (as in the process of mountain building)
innovation,"n a creation (a new device or process) resulting from study and experimentation
n the creation of something in the mind
n the act of starting something for the first time; introducing something new"
bedraggled,"s. limp and soiled as if dragged in the mud
s. in deplorable condition"
apathy,"n. an absence of emotion or enthusiasm
n. the trait of lacking enthusiasm for or interest in things generally"
impotence,n. an inability (usually of the male animal) to copulate
schizophrenia,n. any of several psychotic disorders characterized by distortions of reality and disturbances of thought and language and withdrawal from social contact
contraceptive,"n. an agent or device intended to prevent conception
s. capable of preventing conception or impregnation"
satiate,"v. fill to satisfaction
a. supplied (especially fed) to satisfaction"
gripe,"n. informal terms for objecting
v. complain"
trespass,"n. a wrongful interference with the possession of property (personal property as well as realty), or the action instituted to recover damages
n. entry to another's property without right or permission
v. enter unlawfully on someone's property
v. make excessive use of"
din,v. instill (into a person) by constant repetition
nutrient,n. any substance (such as a chemical element or inorganic compound) that can be taken in by a green plant and used in organic synthesis
sultan,n. the ruler of a Muslim country (especially of the former Ottoman Empire)
mermaid,n. half woman and half fish; lives in the sea
solace,n. comfort in disappointment or misery
capillary,"n. a tube of small internal diameter; holds liquid by capillary action
n. any of the minute blood vessels connecting arterioles with venules
a. of or relating to hair
s. long and slender with a very small internal diameter"
adulterate,s. mixed with impurities
predatory,s. living by preying on other animals especially by catching living prey
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
captivate,v attract; cause to be enamored
bonnet,"n. a hat tied under the chin
v. dress in a bonnet"
boon,s. very close and convivial
rift,"n. a gap between cloud masses
n. a narrow fissure in rock"
fondle,v touch or stroke lightly in a loving or endearing manner
cascade,"n. a small waterfall or series of small waterfalls
n. a succession of stages or operations or processes or units
v. rush down in big quantities, like a cascade
v. arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible"
cavity,"n. space that is surrounded by something
n. soft decayed area in a tooth; progressive decay can lead to the death of a tooth
n. (anatomy) a natural hollow or sinus within the body"
exult,v. feel extreme happiness or elation
conciliate,"v cause to be more favorably inclined; gain the good will of
v come to terms
v make (one thing) compatible with (another)"
glum,s. moody and melancholic
hegemony,n. the dominance or leadership of one social group or nation over others
entwine,"v tie or link together
v spin,wind, or twist together"
pharmaceutical,"n. drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment
a. of or relating to pharmacy or pharmacists
a. of or relating to drugs used in medical treatment"
deliberation,"n. (usually plural) discussion of all sides of a question
n. careful consideration
n. the trait of thoughtfulness in action or decision"
attribute,n. an abstraction belonging to or characteristic of an entity
preeminent,s greatest in importance or degree or significance or achievement
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
hazel,"n. Australian tree grown especially for ornament and its fine-grained wood and bearing edible nuts
n. the fine-grained wood of a hazelnut tree (genus Corylus) and the hazel tree (Australian genus Pomaderris)
n. a shade of brown that is yellowish or reddish; it is a greenish shade of brown when used to describe the color of someone's eyes
s. of a light brown or yellowish brown color"
sallow,"n. any of several Old World shrubby broad-leaved willows having large catkins; some are important sources for tanbark and charcoal
v. cause to become sallow
s. unhealthy looking"
murmur,"v. speak softly or indistinctly
v. make complaining remarks or noises under one's breath"
exultant,s. joyful and proud especially because of triumph or success
strand,"n. a pattern forming a unity within a larger structural whole
n. line consisting of a complex of fibers or filaments that are twisted together to form a thread or a rope or a cable
n. a poetic term for a shore (as the area periodically covered and uncovered by the tides)
n. a street in west central London famous for its theaters and hotels"
wisp,"n. a small tuft or lock
n. a small person
n. a small bundle of straw or hay
n. a flock of snipe"
fleece,"n. the wool of a sheep or similar animal
n. a soft bulky fabric with deep pile; used chiefly for clothing
v. shear the wool from"
trot,"n. a gait faster than a walk; diagonally opposite legs strike the ground together
v. run at a moderately swift pace
v. ride at a trot
v. cause to trot"
bedding,"n coverings that are used on a bed
n material used to provide a bed for animals
v furnish with a bed
v place (plants) in a prepared bed of soil
v put to bed
v have sexual intercourse with
v prepare for sleep"
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
thrush,"n. candidiasis of the oral cavity; seen mostly in infants or debilitated adults
n. a woman who sings popular songs
n. songbirds characteristically having brownish upper plumage with a spotted breast"
nestle,"v. lie in a sheltered position
v. position comfortably"
caress,"n. a gentle affectionate stroking (or something resembling it)
v. touch or stroke lightly in a loving or endearing manner"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
fret,"n. agitation resulting from active worry
n. an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief)
n. a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch
v. be agitated or irritated"
stoop,"n. an inclination of the top half of the body forward and downward
n. small porch or set of steps at the front entrance of a house
v. descend swiftly, as if on prey
v. sag, bend, bend over or down"
anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
lamentation,n. the passionate and demonstrative activity of expressing grief
wail,v. cry weakly or softly
squire,"n. young nobleman attendant on a knight
n. an English country landowner
n. a man who attends or escorts a woman"
waistcoat,n a man's sleeveless garment worn underneath a coat
egotism,n. an exaggerated opinion of your own importance
brevity,"n. the use of brief expressions
n. the attribute of being brief or fleeting"
enviable,s. causing envy
gastric,a. relating to or involving the stomach
torrid,"s. emotionally charged and vigorously energetic
s. extremely hot"
negate,v. prove negative; show to be false
deplete,v use up (resources or materials)
nurture,"n the properties acquired as a consequence of the way you were treated as a child
n helping someone grow up to be an accepted member of the community
v help develop, help grow
v bring up
v provide with nourishment"
outgrow,"v. grow too large or too mature for
v. grow faster than"
affiliate,"n. a subordinate or subsidiary associate; a person who is affiliated with another or with an organization
n. a subsidiary or subordinate organization that is affiliated with another organization
v. join in an affiliation"
appraise,"v evaluate or estimate the nature, quality, ability, extent, or significance of
v consider in a comprehensive way"
archive,"n. a depository containing historical records and documents
v. put into an archive"
benign,"a. not dangerous to health; not recurrent or progressive (especially of a tumor)
a. pleasant and beneficial in nature or influence
s. kindness of disposition or manner"
bilateral,"s. having identical parts on each side of an axis
s. affecting or undertaken by two parties
s. having two sides or parts"
browser,"n. a viewer who looks around casually without seeking anything in particular
n. a program used to view HTML documents"
thatch,"n. hair resembling thatched roofing material
n. plant stalks used as roofing material
n. a house roof made with a plant material (as straw)
v. cover with thatch"
mirth,n great merriment
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
clatter,"n. a rattling noise (often produced by rapid movement)
v. make a rattling sound"
fidelity,"n. accuracy with which an electronic system reproduces the sound or image of its input signal
n. the quality of being faithful"
chastity,n. abstaining from sexual relations (as because of religious vows)
miscellaneous,"s consisting of a haphazard assortment of different kinds
s having many aspects"
corroborate,v. support with evidence or authority or make more certain or confirm
dauntless,s invulnerable to fear or intimidation
invigorate,"v. impart vigor, strength, or vitality to"
premium,"n. payment for insurance
n. the amount that something in scarce supply is valued above its nominal value
n. a prize, bonus, or award given as an inducement to purchase products, enter competitions initiated by business interests, etc.
s. having or reflecting superior quality or value"
woe,n. intense mournfulness
allergic,"a. characterized by or caused by allergy
s. having an allergy or peculiar or excessive susceptibility (especially to a specific factor)"
nuptial,a of or relating to a wedding
impediment,"n something immaterial that interferes with or delays action or progress
n any structure that makes progress difficult"
venue,"n. the scene of any event or action (especially the place of a meeting)
n. in law: the jurisdiction where a trial will be held"
nicely,r. in a nice way
millennium,"n. a span of 1000 years
n. (New Testament) in Revelations it is foretold that those faithful to Jesus will reign with Jesus over the earth for a thousand years; the meaning of these words have been much debated; some denominations (e.g. Jehovah's Witnesses) expect it to be a thousand years of justice and peace and happiness
n. the 1000th anniversary (or the celebration of it)"
unleash,"v. release or vent
v. release from a leash
v. turn loose or free from restraint"
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
anew,r again but in a new or different way
protagonist,n. the principal character in a work of fiction
onslaught,n. a sudden and severe onset of trouble
mutant,"n. (biology) an organism that has characteristics resulting from chromosomal alteration
n. an animal that has undergone mutation
a. tending to undergo or resulting from mutation"
trigger,"n. a device that activates or releases or causes something to happen
n. an act that sets in motion some course of events
v. release or pull the trigger on"
integral,"n. the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x)
s. constituting the undiminished entirety; lacking nothing essential especially not damaged
a. of or denoted by an integer"
encompass,v include in scope; include as part of something broader; have as one's sphere or territory
axis,"n. a straight line through a body or figure that satisfies certain conditions
n. the main stem or central part about which plant organs or plant parts such as branches are arranged
n. in World War II the alliance of Germany and Italy in 1936 which later included Japan and other nations
n. the 2nd cervical vertebra; serves as a pivot for turning the head"
mesh,"n. the number of openings per linear inch of a screen; measures size of particles
n. the act of interlocking or meshing
v. work together in harmony"
disparity,n. inequality or difference in some respect
harness,"n. a support consisting of an arrangement of straps for holding something to the body (especially one supporting a person suspended from a parachute)
n. stable gear consisting of an arrangement of leather straps fitted to a draft animal so that it can be attached to and pull a cart
v. put a harness
v. exploit the power of"
maximize,"v. make as big or large as possible
v. make the most of"
minimize,"v. make small or insignificant
v. cause to seem less serious; play down"
AIDS,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
mythology,"n. myths collectively; the body of stories associated with a culture or institution or person
n. the study of myths"
onset,n. the beginning or early stages
euphemism,n. an inoffensive or indirect expression that is substituted for one that is considered offensive or too harsh
pal,v. become friends; act friendly towards
obituary,n. a notice of someone's death; usually includes a short biography
liaison,n. a channel for communication between groups
hunk,"n. a well-built sexually attractive man
n. a large piece of something without definite shape"
arsenal,"n. all the weapons and equipment that a country has
n. a military structure where arms and ammunition and other military equipment are stored and training is given in the use of arms"
arson,n. malicious burning to destroy property
artifact,n. a man-made object taken as a whole
ladle,"n. a spoon-shaped vessel with a long handle; frequently used to transfer liquids from one container to another
v. put (a liquid) into a container by means of a ladle
v. remove with or as if with a ladle"
hackneyed,s repeated too often; overfamiliar through overuse
curt,"s marked by rude or peremptory shortness
s brief and to the point; effectively cut short; `yes'"""
posture,"n the arrangement of the body and its limbs
n characteristic way of bearing one's body
n a rationalized mental attitude
n capability in terms of personnel and materiel that affect the capacity to fight a war
v behave affectedly or unnaturally in order to impress others
v assume a posture as for artistic purposes"
snigger,"n a disrespectful laugh
v laugh quietly"
ramble,n. an aimless amble on a winding course
showpiece,n the outstanding item (the prize piece or main exhibit) in a collection
excerpt,"n. a passage selected from a larger work
v. take out of a literary work in order to cite or copy"
decoy,"n. a beguiler who leads someone into danger (usually as part of a plot)
v. lure or entrap with or as if with a decoy"
assent,"n. agreement with a statement or proposal to do something
v. to agree or express agreement"
obese,s excessively fat
obesity,n more than average fatness
fiscal,a. involving financial matters
fishery,n. a workplace where fish are caught and processed and sold
allusion,n. passing reference or indirect mention
gush,"n a sudden rapid flow (as of water)
n an unrestrained expression of emotion
v gush forth in a sudden stream or jet
v praise enthusiastically
v issue in a jet; come out in a jet; stream or spring forth"
hither,r to this place (especially toward the speaker)
ascribe,v attribute or credit to
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
zenith,n. the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
abjure,"v. formally reject or disavow a formerly held belief, usually under pressure"
hamper,"n. a basket usually with a cover
v. prevent the progress or free movement of"
peremptory,"s. not allowing contradiction or refusal
s. putting an end to all debate or action"
imminent,s close in time; about to occur
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
ingenious,s showing inventiveness and skill
enact,v. act out; represent or perform as if in a play
eject,"v. put out or expel from a place
v. leave an aircraft rapidly, using an ejection seat or capsule"
contrive,"v make or work out a plan for; devise
v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v put or send forth"
predilection,n. a predisposition in favor of something
unfailing,"s. always able to supply more
s. unceasing"
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
recur,"v. happen or occur again
v. return in thought or speech to something"
rebuff,"n. a deliberate discourteous act (usually as an expression of anger or disapproval)
n. an instance of driving away or warding off
v. reject outright and bluntly"
sardonic,s. disdainfully or ironically humorous; scornful and mocking
optical,a. of or relating to or involving light or optics
string,"n. a lightweight cord
n. a tightly stretched cord of wire or gut, which makes sound when plucked, struck, or bowed
n. a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding
n. a linear sequence of symbols (characters or words or phrases)"
incongruous,a. lacking in harmony or compatibility or appropriateness
shatter,"v. break into many pieces
v. damage or destroy
v. cause to break into many pieces"
thaw,"n. the process whereby heat changes something from a solid to a liquid
n. warm weather following a freeze; snow and ice melt
n. a relaxation or slackening of tensions or reserve; becoming less hostile"
derail,"v. cause to run off the tracks
v. run off or leave the rails"
falsify,"v. make false by mutilation or addition; as of a message or story
v. prove false
v. falsify knowingly"
append,"v. add to the very end
v. fix to; attach"
exhort,"v spur on or encourage especially by cheers and shouts
v force or impel in an indicated direction"
omelette,n beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
ointment,n. semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
mastermind,v. plan and direct (a complex undertaking)
bustle,"n. a rapid active commotion
n. a framework worn at the back below the waist for giving fullness to a woman's skirt
v. move or cause to move energetically or busily"
hew,"v. make or shape as with an axe
v. strike with an axe; cut down, strike"
pike,"n. highly valued northern freshwater fish with lean flesh
n. a sharp point (as on the end of a spear)
n. medieval weapon consisting of a spearhead attached to a long pole or pikestaff; superseded by the bayonet
n. any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere"
vagabond,n. anything that resembles a vagabond in having no fixed place
sabotage,"n. a deliberate act of destruction or disruption in which equipment is damaged
v. destroy property or hinder normal operations"
orphanage,"n. the condition of being a child without living parents
n. a public institution for the care of orphans"
philanthropic,a. of or relating to or characterized by philanthropy
