well-dressed,s having tasteful clothing and being scrupulously neat
glance,"n. a quick look
v. throw a glance at; take a brief look at
v. hit at an angle"
sigh,"n. an utterance made by exhaling audibly
n. a sound like a person sighing
v. heave or utter a sigh; breathe deeply and heavily
v. utter with a sigh"
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
employee,n. a worker who is hired to perform a job
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
gesture,"n. motion of hands or body to emphasize or help to express a thought or feeling
n. the use of movements (especially of the hands) to communicate familiar or prearranged signals
n. something done as an indication of intention"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
downwards,r spatially or metaphorically from a higher to a lower level or position
assistance,"n the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n a resource"
without hesitation,none
remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
remind,v. put in the mind of someone
eye contact,none
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
hostility,"n. a hostile (very unfriendly) disposition
n. a state of deep-seated ill-will
n. the feeling of a hostile person"
boredom,n. the feeling of being bored by something tedious
confusion,"n. disorder resulting from a failure to behave predictably
n. a mental state characterized by a lack of clear and orderly thought and behavior
n. a feeling of embarrassment that leaves you confused
n. an act causing a disorderly combination of elements with identities lost and distinctions blended"
maintain,v. state or assert
consider,"v. take into consideration for exemplifying purposes
v. show consideration for; take into account
v. think about carefully; weigh
v. regard or treat with consideration, respect, and esteem"
lack of,none
last,"n. the last or lowest in an ordering or series
n. a person's dying act; the final thing a person can do
n. a unit of weight equal to 4,000 pounds
n. a unit of capacity for grain equal to 80 bushels"
avoid,"v. stay clear from; keep away from; keep out of the way of someone or something
v. refrain from doing something"
respect,"n. (usually preceded by `in') a detail or point
n. an attitude of admiration or esteem
v. regard highly; think much of
v. show respect towards"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
in authority,none
concentration,"n. the strength of a solution; number of molecules of a substance in a given volume
n. the spatial property of being crowded together
n. strengthening the concentration (as of a solute in a mixture) by removing diluting material
n. increase in density"
subtle,s. able to make fine distinctions
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
