oh,n a midwestern state in north central United States in the Great Lakes region
e-dog,none
master,"n. directs the work of others
n. an original creation (i.e., an audio recording) from which copies can be made
n. an officer who is licensed to command a merchant ship
n. someone who holds a master's degree from academic institution"
grade,"n. a relative position or degree of value in a graded group
n. the gradient of a slope or road or other surface
n. a degree of ablaut
n. the height of the ground on which something stands"
student,n. a learner who is enrolled in an educational institution
reading,"n. the cognitive process of understanding a written linguistic message
n. a particular interpretation or performance
n. a datum about some physical state that is presented to a user by a meter or similar instrument
n. written material intended to be read"
classmate,n an acquaintance that you go to school with
after school,s outside regular school hours
slim,"v take off weight
s being of delicate or slender build
s small in quantity"
be good at,none
over,"n. (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
r. at or to a point across intervening space etc.
r. throughout an area
r. throughout a period of time"
there,"n. a location other than here; that place
r. in or at that place
r. in that matter
r. to or toward that place; away from the speaker"
classroom,n. a room in a school where lessons take place
dancing,n. taking a series of rhythmical steps (and movements) in time to music
swimming,n. the act of swimming
age,"n. how long something has existed
n. a time of life (usually defined in years) at which some particular qualification or power arises
v. begin to seem older; get older
v. make older"
looks,"n the feelings expressed on a person's face
n the act of directing the eyes toward something and perceiving it visually
n physical appearance
n the general atmosphere of a place or situation and the effect that it has on people
v perceive with attention; direct one's gaze towards
v give a certain impression or have a certain outward aspect
v have a certain outward or facial expression
v search or seek
v be oriented in a certain direction, often with respect to another reference point; be opposite to
v take charge of or deal with
v convey by one's expression
v look forward to the probable occurrence of
v accord in appearance with
v have faith or confidence in"
cute,s. obviously contrived to charm
hobby,"n. a child's plaything consisting of an imitation horse mounted on rockers; the child straddles it and pretends to ride
n. small Old World falcon formerly trained and flown at small birds"
glad,"a. showing or causing joy and pleasure; especially made happy
s. eagerly disposed to act or to be of service
s. feeling happy appreciation"
everyone,"n. Everybody; -- commonly separated, every one."
come from,none
