adapt,"v. make fit for, or change to suit a new purpose"
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
announce,"v. make known; make an announcement
v. announce publicly or officially
v. give the names of
v. foreshadow or presage"
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
announcer,"n. someone who proclaims a message publicly
n. reads news, commercials on radio or television"
pronunciation,"n. the manner in which someone utters a word
n. the way a word or a language is customarily spoken"
pronounce,"v. speak, pronounce, or utter in a certain way
v. pronounce judgment on"
declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
declaration,"n. a statement that is emphatic and explicit (spoken or written)
n. (law) unsworn statement that can be admitted in evidence in a legal transaction
n. a statement of taxable goods or of dutiable properties"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
pronoun,n. a function word that is used in place of a noun or noun phrase
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
account for,none
accountable,s. liable to account for one's actions
accountability,n. responsibility to someone or for some activity
accountant,n. someone who maintains and audits business accounts
accounting,"n. a convincing explanation that reveals basic causes
n. a system that provides quantitative information about finances
n. a bookkeeper's chronological list of related debits and credits of a business; forms part of a ledger of accounts"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
countless,s. too numerous to be counted
counter,"n. table consisting of a horizontal surface over which business is transacted
n. game equipment (as a piece of wood, plastic, or ivory) used for keeping a count or reserving a space in various card or board games
n. a calculator that keeps a record of the number of times something happens
n. a person who counts things"
counterfeit,"n. a copy that is represented as the original
a. not genuine; imitating something superior"
counterculture,n. a culture with lifestyles and values opposed to those of the established culture
countermeasure,n. an action taken to offset another action
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
counteract,v. oppose and mitigate the effects of by contrary actions
counterbalance,n. a compensating equivalent
discount,"n. the act of reducing the selling price of merchandise
v. give a reduction in price on"
encounter,n. a casual meeting with a person or thing
meet,"n. a meeting at which a number of athletic contests are held
v. come together
v. get together socially or for a specific purpose
v. fill or meet a want or need"
confront,"v. oppose, as in hostility or a competition
v. deal with (something unpleasant) head on
v. present somebody with something, usually to accuse or criticize
v. be face to face with"
counsel,"n a lawyer who pleads cases in court
n something that provides direction or advice as to a decision or course of action
v give advice to"
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
consul,n. a diplomat appointed by a government to protect its commercial interests and help its citizens in a foreign country
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
calm,"v. make calm or still
v. become quiet or calm, especially after a state of agitation
s. not agitated; without losing self-possession
a. (of weather) free from storm or wind"
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
acclaim,"n. enthusiastic approval
v. praise vociferously"
exclaim,"v. utter aloud; often with surprise, horror, or joy"
exclamation,"n. an abrupt excited utterance
n. a loud complaint or protest or reproach"
reclaim,"v. claim back
v. reuse (materials from waste products)
v. make useful again; transform from a useless or uncultivated state"
proclaim,"v. declare formally; declare someone to be something; of titles
v. state or announce"
porcelain,n. ceramic ware made of a more or less translucent ceramic
pause,"n. a time interval during which there is a temporary cessation of something
n. temporary inactivity
v. cease an action temporarily"
applause,n. a demonstration of approval by clapping the hands together
applaud,"v. clap one's hands or shout after performances to indicate approval
v. express approval of"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
emigrant,n. someone who leaves one country to settle in another
immigrant,n. a person who comes to a country where they were not born in order to settle there
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
emigrate,v. leave one's country of residence for a new one
immigrate,"v. migrate to a new environment
v. introduce or send as immigrants
v. come into a new country and change residency"
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
assertion,n. a declaration that is made emphatically (as if no supporting evidence were necessary)
assert,"v. state categorically
v. insist on having one's opinions and rights recognized"
insert,"n. a folded section placed between the leaves of another publication
n. an artifact that is inserted or is to be inserted
v. put or introduce into something
v. introduce"
embed,"v. attach to, as a journalist to a military unit when reporting on a war"
exert,"v. put to use
v. make a great effort at a mental or physical task"
dessert,n. a dish served as the last course of a meal
desert,"n. arid land with little or no vegetation
v. leave behind"
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
discard,"n. anything that is cast aside or discarded
n. (cards) the act of throwing out a useless card or of failing to follow suit
n. getting rid something that is regarded as useless or undesirable
v. throw or cast away"
pretext,n. something serving to conceal plans; a fictitious reason that is concocted in order to conceal the real reason
context,"n. discourse that surrounds a language unit and helps to determine its interpretation
n. the set of facts or circumstances that surround a situation or event"
contest,"n. an occasion on which a winner is selected from among two or more contestants
n. a struggle between rivals
v. to make the subject of dispute, contention, or litigation"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
testimony,"n. a solemn statement made under oath
n. an assertion offering firsthand authentication of a fact
n. something that serves as evidence"
testify,"v. give testimony in a court of law
v. provide evidence for"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
certify,"v. guarantee payment on; of checks
v. guarantee as meeting a certain standard
v. declare legally insane"
certificate,"n. a document attesting to the truth of certain stated facts
v. present someone with a certificate
v. authorize by certificate"
stare,"n. a fixed look with eyes open wide
v. fixate one's eyes"
glare,"n. a light within the field of vision that is brighter than the brightness to which the eyes are adapted
n. an angry stare
v. be sharply reflected
v. shine intensely"
flare,"n. a shape that spreads outward
n. a sudden burst of flame
n. a burst of light used to communicate or illuminate
n. reddening of the skin spreading outward from a focus of infection or irritation"
flair,n. a natural talent
flame,"v. be in flames or aflame
v. criticize harshly, usually via an electronic medium"
burn,"n. pain that feels hot as if it were on fire
n. an injury caused by exposure to heat or chemicals or radiation
n. a place or area that has been burned (especially on a person's body)
n. damage inflicted by fire"
ignite,v. cause to start burning; subject to fire or great heat
sparkle,"n. merriment expressed by a brightness or gleam or animation of countenance
v. reflect brightly
v. be lively or brilliant or exhibit virtuosity"
spark,"n. a small but noticeable trace of some quality that might become stronger
n. Scottish writer of satirical novels (born in 1918)
n. a small fragment of a burning substance thrown out by burning material or by friction
v. emit or produce sparks"
ascertain,v. learn or discover with certainty
certainty,"n. the state of being certain
n. something that is certain"
uncertain,"a. lacking or indicating lack of confidence or assurance
a. not established beyond doubt; still undecided or unknown
a. not certain to occur; not inevitable
s. not consistent or dependable"
uncertainty,n. being unsettled or in doubt or dependent on chance
certainly,r definitely or positively (`sure' is sometimes used informally for `surely')
certain,"s. definite but not specified or identified
a. having or feeling no doubt or uncertainty; confident and assured
a. established beyond doubt or question; definitely known
a. certain to occur; destined or inevitable"
rough,"n. the part of a golf course bordering the fairway where the grass is not cut short
a. having or caused by an irregular surface
s. (of persons or behavior) lacking refinement or finesse
a. of the margin of a leaf shape; having the edge cut or fringed or scalloped"
roughly,"r. with roughness or violence (`rough' is an informal variant for `roughly')
r. with rough motion as over a rough surface"
thorough,s. painstakingly careful and accurate
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
through,"s. (of a route or journey etc.) continuing without requiring stops or changes
r. from beginning to end
r. over the whole distance
r. to completion"
though,r. (postpositive) however
although,"conj. Grant all this; be it that; supposing that;
   notwithstanding; though."
