foolishly,r. without good sense or judgment
jot down,none
remove,"n. degree of figurative distance or separation; 
v. remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
v. remove from a position or an office
v. shift the position or location of, as for business, legal, educational, or military purposes"
article,"n. nonfictional prose forming an independent part of a publication
n. one of a class of artifacts
n. a separate section of a legal document (as a statute or contract or will)
n. (grammar) a determiner that may indicate the specificity of reference of a noun phrase"
devastated,"v cause extensive destruction or ruin utterly
v overwhelm or overpower"
contain,"v. be divisible by
v. be capable of holding or containing"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
cram,"v. put something somewhere so that the space is completely filled
v. study intensively, as before an exam
v. prepare (students) hastily for an impending exam"
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
brilliant,"s. of surpassing excellence
s. characterized by grandeur
s. full of light; shining intensely"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
comedy,n. light and humorous drama with a happy ending
reminiscence,n. a mental impression retained and recalled from the past
innovative,s. being or producing something like nothing done or experienced or created before
automatic,"a. operating with minimal human intervention; independent of external control
s. resembling the unthinking functioning of a machine
s. without volition or conscious control"
humanity,n. the quality of being humane
sketch,"n. preliminary drawing for later elaboration
n. a brief literary description
n. short descriptive summary (of events)
v. make a sketch of"
cider,n. a beverage made from juice pressed from apples
waterproof,"n. any fabric impervious to water
v. make watertight"
spare room,none
flip,"n. hot or cold alcoholic mixed drink containing a beaten egg
n. a sudden, quick movement
n. the act of flipping a coin
n. a dive in which the diver somersaults before entering the water"
rubbish,"n. worthless material that is to be disposed of
v. attack strongly"
supposedly,r believed or reputed to be the case
patent,"n. a document granting an inventor sole rights to an invention
n. an official document granting a right or privilege
v. obtain a patent for
v. grant rights to; grant a patent for"
brim,"n. the top edge of a vessel or other container
n. a circular projection that sticks outward from the crown of a hat
v. be completely full
v. fill as much as possible"
delude,v be false to; be dishonest with
nonsense,"n. a message that seems to convey no meaning
s. having no intelligible meaning"
attach,"v. cause to be attached
v. be attached; be in contact with
v. become attached"
irretrievably,r. in an irretrievable manner
have a sneaking feeling,none
have a sneaking feeling that,none
bun,n. small rounded bread either plain or sweet
inventive,s (used of persons or artifacts) marked by independence and creativity in thought or action
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
halo,n. a circle of light around the sun or moon
reactionary,"n. an extreme conservative; an opponent of progress or liberalism
s. extremely conservative"
stem,"n. the tube of a tobacco pipe
v. grow out of, have roots in, originate in
v. cause to point inward
v. stop the flow of a liquid"
deteriorate,v. become worse or disintegrate
paradise,n. (Christianity) the abode of righteous souls after death
racism,"n. the prejudice that members of one race are intrinsically superior to members of other races
n. discriminatory or abusive behavior towards members of another race"
delusion,"n. (psychology) an erroneous belief that is held in the face of evidence to the contrary
n. a mistaken or unfounded opinion or idea
n. the act of deluding; deception by creating illusory ideas"
boon,s. very close and convivial
skint,s lacking funds
chronicle,v. record in chronological order; make a historical record
respond,v. respond favorably or as hoped
council flat,none
on a budget,none
foodie,n a person devoted to refined sensuous enjoyment (especially good food and drink)
burn out,none
validation,n. the act of validating; finding or testing the truth of something
barely,r. only a very short time before
impulsive,"s. proceeding from natural feeling or impulse without external stimulus
s. without forethought"
ingredient,"n. a component of a mixture or compound
n. food that is a component of a mixture in cooking"
template,n. a model or standard for making comparisons
fancy,"n. a kind of imagination that was held by Coleridge to be more casual and superficial than true imagination
v. have a fancy or particular liking or desire for
a. not plain; decorative or ornamented"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
effective,"a. producing or capable of producing an intended result or having a striking effect
s. able to accomplish a purpose; functioning effectively
s. works well as a means or remedy
s. exerting force or influence"
anonymity,n. the state of being anonymous
embarrassment,"n. the shame you feel when your inadequacy or guilt is made public
n. the state of being embarrassed (usually by some financial inadequacy)
n. some event that causes someone to be embarrassed"
shin,"n. the front part of the human leg between the knee and the ankle
n. a cut of meat from the lower part of the leg
n. the 22nd letter of the Hebrew alphabet"
bacon,"n. back and sides of a hog salted and dried or smoked; usually sliced thin and fried
n. English scientist and Franciscan monk who stressed the importance of experimentation; first showed that air is required for combustion and first used lenses to correct vision (1220-1292)
n. English statesman and philosopher; precursor of British empiricism; advocated inductive reasoning (1561-1626)"
come in handy,none
properly,r. in the right manner
rasher,"n a commercially important fish of the Pacific coast of North America
s imprudently incurring risk
s marked by defiant disregard for danger or consequences"
chiller,n excitation that makes your hair stand up or that chills your bones
claim,"n. an assertion of a right (as to money or property)
n. an assertion that something is true or factual
n. demand for something as rightful or due
n. an informal right to something"
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
surplus,"n a quantity much larger than is needed
s more than is needed, desired, or required"
leftover,"n. a small part or portion that remains after the main part no longer exists
s. not used up"
wastage,"n. the process of wasting
n. anything lost by wear or waste"
frugal,s avoiding waste
deli,n a shop selling ready-to-eat food products
ham,"n. meat cut from the thigh of a hog (usually smoked)
n. (Old Testament) son of Noah
n. a licensed amateur radio operator
n. an unskilled actor who overacts"
carcass,n the dead body of an animal especially one slaughtered and dressed for food
butcher,"n. a retailer of meat
n. a brutal indiscriminate murderer
n. a person who slaughters or dresses meat for market
v. kill (animals) usually for food consumption"
knuckle,"n. a joint of a finger when the fist is closed
v. press or rub with the knuckles
v. shoot a marble while keeping one's knuckles on the ground"
stew,"n. food prepared by stewing especially meat or fish with vegetables
v. bear a grudge; harbor ill feelings
v. cook slowly and for a long time in liquid"
eat out,none
treat,"n. an occurrence that causes special pleasure or delight
v. interact in a certain way
v. provide treatment for
v. provide with a gift or entertainment"
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
penny,"n. a fractional monetary unit of Ireland and the United Kingdom; equal to one hundredth of a pound
n. a coin worth one-hundredth of the value of the basic unit"
set lunch,none
decade,n. a period of 10 years
prosperity,"n. an economic state of growth with rising profits and full employment
n. the condition of prospering; having good fortune"
marriage,"n. the state of being a married couple voluntarily joined for life (or until divorce)
n. two people who are married to each other
n. the act of marrying; the nuptial ceremony
n. a close and intimate union"
immediately,"r. without delay or hesitation; with no time intervening
r. near or close by
r. bearing an immediate relation"
line up,n. a line of persons arranged by police for inspection or identification
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
common sense," See Common sense, under Sense."
depression,"n. a mental state characterized by a pessimistic sense of inadequacy and a despondent lack of activity
n. a long-term economic state characterized by unemployment and low prices and low levels of trade and investment
n. sad feelings of gloom and inadequacy
n. a period during the 1930s when there was a worldwide economic depression and mass unemployment"
combination,"n. a collection of things that have been combined; an assemblage of separate parts or qualities
n. a coordinated sequence of chess moves
n. a sequence of numbers or letters that opens a combination lock
n. a group of people (often temporary) having a common purpose"
efficient,a. being effective without wasting time or effort or expense
stylish,a. having elegance or taste or refinement in manners or dress
belief,n. any cognitive content held as true
restraint,"n. the act of controlling by restraining someone or something
n. discipline in personal and social activities
n. a rule or condition that limits freedom
n. a device that retards something's motion"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
positively,"r. extremely
r. so as to be positive; in a positive manner"
stimulus,n any stimulating information or event; acts to arouse action
popularize,"v. cater to popular taste to make popular and present to the general public; bring into general or common use
v. make understandable to the general public"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
emigrate,v. leave one's country of residence for a new one
exert,"v. put to use
v. make a great effort at a mental or physical task"
trend,"n a general direction in which something tends to move
n general line of orientation
n a general tendency to change (as of opinion)
n the popular taste at a given time
v turn sharply; change direction abruptly"
architect,n. someone who creates plans to be used in making something (such as buildings)
school,"n. an educational institution
n. a building where young people receive education
n. the process of being formally educated at a school
n. a body of creative artists or writers or thinkers linked by a similar style or by similar teachers"
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
signature phrase,none
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
derive,"v. obtain
v. come from
v. develop or evolve from a latent or potential state
v. come from; be connected by a relationship of blood, for example"
