bowel,n the part of the alimentary canal between the stomach and the anus
sore,n. an open skin infection
waken,"v cause to become awake or conscious
v stop sleeping"
habitat,n. the type of environment in which an organism or group normally lives or occurs
retrospect,n. contemplation of things past
retention,n. the act of retaining something
gut,"n. a narrow channel or strait
v. empty completely; destroy the inside of
v. remove the guts of"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
verify,"v. confirm the truth of
v. attach or append a legal verification to (a pleading or petition)"
rape,"n. Eurasian plant cultivated for its seed and as a forage crop
n. the act of despoiling a country in warfare
n. the crime of forcing a woman to submit to sexual intercourse against her will
v. force (someone) to have sex against their will"
rectify,"v. math: determine the length of
v. set straight or right
v. convert into direct current"
inaccessible,"a. capable of being reached only with great difficulty or not at all
s. not capable of being obtained"
sarcastic,a. expressing or expressive of ridicule that wounds
revelation,"n. an enlightening or astonishing disclosure
n. communication of knowledge to man by a divine or supernatural agency
n. the last book of the New Testament; contains visionary descriptions of heaven and of conflicts between good and evil and of the end of the world; attributed to Saint John the Apostle"
rash,"n. any red eruption of the skin
n. a series of unexpected and unpleasant occurrences
s. imprudently incurring risk"
scandal,"n. disgraceful gossip about the private lives of other people
n. a disgraceful event"
thermal,"n. rising current of warm air
a. relating to or associated with heat
a. of or relating to a hot spring
s. caused by or designed to retain heat"
sip,"n. a small drink
v. drink in sips"
skim,"n. a thin layer covering the surface of a liquid
n. reading or glancing through quickly
v. cause to skip over a surface
v. coat (a liquid) with a layer"
slit,"n. a long narrow opening
n. a narrow fissure
v. make a clean cut through
v. cut a slit into"
stale,"v. urinate, of cattle and horses
a. lacking freshness, palatability, or showing deterioration from age"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
tragedy,n. drama in which the protagonist is overcome by some superior force or circumstance; excites terror or pity
guideline,n. a light line that is used in lettering to help align the letters
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
rigorous,"s. rigidly accurate; allowing no deviation from a standard
s. demanding strict attention to rules and procedures"
retort,"n. a vessel where substances are distilled or decomposed by heat
v. answer back"
relish,"n. spicy or savory condiment
n. the taste experience when a savoury condiment is taken into the mouth"
