carpenter,"n. a woodworker who makes or repairs wooden objects
v. work as a carpenter"
suited,s. outfitted or supplied with clothing
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
actually,"r. in actual fact
r. used to imply that one would expect the fact to be the opposite of that stated; surprisingly
r. at the present moment
r. as a sentence modifier to add slight emphasis"
so-called,s doubtful or suspect
glamorous,"s. having an air of allure, romance and excitement"
cushion,"n. the layer of air that supports a hovercraft or similar vehicle
n. a soft bag filled with air or a mass of padding such as feathers or foam rubber etc.
v. protect from impact"
jet,"n. an airplane powered by one or more jet engines
n. the occurrence of a sudden discharge (as of liquid)
n. a hard black form of lignite that takes a brilliant polish and is used in jewelry or ornamentation
n. atmospheric discharges (lasting 10 msec) bursting from the tops of giant storm clouds in blue cones that widen as they flash upward"
baggage,"n. cases used to carry belongings when traveling
n. a worthless or immoral woman
n. the portable equipment and supplies of an army"
suitcase,n a portable rectangular container for carrying clothes
trunk,"n. the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber
n. luggage consisting of a large strong case used when traveling or for storage"
waiter,"n. a person whose occupation is to serve at table (as in a restaurant)
n. a person who waits or awaits"
grocer,n. a retail merchant who sells foodstuffs (and some household supplies)
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
lawyer,n. a professional person authorized to practice law; conducts lawsuits or gives legal advice
well-paid,none
canyon,n. a ravine formed by a river in an area with little rainfall
zone,"n. a locally circumscribed place characterized by some distinctive features
n. any of the regions of the surface of the Earth loosely divided according to latitude or longitude
n. an area or region distinguished from adjacent parts by a distinctive feature or characteristic
n. (anatomy) any encircling or beltlike structure"
brewery,n. a plant where beer is brewed by fermentation
litre,"n a metric unit of capacity, formerly defined as the volume of one kilogram of pure water under standard conditions; now equal to 1,000 cubic centimeters (or approximately 1.75 pints)"
shopkeeper,n. a merchant who owns or manages a shop
barber,"n. United States composer (1910-1981)
n. a hairdresser who cuts hair and shaves beards as a trade
v. perform the services of a barber: cut the hair and/or beard of"
barbershop,n. a shop where men can get their hair cut
cleaner,"n. the operator of dry-cleaning establishment
n. someone whose occupation is cleaning"
rat,"n. any of various long-tailed rodents similar to but larger than a mouse
n. a pad (usually made of hair) worn as part of a woman's coiffure
v. desert one's party or group of friends, for example, for one's personal advantage
v. employ scabs or strike breakers in"
go about,none
salesgirl,n. a woman salesperson
cucumber,"n. a melon vine of the genus Cucumis; cultivated from earliest times for its cylindrical green fruit
n. cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons"
sly,s marked by skill in deception
fox,"n. alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs
n. the grey or reddish-brown fur of a fox
n. English statesman who supported American independence and the French Revolution (1749-1806)
n. English religious leader who founded the Society of Friends (1624-1691)"
cast-iron,s. extremely robust
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
martial,"n. Roman poet noted for epigrams (first century BC)
s. of or relating to the armed forces"
weed,"n. any plant that crowds out cultivated plants
n. a black band worn by a man (on the arm or hat) as a sign of mourning
v. clear of weeds"
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
magician,n. someone who performs magic tricks to amuse an audience
bath,"n. a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
n. you soak and wash your body in a bathtub
n. an ancient Hebrew liquid measure equal to about 10 gallons
n. a town in southwestern England on the River Avon; famous for its hot springs and Roman remains"
bedding,"n coverings that are used on a bed
n material used to provide a bed for animals
v furnish with a bed
v place (plants) in a prepared bed of soil
v put to bed
v have sexual intercourse with
v prepare for sleep"
bandage,"n. a piece of soft material that covers and protects an injured part of the body
v. dress by covering or binding"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
creative,"a. having the ability or power to create
s. promoting construction or creation"
self-confident,s showing poise and confidence in your own worth
artistic,"a. relating to or characteristic of art or artists
s. satisfying aesthetic standards and sensibilities"
realistic,"a. aware or expressing awareness of things as they really are
a. of or relating to the philosophical doctrine of realism"
greengrocer,n. a grocer who sells fresh fruits and vegetables
tailor,"n. a person whose occupation is making and altering garments
v. adjust to a specific need or market"
investigative,s designed to find information or ascertain facts
pianist,n. a person who plays the piano
violinist,n. a musician who plays the violin
librarian,n. a professional person trained in library science and engaged in library services
stewardess,n. a woman steward on an airplane
enterprising,"a. marked by imagination, initiative, and readiness to undertake new projects"
take pleasure in,none
typist,n. someone paid to operate a typewriter
Ltd,none
engineering,"n. the discipline dealing with the art or science of applying scientific knowledge to practical problems
n. a room (as on a ship) in which the engine is located"
covering,"n. a natural object that covers or envelops
n. an artifact that covers something else (usually to protect or shelter or conceal it)
n. the act of protecting something by covering it"
gap,"n. a conspicuous disparity or difference as between two figures
n. a narrow opening
n. a difference (especially an unfortunate difference) between two opinions or two views or two situations
v. make an opening or gap in"
session,"n. a meeting for execution of a group's functions
n. a meeting devoted to a particular activity"
employer,n. a person or firm that employs workers
employee,n. a worker who is hired to perform a job
interviewer,n. a person who conducts an interview
off the top of one's head,none
have butterflies in one's stomach,none
refresh,"v. make (to feel) fresh
v. make fresh again"
