outbreak,n. a sudden violent spontaneous occurrence (usually of some undesirable condition)
swine,n. stout-bodied short-legged omnivorous animals
detect,"v. discover or determine the existence, presence, or fact of"
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
worldwide,s. spanning or extending throughout the entire world
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
heighten,"v. become more extreme
v. make more extreme; raise in quantity, degree, or intensity
v. increase the height of"
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
emergency,"n. a sudden unforeseen crisis (usually involving danger) that requires immediate action
n. a state in which martial law applies"
assemble,"v. create by putting components or members together
v. get people together"
sharp,"n. a musical notation indicating one half step higher than the note named
n. a long thin sewing needle with a sharp point
s. harsh
a. keenly and painfully felt; as if caused by a sharp edge or point"
case,"n. an occurrence of something
n. the actual state of things
n. a portable container for carrying several objects
n. a person requiring professional services"
moderate,"v. preside over
v. make less fast or intense
a. being within reasonable or average limits; not excessive or extreme
s. not extreme"
severity,n. excessive sternness
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
mild,a. moderate in type or degree or effect or force; far from extreme
symptom,"n. (medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease
n. anything that accompanies X and is regarded as an indication of X's existence"
recovery,"n. return to an original state
n. the act of regaining or saving something lost (or in danger of becoming lost)"
authority,"n. the power or right to give orders or make decisions
n. (usually plural) persons who exercise (administrative) control over others
n. an expert whose views are taken as definitive
n. official permission or approval"
note,"n. a brief written record
n. a short personal letter
n. a notation representing the pitch and duration of a musical sound
n. a tone of voice that shows what the speaker is feeling"
hospitalization,"n. a period of time when you are confined to a hospital
n. the condition of being treated as a patient in a hospital
n. placing in medical care in a hospital"
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
fade,"n. gradually ceasing to be visible
v. become less clearly visible or distinguishable; disappear gradually or seemingly
v. lose freshness, vigor, or vitality"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
virtually,r. in essence or effect but not in fact
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
test,"n. any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc
n. the act of undergoing testing
n. the act of testing something
n. a hard outer covering as of some amoebas and sea urchins"
seasonal,a. occurring at or dependent on a particular season
infect,"v. communicate a disease to
v. contaminate with a disease or microorganism
v. corrupt with ideas or an ideology
v. affect in a contagious way"
federal,"n. a member of the Union Army during the American Civil War
n. any federal law-enforcement officer
s. national; especially in reference to the government of the United States as distinct from that of its member units
a. of or relating to the central government of a federation"
release,"n. merchandise issued for sale or public showing (especially a record or film)
n. a process that liberates or discharges something
n. a device that when pressed will release part of a mechanism
n. activity that frees or expresses creative energy or emotion"
stockpile,n. a storage pile accumulated for future use
order,"n. (often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed
n. a degree in a continuum of size or quantity
n. established customary state (especially of society)
n. a commercial document used to request someone to supply something in return for payment and providing specifications and quantities"
vaccine,n. immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
initial,"n. the first letter of a word (especially a person's name)
v. mark with one's initials
s. occurring at the beginning"
nasal,n. an elongated rectangular bone that forms the bridge of the nose
spray,"n. a pesticide in suspension or solution; intended for spraying
n. a quantity of small objects flying through the air
n. flower arrangement consisting of a single branch or shoot bearing flowers and foliage
n. water in small drops in the atmosphere; blown from waves or thrown up by a waterfall"
recommend,"v. push for something
v. make attractive or acceptable"
pregnant,a. carrying developing offspring within the body or being about to produce new life
breathing,"n. the bodily process of inhalation and exhalation; the process of taking in oxygen from inhaled air and releasing carbon dioxide by exhalation
a. passing or able to pass air in and out of the lungs normally; sometimes used in combination"
vaccinate,v perform vaccinations or produce immunity in by inoculation
high-risk,s not financially safe or secure
infant,n a very young child (birth to 1 year) who has not yet begun to walk or talk
afford,"v. be able to spare or give up
v. have the financial means to do something or buy something
v. afford access to"
anonymity,n. the state of being anonymous
blessing,"n. the formal act of approving
n. a desirable state
n. the act of praying for divine protection"
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
cyber crime,n. crime committed using a computer and the internet to steal a person's identity or sell contraband or stalk victims or disrupt operations with malevolent programs
sweep,"n. a wide scope
n. a long oar used in an open boat
n. a movement in an arc
v. move with sweeping, effortless, gliding motions"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
lawless,s. disobedient to or defiant of law
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
voluntary,"n. composition (often improvised) for a solo instrument (especially solo organ) and not a regular part of a religious service or musical performance
a. of your own free will or design; done by choice; not forced or compelled
a. controlled by individual volition"
identity,"n. the distinct personality of an individual regarded as a persisting entity
n. the individual characteristics by which a thing or person is recognized or known
n. an operator that leaves unchanged the element on which it operates
n. exact sameness"
high-tech,a. resembling or making use of highly advanced technology or devices
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
fingerprint,"n. a print made by an impression of the ridges in the skin of a finger; often used for biometric identification in criminal investigations
n. a generic term for any identifying characteristic
v. take an impression of a person's fingerprints"
ID,"n. a card or badge used to identify the bearer
n. (psychoanalysis) primitive instincts and energies underlying all psychic activity"
roll,"n. a list of names
n. photographic film rolled up inside a container to protect it from light
n. anything rolled up in cylindrical form
n. walking with a swaying gait"
smart,"n. a kind of pain such as that caused by a wound or a burn or a sore
a. showing mental alertness and calculation and resourcefulness
s. painfully severe
s. quick and brisk"
digital,"a. displaying numbers rather than scale positions
a. relating to or performed with the fingers
a. of a circuit or device that represents magnitudes in digits"
credential,n a document attesting to the truth of certain stated facts
