declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
scold,n. someone (especially a woman) who annoys people by constantly finding fault
deter,v. try to prevent; show opposition to
communicate,"v. transmit information
v. transmit thoughts or feelings
v. join or connect
v. be in verbal contact; interchange information or ideas"
suspicious,"s openly distrustful and unwilling to confide
s not as expected"
quantity,"n. an adequate or large amount
n. the concept that something has a magnitude and can be represented in mathematical expressions by a constant or a variable"
charm,"n. something believed to bring good luck
n. (physics) one of the six flavors of quark
v. control by magic spells, as by practicing witchcraft
v. protect through supernatural powers or charms"
dispel,"v force to go away; used both with concrete and metaphoric meanings
v to cause to separate and go in different directions"
critical,"a. marked by a tendency to find and call attention to errors and flaws
a. at or of a point at which a property or phenomenon suffers an abrupt change especially having enough mass to sustain a chain reaction
a. characterized by careful evaluation and judgment
s. urgently needed; absolutely necessary"
dose,"n. a measured portion of medicine taken at any one time
n. the quantity of an active agent (substance or radiation) taken in or absorbed at any one time
v. treat with an agent; add (an agent) to"
retreat,"n. (military) withdrawal of troops to a more favorable position to escape the enemy's superior forces or after a defeat
n. a place of privacy; a place affording peace and quiet
n. (military) a signal to begin a withdrawal from a dangerous position
n. (military) a bugle call signaling the lowering of the flag at sunset"
leisure,"n. time available for ease and relaxation
n. freedom to choose a pastime or enjoyable activity"
consult,"v. get or ask advice from
v. seek information from
v. advise professionally"
private,"n. an enlisted man of the lowest rank in the Army or Marines
a. confined to particular persons or groups or providing privacy
s. concerning things deeply private and personal"
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
persist,v. stay behind
partial,"s. being or affecting only a part; not total
a. showing favoritism"
slacken,"v. become looser or slack
v. make slack as by lessening tension or firmness"
cast,"n. the actors in a play
n. the distinctive form in which a thing is made
n. bandage consisting of a firm covering (often made of plaster of Paris) that immobilizes broken bones while they heal
n. object formed by a mold"
deliberate,s. carefully thought out in advance
extravagant,s. recklessly wasteful
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
vary,"v. be subject to change in accordance with a variable
v. make something more diverse and varied"
cease,n. (`cease' is a noun only in the phrase `without cease') end
counterpart,"n. a person or thing having the same function or characteristics as another
n. a duplicate copy"
thwart,"n. a crosspiece spreading the gunnels of a boat; used as a seat in a rowboat
v. hinder or prevent (the efforts, plans, or desires) of"
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
adapt,"v. make fit for, or change to suit a new purpose"
eclipse,"n. one celestial body obscures another
v. cause an eclipse of (a celestial body) by intervention"
cordial,"s. politely warm and friendly
s. sincerely or intensely felt"
ward,"n. a person who is under the protection or in the custody of another
n. a district into which a city or town is divided for the purpose of administration and elections
n. block forming a division of a hospital (or a suite of rooms) shared by patients who need a similar kind of care
n. English economist and conservationist (1914-1981)"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
persevere,"v. be persistent, refuse to stop"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
sincere,a. open and genuine; not deceitful
