overcome,v. get on top of; deal with successfully
shopper,"n. someone who visits stores in search of articles to buy
n. a commercial agent who shops at the competitor's store in order to compare their prices and merchandise with those of the store that employs her"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
norm,n. a standard or model or pattern regarded as typical
ultimately,r. as the end result of a succession or process
intention,"n. (usually plural) the goal with respect to a marriage proposal
n. an act of intending; a volition that you intend to carry out"
avenue,"n. a line of approach
n. a wide street or thoroughfare"
tattoo,"n. a drumbeat or bugle call that signals the military to return to their quarters
n. a design on the skin made by tattooing
n. the practice of making a design on the skin by pricking and staining
v. stain (skin) with indelible color"
youthful,s. suggestive of youth; vigorous and fresh
symbol,"n. an arbitrary sign (written or printed) that has acquired a conventional significance
n. something visible that by association or convention represents something else that is invisible"
wholesaler,n someone who buys large quantities of goods and resells to merchants rather than to the ultimate customers
exclusively,r without any others being included or involved
recession,"n. the state of the economy declines; a widespread decline in the GDP and employment and trade lasting from six months to a year
n. the withdrawal of the clergy and choir from the chancel to the vestry at the end of a church service
n. the act of ceding back"
loom,"n. a textile machine for weaving yarn into a textile
v. come into view indistinctly, often threateningly
v. appear very large or occupy a commanding position
v. weave on a loom"
jewelry,n. an adornment (as a bracelet or ring or necklace) made of precious metals and set with gems (or imitation gems)
housewares,none
basement,"n. the lowermost portion of a structure partly or wholly below ground level; often used for storage
n. the ground floor facade or interior in Renaissance architecture"
glassware,n. an article of tableware made of glass
towel,"n. a rectangular piece of absorbent cloth (or paper) for drying or wiping
v. wipe with a towel"
boom,"n. a deep prolonged loud noise
n. a state of economic prosperity
n. a sudden happening that brings good fortune (as a sudden opportunity to make money)
n. a pole carrying an overhead microphone projected over a film or tv set"
publicity,n. the quality of being open to public view
parcel,"n. the allotment of some amount by dividing something
v. divide into parts
v. cover with strips of canvas
v. make into a wrapped container"
originate,"v. come into existence; take on form or shape
v. bring into being
v. begin a trip at a certain point, as of a plane, train, bus, etc."
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
exhibit,"n. an object or statement produced before a court of law and referred to while giving evidence
v. show an attribute, property, knowledge, or skill"
display,"n. something intended to communicate a particular impression
n. something shown to the public
n. a visual representation of something
n. behavior that makes your feelings public"
district,n. a region marked off for administrative or other purposes
innovative,s. being or producing something like nothing done or experienced or created before
campaign,"n. a series of actions advancing a principle or tending toward a particular end
n. several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)
n. an overland journey by hunters (especially in Africa)
v. run, stand, or compete for an office or a position"
keyword,none
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
exact,a. marked by strict and particular and complete accordance with fact
patron,"n. a regular customer
n. the proprietor of an inn
n. someone who supports or champions something"
obituary,n. a notice of someone's death; usually includes a short biography
accomplishment,n. the action of accomplishing something
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
staunch,"v stop the flow of a liquid
s firm and dependable especially in loyalty"
comparatively,r in a relative manner; by comparison to something else
employ,"n the state of being employed or having a job
v put into service; make work or employ for a particular purpose or for its inherent or natural purpose
v engage or hire for work"
flagship,"n. the chief one of a related group
n. the ship that carries the commander of a fleet and flies his flag"
expansion,"n. the act of increasing (something) in size or volume or quantity or scope
n. a function expressed as a sum or product of terms
n. a discussion that provides additional information"
brand,"n. a recognizable kind
n. identification mark on skin, made by burning
n. a piece of wood that has been burned or is burning
v. burn with a branding iron to indicate ownership; of animals"
expand,"v. extend in one or more directions
v. become larger in size or volume or quantity
v. make bigger or wider in size, volume, or quantity"
exponentially,r. in an exponential manner
household name,none
in search of,none
dabble in,none
a wealth of,none
put to use,none
build on,none
part and parcel,none
draw in,none
again and again,none
a host of,none
lemonade,n. sweetened beverage of diluted lemon juice
dubious,s. not convinced
licence,"n excessive freedom; lack of due restraint
n freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)
n a legal document giving official permission to do something
v authorize officially"
stall,"n. a compartment in a stable where a single animal is confined and fed
n. a booth where articles are displayed for sale
n. a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge
n. seating in the forward part of the main level of a theater"
driveway,n. a road leading up to a private house
busybody,n. a person who meddles in the affairs of others
council,"n. a body serving in an administrative capacity
n. (Christianity) an assembly of theologians and bishops and other representatives of different churches or dioceses that is convened to regulate matters of discipline or doctrine
n. a meeting of people for consultation"
reprimand,v. rebuke formally
handout,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
handwritten,s. written by hand
jug,"n. a large bottle with a narrow mouth
n. the quantity contained in a jug
v. stew in an earthenware jug"
freshly,"r very recently
r in an impudent or impertinent manner"
potter,"n. a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln
v. work lightly"
pathetic,"s. inspiring mixed contempt and pity
s. inspiring scornful pity"
apparently,r. from appearances alone
teenage,s being of the age 13 through 19
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
lowlife,n a person who is deemed to be despicable or contemptible
satnav,none
nick,"n. (British slang) a prison
v. cut slightly, with a razor
v. cut a nick into
v. divide or reset the tail muscles of"
petty,s. contemptibly narrow in outlook
crime,"n. (criminal law) an act punishable by law; usually considered an evil act
n. an evil act not necessarily punishable by law"
scarcely,"r only a very short time before
r almost not"
bat,"n. nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
n. (baseball) a turn trying to get a hit
n. a club used for hitting a ball in various games
v. strike with, or as if with a baseball bat"
sheer,"v. cause to sheer
r. straight up or down without a break
r. directly"
venality,n. prostitution of talents or offices or services for reward
shocking,"v surprise greatly; knock someone's socks off
v strike with disgust or revulsion
v strike with horror or terror
v collide violently
v collect or gather into shocks
v subject to electrical shocks
v inflict a trauma upon
s glaringly vivid and graphic; marked by sensationalism
s giving offense to moral sensibilities and injurious to reputation"
spot,"n. a short section or illustration (as between radio or tv programs or in a magazine) that is often used for advertising
n. a small contrasting part of something
n. a section of an entertainment that is assigned to a specific performer or performance
n. a business establishment for entertainment"
vigilant,s carefully observant or attentive; on the lookout for possible danger
guard,"n. a person who keeps watch over something or someone
n. the person who plays that position on a football team
n. a device designed to prevent injury or accidents
n. a posture of defence in boxing or fencing"
bear,"n. massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws
n. an investor with a pessimistic market outlook; an investor who expects prices to fall and so sells now in order to buy later at a lower price
v. have
v. move while holding up or supporting"
crush,"n. a dense crowd of people
n. the act of crushing
v. break into small pieces
v. humiliate or depress completely"
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
deflect,"v. turn from a straight course, fixed direction, or line of interest
v. turn aside and away from an initial or intended course"
perk,"n an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
v gain or regain energy"
criminal,"n. someone who has committed a crime or has been legally convicted of a crime
s. guilty of crime or serious offense
s. involving or being or having the nature of a crime"
chase,"n. United States politician and jurist who served as chief justice of the United States Supreme Court (1808-1873)
n. a rectangular metal frame used in letterpress printing to hold together the pages or columns of composed type that are printed at one time
v. go after with the intent to catch
v. pursue someone sexually or romantically"
incident,"n. a single distinct event
n. a public disturbance
a. falling or striking of light rays on something"
sterling,n. British money; especially the pound sterling as the basic monetary unit of the UK
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
batch,"n. all the loaves of bread baked at the same time
n. (often followed by `of') a large number or amount or extent
n. a collection of things or persons to be handled together
v. batch together; assemble or process as a batch"
universe,"n. everything that exists anywhere
n. everything stated or assumed in a given discussion"
withdraw,"v. pull back or move away or backward
v. remove (a commodity) from (a supply source)"
principle,"n. a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct
n. a rule or standard especially of good behavior
n. a basic truth or law or assumption
n. a rule or law concerning a natural phenomenon or the function of a complex system"
sod it,none
in case,"v enclose in, or as if in, a case"
get after,none
double back,none
tear off,none
just as well,none
live with,none
not bat an eye,none
have in mind,none
come to,none
no doubt,none
perk up,none
keep an eye on,none
at a moment's notice,none
insist on,none
carry on,none
stadium,n. a large structure for open-air sports or entertainments
brandish,"v. move or swing back and forth
v. exhibit aggressively"
squirt,"v. cause to come out in a squirt
v. wet with a spurt of liquid"
squirt gun,none
beach ball,n large and light ball; for play at the seaside
adulthood,"n. the period of time in your life after your physical growth has stopped and you are fully developed
n. the state (and responsibilities) of a person who has attained maturity"
rousing,"s. capable of arousing enthusiasm or excitement
s. rousing to activity or heightened action as by spurring or goading"
orator,n. a person who delivers a speech or oration
podium,n a platform raised above the surrounding level to give prominence to the person on it
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
newsfeed,none
alum,"n. a white crystalline double sulfate of aluminum: the ammonium double sulfate of aluminum
n. a white crystalline double sulfate of aluminum: the potassium double sulfate of aluminum
n. a double sulphate of aluminum and potassium that is used as an astringent (among other things)"
resonate,"v. sound with resonance
v. be received or understood"
uniquely,r. so as to be unique
reread,v. read anew; read again
calligraphy,n. beautiful handwriting
font,n. a specific size and style of type within a type family
animation,"n. the condition of living or the state of being alive
n. the property of being able to survive and grow
n. quality of being active or spirited or alive and vigorous"
poignant,s. keenly distressing to the mind or feelings
diagnosis,n. identifying the nature or cause of some phenomenon
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
pride,"n. a feeling of self-respect and personal worth
n. satisfaction with your (or another's) achievements
n. the trait of being spurred on by a dislike of falling below your standards
n. a group of lions"
embarrassment,"n. the shame you feel when your inadequacy or guilt is made public
n. the state of being embarrassed (usually by some financial inadequacy)
n. some event that causes someone to be embarrassed"
contrary,"n. exact opposition
n. a logical relation such that two propositions are contraries if both cannot be true but both can be false
s. very opposed in nature or character or purpose
s. of words or propositions so related that both cannot be true but both may be false"
averse,s (usually followed by `to') strongly opposed
aspire,v have an ambitious plan or a lofty goal
disguise,"n. an outward semblance that misrepresents the true nature of something
n. any attire that modifies the appearance in order to conceal the wearer's identity
n. the act of concealing the identity of something by modifying its appearance
v. make unrecognizable"
lie ahead,none
step down,n the act of decreasing or reducing something
light up,none
resonate with,none
fall away,none
in the face of,none
follow one's heart,none
contrary to,none
aspire to,none
in disguise,none
catering,n. providing food and services
banquet,"n. a ceremonial dinner party for many people
n. a meal that is well prepared and greatly enjoyed"
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
steadily,"r. at a steady rate or pace
r. in a steady manner"
path,"n. a way especially designed for a particular use
n. an established line of travel or access
n. a line or route along which something travels or moves"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
corporate,"a. of or belonging to a corporation
s. done by or characteristic of individuals acting together
s. organized and maintained as a legal corporation"
operator,"n. (mathematics) a symbol or function representing a mathematical operation
n. an agent that operates some apparatus or machine
n. someone who owns or operates a business
n. a speculator who trades aggressively on stock or commodity markets"
switchboard,n. telephone central where circuits are completed with patchcords
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
reception,"n. the manner in which something is greeted
n. a formal party of people; as after a wedding
n. quality or fidelity of a received broadcast
n. the act of receiving"
register,"n. an official written record of names or events or transactions
n. (music) the timbre that is characteristic of a certain range and manner of production of the human voice or of different pipe organ stops or of different musical instruments
n. a book in which names and transactions are listed
n. (computer science) memory device that is the part of computer memory that has a specific address and that is used to hold information of a specific kind"
concierge,n. a French caretaker of apartments or a hotel; lives on the premises and oversees people entering and leaving and handles mail and acts as janitor or porter
relation,"n. an abstraction belonging to or characteristic of two entities or parts together
n. an act of narration
n. (usually plural) mutual dealings or connections among persons or groups"
VIP,n an important or influential (and often overbearing) person
luggage,n cases used to carry belongings when traveling
friendliness,"n. a feeling of liking for another person; enjoyment in their company
n. a friendly disposition"
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
swiftly,r. in a swift manner
agent,"n. an active and efficient cause; capable of producing a certain effect
n. a representative who acts on behalf of other persons or organizations
n. a substance that exerts some force or effect
n. a businessman who buys or sells for another in exchange for a commission"
additional,s further or added
thorough,s. painstakingly careful and accurate
attribute,n. an abstraction belonging to or characteristic of an entity
liaison,n. a channel for communication between groups
find out,none
meet with,none
have sb. over,none
there you go,none
work one's way up,none
take the initiative,none
act as,none
seek out,none
continent,"n. one of the large landmasses of the earth
n. the European mainland
a. having control over urination and defecation"
diversity,n. the condition or result of being changeable
myriad,n. a large indefinite number
urbanization,"n. the condition of being urbanized
n. the social process whereby cities grow and societies become more urban"
commerce,"n. transactions (sales and purchases) having the objective of supplying commodities (goods and services)
n. social exchange, especially of opinions, attitudes, etc."
embrace,"n. the act of clasping another person in the arms (as in greeting or affection)
n. the state of taking in or encircling
n. a close affectionate and protective acceptance
v. include in scope; include as part of something broader; have as one's sphere or territory"
multicultural,a. of or relating to or including several cultures
evidently,r unmistakably (`plain' is often used informally for `plainly')
globalize,v. make world-wide in scope or application
multilingual,a. using or knowing more than one language
regard,"n. (usually plural) a polite expression of desire for someone's welfare
n. a feeling of friendship and esteem
v. look at attentively"
melt,"v. reduce or cause to be reduced from a solid to a liquid state, usually by heating
v. lose its distinct outline or shape; blend gradually
v. become less intense and fade away gradually"
pot,"n. metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid
n. the quantity contained in a pot
n. a container in which plants are cultivated
n. the cumulative amount involved in a game (such as poker)"
melting pot,none
Hispanic,a. related to a Spanish-speaking people or culture
origin,"n. properties attributable to your ancestry
n. an event that is a beginning; a first part or stage of subsequent events
n. the point of intersection of coordinate axes; where the values of the coordinates are all zero
n. the source of something's existence or from which it derives or is derived"
translator,"n. a person who translates written messages from one language to another
n. a program that translates one programming language into another"
interpreter,"n. someone who mediates between speakers of different languages
n. someone who uses art to represent something
n. (computer science) a program that translates and executes source language statements one line at a time"
divergent,"s. diverging from another or from a standard
a. tending to move apart in different directions"
development,"n. act of improving by expanding or enlarging or refining
n. a process in which something passes by degrees to a different stage (especially a more advanced or mature stage)
n. a recent event that has some relevance for the present situation
n. a district that has been developed to serve some purpose"
monolingual,"n. a person who knows only one language
a. using or knowing only one language"
outscore,v score more points than one's opponents
intelligence,"n. the ability to comprehend; to understand and profit from experience
n. a unit responsible for gathering and interpreting information about an enemy
n. secret information about an enemy (or potential enemy)
n. the operation of gathering information about an enemy"
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
capacity,"n. capability to perform or produce
n. the amount that can be contained
n. the maximum production possible
n. a specified function"
achievement,n the action of accomplishing something
nowadays,r. in these times
civilization,"n. a society in an advanced state of social development (e.g., with complex legal and political and religious organizations)
n. the social process whereby societies achieve an advanced stage of development and organization"
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
soul,"n. the immaterial part of a person; the actuating cause of an individual life
n. deep feeling or emotion
n. the human embodiment of something
n. a secular form of gospel that was a major Black musical genre in the 1960s and 1970s"
tolerance,"n. the power or capacity of an organism to tolerate unfavorable environmental conditions
n. the act of tolerating something
n. willingness to recognize and respect the beliefs or practices of others"
immigration,"n. migration into a place (especially migration to a country of which you are not a native in order to settle there)
n. the body of immigrants arriving during a specified interval"
empathy,n. understanding and entering into another's feelings
even though,none
day by day,none
result in,none
a number of,none
apart from,none
deal with,none
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
flawless,s. without a flaw
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
grandparent,n. a parent of your father or mother
Renaissance,n. the period of European history at the close of the Middle Ages and the rise of the modern world; a cultural rebirth from the 14th through the middle of the 17th centuries
Renaissance man,none
guitar,n. a stringed instrument usually having six strings; played by strumming or plucking
heritage,n. practices that are handed down from the past by tradition
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
occasion,"n. reason
n. the time of a particular event
n. an opportunity to do something
v. give occasion to"
mesa,"n. flat tableland with steep edges
n. a city in Arizona just to the east of Phoenix; originally a suburb of Phoenix"
relief,"n. the feeling that comes when something burdensome is removed or reduced
n. the condition of being comfortable or relieved (especially after being relieved of distress)
n. (law) redress awarded by a court
n. assistance in time of difficulty"
southwestern,"n. a dialect of Middle English
s. of a region of the United States generally including New Mexico; Arizona; Texas; California; and sometimes Nevada; Utah; Colorado"
landform,none
blurt,v utter impulsively
ah,"interj. An exclamation, expressive of surprise, pity, complaint,
   entreaty, contempt, threatening, delight, triumph, etc., according to
   the manner of utterance."
rainforest,n a forest with heavy annual rainfall
casa,none
charade,n. a word acted out in an episode of the game of charades
attendance,"n. the act of being present (at a meeting or event etc.)
n. the frequency with which a person is present
n. the number of people that are present"
receptacle,"n. a container that is used to put or keep things in
n. enlarged tip of a stem that bears the floral parts
n. an electrical (or electronic) fitting that is connected to a source of power and equipped to receive an insert"
absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
dismiss,"v. bar from attention or consideration
v. cease to consider; put out of judicial consideration
v. stop associating with
v. end one's encounter with somebody by causing or permitting the person to leave"
Puerto Rican,none
Jewish,a. of or relating to Jews or their culture or religion
Hebrew,n. the ancient Canaanitic language of the Hebrews that has been revived as the official language of Israel
wise,"n. a way of doing or being
n. United States Jewish leader (born in Hungary) (1874-1949)
n. United States religious leader (born in Bohemia) who united reform Jewish organizations in the United States (1819-1900)
a. having or prompted by wisdom or discernment"
barrio,"n. a Spanish-speaking quarter in a town or city (especially in the United States)
n. an urban area in a Spanish-speaking country"
native,"n. an indigenous person who was born in a particular place
n. a person born in a particular place or country
n. indigenous plants and animals
a. characteristic of or existing by virtue of geographic origin"
evade,"v. practice evasion
v. use cunning or deceit to escape or avoid"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
look back,none
make it easy on sb.,none
make it easy for sb.,none
come to mind,none
single out,none
have no idea,none
imagination,"n. the formation of a mental image of something that is not perceived as real and is not present to the senses
n. the ability to form mental images of things or events"
breakthrough,"n. making an important discovery
n. a penetration of a barrier such as an enemy's defense"
perceive,"v. to become aware of through the senses
v. become conscious of"
advance,"n. an amount paid before it is earned
n. increase in price or value
v. move forward, also in the metaphorical sense
v. bring forward for consideration or acceptance"
cloud computing,none
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
foretell,"v foreshadow or presage
v make a prediction about; tell in advance
v indicate by signs"
wing,"n. a movable organ for flying (one of a pair)
n. one of the horizontal airfoils on either side of the fuselage of an airplane
n. a stage area out of sight of the audience
n. a unit of military aircraft"
storage,"n. the act of storing something
n. the commercial enterprise of storing goods and materials
n. (computer science) the process of storing information in a computer memory or on a magnetic tape or disk"
exchange,"n. chemical process in which one atom or ion or group changes places with another
n. a mutual expression of views (especially an unpleasant one)
n. the act of changing one thing for another thing
n. the act of giving something in return for something received"
sector,"n. a plane figure bounded by two radii and the included arc of a circle
n. a social group that forms part of the society or the economy
n. a particular aspect of life or activity
n. the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes"
mobile,"n. a river in southwestern Alabama; flows into Mobile Bay
n. a port in southwestern Alabama on Mobile Bay
n. sculpture suspended in midair whose delicately balanced parts can be set in motion by air currents
s. migratory"
menu,"n. a list of dishes available at a restaurant
n. the dishes making up a meal
n. (computer science) a list of options available to a computer user
n. an agenda of things to do"
browse,"n. vegetation (such as young shoots, twigs, and leaves) that is suitable for animals to eat
n. reading superficially or at random
n. the act of feeding by continual nibbling
v. look around casually and randomly, without seeking anything in particular"
app,none
rail,"n. short for railway
n. a horizontal bar (usually of wood or metal)
n. any of numerous widely distributed small wading birds of the family Rallidae having short wings and very long toes for running on soft mud
v. complain bitterly"
surfing,n. the sport of riding a surfboard toward the shore on the crest of a wave
domestic,"n. a servant who is paid to perform menial tasks around the household
a. of concern to or concerning the internal affairs of a nation
a. of or relating to the home
a. of or involving the home or family"
execute,"v. kill as a means of socially sanctioned punishment
v. murder in a planned fashion
v. carry out the legalities of
v. sign in the presence of witnesses"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
channel,"n. a path over which electrical signals can pass
n. a passage for water (or other fluids) to flow through
n. a deep and relatively narrow body of water (as in a river or a harbor or a strait linking two larger bodies) that allows the best passage for vessels
n. (often plural) a means of communication or access"
fiercely,r. in an emotionally fierce manner
woo,"v. seek someone's favor
v. make amorous advances towards"
revolutionize,"v. change radically
v. overthrow by a revolution, of governments
v. fill with revolutionary ideas"
arena,"n. the central area of an ancient Roman amphitheater where contests and spectacles were held; especially an area that was strewn with sand
n. a playing field where sports events take place"
advent,"n. arrival that has been awaited (especially of something momentous)
n. the season including the four Sundays preceding Christmas"
robot,n a mechanism that can move automatically
buddy,n. a close friend who accompanies his buddies in their activities
pivotal,s. being of crucial importance
tablet,"n. a slab of stone or wood suitable for bearing an inscription
n. a small flat compressed cake of some substance"
dependent,"a. relying on or requiring a person or thing for support, supply, or what is needed
s. contingent on something else
a. (of a clause) unable to stand alone syntactically as a complete sentence"
portability,n. the quality of being light enough to be carried
momentum,"n. an impelling force or strength
n. the product of a body's mass and its velocity"
reap,"v. gather, as of natural products
v. get or derive"
juicy,"a. full of juice
s. having strong sexual appeal"
netizen,none
portal,n. a grand and imposing entrance (often extended metaphorically)
socialise,"v take part in social activities; interact with others
v train for a social environment
v prepare for social life
v make conform to socialist ideas and philosophies"
socialize,"v. take part in social activities; interact with others
v. train for a social environment
v. prepare for social life
v. make conform to socialist ideas and philosophies"
extent,"n. the point or degree to which something extends
n. the distance or area or volume over which something extends"
probable,"n. an applicant likely to be chosen
a. likely but not certain to be or become true or real
s. apparently destined"
prevalent,s most frequent or common
migrate,"v. move from one country or region to another and settle there
v. move periodically or seasonally"
oral,"n. an examination conducted by spoken communication
s. using speech rather than writing
a. of or relating to or affecting or for use in the mouth
a. of or involving the mouth or mouth region or the surface on which the mouth is located"
visual,"a relating to or using sight
s visible; give me the ocular proof""- Shakespeare"
e-learning,none
webinar,none
teleconference,n. a conference of people who are in different locations that is made possible by the use of such telecommunications equipment as closed-circuit television
telecommunications,"n (often plural) systems used in transmitting messages over a distance electronically
n (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance"
radical,"n. a person who has radical ideas or opinions
n. (mathematics) a quantity expressed as the root of another quantity
n. a character conveying the lexical meaning of a logogram
s. arising from or going to the root or source"
handset,n. telephone set with the mouthpiece and earpiece mounted on a single handle
mode,"n. a particular functioning condition or arrangement
n. any of various fixed orders of the various diatonic notes within an octave
n. the most frequent value of a random variable"
flow,"n. the motion characteristic of fluids (liquids or gases)
n. the amount of fluid that flows in a given time
n. the act of flowing or streaming; continuous progression
n. any uninterrupted stream or discharge"
popularly,r. among the people
generous,"a. willing to give and share unstintingly
a. not petty in character and mind
s. more than adequate"
bandwidth,n. a data transmission rate; the maximum amount of information (bits/second) that can be transmitted along a channel
spectrum,"n. an ordered array of the components of an emission or wave
n. a broad range of related objects or values or qualities or ideas or activities"
facilitate,"v. make easier
v. increase the likelihood of (a response)"
usher in,none
spread one's wings,none
no more,none
lease out,none
in exchange for,none
the eye of the storm,none
at the moment,none
come with,none
look upon,none
bring together,none
make one's mark,none
the talk of the town,none
luddite,"n. any opponent of technological progress
n. one of the 19th century English workmen who destroyed laborsaving machinery that they thought would cause unemployment"
column,"n. a line of units following one after another
n. a vertical glass tube used in column chromatography; a mixture is poured in the top and washed through a stationary substance where components of the mixture are adsorbed selectively to form colored bands
n. a vertical array of numbers or other information
n. anything that approximates the shape of a column or tower"
deafness,n. partial or complete loss of hearing
metal,v. cover with metal
protection,"n. the activity of protecting someone or something
n. the condition of being protected
n. the imposition of duties or quotas on imports in order to protect domestic industry against foreign competition
n. payment extorted by gangsters on threat of violence"
earbud,none
yell,v. utter or declare in a very loud voice
aid,"n. a resource
n. the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
n. money to support a worthy person or cause"
inability,"n. lack of ability (especially mental ability) to do something
n. lacking the power to perform"
subtract,"v. make a subtraction
v. take off or away"
calculator,"n. an expert at calculation (or at operating calculating machines)
n. a small machine that is used for mathematical calculations"
atrophy,"n. a decrease in size of an organ caused by disease or disuse
n. any weakening or degeneration (especially through lack of use)
v. undergo atrophy"
cashier,"n. a person responsible for receiving payments for goods and services (as in a shop or restaurant)
v. discard or do away with
v. discharge with dishonor, as in the army"
wreck,"n. something or someone that has suffered ruin or dilapidation
n. a ship that has been destroyed at sea"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
disorganized,a. lacking order or methodical arrangement or function
mess,"n. a state of confusion and disorderliness
n. soft semiliquid food
n. a meal eaten in a mess hall by service personnel
n. a (large) military dining room where service personnel eat or relax"
intuitive,"s. spontaneously derived from or prompted by a natural tendency
s. obtained through intuition rather than from reasoning or observation"
connectivity,n. the property of being connected or the degree to which something has connections
wane,"v. become smaller
v. decrease in phase"
Balkanization,none
mass media,none
baseball,"n. a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
n. a ball used in playing baseball"
series,"n. similar things placed in order or happening one after another
n. a periodical that appears at scheduled times
n. (sports) several contests played successively by the same teams
n. (electronics) connection of components in such a manner that current flows first through one and then through the other"
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
befriend,v. become friends with
subgroup,"n. a distinct and often subordinate group within a group
n. (mathematics) a subset (that is not empty) of a mathematical group"
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
mores,n. (sociology) the conventions that embody the fundamental values of a group
puffed-up,none
blowhard,n a very boastful and talkative person
forum,"n. a public meeting or assembly for open discussion
n. a public facility to meet for open discussion"
slavery,"n. the practice of owning slaves
n. work done under harsh conditions for little or no pay"
dependency,"n the state of relying on or being controlled by someone or something else
n being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
n a geographical area politically controlled by a distant country"
scribble,"n. poor handwriting
n. an aimless drawing
v. write down quickly without much attention to detail
v. write carelessly"
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
grid,"n. a pattern of regularly spaced horizontal and vertical lines
n. a perforated or corrugated metal plate used in a storage battery as a conductor and support for the active material
n. an electrode placed between the cathode and anode of a vacuum tube to control the flow of electrons through the tube
n. a cooking utensil of parallel metal bars; used to grill fish or meat"
refrigerator,n. white goods in which food can be stored at low temperatures
BBQer,none
slave,"n. a person who is owned by someone
n. someone who works as hard as a slave
n. someone entirely dominated by some influence or person
v. work very hard, like a slave"
mid,s. used in combination to denote the middle
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
format,"n. the organization of information according to preset specifications (usually for computer processing)
n. the general appearance of a publication
v. set (printed matter) into a specific format
v. determine the arrangement of (data) for storage and display (in computer science)"
disappear,"v. get lost, as without warning or explanation"
yearbook,n. a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students
