abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
abolish,v. do away with
absenteeism,n. habitual absence from work
absorb,"v. become imbued
v. take up mentally
v. take up, as of debts or payments
v. take in, also metaphorically"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
abundant,a. present in great quantity
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
accelerate,"v. move faster
v. cause to move faster"
access,"n. the right to obtain or make use of or take advantage of something (as services or membership)
n. a way of entering or leaving
n. a code (a series of characters or digits) that must be entered in some way (typed or dialed or spoken) to get the use of something (a telephone line or a computer or a local area network etc.)
n. (computer science) the operation of reading or writing stored information"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accompaniment,"n. an event or situation that happens at the same time as or in connection with another
n. a musical part (vocal or instrumental) that supports or provides background for other musical parts"
accord,"n. concurrence of opinion
n. sympathetic compatibility
v. allow to have"
accordingly,r. in accordance with
accountant,n. someone who maintains and audits business accounts
accretion,"n. an increase by natural growth or addition
n. something contributing to growth or increase
n. (astronomy) the formation of a celestial object by the effect of gravity pulling together surrounding objects and gases"
accrue,"v. grow by addition
v. come into the possession of"
accumulate,v. collect or gather
accuracy,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number"
accurate,"a. conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
s. (of ideas, images, representations, expressions) characterized by perfect conformity to fact or truth; strictly correct"
accustomed,"a. (often followed by `to') in the habit of or adapted to
s. commonly used or practiced; usual"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
acreage,n. an area of ground used for some particular purpose (such as building or farming)
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
adapt,"v. make fit for, or change to suit a new purpose"
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
additive,"n. something added to enhance food or gasoline or paint or medicine
a. characterized or produced by addition"
adept,s. having or showing knowledge and skill and aptitude
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adjacent,"s. nearest in space or position; immediately adjoining without intervening space
s. having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut""
s. near or close to but not necessarily touching"
adjust,"v. alter or regulate so as to achieve accuracy or conform to a standard
v. adapt or conform oneself to new or different conditions
v. make correspondent or conformable
v. decide how much is to be paid on an insurance claim"
administer,"v. work in an administrative capacity; supervise or be in charge of
v. perform (a church sacrament) ritually
v. give or apply (medications)
v. direct the taking of"
admit,"v. declare to be true or admit the existence or reality or truth of
v. allow to enter; grant entry to
v. allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v. afford possibility"
adolescent,"n. a juvenile between the onset of puberty and maturity
a. relating to or peculiar to or suggestive of an adolescent
s. being of the age 13 through 19
s. displaying or suggesting a lack of maturity"
