cent,n. a fractional monetary unit of several countries
centigrade,a. of or relating to a temperature scale on which the freezing point of water is 0 degrees and the boiling point of water is 100 degrees
century,n. a period of 100 years
percent,n a proportion in relation to a whole (which is usually the amount per hundred)
percentage,n. a proportion in relation to a whole (which is usually the amount per hundred)
centimeter,n. a metric unit of length equal to one hundredth of a meter
centennial,"n. the 100th anniversary (or the celebration of it)
a. of or relating to or completing a period of 100 years"
circle,"n. ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
n. something approximating the shape of a circle
n. a curved section or tier of seats in a hall or theater or opera house; usually the first tier above the orchestra
n. any circular or rotating mechanism"
circlet,"n. a small circle
n. decorated metal band worn around the head"
circus,"n. a travelling company of entertainers; including trained animals
n. a performance given by a traveling company of acrobats, clowns, and trained animals
n. a frenetic disorganized (and often comic) disturbance suggestive of a large public entertainment
n. (antiquity) an open-air stadium for chariot races and gladiatorial games"
bicycle,"n. a wheeled vehicle that has two wheels and is moved by foot pedals
v. ride a bicycle"
cycle,"n. an interval during which a recurring sequence of events occurs
n. a series of poems or songs on the same theme
n. a periodically repeated sequence of events
n. a single complete execution of a periodically repeated phenomenon"
circuit,"n. an electrical device that provides a path for electrical current to flow
n. an established itinerary of venues or events that a particular group of people travel to
n. (law) a judicial division of a state or the United States (so-called because originally judges traveled and held court in different locations); one of the twelve groups of states in the United States that is covered by a particular circuit court of appeals
v. make a circuit"
circular,"n. an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
s. describing a circle; moving in a circle"
recycle,"v. cause to repeat a cycle
v. use again after processing"
circulate,"v. cause to become widely known
v. cause be distributed
v. move through a space, circuit or system, returning to the starting point
v. cause to move in a circuit or system"
encyclopedia,n. a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty
line,"n. a formation of people or things one beside another
n. a mark that is long relative to its width
n. a formation of people or things one behind another
n. a length (straight or curved) without breadth or thickness; the trace of a moving point"
airline,"n. a hose that carries air under pressure
n. a commercial enterprise that provides scheduled flights for passengers"
deadline,n. the point in time at which something must be completed
guideline,n. a light line that is used in lettering to help align the letters
headline,"n. the heading or caption of a newspaper article
v. publicize widely or highly, as if with a headline
v. provide (a newspaper page or a story) with a headline"
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
baseline,"n. an imaginary line or standard by which things are measured or compared
n. the lines a baseball player must follow while running the bases"
borderline,s. of questionable or minimal quality
underline,v. draw a line or lines underneath to call attention to
linear,"a. designating or involving an equation whose terms are of the first degree
a. of or in or along or relating to a line; involving a single dimension
s. (of a leaf shape) long and narrow
s. measured lengthwise"
dateline,"n. an imaginary line on the surface of the earth following (approximately) the 180th meridian
n. a line at the beginning of a news article giving the date and place of origin of the news dispatch
v. mark with a date and place"
lineage,n. the descendants of one individual
hardline,s firm and uncompromising
long,"a. primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
a. primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified
s. of relatively great height
a. holding securities or commodities in expectation of a rise in prices"
lifelong,s. continuing through life
belong,"v. be owned by; be in the possession of
v. be suitable or acceptable
v. be in the right place or situation
v. be rightly classified in a class or category"
longing,n. prolonged unfulfilled desire or need
longitude,n. the angular distance between a point on any meridian and the prime meridian at Greenwich
longsighted,"s capable of seeing to a great distance
s planning prudently for the future"
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
lengthen,"v. make longer
v. become long or longer"
longevity,"n. duration of service
n. the property of being long-lived"
longheaded,a. Having unusual foresight or sagacity.
lengthy,s relatively long in duration; tediously protracted
marked,"s. strongly marked; easily noticeable
s. singled out for notice or especially for a dire fate
a. having or as if having an identifying mark or a mark as specified; often used in combination"
bookmark,n. a marker (a piece of paper or ribbon) placed between the pages of a book to mark the reader's place
landmark,"n. the position of a prominent or well-known object in a particular landscape
n. an event marking a unique or important historical change of course or one on which important developments depend
n. a mark showing the boundary of a piece of land
n. an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken"
postmark,"n. a cancellation mark stamped on mail by postal officials; indicates the post office and date of mailing
v. stamp with a postmark to indicate date and time of mailing"
remark,"n. a statement that expresses a personal opinion or belief or adds information
n. explicit notice"
remarkable,s. unusual or striking
tidemark,n. indicator consisting of a line at the highwater or low-water limits of the tides
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
unmarked,a. not having an identifying mark
marksman,n. someone skilled in shooting
hallmark,n. a distinctive characteristic or attribute
sign,"n. a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
n. a public display of a message
n. (medicine) any objective evidence of the presence of a disorder or disease
n. a gesture that is part of a sign language"
design,"n. the act of working out the form of something (as by making a sketch or outline or plan)
n. an arrangement scheme
n. a decorative or artistic work
n. a preliminary sketch indicating the plan for something"
resign,v. accept as inevitable
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
significance,"n. the quality of being significant
n. a meaning that is not expressly stated but can be inferred"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
consign,"v. commit forever; commit irrevocably
v. give over to another for care or safekeeping
v. send to an address"
designate,"v. assign a name or title to
s. appointed but not yet installed in office"
