brigade,"n. army unit smaller than a division
v. form or unite into a brigade"
volunteer,"n. (military) a person who freely enlists for service
n. a person who performs voluntary work
v. tell voluntarily
v. agree freely"
warp,"n. a shape distorted by twisting or folding
n. a moral or mental distortion
n. yarn arranged lengthways on a loom and crossed by the woof"
blurt out,none
wear down,none
aroma,n. a distinctive odor that is pleasant
aura,"n. a sensation (as of a cold breeze or bright light) that precedes the onset of certain disorders such as a migraine attack or epileptic seizure
n. an indication of radiant light drawn around the head of a saint"
bard,"n. a lyric poet
n. an ornamental caparison for a horse"
cuddle,"n. a close and affectionate (and often prolonged) embrace
v. move or arrange oneself in a comfortable and cozy position
v. hold (a person or thing) close, as for affection, comfort, or warmth"
elevate,"v give a promotion to or assign to a higher position
v raise from a lower to a higher position
v raise in rank or condition"
epic,"s. very imposing or impressive; surpassing the ordinary (especially in size or scale)
a. constituting or having to do with or suggestive of a literary epic"
evolve,"v. work out
v. undergo development or evolution"
imponderable,"n. a factor whose effects cannot be accurately assessed
a. difficult or impossible to evaluate with precision"
lyric,"n. the text of a popular song or musical-comedy number
n. a short poem of songlike quality
v. write lyrics for (a song)
s. expressing deep emotion"
mediocre,"s. moderate to inferior in quality
s. poor to middling in quality"
prosaic,"s not fanciful or imaginative
s lacking wit or imagination
s not challenging; dull and lacking excitement"
squalid,"s morally degraded
s foul and run-down and repulsive"
veritable,"s often used as intensifiers
s not counterfeit or copied"
verse,"n. a piece of poetry
n. a line of metrical text
v. compose verses or put into verse
v. familiarize through thorough study or experience"
conjure up,none
apprehensively,r with anxiety or apprehension
autopsy,"n. an examination and dissection of a dead body to determine cause of death or the changes produced by disease
v. perform an autopsy on a dead body; do a post-mortem"
bountifully,r. in a bountiful manner
buff,"n. a soft thick undyed leather from the skins of e.g. buffalo or oxen
n. bare skin; naked
n. an implement consisting of soft material mounted on a block; used for polishing (as in manicuring)
v. polish and make shiny"
chaser,n. a drink to follow immediately after another drink
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
creaky,"s. worn and broken down by hard use
s. having a rasping or grating sound"
draught,"n a serving of drink (usually alcoholic) drawn from a keg
n a large and hurried swallow
n a current of air (usually coming into a chimney or room or vehicle)
n the depth of a vessel's keel below the surface (especially when loaded)
n a dose of liquid medicine
n the act of moving a load by drawing or pulling
v make a blueprint of"
fervently,r with passionate fervor
giddy,"s having or causing a whirling sensation; liable to falling
s lacking seriousness; given to frivolity"
imperceptible,a. impossible or difficult to perceive by the mind or senses
laxative,"n. a mild cathartic
a. stimulating evacuation of feces"
oblige,"v. bind by an obligation; cause to be indebted
v. provide a service or favor for someone"
peer,"n. a person who is of equal standing with another in a group
n. a nobleman (duke or marquis or earl or viscount or baron) who is a member of the British peerage
v. look searchingly"
phial,n. a small bottle that contains a drug (especially a sealed sterile container for injection by needle)
potion,n. a medicinal or magical or poisonous beverage
rapture,"n a state of being carried away by overwhelming emotion
n a state of elated bliss"
scorn,"n lack of respect accompanied by a feeling of intense dislike
n open disrespect for a person or thing
v look down on with disdain
v reject with contempt"
sole,"n. the underside of footwear or a golf club
n. lean flesh of any of several flatfish
n. the underside of the foot
n. right-eyed flatfish; many are valued as food; most common in warm seas especially European"
substitute,"n. a person or thing that takes or can take the place of another
n. an athlete who plays only when a starter on the team is replaced
v. put in the place of another; switch seemingly equivalent items
v. be a substitute"
make sb's acquaintance,none
better off,none
admixture,"n. the state of impairing the quality or reducing the value of something
n. an additional ingredient that is added by mixing with the base"
appalling,"n. an experience that appalls
s. causing consternation"
atom,"n. (physics and chemistry) the smallest component of an element having the chemical properties of the element
n. (nontechnical usage) a tiny piece of anything"
cease,n. (`cease' is a noun only in the phrase `without cease') end
confer,"v. have a conference in order to talk something over
v. present"
correlative,"s. mutually related
s. expressing a reciprocal or complementary relation"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
egoism,"n. (ethics) the theory that the pursuit of your own welfare in the basis of morality
n. concern for your own interests and welfare"
elixir,"n. a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste
n. a substance believed to cure all ills"
eminent,"s. standing above others in quality or position
s. of imposing height; especially standing out above others"
horizon,"n. the line at which the sky and Earth appear to meet
n. the range of interest or activity that can be anticipated
n. a specific layer or stratum of soil or subsoil in a vertical cross section of land
n. the great circle on the celestial sphere whose plane passes through the sensible horizon and the center of the Earth"
impartiality,n. an inclination to weigh both views or opinions equally
inculcate,v. teach and impress by frequent repetitions or admonitions
lunatic,"n. an insane person
s. insane and believed to be affected by the phases of the moon"
populous,s. densely populated
proportion,"n. the quotient obtained when the magnitude of a part is divided by the magnitude of the whole
n. magnitude or extent
n. the relation between things (or parts of things) with respect to their comparative quantity, magnitude, or degree
n. harmonious arrangement or relation of parts or elements within a whole (as in a design)"
spectacular,"n. a lavishly produced performance
s. characteristic of spectacles or drama"
vice,n. a specific form of evildoing
contribute to,none
aubergine,"n hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable
n egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow"
batter,"n. (baseball) a ballplayer who is batting
n. a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking"
bedeck,v decorate
braise,v. cook in liquid
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
contrive,"v make or work out a plan for; devise
v come up with (an idea, plan, explanation, theory, or principle) after a mental effort
v put or send forth"
cuisine,n. the practice or manner of preparing food or the food so prepared
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
elusive,"s. difficult to describe
s. skillful at eluding capture
s. difficult to detect or grasp by the mind or analyze"
enterprise,"n. a purposeful or industrious undertaking (especially one that requires effort or boldness)
n. an organization created for business ventures
n. readiness to embark on bold new ventures"
exotica,none
fastidiously,r. in a fastidious manner
fowl,"v. hunt fowl
v. hunt fowl in the forest"
glutton,"n. a person who is devoted to eating and drinking to excess
n. musteline mammal of northern Eurasia"
gourmet,n a person devoted to refined sensuous enjoyment (especially good food and drink)
infamous,s known widely and usually unfavorably; 
joint,"n. (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)
n. a disreputable place of entertainment
n. junction by which parts or objects are joined together
n. marijuana leaves rolled into a cigarette for smoking"
lavish,"v. expend profusely; also used with abstract nouns
s. very generous
s. characterized by extravagance and profusion"
palate,n. the upper surface of the mouth that separates the oral and nasal cavities
piquant,"s. having an agreeably pungent taste
s. engagingly stimulating or provocative"
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
proceed,"v. move ahead; travel onward in time or space
v. follow a certain course"
sage,"n. a mentor in spiritual and philosophical topics who is renowned for profound wisdom
n. aromatic fresh or dried grey-green leaves used widely as seasoning for meats and fowl and game etc
n. any of various plants of the genus Salvia; a cosmopolitan herb
s. having wisdom that comes with age and experience"
sensual,s. sexually exciting or gratifying
sensuality,n. desire for sensual pleasures
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
texture,"n. the feel of a surface or a fabric
n. the essential quality of something
n. the musical pattern created by parts being played or sung together
n. the characteristic appearance of a surface having a tactile quality"
attend to,none
part and parcel,none
arduous,"s. characterized by effort to the point of exhaustion; especially physical effort
s. taxing to the utmost; testing powers of endurance
s. difficult to accomplish; demanding considerable mental effort and skill"
bewildered,"v be a mystery or bewildering to
v cause to be confused emotionally
s perplexed by many conflicting situations or statements; filled with bewilderment"
bohemian,"n. a native or inhabitant of Bohemia in the Czech Republic
n. a nonconformist writer or artist who lives an unconventional life
a. of or relating to Bohemia or its language or people
s. unconventional in especially appearance and behavior"
chic,"n. elegance by virtue of being fashionable
s. elegant and stylish"
drudge,n. a laborer who is obliged to do menial work
fiddle,"v. avoid (one's assigned duties)
v. commit fraud and steal from one's employer
v. play the violin or fiddle
v. play on a violin"
gusto,n. vigorous and enthusiastic enjoyment
mime,"n. an actor who communicates entirely by gesture and facial expression
n. a performance using gestures and body movements without words
v. act out without words but with gestures and bodily movements only"
transaction,n. the act of transacting within or between groups (as carrying on commercial activities)
acquisition,"n. the act of contracting or assuming or acquiring possession of something
n. something acquired"
approach,"n. ideas or actions intended to deal with a problem or situation
n. the act of drawing spatially closer to something
n. the event of one object coming closer to another
n. the temporal property of becoming nearer in time"
badger,"n. sturdy carnivorous burrowing mammal with strong claws; widely distributed in the northern hemisphere
v. persuade through constant efforts"
complacency,n. the feeling you have when you are satisfied with yourself
correspondence,n. communication by the exchange of letters
cumulative,s increasing by successive addition
demon,n. someone extremely diligent or skillful
discrete,s. constituting a separate entity or part
embody,"v. represent, as of a character on stage
v. represent or express something abstract in tangible form"
formulate,v. prepare according to a formula
initiative,"n readiness to embark on bold new ventures
n the first of a series of actions
s serving to set in motion"
livelihood,n the financial means whereby one lives
mundane,"s. concerned with the world or worldly matters
s. belonging to this earth or world; not ideal or heavenly; yet a mundane wonder of unimagined kind"""
ongoing,s. currently happening
partake,"v. have some of the qualities or attributes of something
v. have, give, or receive a share of
v. consume"
pertinent,s. having precise or logical relevance to the matter at hand
pitfall,n. an unforeseen or unexpected or surprising difficulty
precedence,n. status established in order of importance or urgency
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
proportional,"n. one of the quantities in a mathematical proportion
s. properly related in size or degree or other measurable characteristics; usually followed by `to'
s. having a constant ratio"
receptivity,n willingness or readiness to receive (especially impressions or ideas)
relinquish,"v part with a possession or right
v do without or cease to hold or adhere to
v turn away from; give up
v release, as from one's grip"
repository,"n. a person to whom a secret is entrusted
n. a burial vault (usually for some famous person)"
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
scathing,s. marked by harshly abusive criticism
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
strain,"n. (physics) deformation of a physical body under the action of applied forces
n. (psychology) nervousness resulting from mental stress
n. injury to a muscle (often caused by overuse); results in swelling and pain
n. an intense or violent exertion"
unethical,a. not conforming to approved standards of social or professional behavior
yoga,"n. Hindu discipline aimed at training the consciousness for a state of perfect spiritual insight and tranquility that is achieved through the three paths of actions and knowledge and devotion
n. a system of exercises practiced as part of the Hindu discipline to promote control of the body and mind"
live up to,none
go out of one's way,none
go out of one's way to do sth.,none
adrift,"s. aimlessly drifting
s. afloat on the surface of a body of water
r. floating freely; not anchored
r. off course, wandering aimlessly"
canteen,"n. a flask for carrying water; used by soldiers or travelers
n. sells food and personal items to personnel at an institution or school or camp etc.
n. a restaurant outside; often for soldiers or policemen
n. a recreation room in an institution"
clog,"n. footwear usually with wooden soles
n. any object that acts as a hindrance or obstruction
v. become or cause to become obstructed
v. dance a clog dance"
crave,"v. have a craving, appetite, or great desire for
v. plead or ask for earnestly"
growl,n. the sound of growling (as made by animals)
gunwale,n. wale at the top of the side of boat; topmost planking of a wooden vessel
guts,"n fortitude and determination
n the part of the alimentary canal between the stomach and the anus
n a narrow channel or strait
n a strong cord made from the intestines of sheep and used in surgery
v empty completely; destroy the inside of
v remove the guts of"
heft,"n. the property of being large in mass
v. test the weight of something by lifting it"
mirage,"n. an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
n. something illusory and unattainable"
paralysis,n. loss of the ability to move a body part
ration,"n. the food allowance for one day (especially for service personnel)
n. a fixed portion that is allotted (especially in times of scarcity)
v. restrict the consumption of a relatively scarce commodity, as during war
v. distribute in rations, as in the army"
scorch,"n. a surface burn
n. a plant disease that produces a browning or scorched appearance of plant tissues
n. a discoloration caused by heat
v. become superficially burned"
sprawl,"n. an ungainly posture with arms and legs spread about
v. sit or lie with one's limbs spread out
v. go, come, or spread in a rambling or irregular way"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
sunken,"v fall or descend to a lower place or level
v cause to sink
v pass into a specified state or condition
v go under, ""The raft sank and its occupants drowned""
v descend into or as if into some soft substance or place
v appear to move downward
v fall heavily or suddenly; decline markedly
v fall or sink heavily
v embed deeply
s having a sunken area"
swell,"n. the undulating movement of the surface of the open sea
n. a rounded elevation (especially one on an ocean floor)
n. a crescendo followed by a decrescendo
v. increase in size, magnitude, number, or intensity"
taunt,"n aggravation by deriding or mocking or criticizing
v harass with persistent criticism or carping"
doze off,none
keel over,none
academia,n. the academic world
balmy,"s. informal or slang terms for mentally irregular
s. mild and pleasant"
cello,n. a large stringed instrument; seated player holds it upright while playing
clout,"n. a target used in archery
v. strike hard, especially with the fist"
corral,"v. enclose in a corral
v. arrange wagons so that they form a corral
v. collect or gather"
culprit,n someone who perpetrates wrongdoing
fundraiser,"n. someone who solicits financial contributions
n. a social function that is held for the purpose of raising money"
grueling,s characterized by effort to the point of exhaustion; especially physical effort
instantaneous,s. occurring with no delay
onerous,"s not easily borne; wearing; I only had to greet the guests"""
onslaught,n. a sudden and severe onset of trouble
pilot,"n. someone who is licensed to operate an aircraft in flight
n. a person qualified to guide ships through difficult waters going into or out of a harbor"
pinch,"n. a painful or straitened circumstance
n. an injury resulting from getting some body part squeezed
n. a squeeze with the fingers
v. squeeze tightly between the fingers"
preordain,v foreordain or determine beforehand
rally,"n. a large gathering of people intended to arouse enthusiasm
n. the feat of mustering strength for a renewed effort
n. a marked recovery of strength or spirits during an illness
n. an automobile race run over public roads"
recourse,"n. act of turning to for assistance
n. something or someone turned to for assistance or security"
rollerblade,"n (trademark) an in-line skate
v travel on shoes with a single line of rubber wheels attached to their soles"
roster,n a list of names
sabbatical,"n. a leave usually taken every seventh year
a. of or relating to the Sabbath
a. of or relating to sabbatical leave"
savor,"v. taste appreciatively
v. give taste to"
scoot,v run or move very quickly or hastily
seminar,"n. any meeting for an exchange of ideas
n. a course offered for a small group of advanced students"
serendipity,n. good luck in making unexpected and fortunate discoveries
shuck,"v. remove from the shell
v. remove the shucks from"
smorgasbord,n. an assortment of foods starting with herring or smoked eel or salmon etc with bread and butter; then cheeses and eggs and pickled vegetables and aspics; finally hot foods; served as a buffet meal
spontaneous,a. happening or arising without apparent external cause
tango,"n. a ballroom dance of Latin-American origin
n. music written in duple time for dancing the tango
v. dance a tango"
blow off,"n. A blowing off steam, water, etc.;
adj. as, a blow-off cock or pipe.
adj. An outburst of temper or excitement."
hem in,n a reddish-brown chloride of heme; produced from hemoglobin in laboratory tests for the presence of blood
ratchet up,none
aluminum,n. a silvery ductile metallic element found primarily in bauxite
anonymous,"a. having no known name or identity or known source
s. not known or lacking marked individuality"
bureau,"n an administrative unit of government
n furniture with drawers for keeping clothes"
compassionate,a. showing or having compassion
cot,n. a small bed that folds up for storage or transport
crease,"n an angular or rounded shape made by folding
n a slight depression in the smoothness of a surface
n a Malayan dagger with a wavy blade
v make wrinkles or creases on a smooth surface; make a pressed, folded or wrinkled line in
v make wrinkled or creased
v scrape gently
v become wrinkled or crumpled or creased"
cross-stitch,"n. two stitches forming a cross or X
n. embroidery done with pairs of stitches that cross each other"
crux,n. the most important point
enfeeble,v. make weak
ferocity,n. the property of being wild or turbulent
flashbulb,n a lamp for providing momentary light to take a photograph
grime,"n the state of being covered with unclean things
v make soiled, filthy, or dirty"
huddle,"n. (informal) a quick private conference
n. a disorganized and densely packed crowd
v. crowd or draw together
v. crouch or curl up"
oatmeal,"n. porridge made of rolled oats
n. meal made from rolled or ground oats"
sampler,"n. an assortment of various samples
n. a piece of embroidery demonstrating skill with various stitches"
French knot,none
tote bag,none
