alphabet,n. a character set that includes letters and is used to write a language
numbers,n. the fourth book of the Old Testament; contains a record of the number of Israelites who followed Moses out of Egypt
name,"n. a language unit by which a person or thing is known
n. a person's reputation
n. family based on male descent
n. a well-known or notable person"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
telephone number,none
phone number,none
name,"n. a language unit by which a person or thing is known
n. a person's reputation
n. family based on male descent
n. a well-known or notable person"
first name,none
last name,none
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
e-mail address,none
telephone number,none
phone number,none
apartment number,none
fax number,none
pen,"n. a writing implement with a point from which ink flows
n. an enclosure for confining livestock
n. female swan"
pencil,"n. a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
n. graphite (or a similar substance) used in such a way as to be a medium of communication
n. a figure formed by a set of straight lines or light rays meeting at a point
n. a cosmetic in a long thin stick; designed to be applied to a particular part of the face"
book,"n. a written work or composition that has been published (printed on pages bound together)
n. physical objects consisting of a number of pages bound together
n. a collection of playing cards satisfying the rules of a card game
n. a collection of rules or prescribed standards on the basis of which decisions are made"
desk,n. a piece of furniture with a writing surface and usually drawers or other compartments
computer,n. a machine for performing calculations automatically
bank,"n. sloping land (especially the slope beside a body of water)
n. a long ridge or pile
n. an arrangement of similar objects in a row or in tiers
n. a supply or stock held in reserve for future use (especially in emergencies)"
supermarket,n. a large self-service grocery store selling groceries and dairy products and household goods
post office,n. See under 4th Post.
restaurant,n. a building where people go to eat
library,"n. a room where books are kept
n. a collection of literary documents or records kept for reference or borrowing
n. a depository built to contain books and other materials for reading and study
n. (computing) a collection of standard programs and subroutines that are stored and available for immediate use"
living room,n a room in a private house or establishment where people can sit and talk and relax
dining room,n a room used for dining
kitchen,n. a room equipped for preparing meals
bedroom,n. a room used primarily for sleeping
