time-out,n. a brief suspension of play
create,"v. bring into existence
v. pursue a creative activity; be engaged in a creative activity
v. invest with a new title, office, or rank
v. create by artistic means"
quiz,"n. an examination consisting of a few short questions
v. examine someone's knowledge of something"
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
skill,"n. an ability that has been acquired by training
n. ability to produce solutions in some problem domain"
workshop,"n. small workplace where handcrafts or manufacturing are done
n. a brief intensive course for a small group; emphasizes problem solving"
advice,n. a proposal for an appropriate course of action
suggest,"v. imply as a possibility
v. call to mind"
priority,n. preceding in time
schoolwork,n a school task performed by a student to satisfy the teacher
project,"n. a planned undertaking
v. communicate vividly
v. transfer (ideas or principles) from one domain into another
v. project on a screen"
organizational,a. of or relating to an organization
course,"n. education imparted in a series of lessons or meetings
n. a connected series of events or actions or developments
n. general line of orientation
n. a mode of action"
magical,s possessing or using or characteristic of or appropriate to supernatural powers
depend,v. be contingent upon (something that is elided)
personal,"n. a short newspaper article about a particular person or group
a. concerning or affecting a particular person or his or her private life and personality
s. particular to a given individual
a. of or arising from personality"
preference,"n. a strong liking
n. the right or chance to choose
n. grant of favor or advantage to one over another (especially to a country or countries in matters of international trade, such as levying duties)"
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
online,"a on a regular route of a railroad or bus or airline system
a connected to a computer network or accessible by computer
s being in progress now"
appealing,a. able to attract interest or draw favorable attention
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
smart,"n. a kind of pain such as that caused by a wound or a burn or a sore
a. showing mental alertness and calculation and resourcefulness
s. painfully severe
s. quick and brisk"
divide,"n. a serious disagreement between two groups of people (typically producing tension or hostility)
v. separate into parts or portions
v. perform a division"
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
calendar,"n. a system of timekeeping that defines the beginning and length and divisions of the year
n. a list or register of events (appointments or social events or court cases etc)
n. a tabular array of the days (usually for one year)
v. enter into a calendar"
reminder,"n. a message that helps you remember something
n. an experience that causes you to remember something"
share,"n. assets belonging to or due to or contributed by an individual person or group
n. any of the equal portions into which the capital stock of a corporation is divided and ownership of which is evidenced by a stock certificate
v. have in common
v. use jointly or in common"
memo,n. a written proposal or reminder
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
distraction,"n. mental turmoil
n. an obstacle to attention
n. the act of distracting; drawing someone's attention away from something"
undermine,"v destroy property or hinder normal operations
v hollow out as if making a cave or opening"
IM,none
text,"n. the words of something written
n. a passage from the Bible that is used as the subject of a sermon
n. the main body of a written work (as distinct from illustrations or footnotes etc.)"
aside,"n. a line spoken by an actor to the audience but not intended for others on the stage
r. on or to one side
r. out of the way (especially away from one's thoughts)
r. placed or kept separate and distinct as for a purpose"
accomplish,"v put in effect
v to gain with effort"
CEO,n the corporate executive responsible for the operations of the firm; reports to a board of directors; may appoint other managers (including a president)
educational,"a. relating to the process of education
s. providing knowledge"
prep,n preparatory school work done outside school (especially at home)
focus,"n. the concentration of attention or energy on something
n. maximum clarity or distinctness of an image rendered by an optical system
n. maximum clarity or distinctness of an idea
n. a central point or locus of an infection in an organism"
fan,"n. a device for creating a current of air by movement of a surface or surfaces
n. an ardent follower and admirer
v. strike out (a batter), (of a pitcher)
v. make (an emotion) fiercer"
multitask,none
turn in,none
work on,none
figure out,none
of course,none
depend on,none
try out,"n trying something to find out about it
n a test of the suitability of a performer"
settle on,none
keep track of,none
on the go,none
set aside,s reserved in advance
take a break,none
all at once,none
at a time,none
senior,"n. an undergraduate student during the year preceding graduation
a. older; higher in rank; longer in length of tenure or service
s. used of the fourth and final year in United States high school or college"
waitperson,none
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
number-one,none
decision,"n. the act of making up your mind about something
n. a position or opinion or judgment reached after consideration
n. (boxing) a victory won on points when no knockout has occurred
n. the outcome of a game or contest"
establish,"v. set up or found
v. set up or lay the groundwork for
v. bring about
v. use as a basis for; found on"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
rate,"n. a magnitude or frequency relative to a time unit
n. amount of a charge or payment relative to some basis
n. a quantity or amount or measure considered as a proportion of another quantity or amount or measure
v. assign a rank or rating to"
rank,"n. a row or line of people (especially soldiers or police) standing abreast of one another
n. relative status
v. take or have a position relative to others
v. take precedence or surpass others in rank"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
gather,"n. sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching
n. the act of gathering something
v. assemble or get together
v. conclude from evidence"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
categorize,v. place into or assign to a category
everyday,"s. found in the ordinary course of events
s. commonplace and ordinary"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
significant,"a. important in effect or meaning
s. fairly large
a. too closely correlated to be attributed to chance and therefore indicating a systematic relation"
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
consequence,"n. a phenomenon that follows and is caused by some previous phenomenon
n. the outcome of an event especially as relative to an individual
n. having important effects or influence"
