hello,n. an expression of greeting
hi,"n an expression of greeting
n a state in the United States in the central Pacific on the Hawaiian Islands"
goodbye,n a farewell remark
Miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
bye-bye,n a farewell remark
I'm, A contraction of I am.
I am,none
what's,none
what is,none
your,"pron. & a. The form of the possessive case of the personal
   pronoun you."
name,"n. a language unit by which a person or thing is known
n. a person's reputation
n. family based on male descent
n. a well-known or notable person"
my,"a. Of or belonging to me; -- used always attributively; as, my
   body; my book; -- mine is used in the predicate; as, the book is mine.
   See Mine."
is,"v have the quality of being; (copula, used with an adjective or a predicate noun)
v be identical to; be someone or something
v occupy a certain position or area; be somewhere
v have an existence, be extant
v happen, occur, take place; this was during the visit to my parents' house""
v be identical or equivalent to
v form or compose
v work in a specific place, with a specific subject, or in a specific function
v represent, as of a character on stage
v spend or use time
v have life, be alive
v to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form
v be priced at"
apple,"n. fruit with red or yellow or green skin and sweet to tart crisp whitish flesh
n. native Eurasian tree widely cultivated in many varieties for its firm rounded edible fruits"
boy,"n. a friendly informal reference to a grown man
n. (ethnic slur) offensive and disparaging term for Black man"
cat,"n. feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats
n. a spiteful woman gossip
v. beat with a cat-o'-nine-tails"
dog,"n. a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
n. informal term for a man"
egg,"n. animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
n. oval reproductive body of a fowl (especially a hen) used as food
v. throw eggs at
v. coat with beaten egg"
fish,"n. any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills
n. the flesh of fish used as food
v. seek indirectly
v. catch or try to catch fish or shellfish"
girl,"n. a young woman
n. a friendly informal reference to a grown woman"
how,"adv. In what manner or way; by what means or process.
adv. To what degree or extent, number or amount; in what
   proportion; by what measure or quality.
adv. For what reason; from what cause.
adv. In what state, condition, or plight.
adv. By what name, designation, or title.
adv. At what price; how dear."
are,n. a unit of surface area equal to 100 square meters
you,"dat. & obj. The pronoun of the second person, in the nominative,
   dative, and objective case, indicating the person or persons addressed.
   See the Note under Ye."
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
thank,v. express gratitude or show appreciation to
this,"pron. & a. As a demonstrative pronoun, this denotes something
   that is present or near in place or time, or something just mentioned,
   or that is just about to be mentioned.
pron. & a. As an adjective, this has the same demonstrative
   force as the pronoun, but is followed by a noun; as, this book; this
   way to town."
nice,"n. a city in southeastern France on the Mediterranean; the leading resort on the French Riviera
a. pleasant or pleasing or agreeable in nature or appearance
s. done with delicacy and skill"
