abase,v cause to feel shame; hurt the pride of
neural,a. of or relating to neurons
neurological,a. of or relating to or used in or practicing neurology
neurosis,n. a mental or personality disturbance not attributable to any known neurological or organic dysfunction
neurotic,"n. a person suffering from neurosis
a. characteristic of or affected by neurosis
a. affected with emotional disorder"
newsreel,n. a short film and commentary about current events
nib,n. the writing point of a pen
nicely,r. in a nice way
nicotine,n. an alkaloid poison that occurs in tobacco; used in medicine and as an insecticide
nigger,n. (ethnic slur) extremely offensive name for a Black person
nigh,"a not far distant in time or space or degree or circumstances
s being on the left side
r near in time or place or relationship
r (of actions or states) slightly short of or not quite accomplished; all but"
nipple,"n. the small projection of a mammary gland
n. a flexible cap on a baby's feeding bottle or pacifier"
nirvana,n. (Hinduism and Buddhism) the beatitude that transcends the cycle of reincarnation; characterized by the extinction of desire and suffering and individual consciousness
nitrate,"n. any compound containing the nitrate group (such as a salt or ester of nitric acid)
v. treat with nitric acid, so as to change an organic compound into a nitrate"
node,"n. a connecting point at which several lines come together
n. any thickened enlargement
n. (botany) the small swelling that is the part of a plant stem from which one or more leaves emerge
n. (physics) the point of minimum displacement in a periodic system"
nomad,n. a member of a people who have no permanent home but move about according to the seasons
nomadic,s migratory
nomenclature,n a system of words used to name things in a particular discipline
nominee,n a politician who is running for public office
nonstop,"s. (of a journey especially a flight) occurring without stops
r. without stopping"
Nordic,"a. of or relating to or constituting the Scandinavian group of languages
a. relating to Germany and Scandinavia
s. resembling peoples of Scandinavia"
nostalgia,n. longing for something past
nostalgic,s. unhappy about being away and longing for familiar things or persons
notary,n. someone legally empowered to witness signatures and certify a document's validity and to take depositions
notation,"n. a technical system of symbols used to represent special things
n. the activity of representing something by a special system of marks or characters"
notification,n. a request for payment
notoriety,n. the state of being known for some unfavorable act or quality
nought,n a mathematical element that when added to another number yields the same number
naught,n. complete failure
novelty,n. originality by virtue of being new and surprising
novice,n. someone new to a field or activity
nuance,n. a subtle difference in meaning or opinion or attitude
nucleus,"n. a part of the cell containing DNA and RNA and responsible for growth and reproduction
n. the positively charged dense center of an atom
n. (astronomy) the center of the head of a comet; consists of small solid particles of ice and frozen gas that vaporizes on approaching the sun to form the coma and tail
n. any histologically identifiable mass of neural cell bodies in the brain or spinal cord"
nuzzle,"v. rub noses
v. dig out with the snout"
nymph,"n. (classical mythology) a minor nature goddess usually depicted as a beautiful maiden
n. a larva of an insect with incomplete metamorphosis (as the dragonfly or mayfly)
n. a voluptuously beautiful young woman"
oasis,n. a fertile tract in a desert (where the water table approaches the surface)
obituary,n. a notice of someone's death; usually includes a short biography
oboe,n. a slender double-reed instrument; a woodwind with a conical bore and a double-reed mouthpiece
obscene,s. designed to incite to indecency or lust
obscenity,"n. the trait of behaving in an obscene manner
n. an offensive or indecent word or phrase
n. an obscene act"
occidental,"n. a native inhabitant of the Occident
n. an artificial language
s. denoting or characteristic of countries of Europe and the western hemisphere"
oceanography,n. the branch of science dealing with physical and biological aspects of the oceans
octopus,"n. tentacles of octopus prepared as food
n. bottom-living cephalopod having a soft oval body with eight long tentacles"
ode,n. a lyric poem with complex stanza forms
ointment,n. semisolid preparation (usually containing a medicine) applied externally as a remedy or for soothing an irritation
omega,"n. the ending of a series or sequence
n. the last (24th) letter of the Greek alphabet"
omelet,n. beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
omelette,n beaten eggs or an egg mixture cooked until just set; may be folded around e.g. ham or cheese or jelly
oncoming,s. moving toward one
onomatopoeia,n. using words that imitate the sound they denote
onset,n. the beginning or early stages
opal,n. a translucent mineral consisting of hydrated silica of variable color; some varieties are used as gemstones
oracle,"n. a prophecy (usually obscure or allegorical) revealed by a priest or priestess; believed to be infallible
n. a shrine where an oracular god is consulted"
orator,n. a person who delivers a speech or oration
orbital,"a. of or relating to an orbit
a. of or relating to the eye socket"
orchid,n. any of numerous plants of the orchid family usually having flowers of unusual shapes and beautiful colors
ordinal,"a. of or relating to a taxonomic order
a. being or denoting a numerical order in a series"
ordinance,n. a statute enacted by a city government
orgasm,n. the moment of most intense pleasure in sexual intercourse
orgy,"n. any act of immoderate indulgence
n. secret rite in the cults of ancient Greek or Roman deities involving singing and dancing and drinking and sexual activity
n. a wild gathering involving excessive drinking and promiscuity"
orthodoxy,"n. the quality of being orthodox (especially in religion)
n. a belief or orientation agreeing with conventional standards"
oscillation,"n. the process of oscillating between states
n. (physics) a regular periodic variation in value about a mean"
ostensibly,r from appearances alone
outcry,"n a loud utterance; often in protest or opposition
v shout louder than
v utter aloud; often with surprise, horror, or joy"
outnumber,v. be larger in number
outpost,n. a military post stationed at a distance from the main body of troops
overly,r to a degree exceeding normal or proper limits
overture,"n. orchestral music played at the beginning of an opera or oratorio
n. a tentative suggestion designed to elicit the reactions of others"
ovum,n. the female reproductive cell; the female gamete
paddy,"n. (ethnic slur) offensive term for a person of Irish descent
n. an irrigated or flooded field where rice is grown
n. rice in the husk either gathered or still in the field"
pagan,n. a person who follows a polytheistic or pre-Christian religion (not a Christian or Muslim or Jew)
pageant,"n. an elaborate representation of scenes from history etc; usually involves a parade with rich costumes
n. a rich and spectacular ceremony"
palatal,"n. a semivowel produced with the tongue near the palate (like the initial sound in the English word `yeast')
a. relating to or lying near the palate
s. produced with the front of the tongue near or touching the hard palate (as `y') or with the blade of the tongue near the hard palate (as `ch' in `chin' or `j' in `gin')"
palate,n. the upper surface of the mouth that separates the oral and nasal cavities
palette,"n. the range of colour characteristic of a particular artist or painting or school of art
n. board that provides a flat surface on which artists mix paints and the range of colors used"
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
pancake,n. a flat cake of thin batter fried on both sides on a griddle
pang,"n. a sudden sharp feeling
n. a mental pain or distress
n. a sharp spasm of pain"
pant,"n. the noise made by a short puff of steam (as from an engine)
v. breathe noisily, as when one is exhausted
v. utter while panting, as if out of breath"
panther,n. a leopard in the black color phase
pantomime,"n a performance using gestures and body movements without words
v act out without words but with gestures and bodily movements only"
parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
paraffin,"n. from crude petroleum; used for candles and for preservative or waterproof coatings
n. (British usage) kerosine"
paralysis,n. loss of the ability to move a body part
paralytic,"n. a person suffering from paralysis
a. relating to or of the nature of paralysis
s. affected with paralysis"
paramilitary,"n. a group of civilians organized in a military fashion (especially to operate in place of or to assist regular army troops)
a. of or relating to a group of civilians organized to function like or to assist a military unit"
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
parasite,n. an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host
pare,"v. decrease gradually or bit by bit
v. remove the edges from and cut down to the desired size"
parentage,n. the kinship relation of an offspring to the parents
parenthetical,"n an expression in parentheses
s qualifying or explaining; placed or as if placed in parentheses"
parenthood,n. the state of being a parent
parsley,"n. annual or perennial herb with aromatic leaves
n. aromatic herb with flat or crinkly leaves that are cut finely and used to garnish food"
parson,n a person authorized to conduct religious worship
partiality,n. an inclination to favor one group or view or opinion over alternatives
pasta,"n. a dish that contains pasta as its main ingredient
n. shaped and dried dough made from flour and water and sometimes egg"
pastel,"n. any of various pale or light colors
s. lacking in body or vigor
s. delicate and pale in color"
pastry,"n. a dough of flour and water and shortening
n. any of various baked foods made of dough or batter"
pathologic,"s caused by or altered by or manifesting disease or pathology
a of or relating to the practice of pathology"
pathological,"a. of or relating to the practice of pathology
s. caused by or evidencing a mentally disturbed condition"
pathology,"n. the branch of medical science that studies the causes and nature and effects of diseases
n. any deviation from a healthy or normal condition"
patio,n. usually paved outdoor area adjoining a residence
patriarch,"n. title for the heads of the Eastern Orthodox Churches (in Istanbul and Alexandria and Moscow and Jerusalem)
n. the male head of family or tribe
n. any of the early biblical characters regarded as fathers of the human race
n. a man who is older and higher in rank than yourself"
patriarchal,"a. characteristic of a form of social organization in which the male is the family head and title is traced through the male line
a. relating to or characteristic of a man who is older or higher in rank"
payout,none
payroll,"n. a list of employees and their salaries
n. the total amount of money paid in wages
n. the department that determines the amounts of wage or salary due to each employee"
peat,n. partially carbonized vegetable matter saturated with water; can be used as a fuel when dried
pedagogic,a of or relating to pedagogy
pedagogical,a. of or relating to pedagogy
pedestal,"n. a position of great esteem (and supposed superiority)
n. an architectural support or base (as for a column or statue)"
pedigree,"n. line of descent of a purebred animal
n. ancestry of a purebred animal
s. having a list of ancestors as proof of being a purebred animal"
pelican,n. large long-winged warm-water seabird having a large bill with a distensible pouch for fish
pendant,n. an adornment that hangs from a piece of jewelry (necklace or earring)
pendent,s. held from above
penis,n. the male organ of copulation (`member' is a euphemism)
pensioner,n. the beneficiary of a pension fund
pentathlon,n. an athletic contest consisting of five different events
penthouse,n. an apartment located on the top floors of a building
peppermint,"n. herb with downy leaves and small purple or white flowers that yields a pungent oil used as a flavoring
n. a candy flavored with peppermint oil"
percussion,"n. the act of playing a percussion instrument
n. the act of exploding a percussion cap
n. tapping a part of the body for diagnostic purposes"
perimeter,n. a line enclosing a plane areas
periphery,n. the outside boundary or surface of something
perk,"n an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
v gain or regain energy"
pesticide,n. a chemical used to kill pests (as rodents or insects)
phantom,s. something apparently sensed but having no physical reality
pharmaceutical,"n. drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment
a. of or relating to pharmacy or pharmacists
a. of or relating to drugs used in medical treatment"
pheasant,"n. large long-tailed gallinaceous bird native to the Old World but introduced elsewhere
n. flesh of a pheasant; usually braised"
phonology,n. the study of the sound system of a given language and the analysis and classification of its phonemes
phosphorous,a. containing or characteristic of phosphorus
phosphorus,n. a multivalent nonmetallic element of the nitrogen family that occurs commonly in inorganic phosphate rocks and as organic phosphates in all living cells; is highly reactive and occurs in several allotropic forms
physiotherapy,n therapy that uses physical agents: exercise and massage and other modalities
physique,n. constitution of the human body
pidgin,n. an artificial language used for trade between speakers of different languages
pier,"n. a platform built out from the shore into the water and supported by piles; provides access to ships and boats
n. (architecture) a vertical supporting structure (as a portion of wall between two doors or windows)
n. a support for two adjacent bridge spans"
piety,n. righteousness by virtue of being pious
pigsty,n a pen for swine
pike,"n. highly valued northern freshwater fish with lean flesh
n. a sharp point (as on the end of a spear)
n. medieval weapon consisting of a spearhead attached to a long pole or pikestaff; superseded by the bayonet
n. any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere"
piracy,n. hijacking on the high seas or in similar contexts; taking a ship or plane away from the control of those who are legally entitled to it
piss,"n liquid excretory product
n informal terms for urination
v eliminate urine"
piston,"n. United States neoclassical composer (1894-1976)
n. mechanical device that has a plunging or thrusting motion"
pitcher,"n. (baseball) the person who does the pitching
n. an open vessel with a handle and a spout for pouring
n. the quantity contained in a pitcher
n. (botany) a leaf that that is modified in such a way as to resemble a pitcher or ewer"
pitfall,n. an unforeseen or unexpected or surprising difficulty
pivotal,s. being of crucial importance
plaid,n a cloth having a crisscross design
plaintiff,n. a person who brings an action in a court of law
planetary,a. of or relating to or characteristic of the planet Earth or its inhabitants
plank,"n. an endorsed policy in the platform of a political party
v. cover with planks
v. set (something or oneself) down with or as if with a noise
v. cook and serve on a plank"
plaque,n. (pathology) a small abnormal patch on or inside the body
plasma,"n. the colorless watery fluid of the blood and lymph that contains no cells, but in which the blood cells (erythrocytes, leukocytes, and thrombocytes) are suspended
n. a green slightly translucent variety of chalcedony used as a gemstone
n. (physical chemistry) a fourth state of matter distinct from solid or liquid or gas and present in stars and fusion reactors; a gas becomes a plasma when it is heated until the atoms lose all their electrons, leaving a highly electrified collection of nuclei and free electrons"
plaster,"n. a mixture of lime or gypsum with sand and water; hardens into a smooth solid; used to cover walls and ceilings
n. a surface of hardened plaster (as on a wall or ceiling)
n. adhesive tape used in dressing wounds
v. apply a heavy coat to"
platoon,"n. a military unit that is a subdivision of a company; usually has a headquarters and two or more squads; usually commanded by a lieutenant
n. a team of policemen working under the military platoon system
n. a group of persons who are engaged in a common activity"
playoff,n. any final competition to determine a championship
pleat,"n. any of various types of fold formed by doubling fabric back upon itself and then pressing or stitching into shape
v. fold into pleats, ""Pleat the cloth"""
plenipotentiary,n. a diplomat who is fully authorized to represent his or her government
plunger,n. hand tool consisting of a stick with a rubber suction cup at one end; used to clean clogged drains
plush,n. a fabric with a nap that is longer and softer than velvet
plutonium,n. a solid silvery grey radioactive transuranic element whose atoms can be split when bombarded with neutrons; found in minute quantities in uranium ores but is usually synthesized in nuclear reactors; 13 isotopes are known with the most important being plutonium 239
pockmark,"n. a scar or pit on the skin that is left by a pustule of smallpox or acne or other eruptive disease
v. mark with or as if with pockmarks"
polarity,n. having an indicated pole (as the distinction between positive and negative electric charges)
polemic,"n. a controversy (especially over a belief or dogma)
s. of or involving dispute or controversy"
polio,n an acute viral disease marked by inflammation of nerve cells of the brain stem and spinal cord
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
pollster,n. someone who conducts surveys of public opinion
polyester,"n. any of numerous synthetic resins; they are light and strong and weather resistant
n. a complex ester used for making fibers or resins or plastics or as a plasticizer
n. any of a large class of synthetic fabrics"
poplar,"n. soft light-colored non-durable wood of the poplar
n. any of numerous trees of north temperate regions having light soft wood and flowers borne in catkins"
poppy,n. annual or biennial or perennial herbs having showy flowers
portfolio,"n. a large, flat, thin case for carrying loose papers or drawings or maps; usually leather
n. a set of pieces of creative work collected to be shown to potential customers or employers
n. a list of the financial assets held by an individual or a bank or other financial institution
n. the role of the head of a government department"
posthumous,s. occurring or coming into existence after a person's death
postscript,n. a note appended to a letter after the signature
potluck,n. whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all
pouch,"n. a small or medium size container for holding or carrying things
n. an enclosed space
n. (anatomy) saclike structure in any of various animals (as a marsupial or gopher or pelican)
v. put into a small bag"
practicality,n. concerned with actual use rather than theoretical possibilities
pragmatic,a. of or concerning the theory of pragmatism
precinct,n. a district of a city or town marked out for administrative purposes
predicament,n. a situation from which extrication is difficult especially an unpleasant or trying one
prefabricate,"v. to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings
v. produce synthetically, artificially, or stereotypically and unoriginally"
premiere,n. the first public performance of a play or movie
prenatal,a. occurring or existing before birth
preoccupied,"v engage or engross the interest or attention of beforehand or occupy urgently or obsessively
v occupy or take possession of beforehand or before another or appropriate for use in advance
s deeply absorbed in thought
s having or showing excessive or compulsive concern with something"
preschool,n. an educational institution for children too young for elementary school
presidium,n. a permanent executive committee in socialist countries that has all the powers of some larger legislative body and that acts for it when it is not in session
prevalent,s most frequent or common
prism,"n. a polyhedron with two congruent and parallel faces (the bases) and whose lateral faces are parallelograms
n. optical device having a triangular shape and made of glass or quartz; used to deviate a beam or invert an image"
pro,"n. an argument in favor of a proposal
a. in favor of (an action or proposal etc.)
r. in favor of a proposition, opinion, etc."
procedural,a. of or relating to procedure
prodigy,"n. an unusually gifted or intelligent (young) person; someone whose talents excite wonder and admiration
n. an impressive or wonderful example of a particular quality"
proliferation,"n. growth by the rapid multiplication of parts
n. a rapid increase in number (especially a rapid increase in the number of deadly weapons)"
prologue,n. an introduction to a play
proponent,n a person who pleads for a cause or propounds an idea
proposition,"n. (logic) a statement that affirms or denies something and is either true or false
n. an offer for a private bargain (especially a request for sexual favors)
n. a task to be dealt with
v. suggest sex to"
prostate,a. relating to the prostate gland
protagonist,n. the principal character in a work of fiction
protocol,"n. (computer science) rules determining the format and transmission of data
n. forms of ceremony and etiquette observed by diplomats and heads of state
n. code of correct conduct"
prototype,n. a standard or typical example
prowess,n a superior skill that you can learn by study and practice and observation
psychiatrist,n. a physician who specializes in psychiatry
psycho,n a person afflicted with psychosis
psychoanalyst,n a licensed practitioner of psychoanalysis
psychotherapist,n. a therapist who deals with mental and emotional disorders
psychotherapy,"n. the branch of psychiatry concerned with psychological methods
n. the treatment of mental or emotional problems by psychological means"
puberty,n. the time of life when sex glands become functional
pullover,n. a sweater that is put on by pulling it over the head
pulpit,n a platform raised above the surrounding level to give prominence to the person on it
pun,"n. a humorous play on words
v. make a play on words"
purely,r restricted to something
python,"n. large Old World boas
n. a soothsaying spirit or a person who is possessed by such a spirit
n. (Greek mythology) dragon killed by Apollo at Delphi"
quack,"n. an untrained person who pretends to be a physician and who dispenses medical advice
n. the harsh sound of a duck
v. utter quacking noises"
quadrangle,"n a four-sided polygon
n a rectangular area surrounded on all sides by buildings"
quadrant,"n. a quarter of the circumference of a circle
n. any of the four areas into which a plane is divided by two orthogonal coordinate axes
n. the area enclosed by two perpendicular radii of a circle"
quadratic,"n. a polynomial of the second degree
a. of or relating to or resembling a square
a. of or relating to the second power"
quadrilateral,"n. a four-sided polygon
s. having four sides"
quadruple,"n. a quantity that is four times as great as another
v. increase fourfold
s. having four units or components
s. four times as great or many"
quail,"n. flesh of quail; suitable for roasting or broiling if young; otherwise must be braised
n. small gallinaceous game birds"
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
Quaker,n. one who quakes and trembles with (or as with) fear
qualifier,n. a contestant who meets certain requirements and so qualifies to take part in the next stage of competition
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
quantifier,"n. (logic) a word (such as `some' or `all' or `no') that binds the variables in a logical proposition
n. (grammar) a word that expresses a quantity (as `fifteen' or `many')"
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease
n. isolation to prevent the spread of infectious disease
v. place into enforced isolation, as for medical reasons"
quartet,"n. four performers or singers who perform together
n. a set of four similar things considered as a unit
n. four people considered as a unit
n. a musical composition for four performers"
quartz,n. a hard glossy mineral consisting of silicon dioxide in crystal form; present in most rocks (especially sandstone and granite); yellow sand is quartz with iron oxide impurities
quick,"n. any area of the body that is highly sensitive to pain (as the flesh underneath the skin or a fingernail or toenail)
s. accomplished rapidly and without delay
s. apprehending and responding with speed and sensitivity
s. easily aroused or excited"
quicksand,"n. a treacherous situation that tends to entrap and destroy
n. a pit filled with loose wet sand into which objects are sucked down"
quintessence,"n. the fifth and highest element after air and earth and fire and water; was believed to be the substance composing all heavenly bodies
n. the purest and most concentrated essence of something
n. the most typical example or representative of a type"
quintet,"n. a musical composition for five performers
n. five performers or singers who perform together
n. a set of five similar things considered as a unit"
quip,"n a witty saying
n witty remark
v make jokes or quips"
quirk,"n. a narrow groove beside a beading
v. twist or curve abruptly"
rabbi,"n. spiritual leader of a Jewish congregation; qualified to expound and apply Jewish law
n. a Hebrew title of respect for a Jewish scholar or teacher"
rabid,a. of or infected by rabies
rabies,n. an acute viral disease of the nervous system of warm-blooded animals (usually transmitted by the bite of a rabid animal); rabies is fatal if the virus reaches the brain
racer,"n. someone who drives racing cars at high speeds
n. a fast car that competes in races
n. an animal that races
n. slender fast-moving North American snakes"
racketeer,"n. someone who commits crimes for profit (especially one who obtains money by fraud or extortion)
v. carry on illegal business activities involving crime"
raffle,"n. a lottery in which the prizes are goods rather than money
v. dispose of in a lottery"
raft,"n. a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers
v. transport on a raft
v. travel by raft in water
v. make into a raft"
raiser,n. a bridge partner who increases the partner's bid
RAM,"n. a tool for driving or forcing something by impact
n. uncastrated adult male sheep
v. strike or drive against with a heavy impact"
rambler,"n. a person who takes long walks in the country
n. a person whose speech or writing is not well organized"
ramification,n. an arrangement of branching parts
rampart,n. an embankment built around a space for defensive purposes
rancid,s. (used of decomposing oils or fats) having a rank smell or taste usually due to a chemical change or decomposition
rancour,n a feeling of deep and bitter anger and ill-will
randy,s feeling great sexual desire
ranger,"n a member of the Texas state highway patrol; formerly a mounted lawman who maintained order on the frontier
n an official who is responsible for managing and protecting an area of forest
n a member of a military unit trained as shock troops for hit-and-run raids"
rapist,n someone who forces another to have sexual intercourse
rarity,"n. noteworthy scarcity
n. a rarified quality"
rasp,"n. uttering in an irritated tone
n. a coarse file with sharp pointed projections
v. scrape with a rasp
v. utter in a grating voice"
rateable,s liable to payment of locally assessed property taxes
ravine,n. a deep narrow steep-sided valley (especially one formed by running water)
ravish,"v force (someone) to have sex against their will
v hold spellbound"
rear-admiral,none
rearguard,n. a detachment assigned to protect the rear of a (retreating) military body
rearmament,n. the act of arming again
recital,"n. performance of music or dance especially by soloists
n. a detailed statement giving facts and figures
n. a detailed account or description of something"
recline,v. cause to recline
rector,n a person authorized to conduct religious worship
redbrick,s of or relating to British universities founded in the late 19th century or the 20th century
redraw,"v. t. To draw again; to make a second draft or copy of; to
   redraft.
v. i. To draw a new bill of exchange, as the holder of a
   protested bill, on the drawer or indorsers."
reductio ad absurdum,none
redundancy,"n. repetition of messages to reduce the probability of errors in transmission
n. the attribute of being superfluous and unneeded
n. (electronics) a system design that duplicates components to provide alternatives in case one component fails
n. repetition of an act needlessly"
re-examine,v question after cross-examination by opposing counsel
refutation,n. the speech act of answering an attack on your assertions
regal,s belonging to or befitting a supreme ruler
regarding,"v deem to be
v look at attentively
v connect closely and often incriminatingly"
regatta,n. a meeting for boat races
regeneration,"n. (biology) growth anew of lost tissue or destroyed parts or organs
n. the activity of spiritual or physical renewal"
regent,"n. members of a governing board
n. someone who rules during the absence or incapacity or minority of the country's monarch
s. acting or functioning as a regent or ruler"
registrar,"n. a person employed to keep a record of the owners of stocks and bonds issued by the company
n. the administrator responsible for student records
n. someone responsible for keeping records"
registry,n an official written record of names or events or transactions
rejuvenate,"v. cause (a stream or river) to erode, as by an uplift of the land
v. develop youthful topographical features
v. make younger or more youthful
v. become young again"
reminiscent,s serving to bring to mind
rendezvous,"n. a meeting planned at a certain time and place
n. a place where people meet
v. meet at a rendezvous"
rendition,"n. a performance of a musical composition or a dramatic role etc.
n. handing over prisoners to countries where torture is allowed
n. the act of interpreting something as expressed in an artistic performance"
renegade,n. someone who rebels and becomes an outlaw
renunciation,"n. an act (spoken or written) declaring that something is surrendered or disowned
n. the act of renouncing; sacrificing or giving up or surrendering (a possession or right or title or privilege etc.)"
repertoire,"n. a collection of works (plays, songs, operas, ballets) that an artist or company can perform and do perform for short intervals on a regular schedule"
repository,"n. a person to whom a secret is entrusted
n. a burial vault (usually for some famous person)"
requiem,"n. a musical setting for a Mass celebrating the dead
n. a Mass celebrated for the dead"
reservist,n. a member of a military reserve
resilience,"n. the physical property of a material that can return to its original shape or position after deformation that does not exceed its elastic limit
n. an occurrence of rebounding or springing back"
resin,n. any of a class of solid or semisolid viscous substances obtained either as exudations from certain plants or prepared by polymerization of simple molecules
resinous,s having the characteristics of pitch or tar
respectability,n. honorableness by virtue of being respectable and having a good reputation
resplendent,s having great beauty and splendor
restful,a. affording physical or mental rest
resumption,n. beginning again
resurgent,s. rising again as to new life and vigor
resuscitation,n. the act of reviving a person and returning them to consciousness
retainer,"n. a fee charged in advance to retain the services of someone
n. a dental appliance that holds teeth (or a prosthesis) in position after orthodontic treatment"
retribution,"n. a justly deserved penalty
n. the act of correcting for your wrongdoing"
retrievable,s. capable of being regained especially with effort
reverend,"n. a title of respect for a clergyman
s. worthy of adoration or reverence"
reverie,"n. absentminded dreaming while awake
n. an abstracted state of absorption"
revulsion,n intense aversion
rhinoceros,n. massive powerful herbivorous odd-toed ungulate of southeast Asia and Africa having very thick skin and one or two horns on the snout
ribald,n. a ribald person; someone who uses vulgar and offensive language
rickets,n. childhood disease caused by deficiency of vitamin D and sunlight associated with impaired metabolism of calcium and phosphorus
rickety,"s. inclined to shake as from weakness or defect
s. affected with, suffering from, or characteristic of rickets"
rickshaw,n a small two-wheeled cart for one passenger; pulled by one person
rigmarole,"n. a set of confused and meaningless statements
n. a long and complicated and confusing procedure"
rind,n. the natural outer covering of food (usually removed before eating)
rink,n. building that contains a surface for ice skating or roller skating
rip-roaring,s uncontrollably noisy
roach,"n. a roll of hair brushed back from the forehead
n. the butt of a marijuana cigarette
n. European freshwater food fish having a greenish back
v. comb (hair) into a roach"
rocker,"n. an attendant who rocks a child in a cradle
n. a performer or composer or fan of rock music
n. a teenager or young adult in the 1960s who wore leather jackets and rode motorcycles
n. a trough that can be rocked back and forth; used by gold miners to shake auriferous earth in water in order to separate the gold"
rodent,n. relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
rodeo,"n. an exhibition of cowboy skills
n. an enclosure for cattle that have been rounded up"
roger,none
rolling-stock,none
rookie,n an awkward and inexperienced youth
roost,"n. a shelter with perches for fowl or other birds
n. a perch on which domestic fowl rest or sleep
v. settle down or stay, as if on a roost"
rosette,"n. an ornament or pattern resembling a rose that is worn as a badge of office or as recognition of having won an honor
n. a cluster of leaves growing in crowded circles from a common center or crown (usually at or close to the ground)"
rostrum,"n a platform raised above the surrounding level to give prominence to the person on it
n beaklike projection of the anterior part of the head of certain insects such as e.g. weevils"
rota,"n. (Roman Catholic Church) the supreme ecclesiastical tribunal for cases appealed to the Holy See from diocesan courts
n. a roster of names showing the order in which people should perform certain duties"
rotor,"n. the rotating armature of a motor or generator
n. the revolving bar of a distributor
n. rotating mechanism consisting of an assembly of rotating airfoils"
rouge,"n. makeup consisting of a pink or red powder applied to the cheeks
v. redden by applying rouge to"
roughen,v. make rough or rougher
roulette,"n. a line generated by a point on one figure rolling around a second figure
n. a wheel with teeth for making a row of perforations
n. a gambling game in which players bet on which compartment of a revolving wheel a small ball will come to rest in"
rounders,n. an English ball game similar to baseball
roundup,"n. the activity of gathering livestock together so that they can be counted or branded or sold
n. a summary list; as in e.g. ""a news roundup""
n. the systematic gathering up of suspects by the police"
rover,n. an adult member of the Boy Scouts movement
royalist,"n an advocate of the principles of monarchy
n a royalist supporter of Charles I during the English Civil War"
rubble,n the remains of something that has been destroyed or broken up
rubdown,"n. the act of rubbing down, usually for relaxation or medicinal purposes"
rucksack,n a bag carried by a strap on your back or shoulder
ruckus,n the act of making a noisy disturbance
ruddy,"s inclined to a healthy reddish color often associated with outdoor life
s of a color at the end of the color spectrum (next to orange); resembling the color of blood or cherries or tomatoes or rubies"
rue,"n. European strong-scented perennial herb with grey-green bitter-tasting leaves; an irritant similar to poison ivy
n. leaves sometimes used for flavoring fruit or claret cup but should be used with great caution: can cause irritation like poison ivy
n. (French) a street or road in France"
rueful,s feeling or expressing pain or sorrow for sins or offenses
ruffian,n a cruel and brutal fellow
rugger,n a form of football played with an oval ball
ruinous,"s extremely harmful; bringing physical or financial ruin
s causing injury or blight; especially affecting with sudden violence or plague or ruin"
ruling,"n the reason for a court's judgment (as opposed to the decision itself)
v exercise authority over; as of nations
v decide with authority
v be larger in number, quantity, power, status or importance
v decide on and make a declaration about
v have an affinity with; of signs of the zodiac
v mark or draw with a ruler
v keep in check
s exercising power or authority"
rum,n. liquor distilled from fermented molasses
russet,"n. a reddish brown homespun fabric
s. of brown with a reddish tinge"
Sabbath,n. a day of rest and worship: Sunday for most Christians; Saturday for the Jews and a few Christians; Friday for Muslims
saboteur,n. someone who commits sabotage or deliberately causes wrecks
sabre,v. cut or injure with a saber
sacrament,n. a formal religious ceremony conferring a specific grace on those who receive it; the two Protestant ceremonies are baptism and the Lord's Supper; in the Roman Catholic Church and the Eastern Orthodox Church there are seven traditional rites accepted as instituted by Jesus: baptism and confirmation and Holy Eucharist and penance and holy orders and matrimony and extreme unction
sacrilegious,s grossly irreverent toward what is held to be sacred
sadism,n. sexual pleasure obtained by inflicting harm (physical or psychological) on others
safari,n an overland journey by hunters (especially in Africa)
saffron,"n. Old World crocus having purple or white flowers with aromatic pungent orange stigmas used in flavoring food
n. dried pungent stigmas of the Old World saffron crocus"
saga,n. a narrative telling the adventures of a hero or a family; originally (12th to 14th centuries) a story of the families that settled Iceland and their descendants but now any prose narrative that resembles such an account
