globalisation,n growth to a global or worldwide scale
race,"n. any competition
n. a contest of speed
n. people who are believed to belong to the same genetic stock
v. compete in a race"
brand,"n. a recognizable kind
n. identification mark on skin, made by burning
n. a piece of wood that has been burned or is burning
v. burn with a branding iron to indicate ownership; of animals"
import,"n. commodities (goods or services) bought from a foreign country
n. an imported person brought from a foreign country
v. bring in from abroad
v. transfer (electronic data) into a database or document"
ethnic,n. a person who is a member of an ethnic group
non-native,"a. not being or composed of aborigines
s. of plants or animals originating in a part of the world other than where they are growing"
multinational,s. involving or operating in several nations or nationalities
investor,n. someone who commits capital in order to gain financial returns
multi-ethnic,s involving several ethnic groups
emigration,n. migration from a place (especially migration from your native country in order to settle in another)
immigration,"n. migration into a place (especially migration to a country of which you are not a native in order to settle there)
n. the body of immigrants arriving during a specified interval"
clash,"n. a state of conflict between persons
n. a state of conflict between colors
v. be incompatible; be or come into conflict
v. disagree violently"
Americanisation,n. assimilation into American culture
deprive,"v. take away possessions from someone
v. keep from having, keeping, or obtaining
v. take away"
come to the fore,none
subcontinent,n. a large and distinctive landmass (as India or Greenland) that is a distinct part of some continent
uniqueness,n the quality of being one of a kind
opposing,"v be against; express opposition to
v fight against or resist strongly
v contrast with equal weight or force
v set into opposition or rivalry
v act against or in opposition to
v be resistant to
s characterized by active hostility"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
likewise,"r in like or similar manner
r in addition
r equally"
infectious,"s. caused by infection or capable of causing infection
a. easily spread; children catch it from their elders""- Bertrand Russell
a. of or relating to infection"
billboard,n. large outdoor signboard
youngster,n a young person of either sex
headset,n. receiver consisting of a pair of headphones
sip,"n. a small drink
v. drink in sips"
multi-storey,s having more than one story
lane,"n. a narrow way or road
n. a well-defined track or path; for e.g. swimmers or lines of traffic"
stroke,"n. (sports) the act of swinging or striking at a ball with a club or racket or bat or cue or hand
n. a sudden loss of consciousness resulting when the rupture or occlusion of a blood vessel leads to oxygen lack in the brain
n. a light touch
n. a light touch with the hands"
episode,"n. a happening that is distinctive in a series of related events
n. a brief section of a literary or dramatic work that forms part of a connected series
n. a part of a broadcast serial"
high-rise,"n. tower consisting of a multistoried building of offices or apartments
a. used of buildings of many stories equipped with elevators; tall"
unimaginable,s totally unlikely
commonplace,"s. completely ordinary and unremarkable
s. not challenging; dull and lacking excitement"
spare,"n. a score in tenpins; knocking down all ten after rolling two balls
v. refrain from harming
v. save or relieve from an experience or action
v. give up what is not strictly needed"
out of date,s old; no longer valid or fashionable
simplify,v. make simpler or easier or reduce in complexity or extent
controller,"n someone who maintains and audits business accounts
n a person who directs and restrains
n a mechanism that controls the operation of a machine"
command,"n. an authoritative direction or instruction to do something
n. a military unit or region under the control of a single officer
n. the power or authority to command
n. availability for use"
Applied Linguistics,none
subsequent,a. following in time or order
implication,"n. an accusation that brings into intimate and usually incriminating connection
n. a logical relation between propositions p and q of the form `if p then q'; if p is true then q cannot be false
n. a relation implicated by virtue of involvement or close connection (especially an incriminating involvement)"
intelligible,"a. well articulated or enunciated, and loud enough to be heard distinctly"
conform,"v. be similar, be in line with"
Arabic,"n. the Semitic language of the Arabs; spoken in a variety of dialects
a. relating to or characteristic of Arabs"
legitimate,"v. show or affirm to be just and legitimate
v. make (an illegitimate child) legitimate; declare the legitimacy of (someone)
a. of marriages and offspring; recognized as lawful
s. based on known statements or events or conditions"
patronise,"v do one's shopping at; do business with; be a customer or client of
v assume sponsorship of
v treat condescendingly
v be a regular customer or client of"
drawback,n. the quality of being a hindrance
consideration,"n. the process of giving careful thought to something
n. a discussion of a topic (as in a meeting)
n. kind and considerate regard for others
n. a considerate and thoughtful act"
devise,"n. a will disposing of real property
n. (law) a gift of real property by will
v. give by will, especially real property"
syllabus,n an integrated course of academic studies
monolingual,"n. a person who knows only one language
a. using or knowing only one language"
mathematical,"a. of or pertaining to or of the nature of mathematics
s. beyond question
s. statistically possible though highly improbable
s. characterized by the exactness or precision of mathematics"
spatial,a. pertaining to or involving or having the nature of space
geometry,n. the pure mathematics of points and lines and curves and surfaces
score,"n. a written form of a musical composition; parts for different instruments appear on separate staves on large pages
n. a number that expresses the accomplishment of a team or an individual in a game or contest
n. a set of twenty members
n. grounds"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
monetary,a. relating to or involving money
International Monetary Fund,none
annual,"n. (botany) a plant that completes its entire life cycle within the space of a year
n. a reference book that is published regularly once every year
a. completing its life cycle within a year
s. occurring or payable every year"
disperse,"v. to cause to separate and go in different directions
v. move away from each other; 
v. separate (light) into spectral rays"
marcher,"n. an inhabitant of a border district
n. walks with regular or stately step"
cut off,"n. That which cuts off or shortens, as a nearer passage or
   road.
n. The valve gearing or mechanism by which steam is cut off
   from entering the cylinder of a steam engine after a definite point in
   a stroke, so as to allow the remainder of the stroke to be made by the
   expansive force of the steam already let in. See Expansion gear, under
   Expansion.
n. Any device for stopping or changing a current, as of grain
   or water in a spout."
Hindu,"n. a native or inhabitant of Hindustan or India
n. a person who adheres to Hinduism
a. of or relating to or supporting Hinduism"
Maha Kumbh Mela,none
commemorate,"v. mark by some ceremony or observation
v. call to remembrance; keep alive the memory of someone or something, as in a ceremony
v. be or provide a memorial to a person or an event"
mythological,s based on or told of in traditional stories; lacking factual basis or historical validity
confer,"v. have a conference in order to talk something over
v. present"
immortality,"n. the quality or state of being immortal
n. perpetual life after death"
sadhu,n. (Hinduism) an ascetic holy man
simplicity,"n. the quality of being simple or uncompounded
n. a lack of penetration or subtlety
n. absence of affectation or pretense"
chariot,"n. a light four-wheel horse-drawn ceremonial carriage
n. a two-wheeled horse-drawn battle vehicle; used in war and races in ancient Egypt and Greece and Rome
v. transport in a chariot
v. ride in a chariot"
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
wipe away,none
sin,"n. estrangement from god
n. an act that is regarded by theologians as a transgression of God's will
n. (Akkadian) god of the Moon; counterpart of Sumerian Nanna
n. the 21st letter of the Hebrew alphabet"
downpour,n. a heavy rain
douse,"v. put out, as of a candle or a light
v. wet thoroughly
v. lower quickly
v. slacken"
bushfire,none
fortnight,n. a period of fourteen consecutive days
evacuation,n. the act of evacuating; leaving a place in an orderly fashion; especially for protection
welfare,"n governmental provision of economic assistance to persons in need
n something that aids or promotes well-being
n a contented state of being happy and healthy and prosperous"
telecom,n (often plural) systems used in transmitting messages over a distance electronically
telecommunication,"n. (often plural) systems used in transmitting messages over a distance electronically
n. (often plural) the branch of electrical engineering concerned with the technology of electronic communication at a distance"
geographical,"a of or relating to the science of geography
a determined by geography"
boundary,"n. the line or plane indicating the limit or extent of something
n. a line determining the limits of an area"
highly,"r. to a high degree or extent; favorably or with much respect
r. at a high rate or wage
r. in a high position or level or rank"
the World Wireless Forum,none
mobility,n. the quality of moving freely
freelancer,n. a writer or artist who sells services to different employers without a long-term contract with any of them
migrant,"n. traveler who moves from one region or country to another
s. habitually moving from place to place especially in search of seasonal work"
ownership,"n. the relation of an owner to the thing possessed; possession with the right to transfer possession to others
n. the state or fact of being an owner"
vague,"s not clearly understood or expressed
a not precisely limited, determined, or distinguished
s lacking clarity or distinctness"
countless,s. too numerous to be counted
indispensable,"a. not to be dispensed with; essential
s. unavoidable"
long for,none
relieved,"v provide physical relief, as from pain
v free someone temporarily from his or her obligations
v grant relief or an exemption from a rule or requirement to
v lessen the intensity of or calm
v save from ruin, destruction, or harm
v relieve oneself of troubling information
v provide relief for
v free from a burden, evil, or distress
v take by stealing
v grant exemption or release to
v alleviate or remove (pressure or stress) or make less oppressive
s (of pain or sorrow) made easier to bear
s extending out above or beyond a surface or boundary"
cross,"n. a wooden structure consisting of an upright post with a transverse piece
n. a representation of the structure on which Jesus was crucified; used as an emblem of Christianity or in heraldry
n. any affliction that causes great suffering
v. fold so as to resemble a cross"
furious,"s marked by extreme and violent energy
s marked by extreme anger
s (of the elements) as if showing violent anger"
insecure,"a. not firm or firmly fixed; likely to fail or give way
a. lacking in security or safety
a. lacking self-confidence or assurance
s. not safe from attack"
shattered,s. ruined or disrupted
disillusioned,s. freed from illusion
let down,n a feeling of dissatisfaction that results when your expectations are not realized
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
sprain,n. a painful injury to a joint caused by a sudden wrenching of its ligaments
disallow,v command against
out of the blue,none
intend,"v. have in mind as a purpose
v. design or destine"
punchline,none
grizzly,n. powerful brownish-yellow bear of the uplands of western North America
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
caveman,n. someone who lives in a cave
playwright,n someone who writes plays
statesman,n. a man who is a respected leader in national or international affairs
habit-forming,a causing or characterized by addiction
juggle,"n. the act of rearranging things to give a misleading impression
n. throwing and catching several objects simultaneously
v. influence by slyness
v. manipulate by or as if by moving around components"
juggler,n. a performer who juggles objects and performs tricks of manual dexterity
packed,s. pressed together or compressed
blazing,s. shining intensely
hesitant,s. lacking decisiveness of character; unable to act or decide quickly or firmly
squint,"n. the act of squinting; looking with the eyes partly closed
v. cross one's eyes as if in strabismus
v. be cross-eyed; have a squint or strabismus
v. partly close one's eyes, as when hit by direct blinding light"
wildly,"r. to an extreme or greatly exaggerated degree
r. in an uncontrolled or unrestrained manner
r. with violent and uncontrollable passion"
bounce,"n. the quality of a substance that is able to rebound
n. rebounding from an impact (or series of impacts)
v. spring back; spring away from an impact
v. hit something so that it bounces"
hop,"n. the act of hopping; jumping upward or forward (especially on one foot)
n. twining perennials having cordate leaves and flowers arranged in conelike spikes; the dried flowers of this plant are used in brewing to add the characteristic bitter taste to beer
n. an informal dance where popular music is played
v. jump lightly"
limp,"v. walk impeded by some physical limitation or injury
v. proceed slowly or with difficulty
s. not firm
s. lacking in strength or firmness or resilience"
mystified,"v be a mystery or bewildering to
v make mysterious
s totally perplexed and mixed up"
ashamed,a. feeling shame or guilt or embarrassment or remorse
amusement,n. a feeling of delight at being entertained
desperation,n. desperate recklessness
onwards,r in a forward direction
beg for,none
messy,s. dirty and disorderly
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
wit,n. a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
purse,"n. a sum of money spoken of as the contents of a money purse
n. a small bag for carrying money
n. a sum of money offered as a prize
v. contract one's lips into a rounded shape"
heartbroken,s full of sorrow
belongings,"n something owned; any tangible or intangible possession that is owned by someone; 
n happiness felt in a secure relationship
v be owned by; be in the possession of
v be suitable or acceptable
v be in the right place or situation
v be rightly classified in a class or category
v be a member, adherent, inhabitant, etc. (of a group, organization, or place)
v be a part or adjunct"
chop,"n. the irregular motion of waves (usually caused by wind blowing in a direction opposite to the tide)
n. a small cut of meat including part of a rib
n. a jaw
n. a tennis return made with a downward motion that puts backspin on the ball"
majesty,n impressiveness in scale or proportion
sob,"n. convulsive gasp made while weeping
v. weep convulsively"
count,"n. the total number counted
n. the act of counting; reciting numbers in ascending order
n. a nobleman (in various countries) having rank equal to a British earl
v. determine the number or amount of"
sideboard,"n. a removable board fitted on the side of a wagon to increase its capacity
n. a board that forms part of the side of a bed or crib"
jester,n. a professional clown employed to entertain a king or nobleman in the Middle Ages
astonishment,n. the feeling that accompanies something extremely surprising
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
camouflage,"n. fabric dyed with splotches of green and brown and black and tan; intended to make the wearer of a garment made of this fabric hard to distinguish from the background
n. device or stratagem for concealment or deceit
v. disguise by camouflaging; exploit the natural surroundings to disguise something"
shield,"n. a protective covering or structure
n. armor carried on the arm to intercept blows
v. protect, hide, or conceal from danger or harm"
for sure,none
unforgettable,a. impossible to forget
cunning,"n. crafty artfulness (especially in deception)
s. attractive especially by means of smallness or prettiness or quaintness"
undo,"v. cancel, annul, or reverse an action or its effect
v. cause the ruin or downfall of"
