colourful,"a striking in variety and interest
a having striking color"
prefer,"v. like better; value more highly
v. promote over another
v. give preference to one creditor over another"
winter,"n. the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
v. spend the winter"
either,r. after a negative statement used as an intensive meaning something like `likewise' or `also'
autumn,n the season when the leaves fall from the trees
ski,"n. narrow wood or metal or plastic runners used in pairs for gliding over snow
v. move along on skis"
plant,"n. buildings for carrying on industrial labor
n. (botany) a living organism lacking the power of locomotion
n. an actor situated in the audience whose acting is rehearsed but seems spontaneous to the audience
n. something planted secretly for discovery by another"
camp,"n. temporary living quarters specially built by the army for soldiers
n. a group of people living together in a camp
n. temporary lodgings in the country for travelers or vacationers
n. a penal institution (often for forced labor)"
go camping,none
middle,"n. an intermediate part or section
n. the middle area of the human torso (usually in front)
n. time between the beginning and the end of a temporal period
v. put in the middle"
classmate,n an acquaintance that you go to school with
Australia,"n. a nation occupying the whole of the Australian continent; Aboriginal tribes are thought to have migrated from southeastern Asia 20,000 years ago; first Europeans were British convicts sent there as a penal colony
n. the smallest continent; between the South Pacific and the Indian Ocean"
answer,"n. a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
n. the speech act of replying to a question
n. the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims
n. a nonverbal reaction"
China,"n. a communist nation that covers a vast territory in eastern Asia; the most populous country in the world
n. high quality porcelain originally made only in China"
too ... to ...,none
if,"conj. In case that; granting, allowing, or supposing that; --
   introducing a condition or supposition.
conj. Whether; -- in dependent questions."
plan,"n. a series of steps to be carried out or goals to be accomplished
n. scale drawing of a structure
v. have the will and intention to carry out some action
v. make plans for something"
test,"n. any standardized procedure for measuring sensitivity or memory or intelligence or aptitude or personality etc
n. the act of undergoing testing
n. the act of testing something
n. a hard outer covering as of some amoebas and sea urchins"
date,"n. the specified day of the month
n. a participant in a date
n. a meeting arranged in advance
n. a particular but unspecified point in time"
