triumph,n. the exultation of victory
pledge,"n. a deposit of personal property as security for a debt
n. someone accepted for membership but not yet fully admitted to the group
n. a drink in honor of or to the health of a person or event
v. promise solemnly and formally"
pose,"n. a posture assumed by models for photographic or artistic purposes
v. pretend to be someone you are not; sometimes with fraudulent intentions
v. behave affectedly or unnaturally in order to impress others"
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
attain,"v to gain with effort
v reach a point in time, or a certain state or level
v find unexpectedly
v reach a destination, either real or abstract"
foundation,"n. the basis on which something is grounded
n. an institution supported by an endowment
n. lowest support of a structure
n. education or instruction in the fundamentals of a field of knowledge"
resource,"n. available source of wealth; a new or reserve supply that can be drawn upon when needed
n. a source of aid or support that may be drawn upon when needed
n. the ability to deal resourcefully with unusual problems"
faculty,n. one of the inherent cognitive or perceptual powers of the mind
comprehensive,"a. including all or everything
s. broad in scope"
facility,"n. a building or place that provides a particular service or is used for a particular industry
n. a natural effortlessness
n. something designed and created to serve a particular function and to afford a particular convenience or service
n. a service that an organization or a piece of equipment offers you"
community,"n. a group of people living in a particular local area
n. common ownership
n. a group of nations having common interests
n. agreement as to goals"
explore,"v. travel to or penetrate into
v. examine minutely
v. examine (organs) for diagnostic purposes"
fascinating,"v cause to be interested or curious
v to render motionless, as with a fixed stare or by arousing terror or awe
v attract; cause to be enamored
s capable of arousing and holding the attention
s capturing interest as if by a spell"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
passion,"n. a strong feeling or emotion
n. a feeling of strong sexual desire
n. the suffering of Jesus at the Crucifixion"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
enthusiasm,"n. a feeling of excitement
n. a lively interest"
reap,"v. gather, as of natural products
v. get or derive"
benefit,"n. financial assistance in time of need
n. something that aids or promotes well-being
n. a performance to raise money for a charitable cause
v. be beneficial for"
opportunity,n. a possibility due to a favorable combination of circumstances
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
available,"a. obtainable or accessible and ready for use or service
s. not busy; not otherwise committed
s. convenient for use or disposal"
sample,"n. a small part of something intended as representative of the whole
n. all or part of a natural object that is collected and preserved as an example of its class
v. take a sample of"
assume,"v. take to be the case or to be true; accept without verification or proof
v. take on titles, offices, duties, responsibilities
v. take on a certain form, attribute, or aspect
v. occupy or take on"
emerge,"v. come out into view, as from concealment
v. become known or apparent
v. come up to the surface of or rise"
giant,"n. any creature of exceptional size
n. an unusually large enterprise
n. a very large person; impressive in size or qualities
n. someone or something that is abnormally large and powerful"
mate,"n. the officer below the master on a commercial ship
n. the partner of an animal (especially a sexual partner)
n. one of a pair
n. South American holly; leaves used in making a drink like tea"
roommate,n. an associate who shares a room with you
owl,n. nocturnal bird of prey with hawk-like beak and claws and large head with front-facing eyes
virtual,"s. being actually such in almost every respect
s. existing in essence or effect though not in actual fact"
virtually,r. in essence or effect but not in fact
enrich,"v. make better or improve in quality
v. make wealthy or richer"
glow,"n. a feeling of considerable warmth
n. a steady even light without flames
v. emit a steady even light without flames
v. have a complexion with a strong bright color, such as red or pink"
confidence,"n. a feeling of trust (in someone or something)
n. a state of confident hopefulness that events will be favorable
n. a trustful relationship
n. a secret that is confided or entrusted to another"
yield,"n. an amount of a product
v. be the cause or source of
v. give in, as to influence or pressure
v. bring in"
abundant,a. present in great quantity
responsibility,n. a form of trustworthiness; the trait of being answerable to someone for something or being responsible for one's conduct
inherit,"v. obtain from someone after their death
v. receive from a predecessor
v. receive by genetic transmission"
inheritor,n a person who is entitled by law or by the terms of a will to inherit the estate of another
transmit,v. send from one person or place to another
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
