textbook,n. a book prepared for use in schools or colleges
specialty,"n an asset of special worth or utility
n a distinguishing trait
n the special line of work you have adopted as your career"
academic discipline,none
major field,none
major course,none
minor,"a. of lesser importance or stature or rank
a. lesser in scope or effect
a. inferior in number or size or amount
a. of a scale or mode"
elective,"a. subject to popular election
s. not compulsory"
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
introductory course,none
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
course description,none
syllabus,n an integrated course of academic studies
class syllabus,none
coursework,n. work assigned to and done by a student during a course of study; usually it is evaluated as part of the student's grade in the course
exchange program,none
class schedule,none
room assignment sheet,none
drop class,none
enroll,v. register formally as a participant or member
enrollment,"n the act of enrolling
n the body of people (such as students) who register or enroll at the same time"
registration,"n. the act of enrolling
n. the body of people (such as students) who register or enroll at the same time
n. a document certifying an act of registering
n. (music) the sound property resulting from a combination of organ stops used to perform a particular piece of music; the technique of selecting and adjusting organ stops"
transfer student,none
alumnus,n. a person who has received a degree from a school (high school or college or university)
academic record,none
credit,"n. money available for a client to borrow
n. an accounting entry acknowledging income or capital items
n. used in the phrase `to your credit' in order to indicate an achievement deserving praise; 
n. arrangement for deferred payment for goods and services"
advanced degree,none
advanced study,none
take-home exam,none
mid-term,"n. the middle of the gestation period
n. middle of an academic term or a political term in office"
mid-term exam,none
final exam,none
academic year,none
school year,none
guesswork,n an estimate based on little or no information
theoretical,"a. concerned primarily with theories or hypotheses rather than practical considerations
a. concerned with theories rather than their practical applications"
classic theory,none
verification,n. (law) an affidavit attached to a statement confirming the truth of that statement
advanced seminar,none
academia,n. the academic world
term project,none
independent study,none
independent research project,none
group research,none
group project,none
academic plan,none
research topic,none
research project,none
in-depth research,none
waiting list,none
field research,none
field trip,none
field station,none
grant,"n. any monetary aid
n. the act of providing a subsidy
n. (law) a transfer of property by deed of conveyance
n. Scottish painter; cousin of Lytton Strachey and member of the Bloomsbury Group (1885-1978)"
research fund,none
sponsor,"v. assume sponsorship of
v. assume responsibility for or leadership of"
office hours,plural of office-hour
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
class note,none
class presentation,none
spring break,none
summer break,none
summer term,none
summer school program,none
sabbatical,"n. a leave usually taken every seventh year
a. of or relating to the Sabbath
a. of or relating to sabbatical leave"
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
due,"n. that which is deserved or owed
n. a payment that is due (e.g., as the price of membership)
a. owed and payable immediately or on demand
s. scheduled to arrive"
due day,none
extend,"v. make available; provide
v. reach outward in space
v. expand the influence of
v. open or straighten out; unbend"
extension,"n. a mutually agreed delay in the date set for the completion of a job or payment of a debt
n. act of expanding in scope; making more widely available
n. an educational opportunity provided by colleges and universities to people who are not enrolled as regular students
n. act of stretching or straightening out a flexed limb"
paper,"n. a material made of cellulose pulp derived mainly from wood or rags or certain grasses
n. a medium for written communication
n. a scholarly article describing the results of observations or stating hypotheses
v. cover with paper"
paper topic,none
research paper,none
term paper,none
senior thesis,none
thesis seminar,none
research journal,none
scholarly journal,none
journal article,none
literature review,none
documentation,"n. confirmation that some fact or statement is true through the use of documentary evidence
n. documentary validation"
supplemental reading,none
additional reading,none
background reading,none
extra reading,none
writing style,none
academic convention,none
logical order,none
systematic,a. characterized by order and planning
well-developed,none
argument,"n. a fact or assertion offered as evidence that something is true
n. a discussion in which reasons are advanced for and against some proposition or proposal
n. a summary of the subject or plot of a literary work or play or movie
n. (computer science) a reference or value that is passed to a function, procedure, subroutine, command, or program"
main argument,none
dimension,"n. the magnitude of something in a particular direction (especially length or width or height)
n. one of three Cartesian coordinates that determine a position in space
v. indicate the dimensions on
v. shape or form to required dimensions"
controversy,n. a contentious speech act; a dispute where there is strong disagreement
paradox,n. (logic) a statement that contradicts itself
basis,"n. the fundamental assumptions from which something is begun or developed or calculated or explained
n. the most important or necessary part of something"
generalize,"v. draw from specific cases for more general cases
v. speak or write in generalities
v. become systemic and spread throughout the body"
summarize,v. be a summary of
conclusion,"n. an intuitive assumption
n. the proposition arrived at by logical reasoning (such as the proposition that must follow from the major and minor premises of a syllogism)
n. a final settlement
n. the last section of a communication"
synthesize,"v. combine so as to form a more complex, product
v. combine and form a synthesis"
synopsis,n a sketchy summary of the main points of an argument or theory
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
proposal,"n. something proposed (such as a plan or assumption)
n. the act of making a proposal"
reference,"n. the most direct or specific meaning of a word or expression; the class of objects that an expression refers to
n. the act of referring or consulting
n. a publication (or a passage from a publication) that is referred to
n. the relation between a word or phrase and the object or idea it refers to"
comment,"n. a written explanation or criticism or illustration that is added to a book or other textual material
v. make or write a comment on
v. explain or interpret something"
relevant,a. having a bearing on or connection with the subject at issue
distraction,"n. mental turmoil
n. an obstacle to attention
n. the act of distracting; drawing someone's attention away from something"
off topic,none
subjective,a. taking place within the mind and modified by individual bias
objectively,r. with objectivity
original thinking,none
critically,r. in a critical manner
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
point of view,none
draft version,none
primary source,none
revise,v. make revisions in
oversee,v. watch and direct
rewrite,"n. something that has been written again
v. write differently; alter the writing of
v. rewrite so as to make fit to suit a new or different purpose"
redo,"v make new
v do over, as of (part of) a house"
progress report,none
check out,"n. the latest time for vacating a hotel room
n. a counter in a supermarket where you pay for your purchases"
re-shelve,none
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
retrieve,"v. go for and bring back
v. run after, pick up, and bring to the master"
borrowing privilege,none
loan period,none
circulation history,none
deadline,n. the point in time at which something must be completed
expire,"v lose validity
v pass from physical life and lose all bodily attributes and functions necessary to sustain life
v expel air"
renew,"v reestablish on a new, usually improved, basis or make new or like new
v cause to appear in a new form"
on reserve,none
reserved book,none
buyback,n the act of purchasing back something previously sold
sell back,none
full refund,none
authorization,n. the act of conferring legality or sanction or formal warrant
authorized access,none
special permission,none
identification,"n. evidence of identity; something that identifies a person or thing
n. the condition of having the identity (of a person or object) established
n. the attribution to yourself (consciously or unconsciously) of the characteristics of another person (or group of persons)"
special collection,none
permanent collection,none
library holdings,none
reference section,none
reference stacks,none
electronic format,none
electronic resource,none
microfilm,"n. film on which materials are photographed at greatly reduced size; useful for storage; a magnification system is used to read the material
v. record on microfilm"
duplicate,"n. a copy that corresponds to an original exactly
v. make or do or perform again
v. make a duplicate or duplicates of
s. identically copied from an original"
print version,none
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
additional copy,none
updated edition,none
later edition,none
manuscript,"n. the form of a literary work submitted for publication
n. handwritten book or document"
rare book,none
catalog,"n. a book or pamphlet containing an enumeration of things
n. a complete list of things; usually arranged systematically"
catalogue,"v. make an itemized list or catalog of; classify
v. make a catalogue, compile a catalogue"
book list,none
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
annotation,n. the act of adding notes
commentary,n a written explanation or criticism or illustration that is added to a book or other textual material
mark up,"n. the amount added to the cost to determine the asking price
n. detailed stylistic instructions for typesetting something that is to be printed; manual markup is usually written on the copy (e.g. underlining words that are to be set in italics)"
head librarian,none
library assistant,none
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
database,n. an organized body of related information
keyword search,none
video library,none
magnifying glass,none
photocopy,"n. a photographic copy of written or printed or graphic work
v. reproduce by xerography"
administrator,"n. someone who administers a business
n. the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor
n. someone who manages a government agency or department"
administration office,none
administrative office,none
department,"n. a specialized division of a large organization
n. the territorial and administrative division of some countries (such as France)
n. a specialized sphere of knowledge"
faculty,n. one of the inherent cognitive or perceptual powers of the mind
graduate school,none
student aboard office,none
secretary,"n. a person who is head of an administrative department of government
n. an assistant who handles correspondence and clerical work for a boss or an organization
n. a desk used for writing"
dean,"n. an administrator in charge of a division of a university or college
n. United States film actor whose moody rebellious roles made him a cult figure (1931-1955)
n. a man who is the senior member of a group
n. (Roman Catholic Church) the head of the College of Cardinals"
founding director,none
department chair,none
review committee,none
panel,"n. sheet that forms a distinct (usually flat and rectangular) section or component of something
n. (law) a group of people summoned for jury service (from whom a jury will be chosen)
n. a group of people gathered for a special purpose as to plan or discuss an issue or judge a contest etc
n. a soft pad placed under a saddle"
senior researcher,none
guest speaker,none
instructor,n a person whose occupation is teaching
advisor,n an expert who gives advice
colleague,"n. an associate that one works with
n. a person who is member of one's class or profession"
scholar,"n. a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
n. a student who holds a scholarship"
custodian,n. one having charge of buildings or grounds or animals
lecture hall,none
auditorium,n. the area of a theater or concert hall where the audience sits
cafeteria,n. a restaurant where you serve yourself and pay a cashier
meal plan,none
dormitory,"n. a college or university building containing living quarters for students
n. a large sleeping room containing several beds"
dorm,n a college or university building containing living quarters for students
roommate,n. an associate who shares a room with you
front desk,none
information desk,none
main desk,none
tutoring center,none
sister university,none
bulletin board,none
school paper,none
flyer,"n an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
n someone who travels by air
n someone who operates an aircraft
s (British informal) not to be deceived or hoodwinked"
brochure,n a small book usually having a paper cover
desk copy,none
poster,n. a sign posted in a public place as an advertisement
publicity,n. the quality of being open to public view
guideline,n. a light line that is used in lettering to help align the letters
announcement,"n. a formal public statement
n. a public statement containing information about an event that has happened or is going to happen"
notification,n. a request for payment
orientation session,none
oral presentation,none
newsletter,n. report or open letter giving informal or confidential news of interest to a special group
vote,"n. a choice that is made by counting the number of people in favor of each alternative
n. the opinion of a group as determined by voting
n. a body of voters who have the same interests
n. the total number of voters who participated"
voter,n. a citizen who has a legal right to vote
voting rate,none
ballot,"n. a document listing the alternatives that is used in voting
v. vote by ballot"
election,"n. a vote to select the winner of a position or political office
n. the act of selecting someone or something; the exercise of deliberate choice
n. the status or fact of being elected
n. the predestination of some individuals as objects of divine mercy (especially as conceived by Calvinists)"
general election,none
straw poll,none
student government,none
participation rates,none
student orientation,none
campus employment office,none
career services center,none
career fair,none
classroom-to-cooperation career fair,none
interview workshop,none
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
submission,"n. something (manuscripts or architectural plans and models or estimates or works of art of all genres etc.) submitted for the judgment of others (as in a competition)
n. the act of submitting; usually surrendering power to another
n. the condition of having submitted to control by someone or something else
n. a legal document summarizing an agreement between parties in a dispute to abide by the decision of an arbiter"
potential applicant,none
candidate,n. someone who is considered for something (for an office or prize or honor etc.)
professional reference,none
recommendation,"n. something (as a course of action) that is recommended as advisable
n. something that recommends (or expresses commendation of) a person or thing as worthy or desirable
n. any quality or characteristic that gains a person a favorable reception or acceptance or admission"
personal statement,none
good standing,none
academic interests,none
part-time position,none
part-timers,n. someone who works less than the customary or standard time
campus job,none
internship,n. the position of a medical intern
teaching assistant,none
janitor,n. someone employed to clean and maintain a building
legwork,none
off-campus,none
tuition fee,none
special circumstance,none
work-study program,none
financial assistance,none
financial aid,none
scholarship,n. financial aid provided to a student on the basis of academic merit
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
supervisor,n. one who supervises or has charge and direction of
helpdesk,none
human resources,none
recruit,"n. a recently enlisted soldier
n. any new member or supporter (as in the armed forces)
v. seek to employ
v. cause to assemble or enlist in the military"
extended hours,none
work order,none
schedule,"n. an ordered list of times at which things are planned to occur
v. plan for an activity or event
v. make a schedule; plan the time and place for events"
paycheck,n. a check issued in payment of wages or salary
wage,n. something that remunerates
pay period,none
payroll,"n. a list of employees and their salaries
n. the total amount of money paid in wages
n. the department that determines the amounts of wage or salary due to each employee"
payroll office,none
payroll department,none
advancement,n. gradual improvement or growth or development
people skills,none
unemployment,n. the state of being unemployed or not having a job
remains,n. any object that is left unused or still extant
ruin,"n. an irrecoverable state of devastation and destruction
n. a ruined building
n. an event that results in destruction
v. destroy or cause to fail"
settlement site,none
shipwreck,"n. a wrecked ship (or a part of one)
n. an irretrievable loss
n. an accident that destroys a ship at sea"
tomb,n a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
burial sites,none
burial places,plural of burial-place
grave,"n. death of a person
n. a place for the burial of a corpse (especially beneath the ground and marked by a tombstone)
s. dignified and somber in manner or character and committed to keeping promises
s. of great gravity or crucial import; requiring serious thought"
passage graves,none
cache,"n. a hidden storage space (for money or provisions or weapons)
n. (computer science) RAM memory that is set aside as a specialized buffer storage that is continually updated; used to optimize data transfers between system elements with different characteristics"
monument,n. an important site that is marked and preserved as public property
prehistory,n. the time during the development of human culture before the appearance of the written word
pyramid,"n. a polyhedron having a polygonal base and triangular sides with a common vertex
n. (stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
n. a massive monument with a square base and four triangular sides; begun by Cheops around 2700 BC as royal tombs in ancient Egypt
v. enlarge one's holdings on an exchange on a continued rise by using paper profits as margin to buy additional amounts"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
ancient society,none
ancient history,none
ancient civilization,none
lost civilization,none
artifact,n. a man-made object taken as a whole
ceremonial objects,none
religious ritual,none
archaeological,a. related to or dealing with or devoted to archaeology
archaeological sites,none
archaeological record,none
archaeological excavation,none
archaeologist,n an anthropologist who studies prehistoric people and their culture
excavate,"v. recover through digging
v. find by digging in the ground
v. form by hollowing
v. remove the inner part or the core of"
excavation,"n. the act of digging
n. a hole in the ground made by excavating"
excavation sites,none
clue,"n. evidence that helps to solve a problem
v. roll into a ball"
trace back,none
fossil fragment,none
fossil record,none
find,"v. come upon, as if by accident; meet with
v. come upon after searching; find the location of something that was missed or lost
v. come to believe on the basis of emotion, intuitions, or indefinite grounds
v. obtain through effort or management"
physical evidence,none
customer experience,none
customer loyalty,none
customer preference,none
customer base,none
potential customer,none
intended audience,none
target group,none
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
mortgage,"n. a conditional conveyance of property as security for the repayment of a loan
v. put up as security or collateral"
promissory notes,none
service standard,none
satisfaction,"n. the contentment one feels when one has fulfilled a desire, need, or expectation
n. (law) the payment of a debt or fulfillment of an obligation
n. act of fulfilling a desire or need or appetite"
dissatisfied,"v fail to satisfy
s in a state of sulky dissatisfaction"
feedback,"n. the process in which part of the output of a system is returned to its input in order to regulate its further output
n. response to an inquiry or experiment"
compensation,"n. something (such as money) given or received as payment or reparation (as for a service or loss or injury)
n. (psychiatry) a defense mechanism that conceals your undesirable shortcomings by exaggerating desirable behaviors"
service recovery,none
business management,none
business leader,none
business owner,none
businessman,n. a person engaged in commercial or industrial business (especially an owner or executive)
business manager,none
business representative,none
business plan,none
manufacture,"v. put together out of artificial or natural components or parts; He manufactured a popular cereal""
v. produce naturally
v. create or produce in a mechanical way"
manufacturer,"n. a business engaged in manufacturing some product
n. someone who manufactures something"
organization,"n. a group of people who work together
n. the act of organizing a business or an activity related to a business
n. an ordered manner; orderliness by virtue of being methodical and well organized
n. the activity or result of distributing or disposing persons or things properly or methodically"
establishment,"n. a public or private structure (business or governmental or educational) including buildings and equipment for business or residence
n. any large organization
n. (ecology) the process by which a plant or animal becomes established in a new habitat
n. the cognitive process of establishing a valid proof"
firm,"n. the members of a business organization that owns or operates one or more establishments
s. marked by firm determination or resolution; not shakable
s. not soft or yielding to pressure
s. strong and sure"
corporation,n. a business firm whose articles of incorporation have been approved in some state
private company,none
administration,"n. a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
n. the persons (or committees or departments etc.) who make up a body for the purpose of administering something
n. the act of administering medication
n. the act of meting out justice according to the law"
administrative,a. of or relating to or responsible for administration
marketer,n someone who promotes or exchanges goods or services for money
market analyst,none
market research,none
market place,n. an area in a town where a public mercantile establishment is set up
market forces,none
consumer market,none
marketing campaign,none
marketing strategy,none
strategic marketing,none
brand awareness,none
brand loyalty,none
budget,"n. a sum of money allocated for a particular purpose
n. a summary of intended expenditures along with proposals for how to meet them
v. make a budget"
annual budget,none
cost and benefit,none
special promotion,none
case study,none
beneficiary,"n. the recipient of funds or other benefits
a. having or arising from a benefice"
bidder,"n. someone who makes an offer
n. someone who makes a bid at cards"
bidding,n. a request to be present
equitable,a. fair to all parties as dictated by reason and conscience
game strategy,none
ground rules,plural of ground-rule
irrational boom,none
long-term lease,none
asset,n. a useful or valuable quality
creature,"n. a human being; `wight' is an archaic term
n. a person who is controlled by others and is used to perform unpleasant or dishonest tasks for someone else"
species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
native species,none
invasive species,none
threatened species,none
fauna,n. all the animal life in a particular region or period
megafauna,none
herd,"n. a group of cattle or sheep or other domestic mammals all of the same kind that are herded by humans
n. a group of wild mammals of one species that remain together: antelope or elephants or seals or whales or zebra
v. cause to herd, drive, or crowd together
v. move together, like a herd"
