off and on,s intermittently stopping and starting
take hold,none
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
assignment,"n. a duty that you are assigned to perform (especially in the armed forces)
n. the instrument by which a claim or right or interest or property is transferred from one person to another
n. the act of distributing something to designated places or persons
n. an undertaking that you have been assigned to do (as by an instructor)"
turn out,"n. The act of coming forth; a leaving of houses, shops,
   etc.; esp., a quitting of employment for the purpose of forcing
   increase of wages; a strike; -- opposed to lockout.
n. A short side track on a railroad, which may be occupied
   by one train while another is passing on a main track; a shunt; a
   siding; a switch.
n. That which is prominently brought forward or exhibited;
   hence, an equipage; as, a man with a showy carriage and horses is said
   to have a fine turn-out.
n. The aggregate number of persons who have come out, as
   from their houses, for a special purpose.
n. Net quantity of produce yielded."
paragraph,"n. one of several distinct subdivisions of a text intended to separate ideas; the beginning is usually marked by a new indented line
v. divide into paragraphs, as of text
v. write about in a paragraph
v. write paragraphs; work as a paragrapher"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
cheerless,a causing sad feelings of gloom and inadequacy
tedious,"s so lacking in interest as to cause mental weariness
s using or containing too many words"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
inability,"n. lack of ability (especially mental ability) to do something
n. lacking the power to perform"
inspire,"v. heighten or intensify
v. supply the inspiration for"
formal,"a. being in accord with established forms and conventions and requirements (as e.g. of formal dress)
s. characteristic of or befitting a person in authority
a. (of spoken and written language) adhering to traditional standards of correctness and without casual, contracted, and colloquial forms
s. logically deductive"
rigid,"s. incapable of or resistant to bending
s. incapable of compromise or flexibility
a. designating an airship or dirigible having a form maintained by a stiff unyielding frame or structure"
out of date,s old; no longer valid or fashionable
excessively,r. to a degree exceeding normal or proper limits
excessive,"s. beyond normal limits
s. unrestrained, especially with regard to feelings"
prim,"v. assume a prim appearance
v. contract one's lips
v. dress primly"
primly,r. in a prissy manner
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
wavy,s. (of hair) having waves
necktie,n. neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
pointed,"a. having a point
s. direct and obvious in meaning or reference; often unpleasant"
jaw,"n. the part of the skull of a vertebrate that frames the mouth and holds the teeth
n. the bones of the skull that frame the mouth and serve to open it; the bones that hold the teeth
n. holding device consisting of one or both of the opposing parts of a tool that close to hold an object"
comic,a. of or relating to or characteristic of comedy
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
informal,"a. not formal
s. not officially recognized or controlled
a. used of spoken and written language"
essay,"n. an analytic or interpretive literary composition
n. a tentative attempt"
distribute,"v. administer or bestow, as in small portions
v. make available
v. give to several people
v. spread throughout a given area"
finally,r. after an unspecified period of time or an especially long delay
face up to,none
scan,"n. the act of scanning; systematic examination of a prescribed region
n. an image produced by scanning
v. examine minutely or intensely
v. examine hastily"
spaghetti,"n. spaghetti served with a tomato sauce
n. pasta in the form of long strings"
title,"n. a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
n. the name of a work of art or literary composition etc.
n. a general or descriptive heading for a section of a written work
n. an identifying appellation signifying status or function: e.g. `Mr.' or `General'"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
sequence,"n. serial arrangement in which things follow in logical order or a recurrent pattern
n. a following of one thing after another in time
n. film consisting of a succession of related shots that develop a given subject in a movie
n. several repetitions of a melodic phrase in different keys"
image,"n. an iconic mental representation
n. (mathematics) the set of values of the dependent variable for which a function is defined
n. the general impression that something (a person or organization or product) presents to the public
v. render visible, as by means of MRI"
vivid,s. having the clarity and freshness of immediate experience
adult,"n. a fully developed person from maturity onward
n. any mature animal
s. (of animals) fully developed"
recall,"n. a request by the manufacturer of a defective product to return the product (as for replacement or repair)
n. a call to return
n. a bugle call that signals troops to return
n. the process of remembering (especially the process of recovering information by mental effort)"
socially,"r. by or with respect to society
r. in a social manner"
