anguish,"n. extreme mental distress
n. extreme distress of body or mind
v. suffer great pains or distress"
image,"n. an iconic mental representation
n. (mathematics) the set of values of the dependent variable for which a function is defined
n. the general impression that something (a person or organization or product) presents to the public
v. render visible, as by means of MRI"
insignificant,"s. not worthy of notice
s. signifying nothing
s. of little importance or influence or power; of minor status
a. devoid of importance, meaning, or force"
irritation,"n. the psychological state of being irritated or annoyed
n. (pathology) abnormal sensitivity to stimulation"
lipstick,"n. makeup that is used to color the lips
v. form by tracing with lipstick
v. apply lipstick to"
magic,n. any art that invokes supernatural powers
mood,n. verb inflections that express how the action or state is conceived by the speaker
motorist,n. someone who drives (or travels in) an automobile
panache,n. a feathered plume on a helmet
priceless,"s having incalculable monetary, intellectual, or spiritual worth"
punctuality,n. the quality or habit of adhering to an appointed time
recipe,n. directions for making something
routine,"n. an unvarying or habitual method or procedure
n. a set sequence of steps, part of larger computer program"
spouse,n. a person's partner in marriage
stylish,a. having elegance or taste or refinement in manners or dress
terrific,"s. very great or intense
s. causing extreme terror"
wave,"n. one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)
n. a movement like that of a sudden occurrence or increase in a specified phenomenon
n. (physics) a movement up and down or back and forth
n. something that rises rapidly"
do wonders for,none
take ... for granted,none
melt away,none
pull out,n to break off a military action with an enemy
affect,"n. the conscious subjective aspect of feeling or emotion
v. have an effect upon
v. act physically on; have an effect upon
v. have an emotional or cognitive impact upon"
AIDS,n. a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
bedridden,s confined to bed (by illness)
bond,"n. a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal
n. a superior quality of strong durable white writing paper; originally made for printing documents
n. United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)
n. British secret operative 007 in novels by Ian Fleming"
bubble,"n. a hollow globule of gas (e.g., air or carbon dioxide)
n. an impracticable and illusory idea
n. a dome-shaped covering made of transparent glass or plastic
v. form, produce, or emit bubbles"
carefree,"s. free of trouble and worry and care
s. cheerfully irresponsible"
emotion,n. any strong feeling
germ,n. a small apparently simple structure (as a fertilized egg) from which new tissue can develop into a complete organism
homosexual,"n. someone who practices homosexuality; having a sexual attraction to persons of the same sex
a. sexually attracted to members of your own sex"
invincible,s. incapable of being overcome or subdued
lesion,n. any localized abnormal structural change in a bodily part
maintain,v. state or assert
mall,"n a public area set aside as a pedestrian walk
n mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace"
mature,"v. develop and reach maturity; undergo maturation
v. develop and work out fully in one's mind
v. become due for repayment
a. characteristic of maturity"
outlook,"n a habitual or characteristic mental attitude that determines how you will interpret and respond to situations
n belief about (or mental picture of) the future
n the act of looking out"
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
purple,"n. a purple color or pigment
n. of imperial status
v. become purple
v. color purple"
react,"v. show a response or a reaction to something
v. act against or in opposition to
v. undergo a chemical reaction; react with another substance under certain conditions"
staff,"n. personnel who assist their superior in carrying out an assigned task
n. a strong rod or stick with a specialized utilitarian purpose
n. the body of teachers and administrators at a school
n. building material consisting of plaster and hair; used to cover external surfaces of temporary structure (as at an exposition) or for decoration"
strengthen,"v. make strong or stronger
v. gain strength"
stress,"n. the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
n. special emphasis attached to something
n. difficulty that causes worry or emotional tension
n. (physics) force that produces strain on a physical body"
stuff,"n. miscellaneous unspecified objects
n. informal terms for personal possessions
n. senseless talk
n. unspecified qualities required to do or be something"
unprotected,a. lacking protection or defense
break down,"n. a mental or physical breakdown
n. a cessation of normal operation
n. an analysis into mutually exclusive categories"
for sb.'s sake,none
hang out,n a frequently visited place
hang up,"n. an emotional preoccupation
n. an unforeseen obstacle"
hold in,none
in a way,none
keep in,none
keep up,none
make sense,none
on one's own,none
rely on,none
stick it out,none
turn one's back on,none
abdominal,"n. the muscles of the abdomen
a. of or relating to or near the abdomen"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
challenge,"n. a demanding or stimulating situation
n. a call to engage in a contest or fight
n. questioning a statement and demanding an explanation
n. a formal objection to the selection of a particular person as a juror"
component,"n. an abstract part of something
n. an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system"
conscience,"n. motivation deriving logically from ethical or moral principles that govern a person's thoughts and actions
n. conformity to one's own sense of right conduct
n. a feeling of shame when you do something immoral"
conviction,"n. an unshakable belief in something without need for proof or evidence
n. (criminal law) a final judgment of guilty in a criminal case and the punishment that is imposed"
core,"n. a small group of indispensable persons or things
n. the center of an object
n. the central part of the Earth
n. a cylindrical sample of soil or rock obtained with a hollow drill"
cover-up,n. concealment that attempts to prevent something scandalous from becoming public
demonstrate,v. march in protest; take part in a demonstration
dwarf,"n. a person who is markedly small
n. a plant or animal that is atypically small
v. check the growth of"
enrich,"v. make better or improve in quality
v. make wealthy or richer"
ensure,"v make certain of
v be careful or certain to do something; make certain of something"
ethics,n. the philosophical study of moral values and rules
expediency,n the quality of being suited to the end in view
external,"n. outward features
a. happening or arising or located outside or beyond some limits or especially surface
s. coming from the outside
s. from or between other countries"
facade,"n. the face or front of a building
n. a showy misrepresentation intended to conceal something unpleasant"
factor,"n. anything that contributes causally to a result
n. any of the numbers (or symbols) that form a product when multiplied together
n. an independent variable in statistics
v. resolve into factors"
fashionable,"a. being or in accordance with current social fashions
s. patronized by"
founder,"n. a person who founds or establishes some institution
n. a worker who makes metal castings
v. sink below the surface
v. stumble and nearly fall"
genuine,"a. not fake or counterfeit
s. not pretended; sincerely felt or expressed"
giant,"n. any creature of exceptional size
n. an unusually large enterprise
n. a very large person; impressive in size or qualities
n. someone or something that is abnormally large and powerful"
inevitably,r. in such a manner as could not be otherwise
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
instinctively,r. as a matter of instinct
integrity,"n. an undivided or unbroken completeness or totality with nothing wanting
n. moral soundness"
morality,n. concern with the distinction between good and evil or right and wrong; right or good conduct
motto,n. a favorite saying of a sect or political group
nesting,"v inhabit a nest, usually after building
v fit together or fit inside
v move or arrange oneself in a comfortable and cozy position
v gather nests"
precisely,"r. indicating exactness or preciseness
r. in a precise manner
r. just as it should be"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
progressively,r advancing in amount or intensity
response,"n. a result
n. a phrase recited or sung by the congregation following a versicle by the priest or minister
n. the manner in which an electrical or mechanical device responds to an input signal or a range of input signals"
rightfully,r. by right
rookie,n an awkward and inexperienced youth
scarce,a. deficient in quantity or number compared with the demand
seductive,a. tending to entice into a desired action or state
siren,"n. a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived
n. a warning signal that is a loud wailing sound
n. an acoustic device producing a loud often wailing sound as a signal or warning
n. eellike aquatic North American salamander with small forelimbs and no hind limbs; have permanent external gills"
sponge,"n. a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
n. primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
v. wipe with a sponge, so as to clean or moisten
v. erase with a sponge; as of words on a blackboard"
succumb,v. be fatally overwhelmed
surgeon,n. a physician who specializes in surgery
surgical,"a. of or relating to or involving or used in surgery
a. relating to or requiring or amenable to treatment by surgery especially as opposed to medicine
s. performed with great precision"
tough,"a. not given to gentleness or sentimentality
a. physically toughened
a. resistant to cutting or chewing"
triad,"n the cardinal number that is the sum of one and one and one
n a set of three similar things considered as a unit
n three people considered as a unit
n a three-note major or minor chord; a note and its third and fifth tones"
unpleasing,s lacking graciousness
account for,none
at hand,none
back down,n. A receding or giving up; a complete surrender.
consist of,none
engage in,none
in short supply,none
in the face of,none
rearview mirror,none
sell out,n. an act of betrayal
stand for,none
win the day,none
advocate,"n. a person who pleads for a cause or propounds an idea
n. a lawyer who pleads cases in court"
aged,"n. people who are old collectively
s. advanced in years; (`aged' is pronounced as two syllables)
s. at an advanced stage of erosion (pronounced as one syllable)
s. having attained a specific age; (`aged' is pronounced as one syllable)"
associate,"n. a person who joins with others in some activity or endeavor
n. a person with subordinate membership in a society, institution, or commercial enterprise
n. any event that usually accompanies or is closely connected with another
v. make a logical or causal connection"
capable,"a. (usually followed by `of') having capacity or ability
s. possibly accepting or permitting
a. (followed by `of') having the temperament or inclination for"
career,"n. the particular occupation for which you are trained
n. the general progression of your working or professional life
v. move headlong at high speed"
circumstance,"n. a condition that accompanies or influences some event or activity
n. information that should be kept in mind when making a decision
n. formal ceremony about important occasions"
cite,"n a short note recognizing a source of information or of a quoted passage
v make reference to
v commend
v refer to
v repeat a passage from
v refer to for illustration or proof
v advance evidence for
v call in an official matter, such as to attend court"
decline,"n. change toward something smaller or lower
n. a condition inferior to an earlier condition; a gradual falling off from a better state
v. grow smaller
v. go down"
despite,n. contemptuous disregard
elderly,"n people who are old collectively
s advanced in years; (`aged' is pronounced as two syllables)"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
esteem,n. the condition of being honored (esteemed or respected or well regarded)
estimate,"n. an approximate calculation of quantity or degree or worth
n. a judgment of the qualities of something or somebody
n. a statement indicating the likely cost of some job
n. the respect with which a person is held"
favoritism,n. an inclination to favor some person or group
financial,a involving financial matters
interact,v. act together or towards others or with others
involve,"v. connect closely and often incriminatingly
v. engage as a participant
v. contain as a part
v. occupy or engage the interest of"
issue,"n. an important question that is in dispute and must be settled
n. one of a series published periodically
n. the act of providing an item for general use or for official purposes (usually in quantity)
n. supplies (as food or clothing or ammunition) issued by the government"
jealousy,"n. a feeling of jealous envy (especially of a rival)
n. zealous vigilance"
negotiate,"v. succeed in passing through, around, or over"
overwhelming,"v overcome, as with emotions or perceptual stimuli
v charge someone with too many tasks
v cover completely or make imperceptible
v overcome by superior force
s so strong as to be irresistible
s very intense"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
predict,v. make a prediction about; tell in advance
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
sibling,n. a person's brother or sister
spoil,"n. (usually plural) valuables taken by violence (especially in war)
n. the act of spoiling something by causing damage to it
n. the act of stripping and taking by force
v. become unfit for consumption or use"
statistics,n. a branch of applied mathematics concerned with the collection and interpretation of quantitative data and the use of probability theory to estimate population parameters
stigma,"n. the apical end of the style where deposited pollen enters the pistil
n. an external tracheal aperture in a terrestrial arthropod
n. a skin lesion that is a diagnostic sign of some disease"
survey,"n. a detailed critical inspection
v. consider in a comprehensive way
v. look over carefully or inspect
v. make a survey of; for statistical purposes"
unique,"s. (followed by `to') applying exclusively to a given category or condition or locality
s. highly unusual or rare but not the single instance"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
anticipate,"v. act in advance of; deal with ahead of time
v. realize beforehand
v. be excited or anxious about
v. be a forerunner of or occur earlier than"
attendant,"n. someone who waits on or tends to or attends to the needs of another
n. a person who is present and participates in a meeting
s. being present (at meeting or event etc.) ""attendant members of the congreation""
s. following or accompanying as a consequence"
blessed,"a. highly favored or fortunate (as e.g. by divine grace)
s. worthy of worship
s. enjoying the bliss of heaven
s. characterized by happiness and good fortune"
bee,"n. any of numerous hairy-bodied insects including social and solitary species
n. a social gathering to carry out some communal task or to hold competitions"
bow,"n. a knot with two loops and loose ends; used to tie shoelaces
n. a slightly curved piece of resilient wood with taut horsehair strands; used in playing certain stringed instruments
n. front part of a vessel or aircraft
n. a weapon for shooting arrows, composed of a curved piece of resilient wood with a taut cord to propel the arrow"
cling,"n. fruit (especially peach) whose flesh adheres strongly to the pit
v. come or be in close contact with; stick or hold together and resist separation
v. to remain emotionally or intellectually attached
v. hold on tightly or tenaciously"
clutch,"n. a tense critical situation
n. a number of birds hatched at the same time
n. a pedal or lever that engages or disengages a rotating shaft and a driving mechanism
n. a coupling that connects or disconnects driving and driven parts of a driving mechanism"
complain,"v. express complaints, discontent, displeasure, or unhappiness
v. make a formal accusation; bring a formal charge"
confide,v. reveal in private; tell confidentially
crash,"n. a serious accident (usually involving one or more vehicles)
n. a sudden large decline of business or the prices of stocks (especially one that causes additional failures)
n. the act of colliding with something
n. (computer science) an event that causes a computer system to become inoperative"
drawl,"n. a slow speech pattern with prolonged vowels
v. lengthen and slow down or draw out"
excruciating,"v torment emotionally or mentally
v subject to torture
s extremely painful"
fateful,"s. having momentous consequences; of decisive importance
s. ominously prophetic"
glamorous,"s. having an air of allure, romance and excitement"
glinting,"v be shiny, as if wet
v throw a glance at; take a brief look at
s having brief brilliant points or flashes of light"
indebted,"s. owing gratitude or recognition to another for help or favors etc
s. under a legal obligation to someone"
indiscriminate,"s. failing to make or recognize distinctions
a. not marked by fine distinctions"
intensely,r. in an intense manner
jolt,"n. a sudden jarring impact
v. move or cause to move with a sudden jerky motion
v. disturb (someone's) composure"
lament,"n. a cry of sorrow and grief
v. express grief verbally"
laptop,n. a portable computer small enough to use in your lap
lunge,"n. (fencing) an attacking thrust made with one foot forward and the back leg straight and with the sword arm outstretched forward
v. make a thrusting forward movement"
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
pocket,"n. a small pouch inside a garment for carrying small articles
n. a supply of money
n. (bowling) the space between the headpin and the pins behind it on the right or left
n. a small isolated group of people"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
reassure,"v. cause to feel sure; give reassurance to
v. give or restore confidence in; cause to feel sure or certain"
rocky,"s. abounding in rocks or stones
s. liable to rock
s. full of hardship or trials"
roller-coaster,none
scramble,"n. an unceremonious and disorganized struggle
v. to move hurriedly
v. bring into random order
v. make unintelligible"
screech,n. a high-pitched noise resembling a human cry
slam,"n. winning all or all but one of the tricks in bridge
n. the noise made by the forceful impact of two objects
n. a forceful impact that makes a loud noise
v. close violently"
someday,r. some unspecified time in the future
soothing,s. affording physical relief
soulful,s. full of or expressing deep emotion
squeeze,"n. the act of gripping and pressing firmly
n. a situation in which increased costs cannot be passed on to the customer
n. (slang) a person's girlfriend or boyfriend
n. a twisting squeeze"
swerve,"n. the act of turning aside suddenly
v. turn sharply; change direction abruptly"
takeoff,"n. a departure; especially of airplanes
n. the initial ascent of an airplane as it becomes airborne"
terra firma,none
thundercloud,n a dark cloud of great vertical extent charged with electricity; associated with thunderstorms
transfer,"n. someone who transfers or is transferred from one position to another
n. the act of transfering something from one form to another
n. a ticket that allows a passenger to change conveyances
n. application of a skill learned in one situation to a different but similar situation"
unbolt,v. undo the bolt of
witness,"n. someone who sees an event and reports what happened
n. testimony by word or deed to your religious faith
n. (law) a person who attests to the genuineness of a document or signature by adding their own signature
n. (law) a person who testifies under oath in a court of law"
cell phone,"n a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver"
get in,none
pull oneself together,none
strap in,none
assortment,n. a collection containing a variety of sorts of things
atmosphere,"n. a particular environment or surrounding influence
n. the mass of air surrounding the Earth
n. the weather or climate at some place
n. the envelope of gases surrounding any celestial body"
barely,r. only a very short time before
birthstone,none
bittersweet,"n. poisonous perennial Old World vine having violet flowers and oval coral-red berries; widespread weed in North America
n. twining shrub of North America having yellow capsules enclosing scarlet seeds
s. tinged with sadness"
chitchat,n. light informal conversation for social occasions
cute,s. obviously contrived to charm
elaborate,"v. add details, as to an account or idea; clarify the meaning of and discourse in a learned way, usually in writing
v. produce from basic elements or sources; change into a more developed product
v. work out in detail
s. marked by complexity and richness of detail"
fondly,r. with fondness; with love
generosity,"n. the trait of being willing to give your money or time
n. acting generously"
gift-wrapped,past tense of giftwrap
holly,"n. any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
n. United States rock star (1936-1959)"
hug,"n. a tight or amorous embrace
v. fit closely or tightly"
legible,"a. (of handwriting, print, etc.) capable of being read or deciphered"
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
popularity,n. the quality of being widely admired or accepted or sought after
recollection,n. something recalled to the mind
relegate,"v. refer to another person for decision or judgment
v. assign to a class or kind"
reminder,"n. a message that helps you remember something
n. an experience that causes you to remember something"
represent,"v. take the place of or be parallel or equivalent to
v. be representative or typical for
v. be a delegate or spokesperson for; represent somebody's interest or be a proxy or substitute for, as of politicians and office holders representing their constituents, or of a tenant representing other tenants in a housing dispute
v. serve as a means of expressing something"
ruby,"n. a transparent piece of ruby that has been cut and polished and is valued as a precious gem
n. a transparent deep red variety of corundum; used as a gemstone and in lasers"
rural,"a. living in or characteristic of farming or country life
a. of or relating to the countryside as opposed to the city"
scrawl,"n poor handwriting
v write carelessly"
shaped,"s. shaped to fit by or as if by altering the contours of a pliable mass (as by work or effort)
a. having the shape of"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
succession,"n. a group of people or things arranged or following in order
n. the action of following in order
n. (ecology) the gradual and orderly process of change in an ecosystem brought about by the progressive replacement of one community by another until a stable climax is established
n. acquisition of property by descent or by will"
surpass,v. be or do something to a greater degree
tease,"n. someone given to teasing (as by mocking or stirring curiosity)
n. the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
v. annoy persistently
v. harass with persistent criticism or carping"
tulip,n. any of numerous perennial bulbous herbs having linear or broadly lanceolate leaves and usually a single showy flower
valentine,"n. a sweetheart chosen to receive a greeting on Saint Valentine's Day
n. a card sent or given (as to a sweetheart) on Saint Valentine's Day"
bulletin board,none
give way to,none
postal service,none
put a lump in sb.'s throat,none
usher in,none
amphitheater,"n. a sloping gallery with seats for spectators (as in an operating room or theater)
n. an oval large stadium with tiers of seats; an arena in which contests and spectacles are held"
appeal,"n. attractiveness that interests or pleases or stimulates
n. (law) a legal proceeding in which the appellant resorts to a higher court for the purpose of obtaining a review of a lower court decision and a reversal of the lower court's judgment or the granting of a new trial
v. take a court case to a higher court for review
v. request earnestly (something from somebody); ask for aid or protection"
blond,"n. a person with fair skin and hair
n. a light grayish yellow to near white
a. being or having light colored skin and hair and usually blue or grey eyes"
cease,n. (`cease' is a noun only in the phrase `without cease') end
cocktail,"n. a short mixed drink
n. an appetizer served as a first course at a meal"
colossal,s. so great in size or force or extent as to elicit awe
contract,"n. a binding agreement between two or more persons that is enforceable by law
n. (contract bridge) the highest bid becomes the contract setting the number of tricks that the bidder must make
n. a variety of bridge in which the bidder receives points toward game only for the number of tricks he bid
v. enter into a contractual arrangement"
corporation,n. a business firm whose articles of incorporation have been approved in some state
cowboy,"n. a hired hand who tends cattle and performs other duties on horseback
n. a performer who gives exhibitions of riding and roping and bulldogging
n. someone who is reckless or irresponsible (especially in driving vehicles)"
dumb,"s. lacking the power of human speech
s. unable to speak because of hereditary deafness"
entertainment,n. an activity that is diverting and that holds the attention
furnishings,"n (usually plural) accessory wearing apparel
n (usually plural) the instrumentalities (furniture and appliances and other movable accessories including curtains and rugs) that make a home (or other area) livable
n the act of decorating a house or room
v give something useful or necessary to
v provide or equip with furniture"
glamour,"n alluring beauty or charm (often with sex-appeal)
v cast a spell over someone or something; put a hex on someone or something"
hip,"n. either side of the body below the waist and above the thigh
n. the ball-and-socket joint between the head of the femur and the acetabulum
n. (architecture) the exterior angle formed by the junction of a sloping side and a sloping end of a roof
n. the fruit of a rose plant"
hit,"n. (baseball) a successful stroke in an athletic contest (especially in baseball)
n. the act of contacting one thing with another
n. a conspicuous success
n. a dose of a narcotic drug"
ideal,"n. the idea of something that is perfect; something that one hopes to attain
n. model of excellence or perfection of a kind; one having no equal
s. conforming to an ultimate standard of perfection or excellence; embodying an ideal
s. constituting or existing only in the form of an idea or mental image or conception"
immortal,"n. a person (such as an author) of enduring fame
a. not subject to death"
intellectual,"n. a person who uses the mind creatively
s. of or associated with or requiring the use of the mind
a. appealing to or using the intellect"
lease,"n. property that is leased or rented out or let
n. a contract granting use or occupation of property during a specified time for a specified payment
n. the period of time during which a contract conveying property to a person is in effect
v. grant use or occupation of under a term of contract"
location,"n. a point or extent in space
n. a workplace away from a studio at which some or all of a movie may be made"
luxurious,"s displaying luxury and furnishing gratification to the senses
s rich and superior in quality"
magnet,n. (physics) a device that attracts iron and produces a magnetic field
neighboring,"v live or be located as a neighbor
v be located near or adjacent to
s having a common boundary or edge; abutting; touching; Massachusetts and Conncecticut"""
occasionally,r. now and then or here and there
orchestra,"n. a musical organization consisting of a group of instrumentalists including string players
n. seating on the main floor in a theater"
palm-fringed,none
peak,n. the top or extreme point of something (usually a mountain or hill)
presidency,"n. the tenure of a president
n. the office and function of president"
script,"n. a written version of a play or other dramatic composition; used in preparing for a performance
n. a particular orthography or writing system
v. write a script for"
site,"n. the piece of land on which something is located (or is to be located)
n. physical position in relation to the surroundings"
