a,"n. the 1st letter of the Roman alphabet
n. the blood group whose red cells carry the A antigen"
an,n an associate degree in nursing
abandon,"n. the trait of lacking restraint or control; reckless freedom from inhibition or worry
v. forsake, leave behind
v. give up with the intent of never claiming again
v. stop maintaining or insisting on; of ideas or claims"
abbey,"n. a church associated with a monastery or convent
n. a convent ruled by an abbess
n. a monastery ruled by an abbot"
ABC,n the elementary stages of any subject (usually plural)
abdomen,n. the region of the body of a vertebrate between the thorax and the pelvis
ability,"n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
n. possession of the qualities (especially mental qualities) required to do something or get something done"
able,"a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something
s. have the skills and qualifications to do things well
s. having inherent physical or mental ability or capacity
s. having a strong healthy body"
abnormal,"a. not normal; not typical or usual or regular or conforming to a norm
a. departing from the normal in e.g. intelligence and development
s. much greater than the normal"
aboard,"r. on a ship, train, plane or other vehicle
r. on first or second or third base
r. side by side
r. part of a group"
abolish,v. do away with
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
aboriginal,"a. of or pertaining to members of the indigenous people of Australia
s. having existed from the beginning; in an earliest or original stage or state"
aborigine,n. a dark-skinned member of a race of people living in Australia when Europeans arrived
abound,"v. be abundant or plentiful; exist in large quantities
v. be in a state of movement or action"
about,"s. on the move
r. all around or on all sides
r. in the area or vicinity
r. used of movement to or among many different places or in no particular direction"
above,"n. an earlier section of a written text
s. appearing earlier in the same text
r. at an earlier place
r. in or to a place that is higher"
abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
abroad,"s. in a foreign country
r. to or in a foreign country"
abrupt,"s. marked by sudden changes in subject and sharp transitions
s. exceedingly sudden and unexpected
s. extremely steep
s. surprisingly and unceremoniously brusque in manner"
abruptly,r. quickly and without warning
absence,"n. the state of being absent
n. failure to be present
n. the time interval during which something or somebody is away
n. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
absent-minded,a. Absent in mind; abstracted; preoccupied.
absolute,"n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
a. perfect or complete or pure
s. complete and without restriction or qualification; sometimes used informally as intensifiers
s. not limited by law"
