used,a. employed in accomplishing something
lost,"a. no longer in your possession or control; unable to be found or recovered
a. spiritually or physically doomed or destroyed
a. not gained or won
s. incapable of being recovered or regained"
happened,"v come to pass
v happen, occur, or be the case in the course of events or by chance
v chance to be or do something, without intention or causation
v come into being; become reality
v come upon, as if by accident; meet with"
luck,"n. an unknown and unpredictable phenomenon that causes an event to result one way rather than another
n. an unknown and unpredictable phenomenon that leads to a favorable outcome"
key,"n. metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated
n. something crucial for explaining
n. pitch of the voice
n. any of 24 major or minor diatonic scales that provide the tonal framework for a piece of music"
lucky,"s. occurring by chance
a. having or bringing good fortune"
fine,"n. money extracted as a penalty
s. minutely precise especially in differences in meaning
s. thin in thickness or diameter
s. characterized by elegance or refinement or accomplishment"
first,"n. the first or highest in an ordering or series
n. the first element in a countable series
n. an honours degree of the highest class
a. preceding all others in time or space or degree"
next,r. at the time or occasion immediately following
then,"n. that time; that moment
s. at a specific prior time
r. subsequently or soon afterward (often used as sentence connectors)
r. in that case or as a consequence"
really,"r in accordance with truth or fact or reality
r in actual fact
r in fact (used as intensifiers or sentence modifiers)
r used as intensifiers; `real' is sometimes used informally for `really'; `rattling' is informal"
tired,a. depleted of strength or energy
scared,"v cause fear in
v cause to lose courage
v mark with a scar
s made afraid"
excited,a. in an aroused state
sad,"a. experiencing or showing sorrow or unhappiness
s. of things that make you feel sad"
stayed,"v stay the same; remain in a certain state
v stay put (in a certain place); we are not moving to Cincinnati""
v dwell
v continue in a place, position, or situation
v remain behind
v stop or halt
v stay behind
v hang on during a trial of endurance
v stop a judicial process
v fasten with stays
v overcome or allay"
stay up late,none
heard,s. detected or perceived by the sense of hearing
noise,"n. sound of any kind (especially unintelligible or dissonant sound)
n. the auditory experience of sound that lacks musical quality; sound that is a disagreeable auditory experience
n. electrical or acoustic activity that can disturb communication
n. a loud outcry of protest or complaint"
got,"v come into the possession of something concrete or abstract
v enter or assume a certain state or condition
v cause to move; cause to be in a certain position or condition
v receive a specified treatment (abstract)
v reach a destination; arrive by movement or progress
v go or come after and bring or take back
v go through (mental or physical states or experiences)
v take vengeance on or get even
v achieve a point or goal
v cause to do; cause to act in a specified manner
v succeed in catching or seizing, especially after a chase
v come to have or undergo a change of (physical features and attributes)
v be stricken by an illness, fall victim to an illness
v communicate with a place or person; establish communication with, as if by telephone
v give certain properties to something
v move into a desired direction of discourse
v grasp with the mind or develop an understanding of
v attract and fix
v reach with a blow or hit in a particular spot
v reach by calculation
v acquire as a result of some effort or action
v purchase
v perceive by hearing
v suffer from the receipt of
v receive as a retribution or punishment
v leave immediately; used usually in the imperative form
v reach and board
v irritate
v evoke an emotional response
v apprehend and reproduce accurately
v earn or achieve a base by being walked by the pitcher
v overcome or destroy
v be a mystery or bewildering to
v take the first step or steps in carrying out an action
v undergo (as of injuries and illnesses)
v make children"
kitten,"n. young domestic cat
v. have kittens"
got a poor grade,none
because,"conj. By or for the cause that; on this account that; for the
   reason that.
conj. In order that; that."
climb,"n. an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
n. the act of climbing something
v. go upward with gradual or continuous progress
v. move with difficulty, by grasping"
mountain,n. a land mass that projects well above its surroundings; higher than a hill
why,"n. the cause or intention underlying an action or situation, especially in the phrase `the whys and wherefores'"
into,"prep. To the inside of; within. It is used in a variety of
   applications.
prep. Expressing entrance, or a passing from the outside of a
   thing to its interior parts; -- following verbs expressing motion; as,
   come into the house; go into the church; one stream falls or runs into
   another; water enters into the fine vessels of plants.
prep. Expressing penetration beyond the outside or surface, or
   access to the inside, or contents; as, to look into a letter or book;
   to look into an apartment.
prep. Indicating insertion; as, to infuse more spirit or
   animation into a composition.
prep. Denoting inclusion; as, put these ideas into other words.
prep. Indicating the passing of a thing from one form,
   condition, or state to another; as, compound substances may be resolved
   into others which are more simple; ice is convertible into water, and
   water into vapor; men are more easily drawn than forced into
   compliance; we may reduce many distinct substances into one mass; men
   are led by evidence into belief of truth, and are often enticed into
   the commission of crimes'into; she burst into tears; children are
   sometimes frightened into fits; all persons are liable to be seduced
   into error and folly."
cave,"n. a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
v. hollow out as if making a cave or opening
v. explore natural caves"
angry,"a. feeling or showing anger
s. (of the elements) as if showing violent anger
s. severely inflamed and painful"
proud,a. feeling self-respect or pleasure in something by which you measure your self-worth; or being a reason for pride
turn on,n. something causing excitement or stimulating interest
turn on the light,none
turn off,"n. something causing antagonism or loss of interest
n. a side road where you can turn off"
turn off the TV,none
put away,none
put away your books,none
take out,"n. prepared food that is intended to be eaten off of the premises
n. (bridge) a bid that asks your partner to bid another suit
s. of or involving food to be taken and eaten off the premises"
trash,"n. worthless people
v. dispose of (something useless or old)"
put on,"n a composition that imitates or misrepresents somebody's style, usually in a humorous way
n something intended to deceive; deliberate trickery intended to gain an advantage
n a ludicrous or grotesque act done for fun and amusement"
put on your jacket,none
hang up,"n. an emotional preoccupation
n. an unforeseen obstacle"
hang up your clothes,none
busy,"v. keep busy with
a. actively or fully engaged or occupied
s. overcrowded or cluttered with detail
s. crowded with or characterized by much activity"
in a minute,none
later,"s. coming at a subsequent time or stage
r. comparative of the adverb `late'"
carried,"v move while supporting, either in a vehicle or in one's hands or on one's body
v have with oneself; have on one's person
v transmit or serve as the medium for transmission
v serve as a means for expressing something
v bear or be able to bear the weight, pressure,or responsibility of
v support or hold in a certain manner
v contain or hold; have within
v extend to a certain degree
v continue or extend
v be necessarily associated with or result in or involve
v win in an election
v include, as on a list
v behave in a certain manner
v have on hand
v include as the content; broadcast or publicize
v propel, ""Carry the ball""
v pass on a communication
v have as an inherent or characteristic feature or have as a consequence
v be conveyed over a certain distance
v keep up with financial support
v have or possess something abstract
v be equipped with (a mast or sail)
v win approval or support for
v compensate for a weaker partner or member by one's own performance
v take further or advance
v have on the surface or on the skin
v capture after a fight
v transfer (entries) from one account book to another
v transfer (a number, cipher, or remainder) to the next column or unit's place before or after, in addition or multiplication
v pursue a line of scent or be a bearer
v bear (a crop)
v propel or give impetus to
v drink alcohol without showing ill effects
v be able to feed
v have a certain range
v cover a certain distance or advance beyond
v secure the passage or adoption (of bills and motions)
v be successful in
v sing or play against other voices or parts
v be pregnant with"
pushed,"v move with force, ""He pushed the table into a corner""
v press, drive, or impel (someone) to action or completion of an action
v make publicity for; try to sell (a product)
v strive and make an effort to reach a goal
v press against forcefully without moving
v approach a certain age or speed
v exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for
v sell or promote the sale of (illegal goods such as drugs)
v move strenuously and with effort
v make strenuous pushing movements during birth to expel the baby"
gave,"v cause to have, in the abstract sense or physical sense
v be the cause or source of
v transfer possession of something concrete or abstract to somebody
v convey or reveal information
v convey, as of a compliment, regards, attention, etc.; bestow
v organize or be responsible for
v convey or communicate; of a smile, a look, a physical gesture
v give as a present; make a gift of
v cause to happen or be responsible for
v dedicate
v give or supply
v transmit (knowledge or skills)
v bring about
v leave with; give temporarily
v emit or utter
v endure the loss of
v place into the hands or custody of
v give entirely to a specific person, activity, or cause
v give (as medicine)
v give or convey physically
v bestow
v bestow, especially officially
v move in order to make room for someone for something
v give food to
v contribute to some cause
v break down, literally or metaphorically
v estimate the duration or outcome of something
v execute and deliver
v deliver in exchange or recompense
v afford access to
v present to view
v perform for an audience
v be flexible under stress of physical force
v propose
v accord by verdict
v manifest or show
v offer in good faith
v submit for consideration, judgment, or use
v guide or direct, as by behavior of persuasion
v allow to have or take
v inflict as a punishment
v occur
v consent to engage in sexual intercourse with a man
v proffer (a body part)"
found,"n. food and lodging provided in addition to money
a. come upon unexpectedly or after searching"
dropped,"v let fall to the ground
v to fall vertically
v go down in value
v fall or descend to a lower place or level
v terminate an association with
v utter with seeming casualness; drop names""
v stop pursuing or acting
v leave or unload
v cause to fall by or as if by delivering a blow
v lose (a game)
v pay out
v lower the pitch of (musical notes)
v hang freely
v stop associating with
v let or cause to fall in drops
v get rid of
v take (a drug, especially LSD), by mouth
v omit (a letter or syllable) in speaking or writing
v leave undone or leave out
v change from one level to another
v fall or sink into a state of exhaustion or death
v grow worse
v give birth; used for animals"
pulled,"v cause to move by pulling
v direct toward itself or oneself by means of some psychological power or physical attributes
v move into a certain direction
v apply force so as to cause motion towards the source of the motion
v perform an act, usually with a negative connotation
v bring, take, or pull out of a container or from under a cover
v steer into a certain direction
v strain abnormally
v cause to move in a certain direction by exerting a force upon, either physically or in an abstract sense
v operate when rowing a boat
v rein in to keep from winning a race
v tear or be torn violently
v hit in the direction that the player is facing when carrying through the swing
v strip of feathers
v remove, usually with some force or effort; also used in an abstract sense
v take sides with; align oneself with; show strong sympathy for
v take away"
must,"n. a necessary or essential thing
n. grape juice before or during fermentation
s. highly recommended"
master,"n. directs the work of others
n. an original creation (i.e., an audio recording) from which copies can be made
n. an officer who is licensed to command a merchant ship
n. someone who holds a master's degree from academic institution"
way,"n. the condition of things generally
n. a course of conduct
n. any artifact consisting of a road or path affording passage from one place to another
n. a journey or passage"
careful,"a. exercising caution or showing care or attention
s. cautiously attentive
s. unhurried and with care and dignity
s. full of cares or anxiety"
dangerous,"a. involving or causing danger or risk; liable to hurt or harm
s. causing fear or anxiety by threatening great harm"
afraid,"a. filled with fear or apprehension
s. filled with regret or concern; used often to soften an unpleasant statement
s. feeling worry or concern or insecurity
s. having feelings of aversion or unwillingness"
club,"n. a formal association of people with similar interests
n. stout stick that is larger at one end
n. a playing card in the minor suit that has one or more black trefoils on it
v. unite with a common purpose"
fight,"n. the act of fighting; any contest or struggle
n. an intense verbal dispute
n. a boxing or wrestling match
v. fight against or resist strongly"
hurry up,none
go out,none
