accustom,v make psychologically or physically used (to something)
alert,"n. condition of heightened watchfulness or preparation for action
n. a warning serves to make you more alert to danger
a. engaged in or accustomed to close observation
s. quick and energetic"
assign,"v. give out
v. select something or someone for a specific purpose
v. transfer one's right to
v. decide as to where something belongs in a scheme"
budge,n. United States tennis player who in 1938 was the first to win the Australian and French and English and United States singles championship in the same year (1915-2000)
burly,s muscular and heavily built
companion,"n. a friend who is frequently in the company of another
n. a traveler who accompanies you
n. one paid to accompany or assist or live with another"
compatible,"a. able to exist and perform in harmonious or agreeable combination
a. capable of being used with or connected to other devices or components without modification
s. capable of forming a homogeneous mixture that neither separates nor is altered by chemical interaction"
concept,n. an abstract or general idea inferred or derived from specific instances
distract,v. draw someone's attention away from something
jostle,"n. the act of jostling (forcing your way by pushing)
v. make one's way by jostling, pushing, or shoving
v. come into rough contact with while moving"
obedient,"a. dutifully complying with the commands or instructions of those in authority; the refractory remain unburdened""- Edmund Burke"
obstacle,"n. something immaterial that stands in the way and must be circumvented or surmounted
n. an obstruction that stands in the way (and must be removed or surmounted or circumvented)"
patient,"n. a person who requires medical care
a. enduring trying circumstances with even temper or characterized by such endurance"
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
retire,"v. go into retirement; stop performing one's work or withdraw from one's position
v. withdraw from active participation
v. withdraw from circulation or from the market, as of bills, shares, and bonds
v. make (someone) retire"
aroma,n. a distinctive odor that is pleasant
beverage,n. any liquid suitable for drinking
bland,"s. lacking taste or flavor or tang
s. lacking stimulating characteristics; uninteresting"
brittle,"n. caramelized sugar cooled in thin sheets
s. having little elasticity; hence easily cracked or fractured or snapped
s. lacking warmth and generosity of spirit
s. (of metal or glass) not annealed and consequently easily cracked or fractured"
cluster,v. come together as in a cluster or flock
combine,"n. harvester that heads and threshes and cleans grain while moving across the field
v. add together from different sources
v. join for a common purpose or in a common action"
consume,"v. serve oneself to, or consume regularly
v. spend extravagantly
v. destroy completely
v. use up (resources or materials)"
crave,"v. have a craving, appetite, or great desire for
v. plead or ask for earnestly"
cultivate,"v. foster the growth of
v. prepare for crops"
equivalent,"n. a person or thing equal to another in value or measure or force or effect or significance etc
n. the atomic weight of an element that has the same combining capacity as a given weight of another element; the standard is 8 for oxygen
s. being essentially equal to something"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
extract,"v. remove, usually with some force or effort; also used in an abstract sense
v. get despite difficulties or obstacles
v. separate (a metal) from an ore
v. calculate the root of a number"
introduce,"v. cause to come to know personally
v. bring something new to an environment
v. bring in or establish in a new place or environment
v. bring before the public for the first time, as of an actor, song, etc."
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
tropical,"s. relating to or situated in or characteristic of the tropics (the region on either side of the equator)
a. of or relating to the tropics, or either tropic
s. characterized by or of the nature of a trope or tropes; changed from its literal sense
s. of weather or climate; hot and humid as in the tropics"
ancestor,n. someone from whom you are descended (but usually more remote than a grandparent)
carnivore,"n. a terrestrial or aquatic flesh-eating mammal
n. any animal that feeds on flesh"
comprehend,"v get the meaning of something
v to become aware of through the senses
v include in scope; include as part of something broader; have as one's sphere or territory"
duration,"n. the period of time during which something continues
n. the property of enduring or continuing in time
n. continuance in time"
evident,"s clearly revealed to the mind or the senses or judgment
s capable of being seen or noticed"
extinct,"a. no longer in existence; lost or especially having died out leaving no living representatives
a. (of e.g. volcanos) permanently inactive
s. being out or having grown cold"
ferocious,s. marked by extreme and violent energy
gigantic,s. so exceedingly large or extensive as to suggest a giant or mammoth
obscure,"v. make less visible or unclear
v. make obscure or unclear
v. reduce a vowel to a neutral one, such as a schwa
v. make undecipherable or imperceptible by obscuring or concealing"
option,"n. the right to buy or sell property at an agreed price; the right is purchased and if it is not exercised by a stated date the money is forfeited
n. one of a number of things from which only one can be chosen"
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
prey,"n. a person who is the aim of an attack (especially a victim of ridicule or exploitation) by some hostile person or influence
n. animal hunted or caught for food
v. profit from in an exploitatory manner"
puny,"s. inferior in strength or significance
s. (used especially of persons) of inferior size"
