abatement,n. the act of abating
oppressive,"s. weighing heavily on the senses or spirit
s. marked by unjust severity or arbitrary behavior"
opprobrious,"s expressing offensive reproach
s (used of conduct or character) deserving or bringing disgrace or shame"
optical,a. of or relating to or involving light or optics
optimal,s most desirable possible under a restriction expressed or implied
optimism,"n. the optimistic feeling that all is going to turn out well
n. a general disposition to expect the best in all things"
optimist,n. a person disposed to take a favorable view of things
optimistic,a. expecting the best in this best of all possible worlds
optimum,"n. most favorable conditions or greatest degree or amount possible under given circumstances
s. most desirable possible under a restriction expressed or implied"
opulent,s rich and superior in quality
orbital,"a. of or relating to an orbit
a. of or relating to the eye socket"
orchestrate,v. write an orchestra score for
ordeal,"n. a severe or trying experience
n. a primitive method of determining a person's guilt or innocence by subjecting the accused person to dangerous or painful tests believed to be under divine control; escape was usually taken as a sign of innocence"
ordinary,"n. a judge of a probate court
n. the expected or commonplace condition or situation
n. a clergyman appointed to prepare condemned prisoners for death
n. an early bicycle with a very large front wheel and small back wheel"
organism,"n. a living thing that has (or can develop) the ability to act or function independently
n. a system considered analogous in structure or function to a living body"
original,"n. something that serves as a model or a basis for making copies
s. preceding all others in time or being as first made or performed
s. (of e.g. information) not secondhand or by way of something intermediary
a. being or productive of something fresh and unusual; or being as first made or thought of"
ornamental,n. any plant grown for its beauty or ornamental value
ossify,"v. become bony
v. cause to become hard and bony"
ostentation,"n. a gaudy outward display
n. lack of elegance as a consequence of being pompous and puffed up with vanity
n. pretentious or showy or vulgar display"
ostentatious,"a. intended to attract notice and impress others
s. (of a display) tawdry or vulgar"
ostracize,v. avoid speaking to or dealing with
oust,"v. remove from a position or office
v. remove and replace"
outburst,"n. a sudden intense happening
n. a sudden violent disturbance"
outdated,s. old; no longer valid or fashionable
outgoing,"a. leaving a place or a position
a. retiring from a position or office"
outgrow,"v. grow too large or too mature for
v. grow faster than"
outgrowth,n. a natural consequence of development
outlast,v live longer than
outline,"n. the line that appears to bound an object
n. a sketchy summary of the main points of an argument or theory
n. a schematic or preliminary plan"
outlying,s. relatively far from a center or middle
outmoded,"v make unfashionable, outdated, or obsolete
s out of fashion"
outspoken,s. given to expressing yourself freely or insistently
outstrip,"v be or do something to a greater degree
v go far ahead of"
outweigh,v. be heavier than
oval,"n a closed plane curve resulting from the intersection of a circular cone and a plane cutting completely through it
s rounded like an egg"
overawe,"v. subdue, restrain, or overcome by affecting with a feeling of awe; frighten (as with threats)"
overbalance,v. cause to be off balance
overbear,"v. overcome
v. bear too much"
overblown,s. past the stage of full bloom
overcast,"n. a long whipstitch or overhand stitch overlying an edge to prevent raveling
n. a cast that falls beyond the intended spot
v. make overcast or cloudy"
overconfident,s marked by excessive confidence
overcrowd,"v. cause to crowd together too much
v. crowd together too much"
overdraw,v. draw more money from than is available
overdue,s past due; not paid at the scheduled time
overemphasize,v. place special or excessive emphasis on
overestimate,"n. an appraisal that is too high
n. a calculation that results in an estimate that is too high
v. make too high an estimate of"
overinflated,none
overlap,"n. a representation of common ground between theories or phenomena
n. the property of partial coincidence in time
v. coincide partially or wholly
v. extend over and cover a part of"
overload,"n. an electrical load that exceeds the available electrical power
n. an excessive burden
v. become overloaded
v. place too much a load on"
overlook,"n. a high place affording a good view
v. look past, fail to notice
v. watch over"
overpower,v. overcome by superior force
overpowering,s. so strong as to be irresistible
overrate,v make too high an estimate of
override,"n. a manually operated device to correct the operation of an automatic device
v. prevail over
v. counteract the normal operation of (an automatic gear shift in a vehicle)
v. ride (a horse) too hard"
overrule,v. rule against
overshadow,"v. be greater in significance than
v. cast a shadow upon"
overstate,v. to enlarge beyond bounds or the truth
overt,a. open and observable; not secret or hidden
overtax,v. tax excessively
overtire,v. tire excessively
overturn,"n. an improbable and unexpected victory
v. turn from an upright or normal position
v. cause to overturn from an upright or normal position"
overwhelm,"v. overcome, as with emotions or perceptual stimuli
v. charge someone with too many tasks"
overwrought,s deeply agitated especially from emotion
pacifist,"n. someone opposed to violence as a means of settling disputes
s. opposed to war"
pack,"n. a complete collection of similar things
n. a convenient package or parcel (as of cigarettes or film)
n. a group of hunting animals
n. a cream that cleanses and tones the skin"
packed,s. pressed together or compressed
paean,n. (ancient Greece) a hymn of praise (especially one sung in ancient Greece to invoke or thank a deity)
painstakingly,r. in a fastidious and painstaking manner
palatable,a. acceptable to the taste or mind
paleolithic,a. of or relating to the second period of the Stone Age (following the eolithic)
palpable,"a. capable of being perceived; especially capable of being handled or touched or felt
s. can be felt by palpation"
paltry,"s not worth considering
s contemptibly small in amount"
panacea,"n. (Greek mythology) the goddess of healing; daughter of Aesculapius and sister of Hygeia
n. hypothetical remedy for all ills or diseases; once sought by the alchemists"
pancreas,n. a large elongated exocrine gland located behind the stomach; secretes pancreatic juice and insulin
pantomime,"n a performance using gestures and body movements without words
v act out without words but with gestures and bodily movements only"
parable,n. (New Testament) any of the stories told by Jesus to convey his religious message
paradigm,"n. systematic arrangement of all the inflected forms of a word
n. the generally accepted perspective of a particular discipline at a given time"
paradox,n. (logic) a statement that contradicts itself
paradoxical,s. seemingly contradictory but nonetheless possibly true
paragon,n. an ideal instance; a perfect embodiment of a concept
paramount,s having superior power and influence
paraphrase,"n. rewording for the purpose of clarification
v. express the same message in different words"
parasite,n. an animal or plant that lives in or on a host (another animal or plant); it obtains nourishment from the host without benefiting or killing the host
parasitic,"a. relating to or caused by parasites
s. of plants or persons; having the nature or habits of a parasite or leech; living off another"
parliamentary,"a. relating to or having the nature of a parliament
s. having the supreme legislative power resting with a body of cabinet ministers chosen from and responsible to the legislature or parliament
s. in accord with rules and customs of a legislative or deliberative assembly"
parody,"n. a composition that imitates or misrepresents somebody's style, usually in a humorous way
n. humorous or satirical mimicry
v. make a spoof of or make fun of"
parsimony,n. extreme care in spending money; reluctance to spend money unnecessarily
partiality,n. an inclination to favor one group or view or opinion over alternatives
participate,v. share in something
participation,n. the condition of sharing in common with others (as fellows or partners etc.)
particular,"n. a fact about some part (as opposed to general)
n. (logic) a proposition that asserts something about some (but not all) members of a class
s. unique or specific to a person or thing or category
s. separate and distinct from others of the same group or category"
particularity,n. the quality of being particular and pertaining to a specific case or instance
particulate,"n. a small discrete mass of solid or liquid matter that remains individually dispersed in gas or liquid emissions (usually considered to be an atmospheric pollutant)
a. composed of distinct particles"
partisan,"n. a fervent and even militant proponent of something
n. a pike with a long tapering double-edged blade with lateral projections; 16th and 17th centuries
a. devoted to a cause or party"
passionate,a. having or expressing strong emotions
passively,r. in a passive manner
pathological,"a. of or relating to the practice of pathology
s. caused by or evidencing a mentally disturbed condition"
patience,n. good-natured tolerance of delay or incompetence
patriarchal,"a. characteristic of a form of social organization in which the male is the family head and title is traced through the male line
a. relating to or characteristic of a man who is older or higher in rank"
patronage,"n. (politics) granting favors or giving contracts or making appointments to office in return for political support
v. support by being a patron of"
patronize,"v. do one's shopping at; do business with; be a customer or client of
v. treat condescendingly
v. be a regular customer or client of"
patronizing,"v assume sponsorship of
v do one's shopping at; do business with; be a customer or client of
v treat condescendingly
v be a regular customer or client of
s (used of behavior or attitude) characteristic of those who treat others with condescension"
paucity,n an insufficient quantity or number
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
pecuniary,a relating to or involving money
pedagogic,a of or relating to pedagogy
pedant,n. a person who pays more attention to formal rules and book learning than they merit
pedantry,n. an ostentatious and inappropriate display of learning
pedestrian,"n. a person who travels by foot
s. lacking wit or imagination"
peerless,s eminent beyond or above comparison
peevish,s easily irritated or annoyed
pejorative,s expressing disapproval
penal,"a. of or relating to punishment
s. serving as or designed to impose punishment
s. subject to punishment by law"
penalize,v impose a penalty on; inflict punishment on
penchant,n a strong liking
pending,s. awaiting conclusion or confirmation
penetrating,"v pass into or through, often by overcoming resistance
v come to understand
v become clear or enter one's consciousness or emotions
v enter a group or organization in order to spy on the members
v make one's way deeper into or through
v insert the penis into the vagina or anus of
v spread or diffuse through
s having or demonstrating ability to recognize or draw fine distinctions
s tending to penetrate; having the power of entering or piercing"
penitent,"n. (Roman Catholic Church) a person who repents for wrongdoing (a Roman Catholic may be admitted to penance under the direction of a confessor)
a. feeling or expressing remorse for misdeeds"
pensive,s. showing pensive sadness
perception,"n. a way of conceiving something
n. the process of perceiving
n. knowledge gained by perceiving"
perceptive,"a. of or relating to perception
a. having the ability to perceive or understand; keen in discernment"
perennial,"n. (botany) a plant lasting for three seasons or more
a. lasting three seasons or more
s. lasting an indefinitely long time; suggesting self-renewal
s. recurring again and again"
perfervid,s characterized by intense emotion
perfidious,s tending to betray; especially having a treacherous character as attributed to the Carthaginians by the Romans
perfume,"n. a toiletry that emits and diffuses a fragrant odor
v. fill or impregnate with an odor
v. apply perfume to"
perfunctory,"s hasty and without attention to detail; not thorough
s as a formality only"
perilous,s fraught with danger
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
peripatetic,"n. a person who walks from place to place
s. traveling especially on foot"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
periphery,n. the outside boundary or surface of something
perishable,"n. food that will decay rapidly if not refrigerated
a. liable to perish; subject to destruction or death or decay"
permeable,a. allowing fluids or gases to pass or diffuse through
permeate,v. spread or diffuse through
permissive,"a. not preventive
a. granting or inclined or able to grant permission; not strict in discipline"
pernicious,"s exceedingly harmful
s working or spreading in a hidden and usually injurious way"
perpendicular,"n. a straight line at right angles to another line
n. a Gothic style in 14th and 15th century England; characterized by vertical lines and a four-centered (Tudor) arch and fan vaulting
n. an extremely steep face"
perpetrate,"v. perform an act, usually with a negative connotation"
perpetuate,v. cause to continue or prevail
perquisite,"n an incidental benefit awarded for certain types of employment (especially if it is regarded as a right)
n a right reserved exclusively by a particular person or group (especially a hereditary or official right)"
persevere,"v. be persistent, refuse to stop"
persist,v. stay behind
personally,"r. as yourself
r. as a person
r. in a personal way
r. in the flesh; without involving anyone else"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
perspicacious,s. acutely insightful and wise
perspicuous,s (of language) transparently clear; easily understandable
perspire,v excrete perspiration through the pores in the skin
persuasive,a. intended or having the power to induce action or belief
pertinent,s. having precise or logical relevance to the matter at hand
pervade,v spread or diffuse through
pervasive,s spreading or spread throughout
pesticide,n. a chemical used to kill pests (as rodents or insects)
pestilential,s likely to spread and cause an epidemic disease
petroleum,n. a dark oil consisting mainly of hydrocarbons
petulant,s easily irritated or annoyed
pharmaceutical,"n. drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment
a. of or relating to pharmacy or pharmacists
a. of or relating to drugs used in medical treatment"
phenomenal,"a. of or relating to a phenomenon
s. exceedingly or unbelievably great"
philanthropic,a. of or relating to or characterized by philanthropy
philistine,"n. a person who is uninterested in intellectual pursuits
n. a member of an Aegean people who settled ancient Philistia around the 12th century BC
a. of or relating to ancient Philistia or its culture or its people"
philosophic,a. of or relating to philosophy or philosophers
phlegmatic,s. showing little emotion
phobia,n. an anxiety disorder characterized by extreme and irrational fear of simple things or social situations
phonetic,"a. of or relating to speech sounds
a. of or relating to the scientific study of speech sounds"
photosensitive,s sensitive to visible light
photosynthesis,n. synthesis of compounds with the aid of radiant energy (especially in plants)
physical,"a. involving the body as distinguished from the mind or spirit
a. relating to the sciences dealing with matter and energy; especially physics
s. having substance or material existence; perceptible to the senses
s. according with material things or natural laws (other than those peculiar to living matter)"
physiological,a. of or relating to the biological study of physiology
picturesque,"s. suggesting or suitable for a picture; pretty as a picture
s. strikingly expressive"
piercing,"v cut or make a way through
v move or affect (a person's emotions or bodily feelings) deeply or sharply
v sound sharply or shrilly
v penetrate or cut through with a sharp instrument
v make a hole into
s having or demonstrating ability to recognize or draw fine distinctions
s painful as if caused by a sharp instrument"
piety,n. righteousness by virtue of being pious
pilgrim,"n. someone who journeys in foreign lands
n. one of the colonists from England who sailed to America on the Mayflower and founded the colony of Plymouth in New England in 1620
n. someone who journeys to a sacred place as an act of religious devotion"
pine,"n. a coniferous tree
n. straight-grained durable and often resinous white to yellowish timber of any of numerous trees of the genus Pinus"
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
pious,a. having or showing or expressing reverence for a deity
piousness,n righteousness by virtue of being pious
pitcher,"n. (baseball) the person who does the pitching
n. an open vessel with a handle and a spout for pouring
n. the quantity contained in a pitcher
n. (botany) a leaf that that is modified in such a way as to resemble a pitcher or ewer"
pitfall,n. an unforeseen or unexpected or surprising difficulty
pithy,s. concise and full of meaning
pitiful,"s inspiring mixed contempt and pity
s bad; unfortunate
s deserving or inciting pity"
pivotal,s. being of crucial importance
placate,v cause to be more favorably inclined; gain the good will of
placebo,"n. an innocuous or inert medication; given as a pacifier or to the control group in experiments on the efficacy of a drug
n. (Roman Catholic Church) vespers of the office for the dead"
placid,s. (of a body of water) free from disturbance by heavy waves
plainspoken,s. using simple and direct language
plaintive,s expressing sorrow
plastic,"n. generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
s. capable of being influenced or formed"
platitude,n. a trite or obvious remark
platitudinous,s dull and tiresome but with pretensions of significance or originality
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
plethora,n extreme excess
pliable,"s susceptible to being led or directed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
pliant,"s capable of being influenced or formed
s capable of being shaped or bent or drawn out
s able to adjust readily to different conditions
s capable of being bent or flexed or twisted without breaking"
plot,"n. a secret scheme to do something (especially something underhand or illegal)
n. a small area of ground covered by specific vegetation
n. the story that is told in a novel or play or movie etc.
n. a chart or map showing the movements or progress of an object"
plumb,"v. measure the depth of something
v. weight with lead
v. examine thoroughly and in great depth
v. adjust with a plumb line so as to make vertical"
plump,"n. the sound of a sudden heavy fall
v. give support (to) or make a choice (of) one out of a group or number
r. straight down especially heavily or abruptly"
plunge,"n. a steep and rapid fall
v. dash violently or with great speed or impetuosity
v. begin with vigor
v. cause to be immersed"
poignant,s. keenly distressing to the mind or feelings
poise,"n. a cgs unit of dynamic viscosity equal to one dyne-second per square centimeter; the viscosity of a fluid in which a force of one dyne per square centimeter maintains a velocity of 1 centimeter per second
n. a state of being balanced in a stable equilibrium
v. be motionless, in suspension"
polar,"s. having a pair of equal and opposite charges
a. located at or near or coming from the earth's poles
a. of or existing at or near a geographical pole or within the Arctic or Antarctic Circles"
polarize,"v. cause to vibrate in a definite pattern
v. cause to concentrate about two conflicting or contrasting positions
v. become polarized in a conflict or contrasting situation"
polish,"n. the property of being smooth and shiny
n. a highly developed state of perfection; having a flawless or impeccable quality
n. a preparation used in polishing
n. the Slavic language of Poland"
polite,"a. showing regard for others in manners, speech, behavior, etc."
politically,"r. with regard to social relationships involving authority
r. with regard to government"
pollen,n. the fine spores that contain male gametes and that are borne by an anther in a flowering plant
pollinate,v. fertilize by transfering pollen
pomposity,n lack of elegance as a consequence of being pompous and puffed up with vanity
pompous,a. characterized by pomp and ceremony and stately display
ponderous,"s. having great mass and weight and unwieldiness
s. labored and dull"
pop,"n. a sweet drink containing carbonated water and flavoring
n. a sharp explosive sound as from a gunshot or drawing a cork
v. hit a pop-fly
v. make a sharp explosive noise"
populous,s. densely populated
porous,"s. able to absorb fluids
a. full of pores or vessels or holes"
portend,v indicate by signs
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
positive,"n. the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution
n. a film showing a photographic image whose tones correspond to those of the original subject
a. characterized by or displaying affirmation or acceptance or certainty etc.
a. indicating existence or presence of a suspected condition or pathogen"
possess,"v. have as an attribute, knowledge, or skill
v. enter into and control, as of emotions or ideas"
possessed,"v have as an attribute, knowledge, or skill
v have ownership or possession of
v enter into and control, as of emotions or ideas
s influenced or controlled by a powerful force such as a strong emotion
s frenzied as if possessed by a demon"
postdate,"v. be later in time
v. establish something as being later relative to something else"
posthumous,s. occurring or coming into existence after a person's death
posthumously,r. after death
postoperative,s. happening or done after a surgical operation
postulate,"n. (logic) a proposition that is accepted as true in order to provide a basis for logical reasoning
v. take as a given; assume as a postulate or axiom"
postwar,a. belonging to the period after a war
potable,"n any liquid suitable for drinking
a suitable for drinking"
potent,"s. having great influence
s. having or wielding force or authority
a. having a strong physiological or chemical effect
a. (of a male) capable of copulation"
potential,"n. the inherent capacity for coming into being
a. existing in possibility"
potshot,"n. a shot taken at an easy or casual target (as by a pothunter)
n. criticism aimed at an easy target and made without careful consideration"
potted,"a. of plants; planted or grown in a pot
s. preserved in a pot or can or jar
s. (British informal) summarized or abridged"
pottery,"n. ceramic ware made from clay and baked in a kiln
n. the craft of making earthenware
n. a workshop where clayware is made"
pounce,"n. the act of pouncing
v. move down on as if in an attack"
pragmatic,a. of or concerning the theory of pragmatism
precarious,"s. affording no ease or reassurance
s. not secure; beset with difficulties"
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
precedent,"n. an example that is used to justify similar occurrences at a later time
n. a subject mentioned earlier (preceding in time)
s. preceding in time, order, or significance"
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
precipitous,"s done with very great haste and without due deliberation
s extremely steep"
precise,a. sharply exact or accurate or delimited
preclude,"v. make impossible, especially beforehand"
preconception,n. an opinion formed beforehand without adequate evidence
precursor,"n. a substance from which another substance is formed (especially by a metabolic reaction)
n. a person who goes before or announces the coming of another"
predator,n. any animal that lives by preying on other animals
predatory,s. living by preying on other animals especially by catching living prey
predecessor,n. one who precedes you in time (as in holding a position or office)
predestine,"v. decree or determine beforehand
v. foreordain by divine will or decree
v. foreordain or determine beforehand"
predetermine,v. determine beforehand
predictable,a. capable of being foretold
predispose,v. make susceptible
predominant,"s most frequent or common
s having superior power and influence"
predominate,"v. be larger in number, quantity, power, status or importance"
preeminent,s greatest in importance or degree or significance or achievement
preempt,"v. acquire for oneself before others can do so
v. take the place of or have precedence over
v. gain possession of by prior right or opportunity, especially so as to obtain the right to buy (land)"
prefabricated,"v to manufacture sections of (a building), especially in a factory, so that they can be easily transported to and rapidly assembled on a building site of buildings
v produce synthetically, artificially, or stereotypically and unoriginally"
preferably,r. more readily or willingly
pregnant,a. carrying developing offspring within the body or being about to produce new life
prehistoric,"s. belonging to or existing in times before recorded history
a. of or relating to times before written history
s. no longer fashionable"
prejudice,"v. disadvantage by prejudice
v. influence (somebody's) opinion in advance"
preliminary,"n. a minor match preceding the main event
n. something that serves as a preceding event or introduces what follows
s. denoting an action or event preceding or in preparation for something more important; designed to orient or acquaint with a situation before proceeding"
premature,"a. born after a gestation period of less than the normal time
s. uncommonly early or before the expected time"
premeditate,"v. consider, ponder, or plan (an action) beforehand
v. think or reflect beforehand or in advance"
premise,"n. a statement that is assumed to be true and from which a conclusion can be drawn
v. set forth beforehand, often as an explanation
v. take something as preexisting and given"
premonition,"n a feeling of evil to come
n an early warning about a future event"
preoccupation,"n. an idea that preoccupies the mind and holds the attention
n. the mental state of being preoccupied by something"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
prerogative,n. a right reserved exclusively by a particular person or group (especially a hereditary or official right)
prescient,s. perceiving the significance of events before they occur
prescribe,v issue commands or orders for
preservative,"n. a chemical compound that is added to protect against decay or decomposition
s. tending or having the power to preserve"
preserve,"n. a domain that seems to be specially reserved for someone
n. a reservation where animals are protected
v. prevent (food) from rotting
v. keep undisturbed for personal or private use for hunting, shooting, or fishing"
press,"n. the print media responsible for gathering and publishing news in the form of newspapers or magazines
n. a machine used for printing
n. clamp to prevent wooden rackets from warping when not in use
n. any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids"
prestigious,s. exerting influence by reason of high status or prestige
presume,"v. constitute reasonable evidence for
v. take liberties or act with too much confidence"
presumptuous,s excessively forward
presuppose,"v. take for granted or as a given; suppose beforehand
v. require as a necessary antecedent or precondition"
pretense,"n. the act of giving a false appearance
n. pretending with intention to deceive
n. imaginative intellectual play"
pretentious,a. making claim to or creating an appearance of (often undeserved) importance or distinction
preternatural,s. surpassing the ordinary or normal
prevail,"v. be valid, applicable, or true
v. continue to exist
v. prove superior
v. use persuasion successfully"
prevalent,s most frequent or common
previous,"s. just preceding something else in time or order
s. too soon or too hasty"
prig,n a person regarded as arrogant and annoying
primal,"s serving as an essential component
s having existed from the beginning; in an earliest or original stage or state"
primitive,"n. a person who belongs to an early stage of civilization
n. a mathematical expression from which another expression is derived
n. a word serving as the basis for inflected or derived forms
s. used of preliterate or tribal or nonindustrial societies"
primordial,s having existed from the beginning; in an earliest or original stage or state
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
pristine,"s. completely free from dirt or contamination
s. immaculately clean and unused"
privacy,"n. the quality of being secluded from the presence or view of others
n. the condition of being concealed or hidden"
probity,n. complete and confirmed integrity; having strong moral principles
problematic,"s open to doubt or debate
s making great mental demands; hard to comprehend or solve or believe"
procedure,"n. a particular course of action intended to achieve a result
n. a mode of conducting legal and parliamentary proceedings"
proclamation,n. the formal act of proclaiming; giving public notice
proclivity,n. a natural inclination
procurement,n. the act of getting possession of something
prod,"n. a pointed instrument that is used to prod into a state of motion
v. urge on; cause to act"
prodigal,n. a recklessly extravagant consumer
prodigious,"s so great in size or force or extent as to elicit awe
s of momentous or ominous significance
s far beyond what is usual in magnitude or degree"
proficiency,"n. the quality of having great facility and competence
n. skillfulness in the command of fundamentals deriving from practice and familiarity"
proficient,"s having or showing knowledge and skill and aptitude
a of or relating to technique or proficiency in a practical skill"
profile,"n. an analysis (often in graphical form) representing the extent to which something exhibits various characteristics
n. an outline of something (especially a human face as seen from one side)
n. biographical sketch
n. a vertical section of the Earth's crust showing the different horizons or layers"
profitable,a. yielding material gain or profit
profligacy,n. dissolute indulgence in sensual pleasure
profound,"a. showing intellectual penetration or emotional depth
s. of the greatest intensity; complete
s. coming from deep within one
s. situated at or extending to great depth; too deep to have been sounded or plumbed"
profundity,n. intellectual depth; penetrating knowledge; keen insight; etc
profuse,s produced or growing in extreme abundance
prohibit,v command against
prohibitive,s. tending to discourage (especially of prices)
proliferate,"v. grow rapidly
v. cause to grow or increase rapidly"
prolific,s. bearing in abundance especially offspring
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
prominence,"n. the state of being prominent: widely known or eminent
n. relative importance"
promote,"v. contribute to the progress or growth of
v. give a promotion to or assign to a higher position
v. be changed for a superior chess or checker piece
v. change a pawn for a better piece by advancing it to the eighth row, or change a checker piece for a more valuable piece by moving it to the row closest to your opponent"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
promptness,n. the characteristic of doing things without delay
promulgate,v. put a law into effect by formal declaration
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
pronounced,"v speak, pronounce, or utter in a certain way
v pronounce judgment on
s strongly marked; easily noticeable"
proofread,v. read for errors
propaganda,n. information that is spread for the purpose of promoting some cause
propagate,"v. transmit from one generation to the next
v. travel through the air
v. transmit
v. transmit or cause to broaden or spread"
propel,v. cause to move forward with force
propensity,"n an inclination to do something
n a natural inclination
n a disposition to behave in a certain way"
prophesy,"v. predict or reveal through, or as if through, divine inspiration"
prophetic,a. foretelling events as if by supernatural intervention
propitiate,v. make peace with
propitious,a. presenting favorable circumstances; likely to result in or show signs of success
proposition,"n. (logic) a statement that affirms or denies something and is either true or false
n. an offer for a private bargain (especially a request for sexual favors)
n. a task to be dealt with
v. suggest sex to"
proprietary,a. protected by trademark or patent or copyright; made or produced or distributed by one having exclusive rights
propriety,n. correct or appropriate behavior
prosaic,"s not fanciful or imaginative
s lacking wit or imagination
s not challenging; dull and lacking excitement"
proscribe,v command against
prose,"n. ordinary writing as distinguished from verse
n. matter of fact, commonplace, or dull expression"
prosecute,"v. conduct a prosecution in a court of law
v. bring a criminal action against (in a trial)
v. carry out or participate in an activity; be involved in"
proselytize,v. convert to another faith or religion
prospect,"n. the possibility of future success
v. search for something desirable
v. explore for useful or valuable things or substances, such as minerals"
prostrate,"v. get into a prostrate position, as in submission
v. render helpless or defenseless
v. throw down flat, as on the ground"
protective,"a. intended or adapted to afford protection of some kind
s. showing care
s. (usually followed by `of') solicitously caring or mindful"
protest,"n. a formal and solemn declaration of objection
n. the act of protesting; a public (often organized) manifestation of dissent
n. the act of making a strong public expression of disagreement and disapproval
v. utter words of protest"
prototype,n. a standard or typical example
protozoan,n. any of diverse minute acellular or unicellular organisms usually nonphotosynthetic
protract,v lengthen in time; cause to be or last longer
protrude,"v extend out or project in space
v bulge outward
v swell or protrude outwards"
proverb,n. a condensed but memorable saying embodying some important fact of experience that is taken as true by many people
provident,"a. providing carefully for the future
s. careful in regard to your own interests"
provincial,"n. (Roman Catholic Church) an official in charge of an ecclesiastical province acting under the superior general of a religious order
a. of or associated with a province
a. characteristic of the provinces or their people"
provision,"n. a stipulated condition
n. the activity of supplying or providing something
n. a store or supply of something (especially of food or clothing or arms)
v. supply with provisions"
provisional,s under terms not final or fully worked out or agreed upon
provocation,n. needed encouragement
provocative,"a. serving or tending to provoke, excite, or stimulate; stimulating discussion or exciting controversy
s. exciting sexual desire"
provoke,"v. evoke or provoke to appear or occur
v. provide the needed stimulus for"
proximity,"n. the property of being close together
n. the region close around a person or thing
n. a Gestalt principle of organization holding that (other things being equal) objects or events that are near to one another (in space or time) are perceived as belonging together as a unit"
prudent,a. careful and sensible; marked by sound judgment
prudish,s exaggeratedly proper
pseudonym,n. a fictitious name used when the person performs a particular social role
psyche,n. (Greek mythology) a beautiful princess loved by Cupid who visited her at night and told her she must not try to see him; became the personification of the soul
psychological,"s. mental or emotional as opposed to physical in nature
a. of or relating to or determined by psychology"
psychology,n. the science of mental life
publicize,v. make public
pugnacious,s. ready and able to resort to force or violence
puncture,"n. loss of air pressure in a tire when a hole is made by some sharp object
n. a small hole made by a sharp object
n. the act of puncturing or perforating
v. pierce with a pointed object; make a hole into"
pungent,s. strong and sharp
punishment,n. the act of punishing
purchase,"n. the acquisition of something for payment
n. something acquired by purchase
n. a means of exerting influence or gaining advantage"
purified,"v remove impurities from, increase the concentration of, and separate through the process of distillation
v make pure or free from sin or guilt
v become clean or pure or free of guilt and sin"
purport,"v. have the often specious appearance of being, intending, or claiming"
purposiveness,none
pursuit,"n. the act of pursuing in an effort to overtake or capture
n. a search for an alternative that meets cognitive criteria"
quagmire,n a soft wet area of low-lying land that sinks underfoot
quaint,"s. strange in an interesting or pleasing way
s. very strange or unusual; odd or even incongruous in character or appearance"
qualified,"a. meeting the proper standards and requirements and training for an office or position or task
a. limited or restricted; not absolute"
qualm,"n uneasiness about the fitness of an action
n a mild state of nausea"
quantifiable,s. capable of being quantified
quantum,"n. a discrete amount of something that is analogous to the quantities in quantum theory
n. (physics) the smallest discrete quantity of some physical property that a system can possess (according to quantum theory)"
quarantine,"n. enforced isolation of patients suffering from a contagious disease in order to prevent the spread of disease
n. isolation to prevent the spread of infectious disease
v. place into enforced isolation, as for medical reasons"
quarrel,"n. an angry dispute
n. an arrow that is shot from a crossbow; has a head with four edges
v. have a disagreement over something"
quash,"v put down by force or intimidation
v declare invalid"
querulous,s habitually complaining
quiescence,n. quiet and inactive restfulness
quiescent,"s. not active or activated
s. marked by a state of tranquil repose
s. being quiet or still or inactive"
quixotic,s. not sensible about practical matters; idealistic and unrealistic
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
raciness,"n a strong odor or taste property
n behavior or language bordering on indelicacy"
radiant,s radiating or as if radiating light
radicalism,n. the political orientation of those who favor revolutionary change in government and society
radically,r. in a radical manner
