abatement,n. the act of abating
abbreviate,v. shorten
aberrant,"n. one whose behavior departs substantially from the norm of a group
s. markedly different from an accepted norm"
aberration,"n. a disorder in one's mental state
n. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image"
abet,"v. assist or encourage, usually in some wrongdoing"
abeyance,n. temporary cessation or suspension
abhor,v. find repugnant
ablaze,"s. keenly excited (especially sexually) or indicating excitement
s. lighted up by or as by fire or flame
s. resembling flame in brilliance or color
s. lighted with red light as if with flames"
abolition,n. the act of abolishing a system or practice or institution (especially abolishing slavery)
abrasive,"n. a substance that abrades or wears down
s. causing abrasion"
abreast,"s. being up to particular standard or level especially in being up to date in knowledge
r. alongside each other, facing in the same direction"
abridge,"v. reduce in scope while retaining essential elements
v. lessen, diminish, or curtail"
absent,"v. go away or leave
a. not being in a specified place
s. lost in thought; showing preoccupation"
abstain,"v. refrain from voting
v. choose not to consume"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
abstruse,s. difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
absurd,"n. a situation in which life seems irrational and meaningless
s. inconsistent with reason or logic or common sense
s. incongruous; inviting ridicule"
abut,v lie adjacent to another or share a boundary
abysmal,"s. very great; limitless
s. resembling an abyss in depth; so deep as to be unmeasurable"
academic,"a. associated with academia or an academy
s. hypothetical or theoretical and not expected to produce an immediate or practical result
s. marked by a narrow focus on or display of learning especially its trivial aspects"
accede,v. take on duties or office
accelerate,"v. move faster
v. cause to move faster"
accentuate,"v to stress, single out as important
v put stress on; utter with an accent"
accessible,"a. capable of being reached
s. capable of being read with comprehension
s. easily obtained
s. easy to get along with or talk to; friendly"
accidental,"n. a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
s. happening by chance or unexpectedly or unintentionally"
accommodate,"v. provide with something desired or needed
v. have room for; hold without crowding
v. make (one thing) compatible with (another)"
accompany,v. go or travel along with
accomplice,n. a person who joins with another in carrying out some plan (especially an unethical or illegal plan)
accomplish,"v put in effect
v to gain with effort"
accredit,"v. grant credentials to
v. provide or send (envoys or embassadors) with official credentials
v. ascribe an achievement to"
accuracy,"n. the quality of being near to the true value
n. (mathematics) the number of significant figures given in a number"
accuse,v. bring an accusation against; level a charge against
accustom,v make psychologically or physically used (to something)
acerbic,"s sour or bitter in taste
s harsh or corrosive in tone"
acidic,"a. being or containing an acid; of a solution having an excess of hydrogen atoms (having a pH of less than 7)
s. being sour to the taste"
acknowledge,"v. report the receipt of
v. express obligation, thanks, or gratitude for
v. accept as legally binding and valid
v. accept (someone) to be what is claimed or accept his power and authority"
acolyte,n. someone who assists a priest or minister in a liturgical service; a cleric ordained in the highest of the minor orders in the Roman Catholic Church but not in the Anglican Church or the Eastern Orthodox Churches
acoustic,"n. a remedy for hearing loss or deafness
a. of or relating to the science of acoustics"
acquiescence,n. acceptance without protest
acquiescent,s. willing to carry out the orders or wishes of another without protest
acrimonious,s. marked by strong resentment or cynicism
acrimony,n a rough and bitter manner
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
actuate,"v put in motion or move to act
v give an incentive for action"
acute,"a. having or experiencing a rapid onset and short but severe course
s. extremely sharp or intense
s. having or demonstrating ability to recognize or draw fine distinctions
a. of an angle; less than 90 degrees"
adamant,"s. impervious to pleas, persuasion, requests, reason; she would have none of him""- W.Churchill"
adaptability,n. the ability to change (or be changed) to fit changed circumstances
adaptable,a. capable of adapting (of becoming or being made suitable) to a particular situation or use
adaptive,a. having a capacity for adaptation
addict,"n. someone who is so ardently devoted to something that it resembles an addiction
n. someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms
v. to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
address,"n. (computer science) the code that identifies where a piece of information is stored
n. the place where a person or organization can be found or communicated with
n. the act of delivering a formal spoken communication to an audience
n. the manner of speaking to another individual"
adept,s. having or showing knowledge and skill and aptitude
adequate,"a. having the requisite qualities or resources to meet a task
s. sufficient for the purpose
s. about average; acceptable"
adhere,"v. be compatible or in accordance with
v. follow through or carry out a plan without deviation
v. be a devoted follower or supporter
v. stick to firmly"
adhesive,a. tending to adhere
admonish,v. take to task
adopt,"v. choose and follow; as of theories, ideas, policies, strategies or plans
v. take up and practice as one's own
v. take into one's family"
adoration,"n. the act of admiring strongly
n. the worship given to God alone"
adore,v. love intensely
adorn,"v make more attractive by adding ornament, colour, etc.
v be beautiful to look at
v furnish with power or authority; of kings or emperors"
adulation,n. servile flattery; exaggerated and hypocritical praise
adulatory,s. obsequiously complimentary
adumbrate,"v describe roughly or briefly or give the main points or summary of
v give to understand"
advantage,"n. the quality of having a superior or more favorable position
n. (tennis) first point scored after deuce
n. benefit resulting from some event or action
v. give an advantage to"
adventurous,a. willing to undertake or seeking out new and daring enterprises
adversary,n. someone who offers opposition
adverse,"s. contrary to your interests or welfare
s. in an opposing direction"
adversity,"n. a state of misfortune or affliction
n. a stroke of ill fortune; a calamitous event"
advertise,"v. call attention to
v. make publicity for; try to sell (a product)"
advocacy,n. active support of an idea or cause etc.; especially the act of pleading or arguing for something
aesthetic,"n. (philosophy) a philosophical theory as to what is beautiful
a. relating to or dealing with the subject of aesthetics
a. concerning or characterized by an appreciation of beauty or good taste
s. aesthetically pleasing"
aesthetically,r. in a tasteful way
affable,s. diffusing warmth and friendliness
affection,n. a positive feeling of liking
affectionate,s. having or displaying warmth or affection
affective,s characterized by emotion
affinity,"n. (immunology) the attraction between an antigen and an antibody
n. (anthropology) kinship by marriage or adoption; not a blood relationship
n. (biology) state of relationship between organisms or groups of organisms resulting in resemblance in structure or structural parts
n. a close connection marked by community of interests or similarity in nature or character"
affirmation,"n. the act of affirming or asserting or stating something
n. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
n. a judgment by a higher court that the judgment of a lower court was correct and should stand"
afflict,"v. cause great unhappiness for; distress
v. cause physical pain or suffering in"
affluent,"n. an affluent person; a person who is financially well off
s. having an abundant supply of money or possessions of value"
affordable,s that you have the financial means for
affront,"n a deliberately offensive act or something producing the effect of deliberate disrespect
v treat, mention, or speak to rudely"
aggrandize,v add details to
aggravate,"v make worse
v exasperate or irritate"
aggressive,"a. having or showing determination and energetic pursuit of your ends; positive in his convictions""
s. tending to spread quickly
s. characteristic of an enemy or one eager to fight"
aghast,"s. struck with fear, dread, or consternation"
agility,n. the gracefulness of a person or animal that is quick and nimble
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
agoraphobic,s. suffering from agoraphobia; abnormally afraid of open or public places
agrarian,s. relating to rural matters
airborne,s. moved or conveyed by or through air
akin,"s. similar in quality or character
s. related by blood"
alienate,v. make withdrawn or isolated or emotionally dissociated
