abolish,v. do away with
abolishment,n the act of abolishing a system or practice or institution (especially abolishing slavery)
activate,"v. make active or more active
v. make more adsorptive
v. aerate (sewage) so as to favor the growth of organisms that decompose organic matter
v. make (substances) radioactive"
activity,"n. any specific behavior
n. (chemistry) the capacity of a substance to take part in a chemical reaction"
activist,s. advocating or engaged in activism
enact,v. act out; represent or perform as if in a play
interact,v. act together or towards others or with others
reactor,n. an electrical device used to introduce reactance into a circuit
advantageous,"a. giving an advantage
s. appropriate for achieving a particular end; implies a lack of concern for fairness"
aerial,a. existing or living or growing or operating in the air
agenda,"n. a temporally organized plan for matters to be attended to
n. a list of matters to be taken up (as at a meeting)"
agitate,"v. try to stir up public opinion
v. cause to be agitated, excited, or roused
v. change the arrangement or position of"
agitation,"n. a mental state of extreme emotional disturbance
n. a state of agitation or turbulent change or development
n. the feeling of being agitated; not calm"
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
album,"n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc"
alien,"v. transfer property or ownership
s. not contained in or deriving from the essential nature of something
s. being or from or characteristic of another place or part of the world"
alienate,v. make withdrawn or isolated or emotionally dissociated
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
alternate,"v. go back and forth; swing back and forth between two states or conditions
v. exchange people temporarily to fulfill certain jobs and functions
v. do something in turns
s. every second one of a series"
alternative,"s. necessitating a choice between mutually exclusive possibilities
s. pertaining to unconventional choices"
amiable,s. disposed to please
amateur,"n. someone who pursues a study or sport as a pastime
n. an athlete who does not play for pay
s. engaged in as a pastime"
ambiguous,"a. having more than one possible meaning
s. having no intrinsic or objective meaning; not organized in conventional patterns"
ample,"a. more than enough in size or scope or capacity
s. affording an abundant supply
s. fairly large"
amplify,v. increase the volume of
amplification,"n. addition of extra material or illustration or clarifying detail
n. the amount of increase in signal power or voltage or current expressed as the ratio of output to input
n. (electronics) the act of increasing voltage or power or current"
amplitude,"n. (physics) the maximum displacement of a periodic wave
n. the property of copious abundance
n. greatness of magnitude"
antique,"n. any piece of furniture or decorative object or the like produced in a former period and valuable because of its beauty or rarity
v. shop for antiques
v. give an antique appearance to
s. made in or typical of earlier times and valued for its age"
triangular,s. having three angles; forming or shaped like a triangle
triangularity,n. the property of being shaped like a triangle
rectangular,s. having four right angles
rectangle,n. a parallelogram with four right angles
unanimous,"s in complete agreement
s acting together as a single undiversified whole"
anniversary,n. the date on which an event occurred in some previous year (or the celebration of it)
annually,r. without missing a year
opaque,"a. not transmitting or reflecting light or radiant energy; impenetrable to sight
s. not clearly understood or expressed"
arbitrary,a. based on or subject to individual discretion or preference or sometimes impulse or caprice
arbitrariness,n the trait of acting unpredictably and more from whim or caprice than from reason or judgment
arc,n. a continuous portion of a circle
arch,"n. a curved shape in the vertical plane that spans an opening
n. a curved bony structure supporting or enclosing organs (especially the inner sides of the feet)
n. a passageway under a curved masonry construction
n. (architecture) a masonry construction (usually curved) for spanning an opening and supporting the weight above it"
architect,n. someone who creates plans to be used in making something (such as buildings)
architecture,"n. an architectural product or work
n. the discipline dealing with the principles of design and construction and ornamentation of fine buildings
n. the profession of designing buildings and environments with consideration for their esthetic effect"
hierarchy,"n. a series of ordered groupings of people or things within a system
n. the organization of people at different ranks in an administrative body"
monarch,n. large migratory American butterfly having deep orange wings with black and white markings; the larvae feed on milkweed
monarchical,"s having the characteristics of or befitting or worthy of a monarch
s ruled by or having the supreme power resting with a monarch"
armor,"n. protective covering made of metal and used in combat
n. a military unit consisting of armored fighting vehicles
n. tough more-or-less rigid protective covering of an animal or plant"
astronomy,n. the branch of physics that studies celestial bodies and the universe as a whole
astronomic,"a. relating or belonging to the science of astronomy
s. inconceivably large"
disastrous,s (of events) having extremely unfortunate or dire consequences; bringing ruin
